Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,9.71,9.72,9.71,9.72,3200,9.72
2016-06-09,9.68,9.68,9.68,9.68,000,9.68
2016-06-08,9.68,9.68,9.68,9.68,000,9.68
2016-06-07,9.70,9.71,9.68,9.68,95800,9.68
2016-06-06,9.73,9.73,9.73,9.73,000,9.73
2016-06-03,9.73,9.73,9.73,9.73,000,9.73
2016-06-02,9.73,9.73,9.73,9.73,000,9.73
2016-06-01,9.73,9.73,9.73,9.73,000,9.73
2016-05-31,9.73,9.73,9.73,9.73,000,9.73
2016-05-27,9.73,9.76,9.72,9.73,1000,9.73
2016-05-26,9.72,9.72,9.72,9.72,000,9.72
2016-05-25,9.71,9.73,9.71,9.72,128400,9.72
2016-05-24,9.734,9.734,9.734,9.734,000,9.734
2016-05-23,9.734,9.734,9.734,9.734,100,9.734
2016-05-20,9.70,9.70,9.70,9.70,000,9.70
2016-05-19,9.70,9.70,9.70,9.70,000,9.70
2016-05-18,9.70,9.70,9.70,9.70,000,9.70
2016-05-17,9.70,9.70,9.70,9.70,000,9.70
2016-05-16,9.70,9.70,9.70,9.70,45900,9.70
2016-05-13,9.68,9.68,9.68,9.68,000,9.68
2016-05-12,9.68,9.68,9.68,9.68,000,9.68
2016-05-11,9.68,9.68,9.68,9.68,000,9.68
2016-05-10,9.68,9.68,9.68,9.68,1000,9.68
2016-05-09,9.68,9.68,9.68,9.68,1000,9.68
2016-05-06,9.67,9.67,9.67,9.67,000,9.67
2016-05-05,9.67,9.67,9.67,9.67,100,9.67
2016-05-04,9.63,9.63,9.63,9.63,000,9.63
2016-05-03,9.63,9.63,9.63,9.63,000,9.63
2016-05-02,9.63,9.63,9.63,9.63,000,9.63
2016-04-29,9.63,9.63,9.63,9.63,000,9.63
2016-04-28,9.58,9.63,9.58,9.63,1100,9.63
2016-04-27,9.66,9.69,9.63,9.63,8100,9.63
2016-04-26,9.66,9.66,9.66,9.66,000,9.66
2016-04-25,9.67,9.67,9.65,9.66,2800,9.66
2016-04-22,9.68,9.68,9.65,9.65,600,9.65
2016-04-21,9.68,9.68,9.68,9.68,2500,9.68
2016-04-20,9.67,9.67,9.67,9.67,000,9.67
2016-04-19,9.67,9.67,9.67,9.67,200,9.67
2016-04-18,9.71,9.71,9.71,9.71,000,9.71
2016-04-15,9.71,9.71,9.71,9.71,000,9.71
2016-04-14,9.71,9.71,9.71,9.71,000,9.71
2016-04-13,9.71,9.71,9.71,9.71,000,9.71
2016-04-12,9.71,9.71,9.71,9.71,000,9.71
2016-04-11,9.71,9.71,9.71,9.71,000,9.71
2016-04-08,9.71,9.71,9.71,9.71,000,9.71
2016-04-07,9.71,9.71,9.71,9.71,000,9.71
2016-04-06,9.71,9.71,9.71,9.71,000,9.71
2016-04-05,9.71,9.71,9.71,9.71,200,9.71
2016-04-04,9.65,9.77,9.65,9.77,1300,9.77
