Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,6.68,6.73,6.53,6.65,447400,6.65
2016-06-09,6.77,6.85,6.68,6.73,430400,6.73
2016-06-08,6.66,6.81,6.62,6.78,632000,6.78
2016-06-07,6.63,6.70,6.54,6.67,622800,6.67
2016-06-06,6.54,6.66,6.50,6.63,531500,6.63
2016-06-03,6.64,6.64,6.44,6.51,808500,6.51
2016-06-02,6.57,6.65,6.45,6.65,1034400,6.65
2016-06-01,6.51,6.59,6.39,6.59,1332800,6.59
2016-05-31,6.64,6.68,6.38,6.56,1049000,6.56
2016-05-27,6.38,6.58,6.38,6.58,1092600,6.58
2016-05-26,6.39,6.44,6.30,6.41,593600,6.41
2016-05-25,6.38,6.47,6.25,6.38,988000,6.38
2016-05-24,6.22,6.37,6.18,6.37,896300,6.37
2016-05-23,6.22,6.29,6.18,6.18,537800,6.18
2016-05-20,6.11,6.24,6.07,6.23,765000,6.23
2016-05-19,6.08,6.19,5.97,6.09,719600,6.09
2016-05-18,6.03,6.24,6.01,6.16,934400,6.16
2016-05-17,6.15,6.25,5.99,6.05,994600,6.05
2016-05-16,6.05,6.21,6.00,6.14,940300,6.14
2016-05-13,5.96,6.12,5.83,6.02,779000,6.02
2016-05-12,6.01,6.05,5.94,5.97,587400,5.97
2016-05-11,5.89,6.05,5.89,6.00,670200,6.00
2016-05-10,5.85,5.98,5.83,5.90,738600,5.90
2016-05-09,5.89,5.96,5.81,5.81,543400,5.81
2016-05-06,5.95,6.06,5.85,5.90,953600,5.90
2016-05-05,6.10,6.11,5.89,5.97,965200,5.97
2016-05-04,6.18,6.20,5.93,6.05,1078000,6.05
2016-05-03,6.36,6.36,5.97,6.21,1570500,6.21
2016-05-02,5.84,5.91,5.73,5.88,671100,5.88
2016-04-29,6.03,6.07,5.71,5.81,752000,5.81
2016-04-28,6.08,6.17,5.97,6.03,536800,6.03
2016-04-27,5.76,6.21,5.76,6.04,878700,6.04
2016-04-26,5.71,5.80,5.59,5.74,693000,5.74
2016-04-25,5.84,5.91,5.61,5.68,535500,5.68
2016-04-22,5.76,5.85,5.75,5.82,420600,5.82
2016-04-21,5.80,5.88,5.72,5.78,434900,5.78
2016-04-20,5.64,5.81,5.55,5.79,570400,5.79
2016-04-19,5.73,5.81,5.61,5.62,569100,5.62
2016-04-18,5.64,5.78,5.60,5.75,533700,5.75
2016-04-15,5.69,5.77,5.56,5.67,373800,5.67
2016-04-14,5.74,5.83,5.68,5.72,424100,5.72
2016-04-13,5.49,5.81,5.47,5.75,712700,5.75
2016-04-12,5.36,5.57,5.35,5.44,898600,5.44
2016-04-11,5.56,5.58,5.34,5.34,727900,5.34
2016-04-08,5.60,5.60,5.35,5.50,781400,5.50
2016-04-07,5.76,5.82,5.50,5.56,525600,5.56
2016-04-06,5.73,5.82,5.69,5.81,356200,5.81
2016-04-05,5.72,5.76,5.65,5.70,1244000,5.70
2016-04-04,5.72,5.82,5.64,5.75,557400,5.75
2016-04-01,5.59,5.74,5.54,5.72,423000,5.72
2016-03-31,5.71,5.77,5.65,5.67,535100,5.67
2016-03-30,5.75,5.82,5.55,5.68,490100,5.68
2016-03-29,5.47,5.78,5.46,5.69,761200,5.69
2016-03-28,5.70,5.70,5.46,5.51,424700,5.51
