Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,8.44,8.44,8.44,8.44,000,8.44
2016-06-09,8.44,8.44,8.44,8.44,000,8.44
2016-06-08,8.44,8.44,8.44,8.44,100,8.44
2016-06-07,8.30,8.30,8.30,8.30,000,8.30
2016-06-06,8.30,8.42,8.30,8.30,6500,8.30
2016-06-03,8.44,8.44,8.25,8.25,2000,8.25
2016-06-02,8.27,8.30,8.20,8.30,5100,8.30
2016-06-01,8.25,8.25,8.25,8.25,000,8.25
2016-05-31,8.30,8.30,8.25,8.25,1800,8.25
2016-05-27,8.25,8.25,8.25,8.25,000,8.25
2016-05-26,8.25,8.25,8.25,8.25,000,8.25
2016-05-25,8.35,8.35,8.25,8.25,5500,8.25
2016-05-24,8.25,8.26,8.25,8.25,11200,8.25
2016-05-23,8.30,8.30,8.30,8.30,900,8.30
2016-05-20,8.25,8.25,8.16,8.16,10900,8.16
2016-05-19,8.25,8.25,8.25,8.25,000,8.25
2016-05-18,8.25,8.25,8.25,8.25,000,8.25
2016-05-17,8.25,8.25,8.25,8.25,2800,8.25
2016-05-16,8.27,8.27,8.25,8.26,3700,8.26
2016-05-13,8.26,8.27,8.25,8.25,4400,8.25
2016-05-12,8.30,8.30,8.28,8.30,8300,8.30
2016-05-11,8.35,8.35,8.35,8.35,7900,8.35
2016-05-10,8.44,8.44,8.43,8.43,400,8.43
2016-05-09,8.25,8.44,8.25,8.44,300,8.44
2016-05-06,8.38,8.38,8.38,8.38,000,8.38
2016-05-05,8.38,8.38,8.38,8.38,000,8.38
2016-05-04,8.38,8.38,8.38,8.38,000,8.38
2016-05-03,8.22,8.38,8.22,8.38,1400,8.38
2016-05-02,8.35,8.35,8.25,8.25,200,8.25
2016-04-29,8.44,8.44,8.44,8.44,000,8.44
2016-04-28,8.44,8.44,8.44,8.44,000,8.44
2016-04-27,8.44,8.44,8.44,8.44,100,8.44
2016-04-26,8.36,8.36,8.35,8.35,600,8.35
2016-04-25,8.25,8.25,8.25,8.25,1400,8.25
2016-04-22,8.25,8.25,8.25,8.25,000,8.25
2016-04-21,8.25,8.25,8.25,8.25,000,8.25
2016-04-20,8.25,8.25,8.25,8.25,000,8.25
2016-04-19,8.25,8.25,8.25,8.25,000,8.25
2016-04-18,8.25,8.25,8.25,8.25,100,8.25
2016-04-15,8.25,8.25,8.25,8.25,200,8.25
2016-04-14,8.25,8.25,8.25,8.25,600,8.25
2016-04-13,8.25,8.25,8.25,8.25,000,8.25
2016-04-12,8.26,8.28,8.25,8.25,1300,8.25
2016-04-11,8.28,8.29,8.26,8.26,600,8.26
2016-04-08,8.29,8.29,8.25,8.29,1400,8.29
2016-04-07,8.26,8.26,8.26,8.26,200,8.26
2016-04-06,8.27,8.27,8.27,8.27,000,8.27
