Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,97.989998,98.57,96.580002,97.82,32600,97.82
2016-06-09,98.029999,98.790001,96.900002,98.400002,37200,98.400002
2016-06-08,98.169998,98.910004,94.360001,98.330002,20200,98.330002
2016-06-07,98.480003,99.379997,97.940002,98.339996,29700,98.339996
2016-06-06,98.830002,99.989998,98.080002,98.669998,34300,98.669998
2016-06-03,98.389999,99.629997,97.120003,98.889999,36500,98.889999
2016-06-02,98.650002,99.07,95.510002,98.830002,40900,98.830002
2016-06-01,97.919998,98.940002,97.739998,98.919998,33600,98.919998
2016-05-31,98.360001,98.360001,96.860001,97.900002,62200,97.900002
2016-05-27,96.870003,98.00,96.610001,97.709999,31300,97.709999
2016-05-26,97.25,97.339996,96.330002,97.18,54900,97.18
2016-05-25,97.830002,97.900002,96.400002,96.93,46900,96.93
2016-05-24,97.089996,97.669998,95.900002,97.230003,63700,97.230003
2016-05-23,97.199997,97.199997,96.290001,96.309998,26700,96.309998
2016-05-20,96.470001,97.110001,96.239998,96.919998,49600,96.919998
2016-05-19,95.93,97.019997,95.080002,95.849998,20100,95.849998
2016-05-18,95.25,96.980003,95.25,96.029999,30300,96.029999
2016-05-17,96.209999,96.830002,95.080002,95.440002,58300,95.440002
2016-05-16,96.940002,97.57,96.50,96.699997,38000,96.699997
2016-05-13,96.940002,97.25,96.489998,96.970001,34700,96.970001
2016-05-12,95.959999,97.290001,95.959999,97.120003,41800,97.120003
2016-05-11,95.870003,96.769997,95.529999,95.889999,39500,95.889999
2016-05-10,96.699997,96.959999,96.059998,96.160004,25800,96.160004
2016-05-09,94.589996,96.290001,94.589996,96.080002,36000,96.080002
2016-05-06,95.540001,95.82,94.199997,94.589996,35200,94.589996
2016-05-05,94.559998,95.980003,94.00,95.559998,54700,95.559998
2016-05-04,94.849998,95.209999,93.660004,94.82,58200,94.82
2016-05-03,93.870003,95.150002,93.870003,94.959999,58700,94.959999
2016-05-02,94.790001,95.169998,93.940002,94.730003,40000,94.730003
2016-04-29,90.690002,94.660004,90.279999,94.389999,103000,94.389999
2016-04-28,93.650002,94.029999,91.129997,91.480003,39700,91.480003
2016-04-27,91.589996,93.970001,91.589996,93.07,46700,93.07
2016-04-26,92.129997,93.480003,91.43,91.910004,25600,91.910004
2016-04-25,91.709999,91.779999,90.50,91.779999,19500,91.779999
2016-04-22,90.940002,92.580002,90.940002,91.779999,31000,91.779999
2016-04-21,94.00,94.00,90.75,90.949997,29200,90.949997
2016-04-20,94.139999,94.519997,93.389999,93.620003,42300,93.620003
2016-04-19,94.209999,94.82,93.519997,93.839996,58400,93.839996
2016-04-18,92.040001,93.82,92.040001,93.82,49300,93.82
2016-04-15,92.440002,93.690002,90.779999,92.169998,44500,92.169998
2016-04-14,92.559998,93.080002,90.50,92.25,34000,92.25
2016-04-13,91.910004,92.849998,91.279999,92.57,73400,92.57
2016-04-12,91.209999,92.099998,90.779999,91.669998,41500,91.669998
2016-04-11,91.629997,91.769997,90.75,91.029999,35600,91.029999
2016-04-08,91.00,91.860001,90.57,91.370003,48800,91.370003
2016-04-07,91.300003,91.809998,90.209999,90.599998,27500,90.599998
2016-04-06,91.080002,92.139999,90.660004,91.809998,52800,91.809998
2016-04-05,92.230003,92.68,91.190002,91.260002,53100,91.260002
2016-04-04,93.32,93.32,92.040001,92.730003,81000,92.730003
2016-04-01,92.849998,94.019997,92.82,93.760002,53000,93.03
2016-03-31,93.949997,94.660004,92.769997,92.989998,51600,92.265991
2016-03-30,94.230003,94.790001,93.43,94.160004,42200,93.426887
2016-03-29,92.82,93.910004,91.739998,93.629997,99100,92.901008
2016-03-28,92.010002,93.440002,91.540001,92.519997,69600,91.799649
2016-03-24,92.139999,92.559998,91.25,91.629997,75900,90.916579
2016-03-23,92.230003,93.059998,91.669998,92.25,65400,91.531755
2016-03-22,92.169998,93.550003,91.93,92.580002,71400,91.859187
2016-03-21,93.040001,93.470001,91.800003,92.150002,84400,91.432535
2016-03-18,92.410004,93.919998,91.209999,93.459999,361300,92.732333
2016-03-17,90.839996,92.860001,89.00,92.610001,70600,91.888952
2016-03-16,91.330002,91.330002,89.959999,90.690002,91300,89.983903
2016-03-15,89.839996,92.300003,89.379997,91.330002,80900,90.61892
2016-03-14,90.610001,90.870003,88.760002,90.18,118400,89.477872
2016-03-11,90.440002,91.800003,90.029999,91.190002,96900,90.48001
2016-03-10,90.790001,91.00,88.690002,90.029999,128200,89.329038
2016-03-09,91.190002,91.959999,89.779999,90.790001,122100,90.083123
2016-03-08,89.599998,91.330002,89.599998,90.809998,126000,90.102964
2016-03-07,95.349998,95.349998,89.07,89.919998,249700,89.219894
2016-03-04,96.57,96.849998,94.459999,96.260002,66200,95.510536
2016-03-03,95.610001,96.730003,94.800003,96.330002,81000,95.57999
2016-03-02,96.169998,96.400002,94.900002,95.580002,64000,94.83583
2016-03-01,94.18,96.82,93.580002,96.599998,84100,95.847885
2016-02-29,94.080002,95.440002,92.889999,94.010002,101300,93.278054
2016-02-26,99.139999,99.199997,93.300003,94.339996,121000,93.605479
2016-02-25,100.010002,100.879997,100.010002,100.529999,49100,99.747287
2016-02-24,98.730003,100.209999,98.349998,100.190002,37900,99.409937
2016-02-23,97.910004,99.82,97.910004,99.379997,72200,98.606239
2016-02-22,98.540001,98.599998,97.389999,97.910004,61400,97.14769
2016-02-19,98.139999,98.970001,97.309998,97.940002,59800,97.177456
2016-02-18,97.870003,98.610001,97.169998,98.139999,43400,97.375895
2016-02-17,98.489998,98.82,97.43,97.559998,72700,96.800409
2016-02-16,97.510002,98.889999,97.00,98.18,44700,97.415585
2016-02-12,95.720001,97.129997,95.220001,96.980003,47400,96.224931
2016-02-11,95.540001,95.760002,94.529999,94.959999,35100,94.220654
2016-02-10,97.029999,97.970001,96.110001,96.540001,51000,95.788354
2016-02-09,96.139999,97.300003,95.620003,96.57,55200,95.81812
2016-02-08,94.519997,96.839996,94.059998,96.839996,51900,96.086014
2016-02-05,95.290001,96.040001,94.18,95.489998,48100,94.746526
2016-02-04,95.769997,96.230003,94.360001,95.43,53100,94.686996
2016-02-03,96.209999,96.650002,94.470001,95.669998,52200,94.925125
2016-02-02,95.980003,96.050003,94.389999,95.690002,44900,94.944974
2016-02-01,96.169998,96.870003,95.190002,96.440002,44000,95.689134
2016-01-29,94.489998,96.470001,94.379997,96.110001,63700,95.361702
2016-01-28,93.589996,94.269997,92.830002,93.980003,39400,93.248289
2016-01-27,93.760002,94.269997,92.559998,92.910004,37800,92.18662
2016-01-26,92.550003,94.540001,92.470001,93.629997,27900,92.901008
2016-01-25,93.540001,94.139999,91.870003,92.379997,55000,91.66074
2016-01-22,92.379997,93.739998,92.110001,93.660004,31200,92.93078
2016-01-21,90.889999,91.82,90.529999,91.43,70100,90.718139
2016-01-20,92.419998,92.720001,90.32,91.099998,81000,90.390707
2016-01-19,92.779999,94.449997,91.959999,93.07,89100,92.34537
2016-01-15,91.160004,91.779999,90.269997,91.589996,65200,90.87689
2016-01-14,91.309998,93.510002,91.139999,92.540001,88400,91.819498
2016-01-13,92.849998,93.099998,90.879997,91.089996,44300,90.380783
2016-01-12,92.029999,92.830002,91.32,92.50,56800,91.779808
2016-01-11,92.120003,92.730003,91.209999,91.730003,54900,91.015807
2016-01-08,93.489998,94.389999,91.769997,91.940002,49200,91.224171
