Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,31.66,32.119999,31.389999,31.719999,168000,31.719999
2016-06-09,32.09,32.110001,31.77,31.90,75800,31.90
2016-06-08,31.889999,32.549999,31.73,32.25,91900,32.25
2016-06-07,31.74,32.02,31.559999,31.92,114100,31.92
2016-06-06,31.16,32.00,31.16,31.84,158200,31.84
2016-06-03,31.110001,31.280001,30.700001,31.16,171600,31.16
2016-06-02,30.969999,31.18,30.860001,31.18,114200,31.18
2016-06-01,30.719999,31.15,30.440001,31.07,137000,31.07
2016-05-31,31.190001,31.51,30.65,30.790001,235900,30.790001
2016-05-27,30.41,31.23,30.41,31.120001,190500,31.120001
2016-05-26,30.18,30.60,30.18,30.51,129900,30.51
2016-05-25,30.059999,30.450001,29.98,30.35,181800,30.35
2016-05-24,29.639999,30.219999,29.559999,30.200001,161200,30.200001
2016-05-23,29.530001,29.780001,29.42,29.440001,146000,29.440001
2016-05-20,29.200001,29.620001,29.16,29.459999,141100,29.459999
2016-05-19,29.33,29.629999,28.629999,29.01,180800,29.01
2016-05-18,29.040001,29.790001,28.969999,29.450001,167500,29.450001
2016-05-17,29.42,29.74,28.84,29.139999,202200,29.139999
2016-05-16,29.190001,29.700001,29.110001,29.51,124300,29.51
2016-05-13,29.16,29.91,28.92,29.10,154000,29.10
2016-05-12,30.040001,30.040001,28.91,29.18,193900,29.18
2016-05-11,30.559999,30.67,29.530001,29.85,238400,29.85
2016-05-10,30.860001,30.940001,30.549999,30.870001,178100,30.870001
2016-05-09,31.110001,31.48,30.65,30.66,147400,30.66
2016-05-06,30.52,31.299999,30.450001,31.17,203700,31.17
2016-05-05,30.799999,31.190001,30.57,30.629999,142100,30.629999
2016-05-04,30.700001,31.25,30.65,30.65,183800,30.65
2016-05-03,30.870001,31.26,30.280001,30.969999,186500,30.969999
2016-05-02,30.92,31.35,30.799999,31.15,145600,31.15
2016-04-29,31.27,31.27,30.639999,30.790001,176700,30.790001
2016-04-28,31.870001,31.950001,31.209999,31.299999,107600,31.299999
2016-04-27,31.74,32.240002,31.74,31.969999,119100,31.969999
2016-04-26,31.48,32.240002,31.370001,31.950001,140800,31.950001
2016-04-25,31.83,31.83,31.030001,31.43,139100,31.43
2016-04-22,31.85,33.630001,31.76,32.00,236700,32.00
2016-04-21,32.34,34.09,31.73,31.74,439300,31.74
2016-04-20,34.259998,34.259998,33.759998,34.07,165200,34.07
2016-04-19,34.580002,34.810001,33.939999,34.259998,118100,34.259998
2016-04-18,34.32,34.580002,34.32,34.560001,74500,34.560001
2016-04-15,33.98,34.990002,33.98,34.48,164700,34.48
2016-04-14,34.389999,34.389999,33.98,34.16,112900,34.16
2016-04-13,33.77,34.450001,33.630001,34.419998,139200,34.419998
2016-04-12,33.380001,33.860001,33.169998,33.619999,150100,33.619999
2016-04-11,33.700001,33.950001,33.380001,33.400002,159500,33.400002
2016-04-08,33.23,33.509998,32.98,33.450001,203800,33.450001
2016-04-07,32.799999,33.169998,32.549999,32.959999,402800,32.959999
2016-04-06,32.259998,33.18,31.950001,33.060001,200500,33.060001
2016-04-05,32.52,33.900002,31.280001,32.189999,212900,32.189999
2016-04-04,33.790001,33.790001,32.73,32.810001,223300,32.810001
2016-04-01,32.50,33.959999,31.91,33.91,323800,33.91
2016-03-31,31.77,32.040001,31.469999,31.93,170300,31.93
2016-03-30,31.84,32.16,31.57,31.860001,150800,31.860001
2016-03-29,30.709999,31.719999,29.709999,31.690001,180200,31.690001
2016-03-28,30.799999,31.08,30.57,30.76,121400,30.76
2016-03-24,30.370001,30.799999,30.030001,30.75,202200,30.75
2016-03-23,31.25,31.25,30.50,30.50,172700,30.50
2016-03-22,31.17,31.48,31.00,31.290001,82000,31.290001
2016-03-21,31.459999,31.65,31.049999,31.290001,124500,31.290001
2016-03-18,31.379999,31.82,31.25,31.49,255900,31.49
2016-03-17,30.34,31.25,30.190001,31.17,142200,31.17
2016-03-16,29.959999,30.620001,29.290001,30.299999,118300,30.299999
2016-03-15,30.16,30.42,29.83,30.120001,144300,30.120001
2016-03-14,30.299999,30.42,30.00,30.280001,123300,30.280001
2016-03-11,30.35,30.389999,30.059999,30.33,148100,30.33
2016-03-10,30.950001,31.450001,29.950001,30.27,138200,30.130001
2016-03-09,31.030001,31.139999,30.32,30.82,214300,30.677457
2016-03-08,32.139999,32.139999,30.860001,30.92,182100,30.776994
2016-03-07,30.57,32.419998,30.52,32.18,324300,32.031167
2016-03-04,30.41,30.77,30.09,30.639999,164100,30.498289
2016-03-03,30.139999,30.51,29.870001,30.48,204200,30.339029
2016-03-02,29.889999,30.280001,29.200001,30.110001,229400,29.970741
2016-03-01,29.620001,30.040001,29.200001,30.00,235000,29.861249
2016-02-29,28.780001,29.74,28.780001,29.469999,317800,29.3337
2016-02-26,28.85,28.950001,26.85,28.73,190400,28.597123
2016-02-25,28.42,28.84,27.83,28.780001,210300,28.646893
2016-02-24,27.57,28.309999,27.379999,28.27,228700,28.139251
2016-02-23,27.780001,28.059999,27.18,27.91,286300,27.780915
2016-02-22,27.08,28.59,26.799999,28.00,298400,27.870499
2016-02-19,25.540001,26.82,25.25,26.76,357300,26.636235
2016-02-18,25.870001,26.00,24.889999,25.60,403200,25.4816
2016-02-17,27.719999,29.00,26.00,26.07,464300,25.949425
2016-02-16,28.450001,28.450001,27.280001,28.00,248600,27.870499
2016-02-12,27.51,28.24,27.49,28.09,161400,27.960083
2016-02-11,27.379999,27.90,26.92,27.33,130900,27.203598
2016-02-10,27.82,28.629999,27.809999,27.879999,87300,27.751054
2016-02-09,27.75,28.42,27.59,27.68,113100,27.55198
2016-02-08,27.940001,28.35,27.26,28.129999,184500,27.999897
2016-02-05,29.02,29.10,27.299999,28.15,159500,28.019805
2016-02-04,29.110001,29.40,28.879999,29.18,144700,29.045042
2016-02-03,29.190001,29.35,28.440001,29.120001,212100,28.98532
2016-02-02,29.24,29.40,28.799999,28.90,133200,28.766336
2016-02-01,29.59,29.799999,28.940001,29.52,120500,29.38347
2016-01-29,28.67,29.950001,28.67,29.860001,351800,29.721897
2016-01-28,28.370001,28.76,28.129999,28.58,101000,28.447817
2016-01-27,28.23,28.77,27.92,28.059999,116400,27.930221
2016-01-26,28.15,28.610001,27.77,28.35,145200,28.218881
2016-01-25,28.74,29.17,27.889999,27.969999,126000,27.840637
2016-01-22,28.92,29.34,28.549999,28.959999,194100,28.826058
2016-01-21,28.700001,29.98,28.040001,28.559999,205400,28.427909
2016-01-20,27.530001,28.780001,27.09,28.59,209400,28.457771
2016-01-19,28.940001,29.01,27.530001,27.90,191100,27.770961
2016-01-15,28.23,28.709999,28.07,28.709999,182000,28.577215
2016-01-14,28.76,29.35,28.52,29.049999,154500,28.915642
2016-01-13,29.549999,29.68,28.389999,28.59,98100,28.457771
2016-01-12,29.57,29.83,28.77,29.42,160100,29.283932
2016-01-11,29.639999,29.639999,29.00,29.389999,185900,29.25407
2016-01-08,29.98,30.110001,29.450001,29.530001,154300,29.393424
2016-01-07,30.08,30.290001,29.77,29.91,120500,29.771665
2016-01-06,30.83,31.309999,30.559999,30.690001,171800,30.548059
2016-01-05,31.379999,31.450001,30.99,31.34,90900,31.195052
2016-01-04,31.940001,32.189999,31.17,31.35,175500,31.205006
2015-12-31,32.459999,34.709999,32.189999,32.509998,193700,32.359639
2015-12-30,32.779999,32.900002,32.400002,32.529999,111500,32.379547
2015-12-29,32.509998,32.900002,32.369999,32.77,107600,32.618438
2015-12-28,32.34,32.549999,31.83,32.360001,119100,32.210335
2015-12-24,32.470001,33.310001,32.32,32.43,60600,32.280011
2015-12-23,32.119999,32.610001,32.119999,32.349998,109200,32.200379
2015-12-22,31.83,32.060001,31.290001,31.99,192400,31.842045
2015-12-21,31.639999,32.169998,31.469999,31.75,188500,31.603156
2015-12-18,32.740002,32.900002,30.940001,31.48,641200,31.334404
2015-12-17,33.380001,33.419998,32.82,32.950001,249700,32.797606
2015-12-16,32.900002,33.459999,32.73,33.32,122400,33.165894
2015-12-15,32.48,32.98,32.439999,32.720001,125900,32.56867
2015-12-14,32.299999,32.549999,31.93,32.27,197100,32.120751
2015-12-11,32.450001,32.990002,32.09,32.349998,236200,32.200379
2015-12-10,33.27,33.610001,32.77,33.299999,195900,33.006633
2015-12-09,33.93,34.200001,33.259998,33.310001,361400,33.016547
2015-12-08,34.32,34.650002,33.740002,34.099998,181900,33.799584
2015-12-07,35.610001,35.610001,34.509998,34.669998,175000,34.364562
2015-12-04,35.299999,35.77,35.240002,35.650002,102100,35.335932
2015-12-03,36.240002,36.959999,35.220001,35.330002,168000,35.018751
2015-12-02,36.549999,36.73,35.950001,36.049999,104900,35.732406
2015-12-01,36.380001,36.830002,36.16,36.639999,178400,36.317208
2015-11-30,35.869999,36.349998,35.560001,36.220001,198300,35.90091
2015-11-27,35.91,36.139999,35.73,35.84,86300,35.524257
2015-11-25,35.439999,36.07,35.209999,35.93,131500,35.613464
2015-11-24,35.09,35.450001,34.939999,35.389999,137700,35.07822
2015-11-23,35.07,35.52,34.919998,35.349998,85900,35.038572
2015-11-20,35.549999,35.720001,35.00,35.200001,113000,34.889896
2015-11-19,35.029999,35.380001,34.990002,35.34,109100,35.028662
2015-11-18,34.599998,35.200001,34.299999,35.119999,198100,34.810599
2015-11-17,34.349998,35.07,34.029999,34.330002,181900,34.027561
2015-11-16,33.59,34.41,33.48,34.369999,179700,34.067206
2015-11-13,33.049999,33.73,32.73,33.599998,619500,33.303989
2015-11-12,33.98,33.98,33.200001,33.32,199500,33.026457
2015-11-11,34.650002,34.650002,34.099998,34.310001,139200,34.007737
2015-11-10,34.380001,35.049999,34.189999,34.52,171300,34.215886
2015-11-09,35.099998,35.130001,34.380001,34.419998,140500,34.116765
2015-11-06,34.889999,35.27,34.700001,35.189999,116200,34.879982
2015-11-05,34.689999,35.169998,34.419998,35.02,97000,34.711481
2015-11-04,34.93,35.779999,34.450001,34.630001,126400,34.324918
2015-11-03,34.68,35.189999,33.459999,34.860001,129900,34.552891
2015-11-02,34.540001,34.880001,34.369999,34.77,232500,34.463684
2015-10-30,34.799999,35.080002,31.92,34.57,241500,34.265445
2015-10-29,35.150002,35.189999,34.630001,34.720001,134200,34.414125
2015-10-28,34.189999,35.310001,34.060001,35.290001,204900,34.979103
2015-10-27,34.52,34.529999,33.889999,34.07,269300,33.76985
2015-10-26,35.099998,35.23,34.490002,34.75,209100,34.443859
2015-10-23,34.619999,35.200001,34.450001,35.00,210500,34.691657
2015-10-22,35.59,36.130001,34.259998,34.380001,348800,34.07712
