Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,44.860001,45.119999,44.279999,44.57,2104300,44.57
2016-06-09,45.889999,46.02,45.279999,45.349998,2414700,45.349998
2016-06-08,45.889999,46.130001,45.720001,45.990002,2330900,45.990002
2016-06-07,45.779999,46.009998,45.540001,45.740002,2015900,45.740002
2016-06-06,45.639999,45.860001,44.970001,45.830002,3461600,45.830002
2016-06-03,46.50,46.599998,45.630001,46.200001,2252800,46.200001
2016-06-02,46.139999,46.540001,45.880001,46.509998,1462000,46.509998
2016-06-01,46.00,46.279999,45.470001,46.240002,2317300,46.240002
2016-05-31,46.099998,46.360001,45.779999,46.029999,2574900,46.029999
2016-05-27,46.099998,46.18,45.849998,46.00,2132100,46.00
2016-05-26,46.029999,46.200001,45.939999,46.080002,1965400,46.080002
2016-05-25,45.759998,46.049999,45.610001,45.939999,1881800,45.939999
2016-05-24,45.049999,45.830002,45.040001,45.700001,1770800,45.700001
2016-05-23,44.900002,45.119999,44.709999,44.869999,1422000,44.869999
2016-05-20,44.709999,45.119999,44.099998,44.860001,2665000,44.860001
2016-05-19,45.00,45.240002,44.450001,44.509998,2276900,44.509998
2016-05-18,45.150002,45.830002,45.049999,45.389999,2551900,45.389999
2016-05-17,45.73,46.02,45.200001,45.200001,2031100,45.200001
2016-05-16,45.619999,46.099998,45.450001,45.720001,2226500,45.720001
2016-05-13,45.639999,46.07,45.23,45.48,2056900,45.48
2016-05-12,46.459999,46.630001,45.57,45.639999,3356500,45.639999
2016-05-11,46.560001,46.720001,46.220001,46.299999,1991900,46.299999
2016-05-10,46.490002,46.799999,45.810001,46.669998,1846300,46.669998
2016-05-09,46.450001,46.490002,45.82,46.16,1911600,46.16
2016-05-06,46.41,46.830002,46.32,46.490002,2092500,46.490002
2016-05-05,45.830002,46.91,45.57,46.549999,3800200,46.549999
2016-05-04,46.25,46.25,45.290001,45.57,2921800,45.57
2016-05-03,46.549999,46.810001,45.82,46.369999,2503100,46.369999
2016-05-02,46.93,47.040001,46.099998,47.02,3346000,47.02
2016-04-29,46.880001,47.25,46.34,46.790001,3903000,46.790001
2016-04-28,47.09,47.990002,47.029999,47.27,4732800,47.27
2016-04-27,46.450001,47.50,46.41,47.439999,5022300,47.439999
2016-04-26,45.599998,46.66,45.439999,46.48,2465600,46.48
2016-04-25,45.50,45.889999,45.439999,45.599998,1806000,45.599998
2016-04-22,45.150002,45.650002,45.150002,45.630001,1718300,45.630001
2016-04-21,46.66,46.66,45.459999,45.580002,1416900,45.280001
2016-04-20,45.740002,46.150002,45.580002,45.810001,1656700,45.508487
2016-04-19,45.889999,46.16,45.630001,45.740002,2029100,45.438948
2016-04-18,45.75,46.060001,45.52,45.73,2051300,45.429012
2016-04-15,45.77,46.040001,45.299999,45.810001,1931600,45.508487
2016-04-14,45.970001,46.080002,45.619999,45.77,2267100,45.46875
2016-04-13,45.34,46.00,45.099998,45.82,3504900,45.51842
2016-04-12,45.00,46.18,45.00,45.34,7922300,45.041579
2016-04-11,47.310001,47.619999,46.799999,46.939999,3799900,46.631047
2016-04-08,47.209999,47.619999,47.009998,47.130001,2461800,46.819799
2016-04-07,47.02,47.360001,46.400002,46.720001,3052400,46.412498
2016-04-06,47.310001,48.00,46.130001,47.110001,3881800,46.79993
2016-04-05,48.73,48.73,46.84,47.380001,3667800,47.068153
2016-04-04,48.75,48.77,47.290001,47.369999,3380900,47.058217
2016-04-01,48.299999,48.959999,47.57,48.93,3274700,48.607951
2016-03-31,49.00,49.080002,48.709999,49.00,2169900,48.67749
2016-03-30,49.259998,49.290001,48.740002,48.93,2493000,48.607951
2016-03-29,48.23,49.040001,48.060001,49.02,1912600,48.697359
2016-03-28,49.049999,49.049999,48.32,48.50,1935100,48.180781
2016-03-24,48.689999,49.09,48.43,48.900002,1928000,48.578149
2016-03-23,48.98,49.080002,48.639999,48.830002,2132700,48.50861
2016-03-22,49.50,49.849998,48.82,48.93,3026800,48.607951
2016-03-21,49.029999,49.990002,48.84,49.869999,2522000,49.541762
2016-03-18,49.169998,49.200001,48.52,49.049999,3618600,48.72716
2016-03-17,47.439999,49.189999,47.34,48.939999,3278300,48.617883
2016-03-16,46.610001,47.50,46.200001,47.419998,3134600,47.107887
2016-03-15,46.459999,47.209999,45.18,47.049999,2565600,46.740324
2016-03-14,46.830002,47.080002,46.639999,46.939999,1458200,46.631047
2016-03-11,47.25,47.349998,46.52,46.860001,2261800,46.551575
2016-03-10,47.00,47.130001,46.369999,46.990002,2712600,46.680721
2016-03-09,46.799999,47.09,46.459999,46.990002,2345600,46.680721
2016-03-08,46.279999,46.830002,45.549999,46.57,3459700,46.263483
2016-03-07,45.970001,46.860001,45.830002,46.32,2589400,46.015129
2016-03-04,45.990002,46.610001,44.709999,46.220001,4029800,45.915788
2016-03-03,46.439999,47.16,46.150002,47.00,2296100,46.690653
2016-03-02,46.700001,46.900002,46.02,46.50,3293900,46.193944
2016-03-01,45.740002,47.029999,45.459999,46.700001,4523300,46.392629
2016-02-29,45.25,45.700001,45.080002,45.290001,3909300,44.991909
2016-02-26,45.240002,45.50,44.900002,45.220001,2169100,44.92237
2016-02-25,44.66,45.07,44.02,45.07,1769500,44.773356
2016-02-24,44.16,44.740002,43.43,44.50,2272600,44.207108
2016-02-23,44.950001,45.400002,44.459999,44.540001,2215200,44.246846
2016-02-22,45.049999,45.650002,44.91,45.360001,2302200,45.061448
2016-02-19,44.18,44.75,43.869999,44.650002,2456200,44.356122
2016-02-18,44.419998,45.110001,44.060001,44.560001,2294400,44.266714
2016-02-17,43.869999,44.939999,43.759998,44.419998,3275800,44.127633
2016-02-16,43.759998,43.82,43.049999,43.68,2598700,43.392505
2016-02-12,42.560001,43.09,41.900002,43.040001,2164000,42.756718
2016-02-11,42.110001,42.279999,40.959999,42.009998,4304500,41.733495
2016-02-10,43.77,43.93,42.099998,42.27,4370200,41.991786
2016-02-09,43.25,44.25,43.16,43.360001,5576600,43.074612
2016-02-08,42.919998,44.25,42.529999,43.66,6087500,43.372637
2016-02-05,43.290001,43.75,42.799999,43.259998,4895000,42.975268
2016-02-04,41.50,44.439999,41.50,43.529999,11213900,43.243491
2016-02-03,39.50,40.330002,38.48,39.630001,3901700,39.369163
2016-02-02,39.830002,40.00,38.98,39.130001,2880200,38.872454
2016-02-01,42.200001,42.599998,39.50,40.439999,4493300,40.173829
2016-01-29,39.48,40.560001,39.279999,40.560001,3932200,40.293042
