Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,19.110001,19.290001,18.93,19.24,22400,19.24
2016-06-09,19.23,19.41,19.23,19.379999,20300,19.379999
2016-06-08,19.450001,19.559999,19.42,19.50,32400,19.50
2016-06-07,19.540001,19.639999,19.42,19.459999,16600,19.459999
2016-06-06,19.40,19.65,19.309999,19.50,51000,19.50
2016-06-03,19.42,19.440001,19.129999,19.42,15100,19.42
2016-06-02,19.51,19.59,19.42,19.530001,23900,19.530001
2016-06-01,19.65,19.67,19.469999,19.559999,36200,19.559999
2016-05-31,19.77,19.85,19.49,19.73,50200,19.73
2016-05-27,19.620001,19.889999,19.48,19.66,18500,19.66
2016-05-26,19.60,19.860001,19.60,19.709999,8900,19.709999
2016-05-25,19.92,19.98,19.790001,19.889999,17200,19.889999
2016-05-24,19.450001,20.00,19.450001,19.91,27200,19.91
2016-05-23,19.34,19.42,19.120001,19.280001,16600,19.280001
2016-05-20,19.17,19.43,19.17,19.360001,20200,19.360001
2016-05-19,19.10,19.23,18.83,19.059999,37700,19.059999
2016-05-18,18.75,19.309999,18.75,19.309999,24200,19.309999
2016-05-17,19.32,19.440001,18.610001,18.77,36300,18.77
2016-05-16,19.17,19.60,19.07,19.459999,39200,19.459999
2016-05-13,19.24,19.469999,19.08,19.10,36800,19.10
2016-05-12,19.90,19.90,19.49,19.49,46900,19.49
2016-05-11,19.780001,20.00,19.559999,19.860001,52800,19.860001
2016-05-10,20.18,20.440001,20.08,20.17,23900,20.17
2016-05-09,20.030001,20.389999,19.99,20.09,25100,20.09
2016-05-06,20.08,20.190001,19.860001,20.08,20100,20.08
2016-05-05,20.15,20.25,19.91,20.07,29200,20.07
2016-05-04,20.00,20.280001,19.91,20.059999,27000,20.059999
2016-05-03,20.35,21.940001,19.92,20.16,27100,20.16
2016-05-02,20.40,20.74,20.25,20.50,38900,20.50
2016-04-29,20.41,20.58,20.370001,20.40,50100,20.40
2016-04-28,20.709999,21.040001,20.309999,20.360001,52400,20.360001
2016-04-27,20.690001,20.690001,20.120001,20.58,45000,20.58
2016-04-26,20.139999,20.75,19.82,20.549999,48400,20.549999
2016-04-25,20.370001,20.370001,19.85,20.059999,43200,20.059999
2016-04-22,20.10,20.49,20.10,20.41,41000,20.41
2016-04-21,20.26,20.34,20.040001,20.15,38800,20.15
2016-04-20,19.92,20.530001,19.92,20.290001,48200,20.290001
2016-04-19,19.709999,20.02,19.709999,19.959999,31100,19.959999
2016-04-18,19.60,19.799999,19.60,19.690001,39200,19.690001
2016-04-15,19.43,19.76,19.43,19.76,57600,19.76
2016-04-14,19.370001,19.68,19.35,19.52,48400,19.52
2016-04-13,19.42,19.50,19.299999,19.40,60000,19.40
2016-04-12,18.92,19.469999,18.889999,19.360001,46700,19.360001
2016-04-11,18.67,19.02,18.450001,18.950001,438100,18.950001
2016-04-08,18.469999,18.66,18.459999,18.65,379100,18.65
2016-04-07,18.67,18.67,18.24,18.389999,494800,18.389999
2016-04-06,18.68,18.74,18.639999,18.690001,188100,18.690001
2016-04-05,18.65,18.75,18.639999,18.639999,28400,18.639999
2016-04-04,18.790001,18.82,18.65,18.67,97000,18.67
2016-04-01,18.719999,18.860001,18.700001,18.83,60100,18.83
2016-03-31,19.280001,19.280001,18.84,18.85,88000,18.85
2016-03-30,19.09,19.110001,18.860001,19.00,21200,19.00
