Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,18.52,18.52,17.950001,18.18,31300,18.18
2016-06-09,18.610001,18.799999,18.15,18.73,30300,18.73
2016-06-08,18.93,18.93,18.450001,18.690001,39400,18.690001
2016-06-07,18.530001,18.799999,18.379999,18.620001,26700,18.620001
2016-06-06,19.15,19.15,18.629999,18.629999,16500,18.629999
2016-06-03,18.83,19.120001,18.559999,19.049999,30600,19.049999
2016-06-02,19.15,19.16,18.799999,18.84,18500,18.84
2016-06-01,19.469999,19.469999,18.889999,19.139999,23500,19.139999
2016-05-31,19.290001,19.43,18.99,19.219999,26200,19.219999
2016-05-27,19.18,19.549999,19.139999,19.440001,23300,19.440001
2016-05-26,19.02,19.34,18.50,19.200001,18200,19.200001
2016-05-25,19.17,19.27,18.60,18.90,49900,18.90
2016-05-24,20.10,20.450001,19.24,19.25,79700,19.25
2016-05-23,19.98,20.48,19.940001,20.190001,34400,20.190001
2016-05-20,19.950001,20.200001,19.74,19.82,18100,19.82
2016-05-19,19.809999,20.17,19.58,19.870001,30200,19.870001
2016-05-18,20.049999,20.40,19.809999,20.02,22000,20.02
2016-05-17,19.809999,20.059999,19.709999,19.969999,18800,19.969999
2016-05-16,19.67,20.049999,19.65,19.65,22100,19.65
2016-05-13,19.57,19.950001,19.42,19.700001,27600,19.700001
2016-05-12,19.67,20.02,19.549999,19.66,33100,19.66
2016-05-11,19.42,20.02,19.200001,19.74,31100,19.74
2016-05-10,19.25,19.559999,19.200001,19.34,18100,19.34
2016-05-09,19.00,19.35,19.00,19.16,21300,19.16
2016-05-06,18.58,19.15,16.34,19.00,13100,19.00
2016-05-05,18.799999,18.799999,18.42,18.620001,28600,18.620001
2016-05-04,18.99,19.00,18.73,18.950001,18400,18.750001
2016-05-03,18.48,19.08,18.09,19.049999,30700,18.848944
2016-05-02,18.48,18.75,18.42,18.67,14900,18.472955
2016-04-29,18.40,18.549999,18.32,18.50,16700,18.30475
2016-04-28,18.34,18.50,18.17,18.389999,19000,18.19591
2016-04-27,17.76,18.450001,17.700001,18.370001,31900,18.176122
2016-04-26,18.59,18.59,18.110001,18.299999,22900,18.10686
2016-04-25,18.59,19.219999,18.43,18.49,16500,18.294855
2016-04-22,18.90,19.10,18.85,18.889999,7900,18.690633
2016-04-21,18.75,18.860001,18.52,18.84,7700,18.641161
2016-04-20,18.24,18.790001,18.24,18.65,5700,18.453166
2016-04-19,18.40,18.459999,18.110001,18.299999,10300,18.10686
2016-04-18,18.01,18.48,18.01,18.34,11000,18.146438
2016-04-15,18.58,18.58,18.02,18.129999,17500,17.938654
2016-04-14,18.65,18.67,17.879999,18.32,21600,18.126649
2016-04-13,18.790001,19.049999,18.450001,18.790001,28100,18.59169
2016-04-12,18.48,18.75,18.290001,18.700001,15600,18.50264
2016-04-11,18.540001,18.690001,18.200001,18.620001,18100,18.423484
2016-04-08,18.719999,18.99,17.99,18.440001,18000,18.245383
2016-04-07,18.059999,18.73,17.719999,18.59,18400,18.3938
2016-04-06,18.07,18.50,17.99,18.24,22400,18.047493
2016-04-05,17.77,18.18,17.00,17.969999,13500,17.780343
2016-04-04,17.700001,18.25,17.52,17.879999,36200,17.691292
2016-04-01,18.07,18.139999,17.879999,17.93,14500,17.740766
2016-03-31,17.84,18.24,17.360001,18.09,26500,17.899077
2016-03-30,17.99,18.379999,17.99,18.139999,18800,17.948548
2016-03-29,17.950001,18.389999,17.82,17.969999,16200,17.780343
2016-03-28,17.860001,18.030001,17.68,17.959999,28100,17.770448
2016-03-24,17.90,18.00,17.67,17.879999,17100,17.691292
2016-03-23,17.98,18.190001,17.969999,17.969999,9900,17.780343
2016-03-22,17.950001,18.25,17.110001,18.139999,12200,17.948548
2016-03-21,18.00,18.27,17.209999,18.18,27700,17.988127
