Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,14.80,14.80,14.80,14.80,000,14.80
2016-06-09,15.10,15.10,14.80,14.80,4100,14.80
2016-06-08,14.80,14.80,14.80,14.80,000,14.80
2016-06-07,14.80,14.80,14.80,14.80,000,14.80
2016-06-06,14.80,14.80,14.80,14.80,000,14.80
2016-06-03,14.80,14.80,14.80,14.80,000,14.80
2016-06-02,15.10,15.10,14.80,14.80,400,14.80
2016-06-01,14.75,14.75,14.75,14.75,000,14.75
2016-05-31,14.75,14.75,14.75,14.75,000,14.75
2016-05-27,14.75,14.75,14.75,14.75,1300,14.75
2016-05-26,14.99,14.99,14.99,14.99,000,14.99
2016-05-25,14.99,14.99,14.99,14.99,000,14.99
2016-05-24,14.99,14.99,14.99,14.99,200,14.99
2016-05-23,14.99,14.99,14.99,14.99,200,14.99
2016-05-20,14.75,15.00,14.75,15.00,700,15.00
2016-05-19,14.75,14.75,14.75,14.75,000,14.75
2016-05-18,14.75,14.75,14.75,14.75,000,14.75
2016-05-17,14.75,14.75,14.75,14.75,300,14.75
2016-05-16,14.82,14.82,14.82,14.82,000,14.82
2016-05-13,14.82,14.82,14.82,14.82,000,14.82
2016-05-12,14.89,14.89,14.82,14.82,700,14.82
2016-05-11,15.00,15.00,15.00,15.00,000,15.00
2016-05-10,15.00,15.00,15.00,15.00,100,15.00
2016-05-09,15.03,15.03,15.03,15.03,000,15.03
2016-05-06,15.03,15.03,15.03,15.03,000,15.03
2016-05-05,15.03,15.03,15.03,15.03,000,15.03
2016-05-04,15.20,15.20,14.82,15.03,2900,15.03
2016-05-03,15.14,15.14,15.14,15.14,000,15.14
2016-05-02,15.20,15.49,15.14,15.14,1600,15.14
2016-04-29,15.20,15.20,15.20,15.20,300,15.20
2016-04-28,15.22,15.22,15.22,15.22,000,15.22
2016-04-27,15.22,15.22,15.22,15.22,300,15.22
2016-04-26,15.24,15.24,15.24,15.24,000,15.24
2016-04-25,15.24,15.24,15.24,15.24,000,15.24
2016-04-22,15.24,15.24,15.24,15.24,000,15.24
2016-04-21,15.27,15.27,15.24,15.24,1800,15.24
2016-04-20,15.24,15.24,15.24,15.24,300,15.24
2016-04-19,15.27,15.27,15.27,15.27,000,15.27
2016-04-18,15.27,15.27,15.27,15.27,100,15.27
2016-04-15,15.30,15.30,15.30,15.30,100,15.30
2016-04-14,15.27,15.27,15.27,15.27,000,15.27
2016-04-13,15.27,15.27,15.27,15.27,000,15.27
2016-04-12,15.27,15.27,15.27,15.27,200,15.27
2016-04-11,15.20,15.20,15.20,15.20,000,15.20
2016-04-08,15.20,15.20,15.20,15.20,000,15.20
2016-04-07,15.20,15.20,15.20,15.20,000,15.20
2016-04-06,15.20,15.20,15.20,15.20,000,15.20
2016-04-05,14.89,15.25,14.89,15.20,1500,15.20
2016-04-04,15.75,15.75,14.86,14.86,200,14.86
2016-04-01,15.65,15.70,15.55,15.70,3500,15.70
2016-03-31,15.07,15.07,15.07,15.07,300,15.07
2016-03-30,15.65,15.65,15.65,15.65,000,15.65
2016-03-29,15.65,15.65,15.65,15.65,400,15.65
2016-03-28,15.24,15.24,15.20,15.20,1200,15.20
2016-03-24,15.20,15.20,15.16,15.16,500,15.16
2016-03-23,14.96,14.96,14.96,14.96,000,14.96
2016-03-22,14.96,14.96,14.96,14.96,200,14.96
2016-03-21,15.00,15.00,15.00,15.00,000,15.00
2016-03-18,15.28,15.28,15.28,15.28,000,15.28
2016-03-17,15.28,15.28,15.28,15.28,100,15.28
2016-03-16,15.39,15.39,15.39,15.39,000,15.39
2016-03-15,15.50,15.50,15.39,15.39,400,15.39
2016-03-14,15.54,15.54,15.54,15.54,000,15.54
2016-03-11,15.72,15.72,15.54,15.54,1100,15.54
2016-03-10,15.86,15.86,15.86,15.86,000,15.86
2016-03-09,15.86,15.86,15.86,15.86,000,15.86
2016-03-08,15.86,15.86,15.86,15.86,000,15.74
2016-03-07,15.86,15.86,15.86,15.86,000,15.74
2016-03-04,15.86,15.86,15.86,15.86,500,15.74
2016-03-03,14.54,15.96,14.54,15.54,900,15.422421
2016-03-02,15.00,15.75,14.99,15.75,8200,15.630832
2016-03-01,14.83,15.00,14.83,15.00,1800,14.886507
2016-02-29,15.00,15.00,15.00,15.00,000,14.886507
2016-02-26,14.74,15.00,14.50,15.00,4100,14.886507
2016-02-25,14.45,14.52,14.42,14.52,1300,14.410139
2016-02-24,14.71,14.71,14.71,14.71,000,14.598701
2016-02-23,14.75,14.78,14.71,14.71,1000,14.598701
2016-02-22,15.00,15.00,15.00,15.00,000,14.886507
2016-02-19,14.75,15.00,14.75,15.00,1100,14.886507
2016-02-18,14.44,14.44,14.41,14.41,300,14.300971
2016-02-17,14.98,14.98,14.98,14.98,200,14.866658
2016-02-16,14.50,15.00,14.38,14.63,4500,14.519306
2016-02-12,14.38,14.42,14.38,14.42,800,14.310895
2016-02-11,14.83,14.83,14.83,14.83,300,14.717793
2016-02-10,15.35,15.35,14.84,14.84,6000,14.727718
2016-02-09,15.35,15.35,15.35,15.35,800,15.233859
2016-02-08,15.44,15.47,15.44,15.47,1300,15.352951
2016-02-05,15.37,15.37,15.37,15.37,000,15.253707
2016-02-04,15.37,15.37,15.35,15.37,3600,15.253707
2016-02-03,15.54,15.54,15.54,15.54,500,15.422421
2016-02-02,15.50,15.53,15.50,15.53,600,15.412496
2016-02-01,15.50,15.50,15.50,15.50,800,15.382724
2016-01-29,15.49,15.50,15.49,15.50,1500,15.382724
2016-01-28,15.34,15.34,15.34,15.34,200,15.223934
2016-01-27,15.34,15.34,15.34,15.34,000,15.223934
2016-01-26,15.34,15.34,15.34,15.34,000,15.223934
2016-01-25,15.34,15.34,15.34,15.34,000,15.223934
2016-01-22,15.34,15.34,15.34,15.34,500,15.223934
2016-01-21,15.54,15.54,15.54,15.54,100,15.422421
2016-01-20,15.40,15.40,15.06,15.20,6200,15.084993
2016-01-19,15.40,15.40,15.40,15.40,000,15.28348
2016-01-15,15.65,15.65,15.40,15.40,1100,15.28348
2016-01-14,15.55,15.55,15.55,15.55,000,15.432346
2016-01-13,15.40,15.55,15.40,15.55,1000,15.432346
2016-01-12,15.41,15.41,15.41,15.41,000,15.293404
2016-01-11,15.41,15.41,15.41,15.41,500,15.293404
2016-01-08,15.50,15.50,15.50,15.50,000,15.382724
2016-01-07,15.65,15.65,15.50,15.50,2200,15.382724
2016-01-06,15.65,15.65,15.51,15.51,400,15.392648
2016-01-05,15.68,15.68,15.68,15.68,200,15.561362
2016-01-04,15.94,15.94,15.93,15.93,2000,15.809471
2015-12-31,15.25,15.25,15.06,15.25,4900,15.134615
2015-12-30,15.06,15.06,15.06,15.06,1100,14.946053
2015-12-29,15.25,15.25,15.25,15.25,300,15.134615
2015-12-28,15.30,15.30,15.16,15.16,1100,15.045296
2015-12-24,15.39,15.40,15.25,15.25,4500,15.134615
2015-12-23,15.30,15.30,15.30,15.30,100,15.184237
2015-12-22,15.16,15.16,15.16,15.16,000,15.045296
2015-12-21,15.16,15.16,15.16,15.16,200,15.045296
2015-12-18,15.37,15.50,15.37,15.50,600,15.382724
2015-12-17,15.00,15.00,15.00,15.00,1100,14.886507
2015-12-16,15.00,15.00,15.00,15.00,000,14.886507
2015-12-15,15.00,15.00,15.00,15.00,1600,14.886507
2015-12-14,15.00,15.00,15.00,15.00,000,14.886507
2015-12-11,15.00,15.00,15.00,15.00,300,14.886507
2015-12-10,14.96,14.96,14.96,14.96,000,14.846809
2015-12-09,14.85,14.96,14.85,14.96,500,14.727718
2015-12-08,14.84,14.84,14.84,14.84,000,14.609581
2015-12-07,14.85,14.85,14.84,14.84,2000,14.609581
2015-12-04,14.98,14.98,14.98,14.98,000,14.747407
2015-12-03,14.98,14.98,14.98,14.98,000,14.747407
2015-12-02,14.98,14.98,14.98,14.98,100,14.747407
2015-12-01,14.98,15.00,14.98,15.00,200,14.767097
2015-11-30,15.14,15.14,15.14,15.14,000,14.904923
2015-11-27,15.14,15.14,15.14,15.14,200,14.904923
2015-11-25,15.20,15.20,15.20,15.20,200,14.963991
2015-11-24,15.71,15.71,15.71,15.71,000,15.466073
2015-11-23,15.71,15.71,15.71,15.71,200,15.466073
2015-11-20,15.71,15.71,15.71,15.71,000,15.466073
2015-11-19,15.71,15.71,15.71,15.71,200,15.466073
2015-11-18,14.69,14.69,14.69,14.69,000,14.46191
2015-11-17,14.69,14.69,14.69,14.69,000,14.46191
2015-11-16,14.69,14.69,14.69,14.69,000,14.46191
2015-11-13,14.69,14.69,14.69,14.69,000,14.46191
2015-11-12,14.69,14.69,14.69,14.69,000,14.46191
2015-11-11,14.69,14.69,14.69,14.69,000,14.46191
2015-11-10,15.20,15.20,14.69,14.69,300,14.46191
2015-11-09,15.00,15.00,15.00,15.00,000,14.767097
2015-11-06,15.00,15.00,15.00,15.00,000,14.767097
2015-11-05,15.00,15.00,15.00,15.00,000,14.767097
