Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,31.59,32.41,31.389999,31.59,12400,31.59
2016-06-09,31.40,31.52,31.40,31.52,500,31.52
2016-06-08,31.299999,31.360001,31.299999,31.309999,900,31.309999
2016-06-07,31.309999,31.34,31.299999,31.299999,11900,31.299999
2016-06-06,31.200001,31.84,31.200001,31.290001,1800,31.290001
2016-06-03,31.200001,31.40,31.200001,31.32,1700,31.32
2016-06-02,32.349998,32.349998,31.32,31.32,400,31.32
2016-06-01,32.75,32.75,31.24,31.24,3000,31.24
2016-05-31,31.790001,31.790001,31.280001,31.549999,1000,31.549999
2016-05-27,31.690001,31.690001,31.690001,31.690001,000,31.690001
2016-05-26,31.110001,31.690001,31.110001,31.690001,300,31.690001
2016-05-25,31.440001,31.440001,31.440001,31.440001,500,31.440001
2016-05-24,31.00,31.00,31.00,31.00,000,31.00
2016-05-23,31.00,31.00,31.00,31.00,000,31.00
2016-05-20,31.00,31.00,31.00,31.00,000,31.00
2016-05-19,31.00,31.00,31.00,31.00,000,31.00
2016-05-18,30.219999,31.110001,29.35,31.00,1800,31.00
2016-05-17,30.15,32.990002,30.15,31.110001,800,31.110001
2016-05-16,33.330002,33.50,33.330002,33.50,400,33.50
2016-05-13,31.50,34.32,31.50,34.310001,1600,34.310001
2016-05-12,30.52,31.50,30.52,31.50,600,31.50
2016-05-11,30.530001,30.530001,30.50,30.52,400,30.52
2016-05-10,30.540001,30.540001,30.540001,30.540001,300,30.540001
2016-05-09,30.00,30.700001,29.99,30.700001,3700,30.700001
2016-05-06,29.50,29.99,29.50,29.98,4800,29.98
2016-05-05,29.049999,29.049999,29.049999,29.049999,000,29.049999
2016-05-04,29.049999,29.049999,29.049999,29.049999,000,29.049999
2016-05-03,29.049999,29.049999,29.049999,29.049999,000,29.049999
2016-05-02,30.540001,30.540001,29.049999,29.049999,2400,29.049999
2016-04-29,28.959999,29.00,28.780001,28.799999,1600,28.799999
2016-04-28,29.42,29.42,28.60,28.60,3700,28.60
2016-04-27,31.799999,31.940001,31.799999,31.940001,500,31.940001
2016-04-26,31.57,31.57,31.57,31.57,300,31.57
2016-04-25,30.17,34.59,28.99,34.59,3000,34.59
2016-04-22,28.42,31.370001,28.42,31.370001,3400,31.370001
2016-04-21,28.67,28.90,28.50,28.719999,1700,28.719999
2016-04-20,27.790001,27.969999,27.790001,27.969999,400,27.969999
2016-04-19,28.620001,28.620001,28.620001,28.620001,000,28.620001
2016-04-18,27.75,29.50,27.75,28.620001,600,28.620001
2016-04-15,29.75,29.75,29.75,29.75,1000,29.75
2016-04-14,29.25,29.360001,29.25,29.360001,1500,29.360001
2016-04-13,29.25,29.26,29.25,29.25,2700,29.25
2016-04-12,29.25,29.25,29.049999,29.049999,400,29.049999
2016-04-11,28.700001,29.02,28.700001,29.00,2500,29.00
2016-04-08,27.42,29.10,27.42,29.10,19300,29.10
2016-04-07,28.67,28.67,28.67,28.67,000,28.67
2016-04-06,28.459999,28.67,28.459999,28.67,800,28.67
2016-04-05,28.75,28.75,27.209999,28.68,600,28.68
2016-04-04,28.74,28.74,28.74,28.74,900,28.74
2016-04-01,28.74,28.74,28.74,28.74,800,28.74
2016-03-31,27.26,28.620001,27.01,27.50,1800,27.50
2016-03-30,28.00,28.559999,28.00,28.559999,1100,28.559999
2016-03-29,27.67,27.67,27.01,27.01,300,27.01
2016-03-28,26.99,26.99,26.99,26.99,200,26.99
2016-03-24,26.809999,27.280001,26.799999,26.799999,600,26.799999
2016-03-23,27.00,27.00,26.540001,26.65,1000,26.65
2016-03-22,27.51,27.51,27.51,27.51,000,27.51
2016-03-21,28.00,28.00,27.51,27.51,400,27.51
2016-03-18,26.52,26.52,26.52,26.52,200,26.52
2016-03-17,28.290001,28.290001,28.290001,28.290001,000,28.290001
2016-03-16,28.60,28.75,28.24,28.290001,2200,28.290001
2016-03-15,27.93,27.93,27.93,27.93,000,27.93
2016-03-14,27.93,27.93,27.93,27.93,000,27.93
2016-03-11,26.469999,27.93,26.469999,27.93,400,27.720001
2016-03-10,27.75,28.50,26.52,28.50,1300,28.285715
2016-03-09,26.00,28.74,26.00,28.35,10200,28.136843
2016-03-08,26.08,26.08,26.08,26.08,000,25.88391
2016-03-07,26.00,26.08,26.00,26.08,400,25.88391
2016-03-04,26.25,26.25,26.25,26.25,700,26.052632
2016-03-03,26.25,26.25,26.25,26.25,300,26.052632
2016-03-02,26.50,26.50,26.50,26.50,000,26.300753
2016-03-01,26.50,26.50,26.50,26.50,000,26.300753
2016-02-29,26.50,26.50,26.50,26.50,000,26.300753
2016-02-26,26.50,26.50,26.50,26.50,000,26.300753
2016-02-25,26.50,26.50,26.50,26.50,000,26.300753
2016-02-24,26.50,26.50,26.50,26.50,000,26.300753
2016-02-23,26.50,26.50,26.50,26.50,100,26.300753
2016-02-22,26.76,26.76,26.76,26.76,200,26.558798
2016-02-19,25.959999,25.959999,25.959999,25.959999,400,25.764812
2016-02-18,26.299999,27.50,26.299999,27.50,2000,27.293234
2016-02-17,25.450001,25.450001,25.450001,25.450001,200,25.258648
2016-02-16,25.110001,25.110001,25.02,25.02,400,24.831881
2016-02-12,25.02,25.02,25.02,25.02,300,24.831881
2016-02-11,25.00,25.00,24.50,24.99,1400,24.802106
2016-02-10,24.50,24.50,24.50,24.50,000,24.31579
2016-02-09,24.50,24.50,24.50,24.50,500,24.31579
2016-02-08,25.00,25.00,24.51,24.51,1600,24.325715
2016-02-05,25.00,25.00,25.00,25.00,400,24.812031
2016-02-04,24.50,24.50,24.50,24.50,000,24.31579
2016-02-03,24.50,24.50,24.50,24.50,600,24.31579
2016-02-02,24.50,24.50,24.50,24.50,000,24.31579
2016-02-01,24.50,24.50,24.50,24.50,600,24.31579
2016-01-29,24.98,24.98,24.23,24.23,600,24.04782
2016-01-28,24.719999,24.719999,24.719999,24.719999,200,24.534135
