Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,33.310001,33.310001,32.360001,32.669998,234500,32.669998
2016-06-09,34.330002,34.330002,33.990002,33.990002,183800,33.990002
2016-06-08,34.709999,34.990002,34.299999,34.509998,126000,34.509998
2016-06-07,34.790001,34.790001,33.810001,34.59,121700,34.59
2016-06-06,34.09,34.759998,33.970001,34.709999,207700,34.709999
2016-06-03,33.669998,34.029999,33.029999,34.00,190900,34.00
2016-06-02,33.560001,33.700001,33.029999,33.630001,131700,33.630001
2016-06-01,33.27,33.75,32.790001,33.669998,133700,33.669998
2016-05-31,32.970001,33.560001,32.919998,33.380001,120000,33.380001
2016-05-27,32.950001,33.220001,32.57,33.009998,111400,33.009998
2016-05-26,33.279999,33.52,32.880001,32.91,129600,32.91
2016-05-25,32.900002,33.310001,32.73,33.099998,90000,33.099998
2016-05-24,31.73,33.029999,31.73,32.75,148700,32.75
2016-05-23,31.93,32.110001,31.51,31.59,103900,31.59
2016-05-20,31.49,32.34,31.469999,31.85,100200,31.85
2016-05-19,31.950001,32.139999,30.860001,31.15,90300,31.15
2016-05-18,31.24,31.90,30.940001,31.879999,142200,31.879999
2016-05-17,32.220001,32.459999,31.33,31.540001,137500,31.540001
2016-05-16,31.90,32.41,31.90,32.23,84400,32.23
2016-05-13,32.52,32.580002,31.790001,31.809999,68000,31.809999
2016-05-12,32.639999,33.119999,32.490002,32.73,113600,32.73
2016-05-11,32.52,32.84,32.290001,32.580002,80600,32.580002
2016-05-10,32.52,32.669998,32.09,32.619999,93600,32.619999
2016-05-09,32.349998,32.580002,32.09,32.360001,92000,32.360001
2016-05-06,31.91,32.419998,31.870001,32.419998,157200,32.419998
2016-05-05,32.50,32.68,32.130001,32.150002,160400,32.150002
2016-05-04,32.419998,32.689999,32.060001,32.400002,204800,32.400002
2016-05-03,33.00,33.790001,32.349998,32.529999,248300,32.529999
2016-05-02,31.700001,32.830002,30.709999,32.779999,209800,32.679999
2016-04-29,31.84,31.940001,31.440001,31.59,125600,31.493631
2016-04-28,32.290001,32.52,31.74,31.799999,91200,31.702989
2016-04-27,32.650002,32.759998,32.119999,32.439999,94300,32.341036
2016-04-26,32.259998,32.66,31.93,32.66,280600,32.560366
2016-04-25,32.790001,32.849998,32.029999,32.049999,161100,31.952227
2016-04-22,32.84,33.330002,32.59,32.950001,158700,32.849483
2016-04-21,32.799999,33.150002,32.709999,32.779999,189600,32.679999
2016-04-20,33.240002,33.52,32.689999,32.759998,134100,32.66006
2016-04-19,32.790001,33.360001,32.73,33.259998,97200,33.158535
2016-04-18,33.369999,33.41,32.259998,32.59,163000,32.49058
2016-04-15,32.650002,33.580002,32.650002,33.400002,158400,33.298111
2016-04-14,32.59,32.900002,32.110001,32.790001,152500,32.689971
2016-04-13,31.120001,32.709999,31.120001,32.560001,228400,32.460673
2016-04-12,30.790001,31.18,30.68,31.00,186700,30.905431
2016-04-11,31.10,31.43,30.59,30.700001,94400,30.606347
2016-04-08,30.91,31.139999,30.52,30.870001,130500,30.775828
2016-04-07,30.73,30.73,30.190001,30.58,130000,30.486712
2016-04-06,30.77,30.950001,30.33,30.889999,126700,30.795766
2016-04-05,31.18,31.18,30.780001,30.809999,145900,30.71601
2016-04-04,32.00,32.50,31.280001,31.379999,171600,31.284271
2016-04-01,31.799999,32.029999,31.24,31.940001,228800,31.842564
