Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,33.34,33.82,33.16,33.650002,251900,33.650002
2016-06-09,34.009998,34.009998,33.23,33.799999,168800,33.799999
2016-06-08,34.009998,34.50,33.939999,34.360001,194100,34.360001
2016-06-07,33.889999,34.259998,33.580002,34.040001,279900,34.040001
2016-06-06,33.349998,34.080002,33.240002,33.970001,187500,33.970001
2016-06-03,33.369999,33.369999,32.209999,33.259998,142900,33.259998
2016-06-02,33.639999,33.849998,33.25,33.810001,141200,33.810001
2016-06-01,33.310001,33.82,33.150002,33.720001,167800,33.720001
2016-05-31,33.580002,33.599998,33.130001,33.509998,208600,33.509998
2016-05-27,33.189999,33.400002,32.91,33.400002,162500,33.400002
2016-05-26,33.450001,33.549999,33.049999,33.130001,90200,33.130001
2016-05-25,33.419998,33.900002,33.290001,33.470001,223900,33.470001
2016-05-24,32.560001,33.490002,32.560001,33.32,162300,33.32
2016-05-23,32.509998,32.68,31.99,32.389999,137600,32.389999
2016-05-20,32.16,32.669998,32.16,32.580002,135100,32.580002
2016-05-19,32.369999,33.00,31.610001,31.93,95000,31.93
2016-05-18,30.99,32.669998,30.99,32.549999,140100,32.549999
2016-05-17,31.200001,31.690001,30.639999,31.030001,219400,31.030001
2016-05-16,30.84,31.559999,30.540001,31.25,111700,31.25
2016-05-13,31.27,31.639999,30.58,30.719999,155800,30.719999
2016-05-12,31.370001,31.809999,31.030001,31.33,96300,31.33
2016-05-11,31.440001,31.83,31.33,31.370001,69700,31.370001
2016-05-10,31.23,31.860001,30.940001,31.549999,81500,31.549999
2016-05-09,30.91,31.24,30.530001,30.99,81700,30.99
2016-05-06,30.639999,31.07,30.549999,31.02,213600,31.02
2016-05-05,31.450001,31.620001,30.780001,30.870001,139200,30.870001
2016-05-04,31.50,31.809999,30.719999,31.23,210900,31.23
2016-05-03,32.299999,32.549999,31.48,31.610001,118400,31.610001
2016-05-02,32.610001,32.93,32.389999,32.669998,151900,32.669998
2016-04-29,32.110001,32.740002,31.92,32.380001,142700,32.380001
2016-04-28,32.48,32.880001,31.73,32.330002,125700,32.330002
2016-04-27,32.650002,32.990002,32.459999,32.810001,143600,32.810001
2016-04-26,31.889999,32.700001,31.540001,32.66,166600,32.66
2016-04-25,31.84,31.84,31.24,31.709999,145200,31.709999
2016-04-22,31.959999,32.41,31.200001,31.91,282000,31.91
2016-04-21,32.080002,32.490002,31.99,32.09,227600,32.09
2016-04-20,31.620001,32.349998,31.50,32.02,215700,32.02
2016-04-19,31.190001,31.75,31.01,31.59,111500,31.59
2016-04-18,30.60,31.25,30.459999,31.110001,121900,31.110001
2016-04-15,30.860001,31.459999,29.48,30.889999,143400,30.889999
2016-04-14,30.540001,31.469999,30.34,31.040001,116100,31.040001
2016-04-13,29.74,30.719999,29.48,30.719999,235400,30.719999
2016-04-12,28.870001,29.48,28.67,29.469999,107800,29.469999
2016-04-11,28.440001,29.10,28.17,28.77,108700,28.77
2016-04-08,28.280001,28.60,28.01,28.23,118300,28.23
2016-04-07,28.950001,28.950001,27.719999,28.01,149500,28.01
2016-04-06,29.110001,29.440001,28.709999,29.27,152200,29.27
2016-04-05,29.200001,29.209999,28.799999,29.00,226000,29.00
2016-04-04,29.379999,29.60,28.93,29.48,164500,29.48
2016-04-01,29.299999,29.85,28.68,29.440001,138000,29.440001
2016-03-31,29.540001,29.98,29.27,29.58,152700,29.58
2016-03-30,29.60,29.93,29.440001,29.620001,109900,29.620001
2016-03-29,28.959999,29.59,28.610001,29.57,235300,29.57
2016-03-28,29.139999,29.309999,28.73,28.959999,110600,28.959999
2016-03-24,28.60,29.16,27.85,29.120001,173900,29.120001
2016-03-23,29.24,29.50,28.84,28.84,181700,28.84
2016-03-22,29.360001,29.549999,29.139999,29.370001,93900,29.370001
2016-03-21,29.49,29.65,29.27,29.450001,107900,29.450001
2016-03-18,29.360001,30.280001,29.219999,29.50,594700,29.50
2016-03-17,28.110001,29.129999,27.67,29.110001,293200,29.110001
2016-03-16,28.32,28.75,27.82,28.10,130100,28.10
2016-03-15,28.540001,28.76,28.32,28.34,134500,28.34
2016-03-14,29.02,29.02,28.34,28.629999,110100,28.629999
2016-03-11,28.690001,29.280001,28.639999,29.23,108700,29.069999
2016-03-10,28.209999,28.549999,27.790001,28.440001,116300,28.284324
2016-03-09,28.66,28.74,28.059999,28.139999,95800,27.985965
2016-03-08,29.09,29.18,28.49,28.549999,143000,28.393721
2016-03-07,28.690001,29.389999,28.66,29.379999,165100,29.219177
2016-03-04,28.83,29.18,28.57,28.91,159500,28.751751
2016-03-03,27.719999,28.709999,27.610001,28.690001,215900,28.532956
2016-03-02,27.629999,27.91,27.35,27.82,187000,27.667717
2016-03-01,26.459999,27.780001,26.459999,27.620001,163700,27.468813
2016-02-29,27.459999,27.610001,26.33,26.41,279500,26.265435
2016-02-26,26.610001,27.139999,26.17,26.879999,128500,26.732862
2016-02-25,26.459999,26.65,26.049999,26.450001,123500,26.305217
2016-02-24,25.950001,26.48,25.049999,26.34,290400,26.195819
2016-02-23,27.209999,27.450001,26.10,26.34,269000,26.195819
2016-02-22,27.42,27.65,27.33,27.389999,148400,27.240071
2016-02-19,26.84,27.43,26.76,27.059999,199100,26.911877
2016-02-18,27.219999,27.469999,26.610001,26.91,184100,26.762698
