Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,30.469999,30.93,30.16,30.48,32600,30.48
2016-06-09,30.90,30.950001,30.02,30.700001,27400,30.700001
2016-06-08,30.940001,31.26,30.52,30.98,26100,30.98
2016-06-07,30.950001,31.00,30.51,30.76,52600,30.76
2016-06-06,30.799999,31.469999,30.23,30.85,34800,30.85
2016-06-03,31.129999,31.17,30.450001,30.889999,18600,30.889999
2016-06-02,30.530001,31.280001,30.299999,31.25,39000,31.25
2016-06-01,29.950001,30.549999,29.73,30.540001,55400,30.540001
2016-05-31,30.690001,30.73,29.940001,30.09,256500,30.09
2016-05-27,30.07,30.719999,30.07,30.709999,59000,30.709999
2016-05-26,31.110001,31.110001,30.110001,30.42,31300,30.42
2016-05-25,30.700001,31.00,30.379999,30.950001,37300,30.950001
2016-05-24,30.110001,30.84,29.76,30.74,52500,30.74
2016-05-23,29.530001,30.34,28.91,30.040001,47600,30.040001
2016-05-20,29.35,29.780001,28.92,29.450001,38300,29.450001
2016-05-19,29.450001,29.469999,28.450001,29.16,31300,29.16
2016-05-18,28.32,29.57,28.32,29.540001,22100,29.540001
2016-05-17,29.52,29.57,28.200001,28.33,33300,28.33
2016-05-16,28.76,29.83,28.719999,29.700001,37300,29.700001
2016-05-13,29.35,29.41,28.549999,28.66,80200,28.66
2016-05-12,29.84,29.950001,29.02,29.200001,30300,29.200001
2016-05-11,29.57,30.00,29.370001,29.719999,68700,29.719999
2016-05-10,29.84,29.940001,29.209999,29.450001,38500,29.450001
2016-05-09,29.09,30.110001,29.09,29.690001,59800,29.690001
2016-05-06,28.889999,29.10,28.860001,29.02,125800,29.02
2016-05-05,29.09,29.23,28.65,28.879999,194400,28.879999
2016-05-04,30.120001,30.50,29.34,29.52,16600,29.52
2016-05-03,31.25,31.90,30.049999,30.049999,20100,30.049999
2016-05-02,30.00,31.629999,29.99,31.49,24600,31.49
2016-04-29,30.32,30.610001,30.299999,30.610001,9900,30.610001
2016-04-28,31.08,31.610001,30.059999,30.450001,55000,30.450001
2016-04-27,31.059999,31.370001,30.620001,31.280001,12700,31.280001
2016-04-26,31.00,31.879999,31.00,31.68,13800,31.68
2016-04-25,31.530001,31.530001,30.25,30.870001,10500,30.870001
2016-04-22,30.15,31.940001,30.129999,31.530001,23300,31.530001
2016-04-21,29.950001,30.469999,29.950001,30.09,42900,30.09
2016-04-20,29.76,30.00,29.620001,29.950001,13400,29.950001
2016-04-19,29.709999,29.82,29.559999,29.75,17400,29.75
2016-04-18,29.290001,29.75,29.290001,29.73,16700,29.73
2016-04-15,28.90,29.32,28.870001,29.25,17100,29.25
2016-04-14,29.110001,29.200001,28.959999,29.07,16100,29.07
2016-04-13,28.26,29.24,28.219999,29.139999,26500,29.139999
2016-04-12,28.059999,28.35,27.709999,28.17,16100,28.17
2016-04-11,28.049999,28.74,27.92,27.969999,11300,27.969999
2016-04-08,27.799999,28.09,27.57,28.02,22900,28.02
2016-04-07,27.41,27.75,27.379999,27.620001,21400,27.620001
2016-04-06,27.780001,27.93,27.190001,27.59,13200,27.59
2016-04-05,27.450001,27.75,27.09,27.700001,18800,27.700001
2016-04-04,28.57,28.620001,27.50,27.52,15700,27.52
2016-04-01,28.389999,28.83,27.91,28.42,26100,28.42
2016-03-31,28.00,28.700001,28.00,28.50,23700,28.50
2016-03-30,28.25,28.299999,27.98,28.01,33600,28.01
2016-03-29,27.83,28.299999,27.58,28.15,40000,28.15
2016-03-28,27.870001,28.10,27.549999,27.889999,27000,27.889999
2016-03-24,27.620001,27.809999,27.459999,27.52,9700,27.52
2016-03-23,28.00,28.129999,27.68,27.700001,8800,27.700001
2016-03-22,27.85,28.299999,27.799999,28.299999,20400,28.299999
2016-03-21,28.42,28.700001,27.559999,27.74,27700,27.74
2016-03-18,27.639999,28.799999,27.18,28.66,121500,28.66
2016-03-17,27.35,27.540001,26.639999,27.52,12800,27.52
2016-03-16,26.709999,27.18,26.299999,26.940001,13900,26.940001
2016-03-15,27.370001,27.370001,26.799999,26.90,14400,26.699999
2016-03-14,27.75,27.85,27.290001,27.35,8300,27.146654
2016-03-11,27.41,27.68,27.27,27.639999,15100,27.434497
2016-03-10,27.52,27.60,27.16,27.32,10000,27.116876
2016-03-09,27.780001,27.870001,27.290001,27.450001,7300,27.245911
2016-03-08,27.799999,28.049999,27.43,27.65,14700,27.444423
2016-03-07,27.83,28.049999,27.809999,28.049999,10600,27.841448
2016-03-04,28.02,28.02,27.27,27.950001,20100,27.742194
2016-03-03,27.76,28.049999,27.389999,28.049999,19300,27.841448
2016-03-02,27.83,28.07,27.67,27.83,13200,27.623085
2016-03-01,27.93,28.17,27.75,28.059999,11800,27.851374
2016-02-29,27.32,27.959999,27.09,27.84,20800,27.633011
2016-02-26,27.26,27.459999,27.00,27.450001,17800,27.245911
2016-02-25,26.49,27.02,26.35,26.90,11100,26.699999
2016-02-24,26.540001,26.629999,26.139999,26.35,14600,26.154089
2016-02-23,26.790001,27.48,26.629999,26.629999,20000,26.432006
2016-02-22,27.469999,28.049999,26.860001,27.09,31600,26.888587
2016-02-19,26.83,27.719999,26.83,27.07,18100,26.868735
2016-02-18,27.379999,27.379999,26.82,26.83,12100,26.63052
2016-02-17,27.459999,27.59,27.17,27.42,19700,27.216133
2016-02-16,27.700001,27.790001,27.219999,27.370001,22000,27.166506
2016-02-12,27.48,27.860001,27.23,27.49,19500,27.285613
2016-02-11,26.969999,27.25,26.540001,26.93,10900,26.729777
2016-02-10,28.00,28.40,27.35,27.51,32100,27.305464
2016-02-09,27.52,28.389999,26.58,27.82,15800,27.613159
2016-02-08,26.870001,27.700001,26.35,27.51,16300,27.305464
2016-02-05,27.620001,28.67,27.030001,27.030001,41700,26.829034
2016-02-04,28.17,28.67,27.50,27.639999,16600,27.434497
2016-02-03,27.799999,28.469999,26.870001,28.219999,16700,28.010185
2016-02-02,27.99,27.99,27.51,27.629999,9900,27.424571
2016-02-01,28.84,28.84,28.120001,28.15,26100,27.940705
2016-01-29,27.690001,29.030001,27.690001,29.030001,44100,28.814164
2016-01-28,27.790001,28.58,27.379999,27.73,21200,27.523828
2016-01-27,28.02,28.549999,27.43,27.469999,18700,27.265761
2016-01-26,27.33,28.18,27.139999,28.18,23400,27.970483
2016-01-25,27.73,29.25,27.030001,27.049999,26600,26.848883
2016-01-22,27.860001,28.15,27.09,27.780001,31000,27.573457
2016-01-21,28.440001,28.59,27.32,27.450001,36100,27.245911
2016-01-20,26.780001,29.10,26.639999,28.540001,41200,28.327807
2016-01-19,27.790001,27.790001,26.690001,27.26,26600,27.057323
2016-01-15,27.190001,28.110001,26.77,27.50,27300,27.295538
2016-01-14,27.459999,28.02,27.40,28.01,33300,27.801747
2016-01-13,27.969999,28.059999,26.84,27.209999,19800,27.007694
2016-01-12,29.10,29.24,27.84,28.48,26300,28.268252
2016-01-11,28.98,29.27,28.52,28.93,34900,28.714907
2016-01-08,29.450001,29.74,28.629999,28.629999,56100,28.417136
2016-01-07,29.040001,30.50,29.040001,29.139999,32700,28.923345
2016-01-06,28.700001,29.950001,26.67,29.530001,55400,29.310446
2016-01-05,29.43,29.76,28.42,29.059999,40300,28.843939
2016-01-04,29.42,29.610001,27.809999,29.200001,54300,28.9829
2015-12-31,31.10,31.370001,29.809999,30.00,22200,29.776951
2015-12-30,31.10,31.40,30.84,30.959999,16800,30.729813
2015-12-29,31.110001,31.49,30.41,31.15,19100,30.9184
2015-12-28,29.60,30.82,29.440001,30.41,18400,30.183903
2015-12-24,30.73,30.73,30.00,30.200001,8000,29.975465
2015-12-23,31.08,31.280001,30.59,30.799999,15100,30.372489
2015-12-22,30.530001,31.120001,29.809999,30.870001,36400,30.441519
2015-12-21,30.459999,31.559999,29.68,30.15,23200,29.731512
2015-12-18,30.76,31.92,29.889999,30.26,86600,29.839986
2015-12-17,31.25,31.309999,30.83,30.940001,13200,30.510547
2015-12-16,31.049999,31.25,30.75,30.950001,20200,30.520409
2015-12-15,29.870001,31.379999,29.870001,30.93,28600,30.500686
2015-12-14,29.030001,29.92,29.02,29.74,21700,29.327203
2015-12-11,29.67,29.90,28.690001,29.10,28300,28.696087
2015-12-10,29.75,30.83,29.75,30.139999,36900,29.72165
2015-12-09,29.65,30.41,29.43,29.84,37500,29.425815
2015-12-08,30.43,30.43,29.60,29.860001,21000,29.445538
2015-12-07,30.67,30.90,29.780001,30.129999,19400,29.711789
2015-12-04,30.450001,30.77,30.00,30.549999,24400,30.125959
2015-12-03,31.190001,31.309999,30.280001,30.280001,30100,29.859708
2015-12-02,31.379999,31.66,31.040001,31.18,23300,30.747216
2015-12-01,31.459999,31.700001,31.23,31.379999,30900,30.944439
2015-11-30,31.709999,31.799999,31.25,31.379999,20900,30.944439
2015-11-27,31.27,31.75,31.24,31.75,7500,31.309304
2015-11-25,31.360001,31.360001,31.02,31.24,23900,30.806383
2015-11-24,30.790001,31.459999,30.790001,31.41,14000,30.974023
2015-11-23,30.83,31.51,30.77,31.120001,32100,30.688049
2015-11-20,30.74,31.459999,30.620001,30.959999,24500,30.530268
2015-11-19,30.799999,30.969999,30.450001,30.639999,18800,30.21471
2015-11-18,30.23,30.75,30.030001,30.620001,26400,30.194989
2015-11-17,29.299999,30.25,29.299999,29.860001,56100,29.445538
2015-11-16,29.33,29.629999,29.25,29.52,36500,29.110257
2015-11-13,29.00,29.42,28.90,29.33,81800,28.922894
2015-11-12,28.92,29.33,28.799999,29.049999,57600,28.64678
2015-11-11,29.23,29.440001,28.93,29.18,27200,28.774976
2015-11-10,28.77,29.77,28.77,29.59,52300,29.179285
2015-11-09,28.99,29.389999,28.92,29.030001,32600,28.627059
2015-11-06,28.200001,29.190001,28.200001,29.129999,31400,28.725669
2015-11-05,28.02,28.389999,27.91,28.059999,19600,27.670521
2015-11-04,27.75,28.09,27.75,28.07,30000,27.680383
2015-11-03,27.75,27.82,27.68,27.75,22000,27.364825
2015-11-02,27.75,28.209999,27.35,27.879999,55300,27.493019
2015-10-30,28.10,28.10,27.32,27.77,43800,27.384547
2015-10-29,28.34,28.559999,28.07,28.139999,13700,27.749411
2015-10-28,27.00,28.35,27.00,28.35,32600,27.956497
2015-10-27,27.00,27.49,26.99,27.059999,21900,26.684401
2015-10-26,27.60,27.60,27.030001,27.32,15200,26.940793
2015-10-23,27.08,27.76,26.610001,27.639999,25900,27.256351
2015-10-22,26.709999,27.18,26.709999,27.09,18700,26.713986
2015-10-21,27.25,27.57,26.58,26.58,16400,26.211064
2015-10-20,26.92,27.610001,26.92,27.299999,26000,26.92107
2015-10-19,27.16,27.280001,26.940001,27.02,14300,26.644958
2015-10-16,27.940001,27.940001,26.969999,27.280001,11400,26.901349
2015-10-15,26.90,27.83,26.799999,27.83,28100,27.443714
2015-10-14,27.68,28.040001,26.629999,26.709999,19900,26.339259
2015-10-13,27.610001,28.370001,27.60,27.780001,27000,27.394409
2015-10-12,27.370001,27.879999,26.35,27.85,26500,27.463437
2015-10-09,27.549999,27.84,27.02,27.02,18000,26.644958
2015-10-08,26.98,27.58,26.559999,27.290001,24200,26.91121
2015-10-07,26.50,27.219999,26.469999,27.02,43200,26.644958
2015-10-06,26.52,27.299999,26.40,26.60,27300,26.230787
2015-10-05,26.709999,27.370001,26.469999,26.809999,32000,26.437871
2015-10-02,26.190001,26.799999,26.09,26.799999,42500,26.42801
2015-10-01,27.15,27.17,26.040001,26.50,42800,26.132175
2015-09-30,26.799999,27.82,26.65,27.030001,31500,26.654819
2015-09-29,26.719999,27.09,26.25,26.700001,19800,26.3294
2015-09-28,26.139999,27.01,25.43,26.559999,20200,26.191342
2015-09-25,27.200001,27.24,26.02,26.50,31100,25.934951
2015-09-24,26.50,27.219999,26.459999,27.18,12800,26.600452
2015-09-23,26.35,26.709999,26.35,26.540001,10300,25.974099
2015-09-22,26.26,26.60,26.26,26.60,11700,26.032819
2015-09-21,26.629999,27.23,26.52,26.57,14300,26.003458
2015-09-18,26.639999,26.969999,26.059999,26.50,33900,25.934951
2015-09-17,26.969999,27.25,25.49,27.129999,12400,26.551517
2015-09-16,27.15,27.23,26.91,27.040001,17100,26.463438
2015-09-15,26.75,27.219999,26.700001,27.09,13000,26.512371
2015-09-14,26.57,27.25,26.24,26.77,20100,26.199194
2015-09-11,25.75,27.139999,25.75,26.559999,21000,25.993671
2015-09-10,26.08,26.90,24.389999,26.01,11600,25.455399
2015-09-09,26.25,26.719999,25.450001,26.08,14200,25.523906
2015-09-08,26.08,26.65,25.889999,26.120001,23600,25.563054
2015-09-04,25.360001,26.15,25.110001,25.77,17200,25.220517
2015-09-03,25.18,26.129999,25.18,25.700001,25000,25.15201
2015-09-02,25.110001,26.75,25.00,25.00,20000,24.466935
2015-09-01,25.17,26.030001,24.610001,24.709999,25300,24.183117
2015-08-31,25.34,25.91,24.74,25.530001,12700,24.985634
2015-08-28,25.35,26.32,25.02,25.26,19600,24.721391
2015-08-27,25.809999,26.530001,24.84,25.559999,24700,25.014994
2015-08-26,25.15,26.34,24.129999,25.74,23500,25.191156
2015-08-25,25.60,25.60,24.00,24.74,26800,24.212478
2015-08-24,24.76,25.40,22.809999,24.700001,35500,24.173332
2015-08-21,25.35,26.17,25.35,25.790001,19000,25.240091
2015-08-20,26.24,26.870001,25.68,25.870001,23500,25.318385
2015-08-19,26.40,26.84,26.16,26.42,14300,25.856657
2015-08-18,26.860001,26.860001,26.450001,26.58,10400,26.013245
2015-08-17,26.379999,26.98,26.360001,26.98,7100,26.404716
2015-08-14,26.66,26.799999,26.280001,26.76,7800,26.189407
2015-08-13,27.139999,27.459999,26.549999,26.620001,9100,26.052393
2015-08-12,27.42,27.60,27.030001,27.120001,19300,26.541732
2015-08-11,27.209999,27.75,27.209999,27.43,21500,26.845121
2015-08-10,27.459999,27.93,27.370001,27.50,18000,26.913628
2015-08-07,27.59,27.99,27.10,27.120001,22700,26.541732
2015-08-06,28.74,28.74,27.450001,27.790001,25600,27.197446
2015-08-05,27.309999,28.17,27.309999,27.42,23200,26.835334
2015-08-04,27.23,27.49,27.02,27.059999,17300,26.48301
2015-08-03,27.25,27.50,26.75,27.08,12000,26.502584
2015-07-31,27.57,27.57,26.92,27.24,10200,26.659172
2015-07-30,26.719999,27.440001,26.629999,27.059999,24700,26.48301
2015-07-29,27.15,27.190001,26.639999,26.82,18300,26.248127
2015-07-28,27.25,27.58,26.35,26.940001,17000,26.365569
2015-07-27,26.059999,26.969999,25.57,26.809999,18100,26.23834
2015-07-24,26.299999,26.860001,25.799999,26.049999,14600,25.494545
2015-07-23,27.129999,27.41,26.27,26.32,15300,25.758789
2015-07-22,27.200001,27.559999,27.16,27.280001,22600,26.69832
2015-07-21,27.18,27.32,26.950001,27.16,20800,26.580878
2015-07-20,27.809999,27.809999,26.73,27.129999,15800,26.551517
2015-07-17,28.00,28.07,27.540001,27.68,22300,27.089791
2015-07-16,27.99,28.34,27.530001,27.90,27100,27.305099
2015-07-15,27.549999,28.23,26.92,27.969999,16900,27.373606
2015-07-14,27.040001,27.790001,26.889999,27.780001,29800,27.187659
2015-07-13,27.690001,27.76,26.51,27.379999,24100,26.796186
2015-07-10,26.98,27.639999,26.57,27.49,23900,26.903841
2015-07-09,27.280001,28.00,26.360001,26.549999,25300,25.983884
2015-07-08,27.200001,27.83,26.24,26.799999,25000,26.228553
2015-07-07,26.540001,27.959999,26.049999,27.370001,28100,26.786401
2015-07-06,26.60,27.139999,26.030001,26.60,38800,26.032819
2015-07-02,28.120001,28.139999,26.709999,26.719999,15000,26.150259
2015-07-01,28.200001,28.40,27.60,27.870001,18500,27.27574
2015-06-30,27.84,28.10,27.27,27.719999,16300,27.128937
2015-06-29,27.459999,28.91,27.32,27.33,26600,26.747253
2015-06-26,28.42,28.940001,27.530001,28.07,150500,27.285525
2015-06-25,28.530001,28.799999,28.299999,28.32,15200,27.528539
2015-06-24,28.25,28.73,27.700001,28.209999,21600,27.421612
2015-06-23,27.709999,28.299999,27.299999,28.290001,23800,27.499378
2015-06-22,27.559999,28.50,26.620001,27.700001,11500,26.925867
2015-06-19,27.33,28.049999,26.42,27.389999,59500,26.624529
2015-06-18,26.049999,27.92,26.049999,27.59,19700,26.818941
2015-06-17,27.73,27.73,25.200001,27.02,15700,26.264871
2015-06-16,26.290001,27.879999,25.469999,27.57,20700,26.799499
2015-06-15,25.809999,27.01,25.809999,26.41,20600,25.671918
2015-06-12,27.860001,27.860001,26.66,26.77,23300,26.021857
2015-06-11,27.34,28.129999,27.00,27.950001,9300,27.16888
2015-06-10,27.07,27.50,26.940001,27.450001,16600,26.682854
2015-06-09,26.629999,27.219999,26.629999,26.700001,16700,25.953814
2015-06-08,26.370001,27.10,26.290001,26.50,12800,25.759403
2015-06-05,25.65,26.25,25.110001,26.17,13800,25.438625
2015-06-04,25.98,26.24,25.299999,25.59,12600,24.874835
2015-06-03,25.530001,25.93,25.25,25.92,15100,25.195612
2015-06-02,25.200001,25.59,25.200001,25.530001,19100,24.816512
2015-06-01,25.559999,25.60,25.040001,25.42,22300,24.709586
2015-05-29,25.40,25.469999,24.75,25.24,20100,24.534616
2015-05-28,25.60,25.60,25.200001,25.59,5300,24.874835
2015-05-27,25.440001,25.60,24.860001,25.59,12500,24.874835
2015-05-26,25.33,25.870001,24.67,25.07,15100,24.369367
2015-05-22,26.00,26.00,25.32,25.549999,13200,24.835952
2015-05-21,26.219999,26.219999,25.65,26.09,9000,25.360861
2015-05-20,26.219999,26.219999,25.790001,26.01,4400,25.283097
