Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,26.280001,26.690001,26.049999,26.379999,373500,26.379999
2016-06-09,27.00,27.290001,26.379999,26.639999,233000,26.639999
2016-06-08,27.530001,27.700001,27.120001,27.17,248400,27.17
2016-06-07,27.370001,27.90,27.209999,27.60,322800,27.60
2016-06-06,26.68,27.68,26.68,27.23,328500,27.23
2016-06-03,27.700001,28.01,26.26,26.719999,318900,26.719999
2016-06-02,27.549999,27.93,27.41,27.90,262000,27.90
2016-06-01,27.41,27.780001,26.93,27.57,315100,27.57
2016-05-31,27.719999,27.969999,27.41,27.639999,283800,27.639999
2016-05-27,27.809999,28.16,27.18,27.68,278200,27.68
2016-05-26,27.700001,28.07,27.379999,27.709999,196600,27.709999
2016-05-25,27.40,28.00,27.370001,27.690001,280400,27.690001
2016-05-24,26.93,27.459999,26.879999,27.280001,258900,27.280001
2016-05-23,26.66,26.889999,26.32,26.66,310300,26.66
2016-05-20,25.99,26.49,25.709999,26.43,328600,26.43
2016-05-19,26.49,26.85,25.48,25.799999,264700,25.799999
2016-05-18,26.01,26.60,25.92,26.49,307200,26.49
2016-05-17,26.67,27.299999,25.690001,26.049999,745700,26.049999
2016-05-16,26.15,26.360001,25.84,25.90,473400,25.90
2016-05-13,26.870001,28.120001,26.15,26.200001,376100,26.200001
2016-05-12,27.620001,27.84,26.290001,26.870001,1156900,26.870001
2016-05-11,30.50,30.780001,27.02,27.610001,1512700,27.610001
2016-05-10,30.440001,31.25,30.110001,31.17,190200,31.17
2016-05-09,30.200001,30.48,29.42,30.23,312200,30.23
2016-05-06,29.790001,30.290001,29.540001,30.27,275200,30.27
2016-05-05,30.49,30.49,29.68,29.90,452100,29.90
2016-05-04,31.209999,31.65,30.110001,30.139999,237900,30.139999
2016-05-03,31.40,31.879999,30.629999,31.459999,235500,31.459999
2016-05-02,32.380001,32.380001,31.549999,31.85,317400,31.85
2016-04-29,32.299999,32.709999,31.799999,32.209999,403500,32.209999
2016-04-28,32.75,33.040001,32.400002,32.48,312600,32.48
2016-04-27,33.439999,33.610001,32.82,33.189999,216900,33.189999
2016-04-26,32.529999,33.77,32.439999,33.610001,392800,33.610001
2016-04-25,32.66,33.00,31.950001,32.349998,254000,32.349998
2016-04-22,32.48,33.259998,32.48,33.150002,280000,33.150002
2016-04-21,33.00,33.50,32.34,32.41,356600,32.41
2016-04-20,32.400002,33.16,32.169998,32.900002,179000,32.900002
2016-04-19,32.240002,32.650002,31.860001,32.299999,236700,32.299999
2016-04-18,31.280001,32.130001,31.26,32.07,351600,32.07
2016-04-15,31.65,32.18,31.35,31.51,323300,31.51
2016-04-14,32.419998,32.68,29.68,31.67,690400,31.67
2016-04-13,31.280001,32.779999,31.280001,32.59,276100,32.59
2016-04-12,30.450001,31.110001,30.35,30.959999,401600,30.959999
2016-04-11,30.620001,31.33,30.280001,30.610001,331700,30.610001
2016-04-08,30.58,31.620001,30.200001,30.450001,605400,30.450001
2016-04-07,30.74,31.27,29.709999,30.17,761000,30.17
2016-04-06,30.66,31.389999,30.66,30.940001,310100,30.940001
2016-04-05,31.200001,31.379999,30.59,30.76,340700,30.76
2016-04-04,32.00,32.310001,31.540001,31.68,256900,31.68
2016-04-01,31.139999,32.02,30.950001,31.90,197400,31.90
2016-03-31,31.530001,31.90,31.34,31.43,245700,31.43
2016-03-30,31.110001,32.27,30.82,31.709999,608700,31.709999
2016-03-29,29.709999,30.90,29.23,30.790001,370900,30.790001
2016-03-28,29.700001,30.16,29.09,29.870001,398700,29.870001
2016-03-24,28.780001,29.76,28.780001,29.60,234800,29.60
