Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,20.790001,21.059999,20.76,20.870001,14300,20.870001
2016-06-09,20.90,20.950001,20.48,20.83,13500,20.83
2016-06-08,20.799999,21.08,20.68,20.959999,6000,20.959999
2016-06-07,20.469999,20.870001,20.469999,20.700001,11000,20.700001
2016-06-06,20.23,20.68,20.049999,20.59,10300,20.59
2016-06-03,20.27,20.690001,19.93,19.950001,29500,19.950001
2016-06-02,20.02,20.540001,20.01,20.35,15600,20.35
2016-06-01,19.91,20.450001,19.91,20.42,5700,20.42
2016-05-31,20.309999,20.309999,19.92,20.15,12200,20.15
2016-05-27,20.00,20.24,19.809999,20.049999,7900,20.049999
2016-05-26,20.26,20.469999,20.02,20.02,7500,20.02
2016-05-25,20.02,20.530001,19.950001,20.41,19500,20.41
2016-05-24,19.48,20.35,19.450001,20.07,27700,20.07
2016-05-23,19.450001,19.50,19.360001,19.360001,11700,19.360001
2016-05-20,19.280001,19.50,19.280001,19.50,13000,19.50
2016-05-19,19.50,19.50,19.139999,19.24,5100,19.24
2016-05-18,19.18,19.50,19.18,19.50,10400,19.50
2016-05-17,19.469999,19.50,19.25,19.25,19500,19.25
2016-05-16,19.27,19.50,19.27,19.469999,7800,19.469999
2016-05-13,19.459999,19.48,19.27,19.32,5000,19.32
2016-05-12,19.59,19.790001,19.32,19.389999,5700,19.389999
2016-05-11,19.75,19.799999,19.32,19.450001,5700,19.450001
2016-05-10,19.700001,19.860001,19.440001,19.799999,6200,19.799999
2016-05-09,19.719999,19.90,19.51,19.690001,6800,19.690001
2016-05-06,19.549999,19.77,19.389999,19.700001,7800,19.700001
2016-05-05,19.620001,19.709999,19.41,19.60,11200,19.60
2016-05-04,19.67,19.860001,19.389999,19.719999,11500,19.719999
2016-05-03,19.77,19.790001,19.59,19.700001,10900,19.700001
2016-05-02,20.059999,20.35,19.780001,20.01,10700,20.01
2016-04-29,19.860001,20.50,19.709999,19.85,9000,19.85
2016-04-28,19.309999,20.190001,19.309999,19.76,8300,19.76
2016-04-27,19.99,20.190001,19.799999,20.01,15700,20.01
2016-04-26,19.530001,20.040001,19.530001,19.99,10200,19.99
2016-04-25,19.50,19.50,18.940001,19.389999,7700,19.389999
2016-04-22,19.200001,19.780001,19.200001,19.48,9400,19.48
2016-04-21,19.690001,19.969999,18.91,19.290001,24800,19.290001
2016-04-20,19.700001,19.950001,19.42,19.540001,12100,19.540001
2016-04-19,19.57,19.799999,19.559999,19.790001,8400,19.790001
2016-04-18,19.440001,19.790001,19.440001,19.76,14000,19.76
2016-04-15,19.360001,19.93,19.360001,19.620001,14300,19.620001
2016-04-14,19.360001,19.940001,19.360001,19.48,16100,19.48
2016-04-13,19.00,19.40,18.98,19.389999,20400,19.389999
2016-04-12,18.58,19.00,18.58,18.98,12100,18.98
2016-04-11,18.91,18.940001,18.639999,18.639999,10600,18.639999
2016-04-08,18.870001,19.00,18.59,18.73,11500,18.73
2016-04-07,18.90,18.90,18.50,18.77,13000,18.77
2016-04-06,18.959999,19.190001,18.73,19.02,14900,19.02
2016-04-05,19.32,19.389999,18.790001,18.879999,16500,18.879999
2016-04-04,19.799999,19.91,19.32,19.41,29500,19.41
2016-04-01,19.459999,20.00,19.41,19.92,27800,19.70
2016-03-31,19.99,19.99,19.309999,19.51,18300,19.294528
2016-03-30,19.35,19.74,19.35,19.530001,19800,19.314307
2016-03-29,18.780001,19.27,18.76,19.26,22000,19.047289
2016-03-28,18.780001,18.940001,18.66,18.84,16700,18.631927
2016-03-24,18.629999,18.700001,18.50,18.639999,10500,18.434135
2016-03-23,18.879999,18.879999,18.60,18.620001,15500,18.414358
2016-03-22,18.879999,18.92,18.799999,18.889999,6200,18.681374
