Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,46.349998,46.349998,45.09,45.48,22400,45.48
2016-06-09,45.669998,46.349998,45.450001,45.990002,49500,45.990002
2016-06-08,46.130001,46.310001,45.919998,46.029999,21500,46.029999
2016-06-07,46.18,47.060001,45.75,46.389999,52300,46.389999
2016-06-06,47.810001,47.810001,46.939999,47.119999,13700,47.119999
2016-06-03,47.099998,47.73,47.099998,47.450001,11200,47.450001
2016-06-02,47.09,47.473999,46.84,47.009998,16000,47.009998
2016-06-01,47.84,47.865002,46.259998,47.709999,25200,47.709999
2016-05-31,47.009998,47.279999,46.25,47.259998,20400,47.259998
2016-05-27,46.619999,47.110001,46.490002,46.970001,12700,46.970001
2016-05-26,46.650002,46.650002,45.742001,46.200001,20400,46.200001
2016-05-25,46.09,46.880001,46.09,46.419998,23400,46.419998
2016-05-24,45.665001,46.189999,45.630001,46.18,14200,46.18
2016-05-23,45.52,45.52,45.145,45.18,4500,45.18
2016-05-20,45.869999,45.869999,44.970001,45.560001,13300,45.560001
2016-05-19,44.439999,45.66,44.00,45.130001,21800,45.130001
2016-05-18,44.279999,44.919998,44.27,44.630001,28600,44.630001
2016-05-17,45.099998,45.299999,44.369999,44.580002,16100,44.580002
2016-05-16,45.549999,46.080002,45.119999,45.279999,37400,45.279999
2016-05-13,45.709999,45.919998,44.77,45.549999,26600,45.549999
2016-05-12,46.73,47.049999,45.41,45.84,52300,45.84
2016-05-11,44.93,47.110001,44.93,46.799999,44100,46.799999
2016-05-10,45.41,45.810001,45.060001,45.099998,42100,45.099998
2016-05-09,46.900002,46.900002,45.34,45.419998,105400,45.419998
2016-05-06,44.98,46.939999,44.98,46.860001,43200,46.860001
2016-05-05,45.130001,45.259998,44.540001,45.009998,73100,45.009998
2016-05-04,44.34,44.669998,44.139999,44.549999,91800,44.549999
2016-05-03,45.970001,46.009998,44.950001,45.150002,32500,45.150002
2016-05-02,45.139999,46.259998,45.139999,46.07,98400,46.07
2016-04-29,44.720001,45.099998,44.419998,45.009998,79600,45.009998
2016-04-28,43.84,44.880001,43.84,44.57,44300,44.57
2016-04-27,43.580002,45.418999,43.580002,43.779999,40400,43.779999
2016-04-26,43.41,43.849998,43.169998,43.380001,50100,43.380001
2016-04-25,42.48,43.259998,42.41,43.029999,34400,43.029999
2016-04-22,43.220001,43.27,42.619999,42.619999,46200,42.619999
2016-04-21,43.389999,43.470001,42.93,42.98,49500,42.98
2016-04-20,43.439999,43.779999,43.380001,43.48,24300,43.48
2016-04-19,43.110001,43.689999,43.110001,43.459999,58100,43.459999
2016-04-18,42.84,43.41,42.610001,43.119999,69000,43.119999
2016-04-15,42.77,43.310001,42.77,42.98,32700,42.98
2016-04-14,43.830002,43.84,42.869999,43.040001,57200,43.040001
2016-04-13,43.619999,44.049999,43.439999,44.029999,39300,44.029999
