Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,7.06,7.07,6.98,7.04,240700,7.04
2016-06-09,7.07,7.10,7.01,7.07,199000,7.07
2016-06-08,7.13,7.15,7.05,7.09,168500,7.09
2016-06-07,7.10,7.12,7.03,7.11,275000,7.11
2016-06-06,7.01,7.10,6.93,7.09,454000,7.09
2016-06-03,7.03,7.03,6.95,7.01,300500,7.01
2016-06-02,7.00,7.03,6.97,7.03,146000,7.03
2016-06-01,7.01,7.07,6.96,7.00,341200,7.00
2016-05-31,7.06,7.09,7.00,7.02,371400,7.02
2016-05-27,7.03,7.06,6.95,7.05,222500,7.05
2016-05-26,6.97,7.02,6.94,7.00,214000,7.00
2016-05-25,6.97,7.02,6.93,6.98,239900,6.98
2016-05-24,6.95,7.00,6.83,6.92,396700,6.92
2016-05-23,6.79,7.10,6.79,6.93,665000,6.93
2016-05-20,6.82,6.85,6.74,6.75,174600,6.75
2016-05-19,6.83,6.83,6.70,6.79,197100,6.79
2016-05-18,6.81,6.88,6.80,6.83,306200,6.83
2016-05-17,6.71,6.83,6.71,6.78,160300,6.78
2016-05-16,6.79,6.90,6.75,6.77,178400,6.707
2016-05-13,6.75,6.79,6.72,6.77,133000,6.707
2016-05-12,6.75,6.78,6.71,6.75,169500,6.687186
2016-05-11,6.74,6.79,6.70,6.74,87100,6.677279
2016-05-10,6.80,6.80,6.73,6.75,162300,6.687186
2016-05-09,6.75,6.83,6.70,6.75,99900,6.687186
2016-05-06,6.77,6.83,6.70,6.74,86500,6.677279
2016-05-05,6.70,6.79,6.65,6.79,154200,6.726814
2016-05-04,6.76,6.83,6.70,6.70,130500,6.637651
2016-05-03,6.85,6.85,6.72,6.80,173700,6.736721
2016-05-02,6.95,6.97,6.81,6.84,163000,6.776349
2016-04-29,6.99,6.99,6.86,6.95,180000,6.885325
2016-04-28,6.98,7.00,6.95,6.99,107000,6.924952
2016-04-27,7.00,7.00,6.96,7.00,174200,6.93486
2016-04-26,7.00,7.02,6.99,7.00,180000,6.93486
2016-04-25,7.00,7.00,6.99,7.00,79000,6.93486
2016-04-22,6.99,7.00,6.99,6.99,45500,6.924952
2016-04-21,7.00,7.01,6.99,6.99,71400,6.924952
2016-04-20,7.00,7.02,6.97,6.99,116100,6.924952
2016-04-19,7.04,7.05,6.99,7.03,174600,6.902167
2016-04-18,7.03,7.03,7.01,7.02,115000,6.892349
2016-04-15,7.02,7.02,6.98,7.00,59900,6.872712
2016-04-14,6.98,7.03,6.98,7.00,164000,6.872712
2016-04-13,7.00,7.01,6.97,7.00,152300,6.872712
