Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,25.302999,25.302999,25.299999,25.299999,700,25.299999
2016-06-09,25.201,25.35,25.200001,25.23,2800,25.23
2016-06-08,25.200001,25.200001,25.190001,25.190001,1300,25.190001
2016-06-07,25.139999,25.309999,25.139999,25.15,7200,25.15
2016-06-06,25.059999,25.17,25.059999,25.15,3000,25.15
2016-06-03,25.059999,25.16,25.01,25.01,5100,25.01
2016-06-02,25.030001,25.23,25.030001,25.23,8000,25.23
2016-06-01,24.969999,25.039,24.969999,25.039,5800,25.039
2016-05-31,25.10,25.10,24.91,24.959999,4900,24.959999
2016-05-27,24.889999,25.01,24.860001,25.00,5200,25.00
2016-05-26,25.200001,25.200001,24.944,25.15,7900,25.15
2016-05-25,25.209999,25.299999,25.200001,25.200001,11200,25.200001
2016-05-24,25.26,25.290001,25.215,25.24,5400,25.24
2016-05-23,25.290001,25.379999,25.27,25.290001,7800,25.290001
2016-05-20,25.059,25.200001,25.059,25.200001,1700,25.200001
2016-05-19,25.049999,25.25,25.00,25.145,2000,25.145
2016-05-18,25.17,25.379999,25.139999,25.139999,6700,25.139999
2016-05-17,25.075001,25.52,25.072001,25.33,25200,25.33
2016-05-16,25.42,25.42,25.120001,25.139999,20400,24.998999
2016-05-13,25.139999,25.43,25.07,25.35,22600,25.207822
2016-05-12,25.059999,25.139999,25.059999,25.139999,1000,24.998999
2016-05-11,25.129999,25.129999,25.01,25.07,2500,24.929392
2016-05-10,25.10,25.10,25.10,25.10,100,24.959224
2016-05-09,25.00,25.00,25.00,25.00,1200,24.859785
2016-05-06,25.049999,25.049999,25.00,25.00,1100,24.859785
2016-05-05,25.00,25.049999,24.99,25.049999,5300,24.909503
2016-05-04,25.01,25.01,24.959999,24.995001,6700,24.854813
2016-05-03,25.01,25.10,25.01,25.10,400,24.959224
2016-05-02,25.139999,25.139999,25.059999,25.139999,1300,24.998999
2016-04-29,24.99,24.99,24.99,24.99,300,24.84984
2016-04-28,24.99,25.00,24.99,25.00,500,24.859785
2016-04-27,24.98,24.98,24.91,24.959999,1600,24.820008
2016-04-26,24.98,24.98,24.98,24.98,000,24.839896
2016-04-25,25.00,25.00,24.90,24.98,2600,24.839896
2016-04-22,24.940001,24.940001,24.889999,24.90,3300,24.760345
2016-04-21,24.950001,24.950001,24.924999,24.924999,2500,24.785204
2016-04-20,24.870001,24.90,24.820999,24.83,1200,24.690738
2016-04-19,24.950001,24.99,24.940001,24.940001,1100,24.659913
2016-04-18,24.811001,24.916,24.811001,24.864,400,24.584766
2016-04-15,24.719,24.98,24.60,24.969999,4200,24.689575
2016-04-14,24.50,24.75,24.50,24.549999,11100,24.274291
2016-04-13,24.544001,24.544001,24.544001,24.544001,500,24.26836
2016-04-12,24.67,24.74,24.459999,24.459999,1900,24.185302
2016-04-11,24.49,24.60,24.49,24.59,2700,24.313843
2016-04-08,24.48,24.49,24.27,24.469999,2200,24.19519
2016-04-07,24.440001,24.68,24.309999,24.337999,6500,24.064672
2016-04-06,24.48,24.50,24.299999,24.299999,1200,24.027099
2016-04-05,24.50,24.52,24.50,24.50,1100,24.224854
2016-04-04,24.110001,24.790001,24.110001,24.476999,5500,24.202111
2016-04-01,24.290001,24.597,24.059999,24.059999,4200,23.789794
2016-03-31,24.17,24.620001,24.17,24.60,4200,24.323731
2016-03-30,24.459999,24.459999,24.389999,24.40,1700,24.125976
