Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,25.870001,25.870001,25.799999,25.799999,2800,25.799999
2016-06-09,25.84,25.860001,25.74,25.74,2500,25.74
2016-06-08,25.75,25.77,25.74,25.75,5100,25.75
2016-06-07,25.73,25.76,25.73,25.76,700,25.76
2016-06-06,25.67,25.67,25.58,25.58,900,25.58
2016-06-03,25.50,25.50,25.440001,25.440001,2700,25.440001
2016-06-02,25.58,25.58,25.33,25.49,3700,25.49
2016-06-01,25.48,25.66,25.370001,25.58,3400,25.58
2016-05-31,25.860001,25.860001,25.549999,25.549999,13900,25.549999
2016-05-27,25.82,25.870001,25.82,25.870001,2200,25.870001
2016-05-26,25.82,25.82,25.82,25.82,400,25.82
2016-05-25,25.98,25.98,25.82,25.82,1800,25.82
2016-05-24,25.92,25.92,25.799999,25.82,4200,25.82
2016-05-23,25.77,25.77,25.76,25.77,1100,25.77
2016-05-20,25.700001,25.92,25.700001,25.73,1500,25.73
2016-05-19,25.700001,25.700001,25.700001,25.700001,600,25.700001
2016-05-18,25.76,25.77,25.700001,25.77,1100,25.77
2016-05-17,25.91,25.91,25.75,25.799999,7100,25.799999
2016-05-16,25.85,25.92,25.85,25.92,6500,25.772
2016-05-13,25.90,25.90,25.85,25.85,1700,25.7024
2016-05-12,25.799999,25.85,25.790001,25.85,2900,25.7024
2016-05-11,25.799999,25.799999,25.75,25.75,2500,25.60297
2016-05-10,25.76,25.91,25.75,25.799999,2900,25.652684
2016-05-09,25.75,25.77,25.75,25.75,1700,25.60297
2016-05-06,25.65,25.90,25.620001,25.74,2600,25.593027
2016-05-05,25.700001,25.700001,25.700001,25.700001,200,25.553257
2016-05-04,25.73,25.73,25.73,25.73,700,25.583084
2016-05-03,25.790001,25.790001,25.73,25.73,2900,25.583084
2016-05-02,25.709999,25.84,25.709999,25.75,3200,25.60297
2016-04-29,25.709999,25.709999,25.700001,25.700001,600,25.553257
2016-04-28,25.75,25.75,25.66,25.75,5900,25.60297
2016-04-27,25.60,25.75,25.60,25.75,6500,25.60297
2016-04-26,25.65,25.690001,25.65,25.690001,1200,25.543314
2016-04-25,25.66,25.690001,25.66,25.690001,600,25.543314
2016-04-22,25.66,25.68,25.60,25.68,2600,25.53337
2016-04-21,25.65,25.66,25.65,25.66,500,25.513484
2016-04-20,25.49,25.67,25.48,25.67,3400,25.523427
2016-04-19,25.799999,25.799999,25.65,25.65,1700,25.356387
2016-04-18,25.709999,25.74,25.629999,25.74,2600,25.445357
2016-04-15,25.700001,25.700001,25.700001,25.700001,100,25.405816
2016-04-14,25.52,25.68,25.52,25.68,1300,25.386044
2016-04-13,25.799999,25.799999,25.50,25.610001,2600,25.316846
2016-04-12,25.700001,25.75,25.700001,25.75,3400,25.455242
2016-04-11,25.50,25.700001,25.50,25.700001,1900,25.405816
2016-04-08,25.73,25.73,25.58,25.73,3000,25.435471
2016-04-07,25.50,25.50,25.50,25.50,300,25.208104
2016-04-06,25.66,25.66,25.65,25.65,1000,25.356387
2016-04-05,25.77,25.780001,25.68,25.690001,800,25.39593
2016-04-04,25.379999,25.50,25.379999,25.48,3200,25.188333
2016-04-01,25.459999,25.76,25.379999,25.60,2300,25.30696
2016-03-31,25.559999,25.60,25.50,25.59,4200,25.297074
2016-03-30,25.60,25.60,25.50,25.50,1000,25.208104
2016-03-29,25.40,25.40,25.309999,25.40,2000,25.109249
2016-03-28,25.66,25.77,25.26,25.40,10200,25.109249
2016-03-24,25.82,25.82,25.200001,25.67,3400,25.376158
2016-03-23,25.639999,25.639999,25.639999,25.639999,100,25.346501
2016-03-22,25.639999,25.639999,25.639999,25.639999,000,25.346501
2016-03-21,25.950001,25.950001,25.549999,25.639999,2200,25.346501
2016-03-18,25.60,25.82,25.60,25.700001,2500,25.405816
2016-03-17,25.799999,25.799999,25.799999,25.799999,000,25.504669
2016-03-16,25.799999,25.799999,25.799999,25.799999,000,25.358363
2016-03-15,25.620001,25.799999,25.549999,25.799999,3800,25.358363
2016-03-14,25.700001,25.700001,25.700001,25.700001,000,25.260076
2016-03-11,25.690001,25.700001,25.690001,25.700001,1000,25.260076
2016-03-10,25.75,25.75,25.58,25.700001,1400,25.260076
2016-03-09,25.65,25.74,25.610001,25.700001,2000,25.260076
2016-03-08,25.719999,25.719999,25.65,25.709999,2100,25.269904
2016-03-07,25.610001,25.719999,25.610001,25.709999,2700,25.269904
2016-03-04,25.690001,26.10,25.610001,25.610001,4300,25.171617
2016-03-03,25.799999,25.799999,25.76,25.76,800,25.319049
2016-03-02,25.610001,25.799999,25.50,25.799999,4300,25.358363
2016-03-01,25.68,25.799999,25.68,25.799999,800,25.358363
2016-02-29,25.299999,25.799999,25.25,25.629999,6200,25.191273
2016-02-26,25.90,25.90,25.90,25.90,000,25.456652
2016-02-25,25.90,25.90,25.90,25.90,1000,25.456652
2016-02-24,25.68,25.68,25.68,25.68,000,25.240418
2016-02-23,25.32,25.790001,25.32,25.68,3500,25.240418
2016-02-22,25.309999,25.49,25.309999,25.459999,3100,25.024183
2016-02-19,25.299999,25.99,25.299999,25.99,4900,25.545111
2016-02-18,25.40,25.49,25.309999,25.42,1400,24.984869
2016-02-17,25.51,25.51,25.41,25.48,800,25.043841
2016-02-16,25.52,25.52,25.15,25.15,6100,24.71949
2016-02-12,25.52,25.52,25.16,25.34,3800,24.760772
2016-02-11,25.469999,25.52,25.139999,25.139999,11900,24.565343
2016-02-10,25.48,25.51,25.25,25.469999,3800,24.887799
2016-02-09,25.360001,25.50,25.360001,25.50,1900,24.917114
