Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,16.200001,16.200001,15.85,16.07,1900,16.07
2016-06-09,16.00,16.059999,15.95,16.049999,12700,16.049999
2016-06-08,16.00,16.049999,15.90,16.00,12000,16.00
2016-06-07,15.90,16.00,15.90,15.95,3900,15.95
2016-06-06,16.00,16.049999,15.90,15.96,11100,15.96
2016-06-03,16.00,16.25,16.00,16.049999,12500,16.049999
2016-06-02,16.25,16.25,15.97,15.97,800,15.97
2016-06-01,16.00,16.10,16.00,16.00,6300,16.00
2016-05-31,15.95,15.98,15.95,15.98,1000,15.98
2016-05-27,15.90,15.90,15.90,15.90,000,15.90
2016-05-26,16.200001,16.200001,15.90,15.90,2400,15.90
2016-05-25,16.049999,16.049999,16.049999,16.049999,1200,16.049999
2016-05-24,16.02,16.02,16.02,16.02,000,16.02
2016-05-23,16.02,16.02,16.02,16.02,000,16.02
2016-05-20,16.190001,16.190001,16.02,16.02,400,16.02
2016-05-19,15.55,15.55,15.55,15.55,500,15.55
2016-05-18,16.15,16.15,16.15,16.15,000,16.15
2016-05-17,16.15,16.190001,16.15,16.15,10800,16.15
2016-05-16,15.63,15.63,15.63,15.63,000,15.63
2016-05-13,15.63,15.63,15.63,15.63,000,15.63
2016-05-12,15.63,15.63,15.63,15.63,100,15.63
2016-05-11,15.76,16.059999,15.70,15.76,3000,15.76
2016-05-10,16.00,16.00,15.72,15.95,1400,15.95
2016-05-09,16.049999,16.15,15.76,16.10,800,16.10
2016-05-06,15.87,15.87,15.87,15.87,200,15.87
2016-05-05,15.62,15.65,15.62,15.65,200,15.65
2016-05-04,15.77,15.77,15.77,15.77,000,15.77
2016-05-03,15.77,15.77,15.77,15.77,11400,15.77
2016-05-02,15.80,15.80,15.80,15.80,200,15.80
2016-04-29,15.55,16.00,15.55,16.00,600,16.00
2016-04-28,16.00,16.00,16.00,16.00,200,16.00
2016-04-27,15.85,15.85,15.85,15.85,000,15.85
2016-04-26,15.90,16.030001,15.80,15.85,3200,15.85
2016-04-25,16.02,16.02,15.63,15.97,900,15.97
2016-04-22,15.68,15.90,15.68,15.90,300,15.90
2016-04-21,15.75,15.75,15.75,15.75,000,15.75
2016-04-20,15.84,15.84,15.67,15.75,12100,15.75
2016-04-19,15.58,16.18,15.50,16.18,18600,16.18
2016-04-18,15.54,16.25,15.50,15.90,3200,15.90
2016-04-15,15.55,15.55,15.55,15.55,500,15.55
2016-04-14,15.75,16.25,15.75,16.00,3400,16.00
2016-04-13,15.74,15.75,15.54,15.75,1300,15.75
2016-04-12,15.34,15.34,15.34,15.34,000,15.34
2016-04-11,15.56,15.90,15.34,15.34,1000,15.34
2016-04-08,15.06,15.50,15.06,15.20,1800,15.20
2016-04-07,15.50,15.75,15.01,15.70,6200,15.70
2016-04-06,15.25,15.25,15.25,15.25,300,15.25
2016-04-05,15.43,15.53,15.43,15.53,300,15.53
2016-04-04,15.35,15.42,15.34,15.42,1700,15.42
2016-04-01,14.98,14.98,14.98,14.98,100,14.98
2016-03-31,14.90,15.26,14.90,14.97,2400,14.97
2016-03-30,15.05,15.08,15.05,15.08,200,15.00
2016-03-29,15.31,15.31,15.00,15.00,1800,14.920424
2016-03-28,15.14,15.24,15.14,15.24,6800,15.159151
2016-03-24,15.00,15.00,15.00,15.00,000,14.920424
2016-03-23,15.00,15.00,15.00,15.00,000,14.920424
2016-03-22,15.00,15.00,15.00,15.00,100,14.920424
2016-03-21,14.90,14.95,14.90,14.95,2100,14.870689
2016-03-18,15.05,15.05,15.05,15.05,000,14.970159
2016-03-17,15.05,15.05,15.05,15.05,000,14.970159
2016-03-16,15.05,15.05,15.05,15.05,900,14.970159
2016-03-15,15.00,15.00,15.00,15.00,000,14.920424
2016-03-14,15.00,15.00,15.00,15.00,000,14.920424
2016-03-11,15.02,15.12,14.99,15.00,6600,14.920424
2016-03-10,15.00,15.00,15.00,15.00,100,14.920424
2016-03-09,15.00,15.00,15.00,15.00,000,14.920424
2016-03-08,15.00,15.00,15.00,15.00,000,14.920424
2016-03-07,15.10,15.10,15.00,15.00,1700,14.920424
2016-03-04,15.05,15.20,15.00,15.20,1600,15.119363
2016-03-03,14.88,15.04,14.88,15.01,1300,14.930371
2016-03-02,15.10,15.10,15.10,15.10,200,15.019894
2016-03-01,14.94,15.25,14.85,15.23,2000,15.149204
2016-02-29,15.00,15.00,15.00,15.00,700,14.920424
2016-02-26,15.00,15.00,15.00,15.00,000,14.920424
2016-02-25,15.02,15.02,14.99,15.00,6900,14.920424
2016-02-24,15.00,15.00,15.00,15.00,000,14.920424
2016-02-23,15.02,15.02,15.00,15.00,3900,14.920424
2016-02-22,15.35,15.35,15.32,15.32,300,15.238726
2016-02-19,14.80,14.80,14.80,14.80,200,14.721485
2016-02-18,15.00,15.00,14.95,15.00,8100,14.920424
2016-02-17,15.20,15.24,15.20,15.20,2100,15.119363
2016-02-16,14.85,14.85,14.85,14.85,000,14.77122
2016-02-12,15.02,15.02,14.85,14.85,2200,14.77122
2016-02-11,15.45,15.45,15.05,15.05,3700,14.970159
2016-02-10,15.57,15.57,15.57,15.57,000,15.4874
2016-02-09,15.57,15.57,15.57,15.57,000,15.4874
2016-02-08,15.55,15.57,15.55,15.57,400,15.4874
2016-02-05,15.30,15.30,15.30,15.30,000,15.218833
2016-02-04,15.30,15.30,15.30,15.30,000,15.218833
2016-02-03,15.30,15.30,15.30,15.30,000,15.218833
2016-02-02,15.30,15.30,15.30,15.30,200,15.218833
2016-02-01,15.10,15.89,15.10,15.30,600,15.218833
2016-01-29,15.19,15.19,15.06,15.10,2900,15.019894
2016-01-28,15.09,15.28,15.05,15.05,2000,14.970159
2016-01-27,15.10,15.10,15.08,15.09,600,15.009947
2016-01-26,15.05,15.36,15.05,15.21,2400,15.12931
2016-01-25,15.08,15.08,15.08,15.08,400,15.00
2016-01-22,15.05,15.10,15.05,15.10,1500,15.019894
2016-01-21,15.20,15.30,14.80,15.05,14800,14.970159
2016-01-20,15.25,15.40,15.20,15.30,3500,15.218833
2016-01-19,15.25,15.25,15.25,15.25,1500,15.169098
2016-01-15,15.20,15.50,15.20,15.22,3200,15.139257
2016-01-14,15.59,15.59,15.39,15.39,300,15.308356
2016-01-13,15.25,15.50,15.25,15.39,26800,15.308356
2016-01-12,15.31,15.33,15.21,15.21,500,15.12931
2016-01-11,15.20,15.20,15.10,15.15,5200,15.069628
2016-01-08,15.16,15.16,15.16,15.16,200,15.079575
2016-01-07,15.44,15.45,15.40,15.44,3700,15.35809
2016-01-06,15.41,15.41,15.28,15.28,3200,15.198939
2016-01-05,15.25,15.40,15.22,15.40,1900,15.318302
2016-01-04,15.10,15.25,15.10,15.25,400,15.169098
2015-12-31,15.20,15.25,15.00,15.25,3900,15.169098
2015-12-30,15.21,15.21,15.12,15.12,1200,14.960212
2015-12-29,15.50,15.50,15.06,15.06,600,14.900847
2015-12-28,15.15,15.15,15.00,15.02,600,14.86127
2015-12-24,15.11,15.11,14.99,15.00,4900,14.841481
2015-12-23,15.00,15.01,15.00,15.01,1400,14.851375
2015-12-22,15.02,15.02,15.02,15.02,000,14.86127
2015-12-21,15.02,15.23,15.01,15.02,1200,14.86127
2015-12-18,15.01,15.02,14.95,15.02,1800,14.86127
2015-12-17,14.95,14.98,14.95,14.95,1100,14.792009
2015-12-16,14.87,14.87,14.32,14.87,3300,14.712854
2015-12-15,14.87,14.87,14.87,14.87,500,14.712854
2015-12-14,14.98,14.98,14.81,14.81,200,14.653489
2015-12-11,14.87,14.87,14.87,14.87,8400,14.712854
2015-12-10,14.90,14.90,14.90,14.90,100,14.742537
2015-12-09,14.79,14.85,14.79,14.85,4100,14.693066
2015-12-08,14.70,14.80,14.70,14.80,7900,14.643594
2015-12-07,14.75,14.75,14.75,14.75,200,14.594123
2015-12-04,14.74,14.81,14.74,14.81,2700,14.653489
2015-12-03,14.79,14.80,14.72,14.72,600,14.56444
2015-12-02,14.85,14.85,14.80,14.80,3400,14.643594
2015-12-01,14.70,14.75,14.66,14.72,1100,14.56444
2015-11-30,14.78,14.78,14.78,14.78,000,14.623805
2015-11-27,14.66,14.78,14.66,14.78,300,14.623805
2015-11-25,14.86,14.86,14.86,14.86,000,14.70296
2015-11-24,14.54,14.86,14.54,14.86,4200,14.70296
2015-11-23,14.60,14.60,14.60,14.60,000,14.445708
2015-11-20,14.60,14.60,14.60,14.60,000,14.445708
2015-11-19,14.60,14.60,14.60,14.60,000,14.445708
2015-11-18,14.60,14.60,14.60,14.60,200,14.445708
2015-11-17,14.60,14.60,14.60,14.60,200,14.445708
2015-11-16,14.60,14.61,14.60,14.61,700,14.455602
2015-11-13,14.61,14.61,14.61,14.61,000,14.455602
2015-11-12,14.69,14.69,14.61,14.61,17700,14.455602
2015-11-11,14.62,14.62,14.62,14.62,200,14.465496
2015-11-10,14.70,14.70,14.70,14.70,000,14.544651
2015-11-09,14.70,14.70,14.70,14.70,1000,14.544651
2015-11-06,14.71,14.72,14.71,14.72,700,14.56444
2015-11-05,14.60,14.60,14.60,14.60,000,14.445708
2015-11-04,14.60,14.60,14.60,14.60,000,14.445708
2015-11-03,14.60,14.60,14.60,14.60,200,14.445708
2015-11-02,14.70,14.70,14.70,14.70,200,14.544651
2015-10-30,14.73,14.73,14.61,14.61,2300,14.455602
2015-10-29,14.68,14.68,14.60,14.60,500,14.445708
2015-10-28,14.65,14.65,14.65,14.65,000,14.495179
2015-10-27,14.60,14.65,14.60,14.65,700,14.495179
2015-10-26,14.71,14.73,14.45,14.53,2100,14.376447
2015-10-23,14.50,14.50,14.46,14.46,1500,14.307187
2015-10-22,14.45,14.50,14.45,14.50,700,14.346765
2015-10-21,14.37,14.58,14.37,14.37,800,14.218138
2015-10-20,14.75,14.75,14.34,14.44,1300,14.287398
2015-10-19,14.48,14.48,14.30,14.30,1700,14.148878
2015-10-16,14.23,14.50,14.23,14.40,15300,14.247821
2015-10-15,14.85,14.85,14.72,14.72,1800,14.56444
2015-10-14,14.70,14.70,14.70,14.70,200,14.544651
2015-10-13,14.72,14.72,14.72,14.72,100,14.56444
2015-10-12,14.70,14.72,14.70,14.72,400,14.56444
2015-10-09,14.85,14.85,14.72,14.72,200,14.56444
2015-10-08,14.70,14.84,14.70,14.72,2500,14.56444
2015-10-07,14.85,14.85,14.71,14.71,700,14.554545
2015-10-06,14.70,14.85,14.65,14.83,2900,14.673277
2015-10-05,14.72,14.72,14.70,14.72,1500,14.56444
2015-10-02,14.85,14.85,14.71,14.72,2600,14.56444
2015-10-01,14.65,14.78,14.65,14.73,3100,14.574333
2015-09-30,14.72,14.72,14.65,14.67,5200,14.465496
2015-09-29,14.69,14.70,14.65,14.67,3000,14.465496
2015-09-28,14.50,14.66,14.50,14.64,900,14.435915
2015-09-25,14.50,14.66,14.50,14.62,1800,14.416193
2015-09-24,14.41,14.53,14.41,14.53,6800,14.327448
2015-09-23,14.40,14.70,14.40,14.45,2300,14.248563
2015-09-22,14.45,14.48,14.45,14.47,1100,14.268284
2015-09-21,14.26,14.75,14.25,14.65,1600,14.445775
2015-09-18,14.40,14.75,14.40,14.73,73600,14.524659
2015-09-17,14.50,14.89,14.50,14.72,13200,14.514799
2015-09-16,14.53,14.80,14.50,14.51,4300,14.307727
2015-09-15,14.37,14.80,14.35,14.53,15400,14.327448
2015-09-14,14.15,14.67,14.15,14.59,9400,14.386612
2015-09-11,14.40,14.41,14.40,14.40,4100,14.19926
2015-09-10,14.30,14.72,14.30,14.35,4500,14.149957
2015-09-09,14.40,14.52,14.15,14.15,7500,13.952745
2015-09-08,14.60,14.63,14.20,14.35,6900,14.149957
2015-09-04,14.64,14.64,14.64,14.64,000,14.435915
2015-09-03,14.65,14.90,14.64,14.64,3600,14.435915
2015-09-02,14.61,14.97,14.61,14.64,600,14.435915
2015-09-01,14.80,14.85,14.68,14.80,1200,14.593684
2015-08-31,14.67,14.85,14.67,14.84,4500,14.633126
2015-08-28,14.84,14.84,14.67,14.67,500,14.465496
2015-08-27,14.67,14.67,14.67,14.67,200,14.465496
2015-08-26,14.78,14.78,14.60,14.60,600,14.396472
2015-08-25,14.90,14.90,14.61,14.61,1000,14.406332
2015-08-24,14.37,14.70,14.37,14.70,2400,14.495078
2015-08-21,14.84,14.84,14.84,14.84,000,14.633126
2015-08-20,14.80,14.84,14.80,14.84,1000,14.633126
2015-08-19,14.84,14.84,14.84,14.84,000,14.633126
2015-08-18,14.84,14.84,14.84,14.84,000,14.633126
2015-08-17,14.84,14.84,14.84,14.84,100,14.633126
2015-08-14,14.80,14.84,14.80,14.84,500,14.633126
2015-08-13,14.78,14.81,14.78,14.81,1100,14.603545
2015-08-12,14.98,15.05,14.95,15.05,1600,14.840199
2015-08-11,15.20,15.20,15.20,15.20,1000,14.988108
2015-08-10,14.68,14.68,14.68,14.68,200,14.475357
2015-08-07,14.67,14.68,14.67,14.68,200,14.475357
2015-08-06,14.99,14.99,14.99,14.99,500,14.781035
2015-08-05,14.75,14.75,14.75,14.75,000,14.544381
2015-08-04,14.75,14.75,14.75,14.75,000,14.544381
2015-08-03,14.75,14.82,14.75,14.75,2400,14.544381
2015-07-31,14.82,14.82,14.82,14.82,500,14.613405
2015-07-30,14.66,14.68,14.66,14.68,500,14.475357
2015-07-29,14.80,14.80,14.80,14.80,200,14.593684
2015-07-28,14.74,14.74,14.68,14.68,1400,14.475357
2015-07-27,14.66,14.66,14.66,14.66,400,14.455635
2015-07-24,14.83,14.83,14.83,14.83,100,14.623266
2015-07-23,14.80,14.80,14.80,14.80,000,14.593684
2015-07-22,14.80,14.80,14.80,14.80,000,14.593684
2015-07-21,15.00,15.00,14.80,14.80,1200,14.593684
2015-07-20,14.80,14.80,14.80,14.80,000,14.593684
2015-07-17,14.80,14.80,14.79,14.80,4100,14.593684
2015-07-16,14.80,14.91,14.80,14.91,2200,14.70215
2015-07-15,14.70,14.87,14.65,14.65,7600,14.445775
2015-07-14,14.86,14.86,14.86,14.86,000,14.652847
2015-07-13,14.86,14.86,14.86,14.86,200,14.652847
2015-07-10,14.75,15.00,14.75,14.86,2300,14.652847
2015-07-09,14.60,14.60,14.60,14.60,000,14.396472
2015-07-08,14.60,14.68,14.60,14.60,6800,14.396472
