Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,7.28,7.29,7.15,7.26,90300,7.26
2016-06-09,7.28,7.31,7.21,7.30,96900,7.30
2016-06-08,7.31,7.31,7.20,7.26,82400,7.26
2016-06-07,7.28,7.35,7.16,7.32,127400,7.32
2016-06-06,7.24,7.37,7.20,7.29,98900,7.29
2016-06-03,7.37,7.38,7.16,7.24,97500,7.24
2016-06-02,7.34,7.48,7.25,7.38,74100,7.38
2016-06-01,7.24,7.38,7.23,7.35,57200,7.35
2016-05-31,7.19,7.38,7.15,7.25,86600,7.25
2016-05-27,7.18,7.24,7.17,7.19,32600,7.19
2016-05-26,7.24,7.28,7.12,7.16,25700,7.16
2016-05-25,7.30,7.32,7.20,7.25,49400,7.25
2016-05-24,7.36,7.37,7.27,7.28,58600,7.28
2016-05-23,7.02,7.35,7.02,7.29,95200,7.29
2016-05-20,7.00,7.05,6.94,7.02,76900,7.02
2016-05-19,7.01,7.06,6.80,7.04,112200,7.04
2016-05-18,6.99,7.14,6.99,7.07,58500,7.07
2016-05-17,7.11,7.11,6.98,7.00,80200,7.00
2016-05-16,7.00,7.35,6.99,7.15,147500,7.08
2016-05-13,7.01,7.07,6.96,7.03,113300,6.961175
2016-05-12,7.06,7.10,6.96,7.03,95400,6.961175
2016-05-11,7.07,7.14,7.02,7.06,60800,6.990881
2016-05-10,6.90,7.25,6.90,7.10,167100,7.03049
2016-05-09,7.15,7.25,6.84,6.90,171500,6.832448
2016-05-06,7.23,7.35,7.07,7.13,149800,7.060196
2016-05-05,7.36,7.48,7.23,7.25,116900,7.179021
2016-05-04,7.47,7.50,7.40,7.44,61300,7.367161
2016-05-03,7.54,7.59,7.42,7.48,88200,7.406769
2016-05-02,7.65,7.65,7.54,7.56,72700,7.485986
2016-04-29,7.60,7.66,7.51,7.64,64900,7.565203
2016-04-28,7.64,7.64,7.55,7.60,61400,7.525595
2016-04-27,7.60,7.65,7.52,7.64,84300,7.565203
2016-04-26,7.43,7.66,7.41,7.60,67400,7.525595
2016-04-25,7.46,7.50,7.40,7.43,74300,7.357259
2016-04-22,7.49,7.52,7.40,7.42,40700,7.347357
2016-04-21,7.48,7.62,7.45,7.49,83100,7.416671
2016-04-20,7.65,7.65,7.38,7.50,139400,7.426574
2016-04-19,7.57,7.67,7.50,7.66,82300,7.515692
2016-04-18,7.47,7.61,7.45,7.58,122200,7.437199
2016-04-15,7.40,7.48,7.37,7.44,52700,7.299837
2016-04-14,7.42,7.49,7.40,7.42,52300,7.280214
2016-04-13,7.30,7.48,7.30,7.45,147300,7.309648
2016-04-12,7.23,7.30,7.21,7.27,40500,7.13304
2016-04-11,7.26,7.34,7.20,7.24,50900,7.103605
2016-04-08,7.31,7.35,7.20,7.27,58400,7.13304
2016-04-07,7.30,7.36,7.20,7.25,127800,7.113416
2016-04-06,7.33,7.40,7.30,7.36,51800,7.221344
2016-04-05,7.26,7.40,7.26,7.30,43300,7.162475
2016-04-04,7.45,7.45,7.26,7.31,131800,7.172286
2016-04-01,7.36,7.49,7.30,7.49,50100,7.348895
2016-03-31,7.45,7.47,7.26,7.45,176600,7.309648
2016-03-30,7.28,7.48,7.28,7.42,79400,7.280214
2016-03-29,7.25,7.40,7.25,7.37,68800,7.231156
2016-03-28,7.25,7.45,7.24,7.41,79500,7.270402
2016-03-24,7.40,7.40,7.17,7.30,51900,7.162475
2016-03-23,7.35,7.53,7.35,7.37,69100,7.231156
2016-03-22,7.29,7.45,7.21,7.39,80500,7.250779
2016-03-21,7.28,7.31,7.17,7.29,59400,7.152663
2016-03-18,7.29,7.33,7.17,7.28,99700,7.142851
2016-03-17,7.36,7.57,7.16,7.21,196700,7.07417
2016-03-16,7.51,7.59,7.51,7.56,69100,7.348895
2016-03-15,7.45,7.58,7.38,7.56,101200,7.348895
2016-03-14,7.32,7.49,7.25,7.47,225300,7.261408
2016-03-11,7.16,7.35,7.16,7.33,74400,7.125317
2016-03-10,7.18,7.30,7.01,7.11,95200,6.911461
2016-03-09,7.04,7.38,7.03,7.32,145600,7.115597
2016-03-08,7.16,7.18,7.00,7.02,125600,6.823974
2016-03-07,7.10,7.34,7.03,7.09,219200,6.892019
2016-03-04,6.97,7.25,6.94,7.00,185900,6.804532
2016-03-03,6.69,7.06,6.65,6.91,164100,6.717045
2016-03-02,6.67,6.79,6.63,6.75,102300,6.561513
2016-03-01,6.89,6.93,6.68,6.71,127600,6.52263
2016-02-29,6.62,6.94,6.59,6.82,195500,6.629559
2016-02-26,6.41,6.59,6.35,6.55,109100,6.367098
2016-02-25,6.36,6.42,6.23,6.42,76700,6.240728
2016-02-24,6.12,6.46,6.12,6.37,114400,6.192124
2016-02-23,6.11,6.24,6.11,6.15,78000,5.978268
2016-02-22,6.15,6.27,6.10,6.17,114300,5.997709
2016-02-19,6.09,6.18,6.03,6.18,54500,6.00743
2016-02-18,6.18,6.29,6.10,6.18,81300,6.00743
2016-02-17,6.38,6.38,6.08,6.18,128500,6.00743
2016-02-16,5.99,6.32,5.94,6.32,151100,6.143521
2016-02-12,5.65,6.00,5.63,5.99,123200,5.75469
2016-02-11,5.84,5.91,5.63,5.73,196600,5.504904
2016-02-10,5.65,5.94,5.60,5.92,152300,5.68744
2016-02-09,5.99,6.00,5.58,5.71,234000,5.48569
2016-02-08,6.00,6.25,5.63,6.20,328500,5.956441
2016-02-05,6.13,6.20,6.05,6.06,65100,5.82194
2016-02-04,6.13,6.28,6.11,6.16,80200,5.918012
2016-02-03,6.08,6.28,5.98,6.24,134300,5.994869
2016-02-02,6.33,6.36,5.95,5.99,205800,5.75469
2016-02-01,6.02,6.37,5.95,6.33,193700,6.081334
2016-01-29,6.37,6.37,6.02,6.05,232000,5.812333
2016-01-28,6.31,6.49,6.24,6.32,130500,6.071727
2016-01-27,5.98,6.28,5.98,6.22,116600,5.975655
2016-01-26,5.79,6.13,5.77,6.07,209300,5.831548
2016-01-25,6.07,6.08,5.72,5.81,185200,5.581761
2016-01-22,5.75,6.15,5.71,6.07,327400,5.831548
2016-01-21,5.11,6.28,5.11,5.77,658300,5.543333
2016-01-20,4.96,5.03,4.74,4.97,336000,4.77476
2016-01-19,4.87,5.22,4.87,5.02,434100,4.755545
2016-01-15,5.10,5.25,4.71,4.87,505200,4.613447
2016-01-14,6.09,6.10,4.81,5.33,1021200,5.049214
2016-01-13,6.29,6.44,6.15,6.19,315500,5.86391
2016-01-12,6.94,6.98,6.21,6.45,450200,6.110213
2016-01-11,7.07,7.07,6.91,6.92,179900,6.555453
2016-01-08,7.05,7.14,7.00,7.07,123800,6.697551
2016-01-07,7.06,7.12,6.95,7.03,170000,6.659658
2016-01-06,7.19,7.26,7.15,7.22,109500,6.839649
2016-01-05,7.40,7.46,7.21,7.31,72400,6.924908
2016-01-04,7.20,7.39,7.17,7.38,126500,6.99122
2015-12-31,7.14,7.38,7.10,7.31,163400,6.924908
2015-12-30,7.08,7.15,7.00,7.13,127900,6.75439
2015-12-29,7.15,7.23,7.00,7.14,188100,6.763863
2015-12-28,7.37,7.42,7.10,7.10,185000,6.725971
2015-12-24,7.31,7.42,7.30,7.38,40300,6.99122
2015-12-23,7.11,7.35,7.06,7.30,113200,6.915435
2015-12-22,7.19,7.29,7.09,7.15,117300,6.773337
2015-12-21,7.15,7.40,7.13,7.23,145100,6.849122
2015-12-18,7.22,7.30,7.10,7.17,132600,6.792283
2015-12-17,7.35,7.47,7.19,7.24,172100,6.858595
2015-12-16,7.07,7.40,6.98,7.35,190200,6.9628
2015-12-15,7.00,7.17,6.39,7.01,817000,6.5744
2015-12-14,7.62,7.65,6.76,6.97,540100,6.536885
2015-12-11,8.00,8.05,7.42,7.62,436300,7.146494
2015-12-10,8.23,8.23,7.90,8.08,261000,7.57791
2015-12-09,8.21,8.34,8.11,8.21,137000,7.699832
2015-12-08,8.32,8.32,8.11,8.27,98600,7.756104
2015-12-07,8.46,8.51,8.17,8.35,269400,7.831132
2015-12-04,8.55,8.64,8.40,8.51,218200,7.98119
2015-12-03,8.80,8.82,8.55,8.56,155400,8.028083
2015-12-02,8.82,8.84,8.74,8.82,86300,8.271926
2015-12-01,8.76,8.89,8.72,8.86,266300,8.30944
2015-11-30,8.78,8.81,8.69,8.75,192500,8.206276
2015-11-27,8.79,8.79,8.65,8.79,78300,8.243791
2015-11-25,8.78,8.79,8.69,8.77,85300,8.225034
2015-11-24,8.70,8.79,8.67,8.77,167600,8.225034
2015-11-23,8.70,8.72,8.63,8.68,149800,8.140626
2015-11-20,8.69,8.75,8.65,8.68,99900,8.140626
2015-11-19,8.73,8.74,8.64,8.71,93500,8.168762
2015-11-18,8.62,8.73,8.60,8.72,150800,8.178141
2015-11-17,8.67,8.68,8.59,8.63,69100,8.093733
2015-11-16,8.60,8.68,8.56,8.66,62100,8.121869
2015-11-13,8.68,8.72,8.58,8.64,86600,8.103112
2015-11-12,8.65,8.72,8.60,8.72,95100,8.11249
2015-11-11,8.71,8.75,8.65,8.68,94200,8.075277
2015-11-10,8.72,8.75,8.60,8.69,112300,8.08458
2015-11-09,8.75,8.75,8.66,8.72,135300,8.11249
2015-11-06,8.68,8.75,8.66,8.73,103300,8.121793
2015-11-05,8.75,8.79,8.68,8.71,131700,8.103187
2015-11-04,8.72,8.78,8.71,8.75,120600,8.1404
2015-11-03,8.73,8.76,8.69,8.73,183400,8.121793
2015-11-02,8.73,8.73,8.63,8.73,236900,8.121793
2015-10-30,8.57,8.73,8.51,8.66,327900,8.05667
2015-10-29,8.43,8.59,8.43,8.55,171500,7.954334
2015-10-28,8.52,8.52,8.43,8.48,209800,7.88921
2015-10-27,8.43,8.53,8.30,8.49,592200,7.898513
2015-10-26,8.85,8.91,8.78,8.88,78000,8.261343
2015-10-23,9.04,9.04,8.83,8.85,93800,8.233433
2015-10-22,8.95,9.04,8.95,9.01,56800,8.382286
2015-10-21,9.00,9.05,8.96,9.01,61900,8.317163
2015-10-20,9.00,9.04,8.86,8.97,58500,8.280239
2015-10-19,9.05,9.09,8.85,9.02,88200,8.326394
2015-10-16,8.95,9.05,8.95,9.03,122000,8.335624
2015-10-15,8.82,9.00,8.82,8.98,82000,8.289469
2015-10-14,8.88,8.94,8.82,8.83,43200,8.151004
2015-10-13,8.92,8.94,8.80,8.88,43400,8.197159
2015-10-12,8.84,8.95,8.81,8.95,70500,8.261776
2015-10-09,8.95,9.00,8.75,8.76,93400,8.086387
2015-10-08,8.84,9.00,8.82,8.95,67500,8.261776
2015-10-07,8.86,8.93,8.77,8.85,113700,8.169466
2015-10-06,8.72,8.92,8.64,8.85,95800,8.169466
2015-10-05,8.72,8.90,8.55,8.70,166200,8.031
2015-10-02,8.39,8.90,8.36,8.69,99400,8.021769
2015-10-01,8.13,8.53,8.13,8.42,127300,7.772532
2015-09-30,8.21,8.41,8.09,8.13,242700,7.504832
2015-09-29,8.46,8.55,8.14,8.19,301100,7.560217
2015-09-28,8.94,9.03,8.43,8.47,307700,7.818687
2015-09-25,9.06,9.13,8.97,8.98,120300,8.289469
2015-09-24,8.96,9.09,8.91,9.06,63300,8.363318
2015-09-23,8.95,9.08,8.92,9.01,74100,8.317163
2015-09-22,8.92,9.00,8.90,8.95,62100,8.261776
2015-09-21,8.99,9.00,8.92,8.97,70600,8.280239
2015-09-18,8.78,8.94,8.78,8.91,66200,8.224852
2015-09-17,8.89,8.95,8.80,8.80,131800,8.123311
2015-09-16,9.03,9.03,8.92,8.98,93100,8.224852
2015-09-15,8.97,9.05,8.95,9.03,101000,8.270648
