Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,11.00,11.00,10.99,11.00,1200,11.00
2016-06-09,11.00,11.00,10.99,11.00,3200,11.00
2016-06-08,10.95,11.00,10.95,10.99,2100,10.99
2016-06-07,10.96,11.00,10.95,10.95,11800,10.95
2016-06-06,10.51,11.00,10.46,10.81,12600,10.81
2016-06-03,10.46,10.46,10.46,10.46,000,10.46
2016-06-02,10.46,10.46,10.46,10.46,000,10.46
2016-06-01,10.58,11.00,10.46,10.46,6400,10.46
2016-05-31,10.50,10.50,10.50,10.50,300,10.50
2016-05-27,10.69,10.69,10.69,10.69,000,10.69
2016-05-26,10.72,10.80,10.48,10.69,10900,10.69
2016-05-25,10.42,10.45,10.42,10.45,1600,10.45
2016-05-24,10.67,10.67,10.67,10.67,000,10.67
2016-05-23,10.67,10.67,10.67,10.67,000,10.67
2016-05-20,10.67,10.67,10.67,10.67,000,10.67
2016-05-19,10.67,10.67,10.67,10.67,000,10.67
2016-05-18,10.67,10.67,10.67,10.67,000,10.67
2016-05-17,10.66,10.73,10.61,10.67,5500,10.67
2016-05-16,10.46,10.67,10.40,10.63,4200,10.63
2016-05-13,10.33,10.33,10.33,10.33,200,10.33
2016-05-12,10.32,10.32,10.32,10.32,000,10.32
2016-05-11,10.32,10.32,10.32,10.32,000,10.32
2016-05-10,10.32,10.32,10.32,10.32,000,10.32
2016-05-09,10.91,10.91,10.32,10.32,500,10.32
2016-05-06,10.55,10.55,10.55,10.55,300,10.55
2016-05-05,10.45,10.45,10.45,10.45,000,10.45
2016-05-04,10.25,10.45,10.25,10.45,300,10.45
2016-05-03,10.75,10.75,10.75,10.75,000,10.75
2016-05-02,10.75,10.75,10.75,10.75,000,10.75
2016-04-29,10.75,10.75,10.75,10.75,1400,10.75
2016-04-28,10.97,11.05,10.70,10.75,19900,10.75
2016-04-27,11.00,11.00,10.98,10.98,21000,10.98
2016-04-26,11.00,11.00,11.00,11.00,000,11.00
2016-04-25,11.00,11.00,11.00,11.00,000,11.00
2016-04-22,11.00,11.00,11.00,11.00,000,11.00
2016-04-21,11.00,11.00,11.00,11.00,000,11.00
2016-04-20,11.00,11.00,11.00,11.00,000,10.90
2016-04-19,11.00,11.00,11.00,11.00,000,10.90
2016-04-18,11.00,11.00,11.00,11.00,000,10.90
2016-04-15,11.00,11.00,11.00,11.00,000,10.90
2016-04-14,11.00,11.00,11.00,11.00,000,10.90
2016-04-13,11.00,11.00,11.00,11.00,1000,10.90
2016-04-12,11.16,11.16,11.16,11.16,000,11.058545
2016-04-11,11.16,11.16,11.16,11.16,000,11.058545
2016-04-08,11.16,11.16,11.16,11.16,000,11.058545
2016-04-07,11.16,11.16,11.16,11.16,000,11.058545
2016-04-06,11.16,11.16,11.15,11.16,900,11.058545
2016-04-05,11.19,11.19,11.19,11.19,000,11.088272
2016-04-04,11.19,11.19,11.19,11.19,100,11.088272
2016-04-01,10.70,10.97,10.70,10.70,3500,10.602727
2016-03-31,10.35,10.35,10.35,10.35,000,10.25591
2016-03-30,10.35,10.35,10.35,10.35,000,10.25591
2016-03-29,10.50,10.50,10.35,10.35,400,10.25591
2016-03-28,10.81,10.81,10.81,10.81,000,10.711728
2016-03-24,10.81,10.81,10.81,10.81,200,10.711728
2016-03-23,10.50,10.50,10.50,10.50,000,10.404546
2016-03-22,10.50,10.50,10.50,10.50,3800,10.404546
2016-03-21,10.81,10.81,10.81,10.81,000,10.711728
2016-03-18,10.43,10.81,10.43,10.81,1200,10.711728
2016-03-17,10.50,10.50,10.50,10.50,000,10.404546
2016-03-16,10.50,10.50,10.50,10.50,000,10.404546
2016-03-15,10.50,10.50,10.50,10.50,000,10.404546
2016-03-14,10.50,10.50,10.50,10.50,000,10.404546
2016-03-11,10.50,10.50,10.50,10.50,000,10.404546
2016-03-10,10.50,10.50,10.50,10.50,000,10.404546
2016-03-09,10.50,10.50,10.50,10.50,000,10.404546
2016-03-08,10.50,10.50,10.50,10.50,000,10.404546
2016-03-07,10.50,10.50,10.50,10.50,200,10.404546
2016-03-04,10.55,10.55,10.55,10.55,500,10.454091
2016-03-03,10.80,10.80,10.80,10.80,000,10.701818
2016-03-02,10.80,10.80,10.80,10.80,000,10.701818
2016-03-01,10.80,10.80,10.79,10.80,300,10.701818
2016-02-29,10.78,10.80,10.78,10.80,1800,10.701818
2016-02-26,10.48,10.65,10.48,10.56,6300,10.464001
2016-02-25,11.05,11.05,11.05,11.05,000,10.949546
2016-02-24,11.05,11.05,11.05,11.05,000,10.949546
2016-02-23,11.05,11.05,11.05,11.05,000,10.949546
2016-02-22,11.04,11.05,11.01,11.05,1100,10.949546
2016-02-19,11.73,11.73,11.73,11.73,000,11.623363
2016-02-18,11.73,11.73,11.73,11.73,000,11.623363
2016-02-17,11.73,11.73,11.73,11.73,000,11.623363
2016-02-16,11.73,11.73,11.73,11.73,000,11.623363
2016-02-12,11.73,11.73,11.73,11.73,000,11.623363
2016-02-11,11.73,11.73,11.73,11.73,000,11.623363
2016-02-10,11.73,11.73,11.73,11.73,000,11.623363
2016-02-09,11.73,11.73,11.73,11.73,000,11.623363
2016-02-08,11.73,11.73,11.73,11.73,100,11.623363
2016-02-05,11.84,11.84,11.84,11.84,000,11.732364
2016-02-04,11.84,11.84,11.84,11.84,000,11.732364
2016-02-03,11.22,11.84,11.22,11.84,400,11.732364
2016-02-02,11.15,11.15,11.15,11.15,000,11.048636
2016-02-01,11.15,11.15,11.15,11.15,000,11.048636
2016-01-29,11.40,11.40,11.15,11.15,700,11.048636
2016-01-28,11.32,11.32,11.25,11.25,700,11.147727
2016-01-27,11.27,11.96,11.27,11.29,3000,11.187364
2016-01-26,12.00,12.00,12.00,12.00,500,11.890909
2016-01-25,11.51,11.51,11.51,11.51,200,11.405364
2016-01-22,11.33,11.33,11.33,11.33,000,11.227
2016-01-21,11.33,11.33,11.33,11.33,000,11.227
2016-01-20,11.33,11.33,11.33,11.33,300,11.227
2016-01-19,12.00,12.00,12.00,12.00,1300,11.791818
2016-01-15,12.37,12.37,12.37,12.37,000,12.155399
2016-01-14,12.37,12.37,12.37,12.37,000,12.155399
2016-01-13,12.37,12.37,12.37,12.37,000,12.155399
2016-01-12,12.37,12.37,12.37,12.37,000,12.155399
2016-01-11,12.35,12.37,12.35,12.37,600,12.155399
2016-01-08,12.14,12.14,12.12,12.12,200,11.909736
2016-01-07,12.30,12.30,12.30,12.30,800,12.086614
2016-01-06,12.04,12.04,12.04,12.04,000,11.831124
2016-01-05,12.04,12.04,12.04,12.04,000,11.831124
2016-01-04,12.04,12.04,12.04,12.04,5600,11.831124
2015-12-31,12.04,12.04,12.04,12.04,000,11.831124
2015-12-30,12.40,12.77,12.04,12.04,25400,11.831124
2015-12-29,12.38,12.38,12.38,12.38,200,12.165226
2015-12-28,12.38,12.38,12.35,12.35,400,12.135747
2015-12-24,12.00,12.00,12.00,12.00,500,11.791818
2015-12-23,12.04,12.04,12.04,12.04,000,11.831124
2015-12-22,12.04,12.04,12.04,12.04,000,11.831124
2015-12-21,12.04,12.04,12.04,12.04,000,11.831124
2015-12-18,12.06,12.20,12.04,12.04,500,11.831124
2015-12-17,11.81,11.81,11.70,11.73,500,11.526502
2015-12-16,11.70,11.76,11.70,11.74,1000,11.536329
2015-12-15,12.07,12.07,12.07,12.07,000,11.860604
2015-12-14,12.07,12.07,12.07,12.07,000,11.860604
2015-12-11,12.07,12.07,12.07,12.07,000,11.860604
2015-12-10,12.07,12.07,12.07,12.07,000,11.860604
2015-12-09,12.07,12.07,12.07,12.07,000,11.860604
2015-12-08,12.07,12.07,12.07,12.07,400,11.860604
2015-12-07,11.70,11.70,11.70,11.70,000,11.497023
2015-12-04,11.70,11.70,11.70,11.70,000,11.497023
2015-12-03,11.70,11.70,11.70,11.70,000,11.497023
2015-12-02,11.70,11.70,11.70,11.70,500,11.497023
2015-12-01,12.09,12.09,12.09,12.09,000,11.880257
2015-11-30,12.09,12.09,12.09,12.09,000,11.880257
2015-11-27,12.09,12.09,12.09,12.09,000,11.880257
2015-11-25,12.09,12.09,12.09,12.09,100,11.880257
2015-11-24,11.43,11.43,11.43,11.43,000,11.231707
2015-11-23,11.43,11.43,11.43,11.43,200,11.231707
2015-11-20,11.90,11.90,11.90,11.90,000,11.693553
2015-11-19,11.90,11.90,11.90,11.90,000,11.693553
2015-11-18,11.90,11.90,11.90,11.90,2100,11.693553
2015-11-17,12.00,12.00,12.00,12.00,000,11.791818
2015-11-16,12.00,12.00,12.00,12.00,000,11.791818
2015-11-13,12.00,12.00,12.00,12.00,000,11.791818
2015-11-12,12.00,12.00,12.00,12.00,000,11.791818
2015-11-11,12.19,12.25,12.00,12.00,2400,11.791818
2015-11-10,11.90,11.90,11.90,11.90,100,11.693553
2015-11-09,12.60,12.61,12.60,12.61,600,12.391235
2015-11-06,12.60,12.60,12.60,12.60,000,12.38141
2015-11-05,12.60,12.60,12.60,12.60,000,12.38141
2015-11-04,12.60,12.60,12.60,12.60,000,12.38141
2015-11-03,12.60,12.60,12.60,12.60,500,12.38141
2015-11-02,12.60,12.60,12.60,12.60,100,12.38141
2015-10-30,12.60,12.60,12.60,12.60,300,12.38141
2015-10-29,12.55,12.55,12.55,12.55,000,12.332277
2015-10-28,12.55,12.55,12.55,12.55,300,12.332277
2015-10-27,12.55,12.55,12.55,12.55,000,12.332277
2015-10-26,12.55,12.55,12.55,12.55,000,12.332277
2015-10-23,12.55,12.55,12.55,12.55,000,12.332277
2015-10-22,12.55,12.55,12.55,12.55,200,12.332277
2015-10-21,13.06,13.06,13.06,13.06,000,12.833429
2015-10-20,13.06,13.06,13.06,13.06,300,12.833429
2015-10-19,12.62,12.77,12.62,12.77,700,12.548461
2015-10-16,13.06,13.06,13.06,13.06,900,12.833429
2015-10-15,13.06,13.06,13.06,13.06,200,12.833429
2015-10-14,13.25,13.25,13.25,13.25,000,13.020133
2015-10-13,13.25,13.25,13.25,13.25,400,13.020133
2015-10-12,13.70,13.70,13.25,13.25,4400,13.020133
2015-10-09,13.73,13.73,13.73,13.73,100,13.491805
2015-10-08,13.60,13.60,13.48,13.48,1400,13.246142
2015-10-07,12.82,12.82,12.82,12.82,000,12.597592
2015-10-06,12.82,12.82,12.82,12.82,000,12.597592
2015-10-05,12.81,12.88,12.71,12.82,800,12.597592
2015-10-02,13.92,13.97,12.80,12.80,400,12.57794
2015-10-01,12.88,12.88,12.88,12.88,300,12.656552
2015-09-30,12.77,14.20,12.77,14.19,1900,13.943825
