Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,6.11,6.22,6.05,6.05,9000,6.05
2016-06-09,6.17,6.23,6.07,6.10,4200,6.10
2016-06-08,6.11,6.19,6.00,6.14,2400,6.14
2016-06-07,5.77,6.12,5.70,6.12,13200,6.12
2016-06-06,5.64,5.73,5.61,5.73,3000,5.73
2016-06-03,5.46,5.64,5.46,5.60,2500,5.60
2016-06-02,5.64,5.64,5.48,5.52,2800,5.52
2016-06-01,5.57,5.60,5.46,5.59,4300,5.59
2016-05-31,5.44,5.47,5.44,5.47,300,5.47
2016-05-27,5.55,5.55,5.42,5.51,17300,5.51
2016-05-26,5.55,5.55,5.54,5.55,1400,5.55
2016-05-25,5.59,5.59,5.53,5.53,1800,5.53
2016-05-24,5.51,5.65,5.51,5.60,1800,5.60
2016-05-23,5.53,5.53,5.51,5.51,2200,5.51
2016-05-20,5.65,5.65,5.53,5.53,3700,5.53
2016-05-19,5.64,5.65,5.64,5.65,900,5.65
2016-05-18,5.56,5.65,5.55,5.65,6000,5.65
2016-05-17,5.60,5.60,5.54,5.55,8400,5.55
2016-05-16,5.51,5.66,5.51,5.57,1100,5.57
2016-05-13,5.47,5.51,5.47,5.50,1100,5.50
2016-05-12,5.60,5.60,5.48,5.48,11600,5.48
2016-05-11,5.55,5.65,5.55,5.65,1400,5.65
2016-05-10,5.55,5.63,5.45,5.63,3000,5.63
2016-05-09,5.49,5.59,5.49,5.59,900,5.59
2016-05-06,5.45,5.55,5.45,5.55,700,5.55
2016-05-05,5.56,5.72,5.45,5.48,1900,5.48
2016-05-04,5.81,5.81,5.43,5.77,6100,5.77
2016-05-03,5.60,5.76,5.53,5.72,1200,5.72
2016-05-02,5.52,5.71,5.51,5.53,2900,5.53
2016-04-29,5.67,5.72,5.47,5.62,3400,5.62
2016-04-28,5.66,5.72,5.48,5.60,21200,5.60
2016-04-27,5.45,5.62,5.45,5.59,1900,5.59
2016-04-26,5.77,5.77,5.40,5.41,9500,5.41
2016-04-25,5.73,5.73,5.36,5.46,14800,5.46
2016-04-22,5.64,5.82,5.51,5.80,6800,5.80
2016-04-21,5.65,5.65,5.50,5.60,13600,5.60
2016-04-20,5.60,5.79,5.59,5.59,25300,5.59
2016-04-19,5.64,5.82,5.56,5.56,34500,5.56
2016-04-18,5.68,5.81,5.51,5.64,18300,5.64
2016-04-15,5.50,5.75,5.50,5.65,1800,5.65
2016-04-14,5.59,5.59,5.50,5.50,5500,5.50
2016-04-13,5.57,5.60,5.50,5.58,10400,5.546
2016-04-12,5.31,5.59,5.31,5.41,4400,5.377036
2016-04-11,5.60,5.60,5.02,5.45,6800,5.416792
2016-04-08,5.30,5.38,5.18,5.18,9200,5.148437
2016-04-07,5.37,5.60,5.20,5.20,19100,5.168315
2016-04-06,5.50,5.51,5.35,5.37,9800,5.337279
2016-04-05,5.82,5.82,5.38,5.52,9300,5.486365
2016-04-04,5.30,5.83,5.30,5.61,28800,5.575817
2016-04-01,5.05,5.50,5.05,5.30,15600,5.267706
2016-03-31,4.80,5.15,4.80,5.05,23400,5.01923
2016-03-30,4.80,4.80,4.59,4.79,3600,4.760814
2016-03-29,4.80,4.80,4.64,4.79,14200,4.760814
2016-03-28,4.60,4.76,4.54,4.72,8400,4.69124
2016-03-24,4.53,4.53,4.53,4.53,400,4.502398
2016-03-23,4.54,4.62,4.46,4.55,3000,4.522276
2016-03-22,4.50,4.53,4.46,4.53,1900,4.502398
2016-03-21,4.50,4.50,4.42,4.49,6200,4.462641
2016-03-18,4.53,4.57,4.42,4.42,17100,4.393068
2016-03-17,4.51,4.55,4.46,4.47,7200,4.442763
2016-03-16,4.50,4.53,4.50,4.53,2600,4.502398
2016-03-15,4.63,4.63,4.50,4.50,10400,4.472581
2016-03-14,4.60,4.62,4.55,4.56,3800,4.532215
2016-03-11,4.62,4.62,4.56,4.62,7100,4.591849
2016-03-10,4.52,4.63,4.52,4.63,1000,4.601789
2016-03-09,4.63,4.63,4.53,4.62,2900,4.591849
2016-03-08,4.59,4.62,4.40,4.62,17000,4.591849
2016-03-07,4.63,4.67,4.50,4.59,11700,4.562032
2016-03-04,4.67,4.73,4.64,4.64,800,4.611727
2016-03-03,4.72,4.74,4.64,4.64,1100,4.611727
2016-03-02,4.73,4.73,4.67,4.73,2100,4.701179
2016-03-01,4.69,4.74,4.59,4.67,7800,4.641545
2016-02-29,4.57,4.69,4.57,4.69,3100,4.661423
2016-02-26,4.60,4.69,4.57,4.69,1500,4.661423
2016-02-25,4.71,4.74,4.71,4.72,4100,4.69124
2016-02-24,4.69,4.71,4.63,4.71,10200,4.681301
2016-02-23,4.69,4.73,4.69,4.71,2000,4.681301
2016-02-22,4.72,4.72,4.62,4.62,1200,4.591849
2016-02-19,4.70,4.70,4.51,4.58,3800,4.552093
2016-02-18,4.62,4.78,4.50,4.50,18400,4.472581
2016-02-17,4.77,4.77,4.68,4.68,1700,4.651484
2016-02-16,4.70,4.70,4.60,4.63,9100,4.601789
2016-02-12,4.71,4.71,4.50,4.58,18900,4.552093
2016-02-11,4.65,4.84,4.65,4.84,21600,4.810509
2016-02-10,4.65,4.90,4.65,4.90,300,4.870143
2016-02-09,4.89,4.91,4.65,4.88,900,4.850265
2016-02-08,4.60,4.89,4.60,4.88,7300,4.850265
2016-02-05,4.74,4.88,4.74,4.88,2700,4.850265
2016-02-04,4.60,4.89,4.60,4.87,1300,4.840326
2016-02-03,4.75,4.75,4.70,4.70,500,4.671362
2016-02-02,4.77,4.77,4.77,4.77,1000,4.740935
2016-02-01,4.75,4.82,4.75,4.80,2000,4.770753
2016-01-29,4.75,4.89,4.61,4.69,7200,4.661423
2016-01-28,4.89,4.89,4.82,4.85,3600,4.820448
2016-01-27,4.80,4.89,4.77,4.80,8600,4.770753
2016-01-26,4.65,4.76,4.63,4.76,4800,4.730997
2016-01-25,4.35,4.70,4.35,4.70,4300,4.671362
2016-01-22,4.57,4.74,4.21,4.60,18500,4.571971
2016-01-21,4.72,4.72,4.54,4.57,1000,4.542154
2016-01-20,4.47,4.68,4.46,4.67,1200,4.641545
2016-01-19,4.46,4.73,4.46,4.55,1900,4.522276
2016-01-15,4.77,4.77,4.61,4.61,3900,4.58191
2016-01-14,4.72,4.72,4.59,4.68,2100,4.651484
2016-01-13,4.67,4.72,4.42,4.72,900,4.69124
2016-01-12,4.42,4.81,4.42,4.66,2500,4.597813
2016-01-11,4.81,4.81,4.81,4.81,000,4.745811
2016-01-08,4.53,4.81,4.53,4.81,1600,4.745811
2016-01-07,4.85,4.85,4.60,4.60,2000,4.538613
2016-01-06,4.72,4.72,4.72,4.72,000,4.657012
2016-01-05,4.80,4.80,4.72,4.72,500,4.657012
2016-01-04,4.55,4.81,4.55,4.59,2600,4.528747
2015-12-31,4.82,4.82,4.82,4.82,600,4.755678
2015-12-30,4.58,4.78,4.58,4.78,700,4.716212
2015-12-29,4.84,4.84,4.62,4.63,5900,4.568213
2015-12-28,4.85,4.85,4.62,4.62,1500,4.558347
2015-12-24,4.59,4.84,4.59,4.84,600,4.775411
2015-12-23,4.52,4.84,4.52,4.78,2200,4.716212
2015-12-22,4.75,4.75,4.75,4.75,300,4.686612
2015-12-21,4.78,4.79,4.77,4.79,500,4.726078
2015-12-18,4.87,4.87,4.75,4.85,1400,4.785277
2015-12-17,4.67,4.67,4.47,4.67,3300,4.607679
