Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,18.549999,18.709999,18.110001,18.209999,353700,18.209999
2016-06-09,19.709999,19.76,18.75,18.91,702300,18.91
2016-06-08,19.690001,19.93,19.58,19.93,512900,19.93
2016-06-07,19.030001,19.58,18.950001,19.559999,426800,19.559999
2016-06-06,18.84,19.42,18.66,18.98,497300,18.98
2016-06-03,18.42,18.65,17.77,18.389999,741100,18.389999
2016-06-02,16.459999,18.52,16.450001,18.299999,1678500,18.299999
2016-06-01,16.870001,16.889999,16.360001,16.65,416300,16.65
2016-05-31,16.35,17.190001,16.209999,17.01,792700,17.01
2016-05-27,16.76,16.99,16.559999,16.879999,654100,16.879999
2016-05-26,17.040001,17.07,16.35,16.76,366600,16.76
2016-05-25,17.00,17.34,16.719999,17.040001,236800,17.040001
2016-05-24,17.049999,17.10,16.65,16.85,226100,16.85
2016-05-23,17.16,17.43,16.75,16.91,120600,16.91
2016-05-20,17.35,17.49,17.02,17.290001,179300,17.290001
2016-05-19,16.799999,17.290001,16.50,17.219999,271400,17.219999
2016-05-18,17.120001,17.25,16.709999,16.950001,272300,16.950001
2016-05-17,17.290001,17.67,17.139999,17.299999,270200,17.299999
2016-05-16,16.84,17.41,16.59,17.290001,350800,17.290001
2016-05-13,16.799999,17.530001,16.43,16.459999,264100,16.459999
2016-05-12,17.280001,17.60,16.73,16.860001,401300,16.860001
2016-05-11,16.42,17.200001,16.209999,17.129999,289900,17.129999
2016-05-10,16.00,16.68,15.98,16.57,495700,16.57
2016-05-09,16.040001,16.27,15.55,15.94,330200,15.94
2016-05-06,16.00,16.60,15.82,16.18,201500,16.18
2016-05-05,16.690001,16.799999,15.94,16.059999,234800,16.059999
2016-05-04,16.389999,16.84,15.91,16.389999,319100,16.389999
2016-05-03,17.40,17.50,16.629999,17.07,464200,16.492
2016-05-02,16.98,17.76,16.41,17.530001,593400,16.936425
2016-04-29,17.49,17.65,16.530001,16.93,729400,16.356741
2016-04-28,17.85,18.00,17.370001,17.52,440300,16.926763
2016-04-27,17.969999,18.35,17.549999,18.030001,393100,17.419495
2016-04-26,17.700001,17.950001,17.15,17.780001,401100,17.17796
2016-04-25,17.459999,17.780001,16.99,17.52,376500,16.926763
2016-04-22,17.33,17.879999,17.25,17.459999,307900,16.868794
2016-04-21,17.299999,17.299999,16.33,17.059999,684300,16.482338
2016-04-20,16.27,17.52,16.26,17.07,405100,16.492
2016-04-19,16.049999,16.73,15.85,16.379999,420800,15.825363
2016-04-18,15.11,16.10,15.11,15.91,269500,15.371278
2016-04-15,15.49,15.66,15.25,15.35,426100,14.830241
2016-04-14,16.10,16.200001,15.33,15.68,264800,15.149067
2016-04-13,15.94,16.24,15.76,16.09,386200,15.545184
2016-04-12,15.62,15.74,15.55,15.60,304300,15.071776
2016-04-11,15.28,15.60,15.22,15.41,315900,14.888209
2016-04-08,14.86,15.30,14.62,15.08,313900,14.569383
2016-04-07,14.69,14.94,14.34,14.43,198400,13.941392
2016-04-06,14.61,14.71,14.20,14.69,350800,14.192588
2016-04-05,14.15,14.73,14.08,14.30,257100,13.815794
2016-04-04,14.17,14.52,14.00,14.23,224900,13.748164
2016-04-01,14.37,14.44,14.00,14.15,268800,13.670873
2016-03-31,14.51,14.94,14.35,14.69,418800,14.192588
2016-03-30,14.60,15.06,14.49,14.62,277500,14.124958
2016-03-29,14.05,14.56,13.91,14.42,147500,13.931731
2016-03-28,14.35,14.54,13.94,14.33,138100,13.844778
