Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,0.80,0.81,0.79,0.79,99300,0.79
2016-06-09,0.80,0.81,0.79,0.79,69000,0.79
2016-06-08,0.80,0.83,0.79,0.80,91700,0.80
2016-06-07,0.80,0.83,0.76,0.82,242000,0.82
2016-06-06,0.80,0.88,0.78,0.82,361500,0.82
2016-06-03,0.76,0.79,0.76,0.79,96200,0.79
2016-06-02,0.80,0.80,0.76,0.78,105400,0.78
2016-06-01,0.77,0.79,0.75,0.78,137200,0.78
2016-05-31,0.80,0.81,0.79,0.80,247700,0.80
2016-05-27,0.76,0.77,0.70,0.77,598300,0.77
2016-05-26,0.68,0.70,0.67,0.68,85200,0.68
2016-05-25,0.71,0.71,0.66,0.67,308200,0.67
2016-05-24,0.71,0.72,0.66,0.71,222500,0.71
2016-05-23,0.73,0.74,0.69,0.71,150400,0.71
2016-05-20,0.69,0.74,0.67,0.71,132400,0.71
2016-05-19,0.68,0.71,0.67,0.68,219000,0.68
2016-05-18,0.70,0.73,0.70,0.71,148600,0.71
2016-05-17,0.71,0.74,0.69,0.72,249600,0.72
2016-05-16,0.67,0.76,0.67,0.73,216000,0.73
2016-05-13,0.72,0.72,0.67,0.68,144100,0.68
2016-05-12,0.76,0.76,0.70,0.72,256500,0.72
2016-05-11,0.70,0.74,0.70,0.71,185500,0.71
2016-05-10,0.69,0.70,0.68,0.69,221600,0.69
2016-05-09,0.73,0.73,0.67,0.68,297400,0.68
2016-05-06,0.71,0.77,0.70,0.74,276000,0.74
2016-05-05,0.74,0.76,0.70,0.71,334500,0.71
2016-05-04,0.73,0.78,0.72,0.73,363300,0.73
2016-05-03,0.84,0.84,0.76,0.77,750400,0.77
2016-05-02,0.87,0.89,0.84,0.87,834300,0.87
2016-04-29,0.94,0.94,0.86,0.87,1424500,0.87
2016-04-28,0.86,0.98,0.85,0.88,2677200,0.88
2016-04-27,0.86,0.92,0.83,0.90,928000,0.90
2016-04-26,0.85,0.92,0.85,0.90,429500,0.90
2016-04-25,0.89,0.89,0.85,0.85,291200,0.85
2016-04-22,0.85,0.90,0.84,0.89,598100,0.89
2016-04-21,0.82,0.86,0.81,0.84,580200,0.84
2016-04-20,0.83,0.89,0.83,0.85,664000,0.85
