Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,25.17,25.17,25.129999,25.15,6200,25.15
2016-06-09,25.16,25.17,25.129999,25.17,1200,25.17
2016-06-08,25.18,25.200001,25.129999,25.129999,8500,25.129999
2016-06-07,25.16,25.209999,25.139999,25.18,2400,25.18
2016-06-06,25.16,25.200001,25.16,25.16,2900,25.16
2016-06-03,25.16,25.16,25.139999,25.16,14100,25.16
2016-06-02,25.200001,25.200001,25.200001,25.200001,2300,25.200001
2016-06-01,25.200001,25.219999,25.16,25.219999,3600,25.219999
2016-05-31,25.209999,25.219999,25.16,25.200001,1700,25.200001
2016-05-27,25.17,25.209999,25.16,25.17,4300,25.17
2016-05-26,25.25,25.25,25.16,25.16,5200,25.16
2016-05-25,25.17,25.200001,25.17,25.200001,1300,25.200001
2016-05-24,25.10,25.139999,25.10,25.129999,5800,25.129999
2016-05-23,25.15,25.16,25.120001,25.16,12500,25.16
2016-05-20,25.10,25.15,25.07,25.120001,2800,25.120001
2016-05-19,25.049999,25.15,25.049999,25.139999,25800,25.139999
2016-05-18,25.110001,25.16,25.10,25.10,2300,25.10
2016-05-17,25.10,25.200001,25.10,25.10,7400,25.10
2016-05-16,25.26,25.309999,25.200001,25.25,22000,25.102
2016-05-13,25.35,25.35,25.35,25.35,000,25.201414
2016-05-12,25.360001,25.370001,25.35,25.35,1700,25.201414
2016-05-11,25.59,25.59,25.59,25.59,100,25.440007
2016-05-10,25.629999,25.629999,25.629999,25.629999,100,25.479771
2016-05-09,25.35,25.35,25.35,25.35,200,25.201414
2016-05-06,25.360001,25.440001,25.299999,25.43,2400,25.280945
2016-05-05,25.35,25.35,25.35,25.35,3400,25.201414
2016-05-04,25.59,25.799999,25.51,25.51,1500,25.360476
2016-05-03,26.73,26.73,25.51,25.51,16900,25.360476
2016-05-02,25.440001,25.469999,25.440001,25.469999,1000,25.320709
2016-04-29,25.309999,25.309999,25.309999,25.309999,500,25.161647
2016-04-28,25.309999,25.309999,25.309999,25.309999,200,25.161647
2016-04-27,25.33,25.33,25.33,25.33,000,25.181531
2016-04-26,25.33,25.33,25.33,25.33,000,25.181531
2016-04-25,25.33,25.33,25.33,25.33,1000,25.181531
2016-04-22,25.299999,25.299999,25.299999,25.299999,200,25.151706
2016-04-21,25.33,25.33,25.33,25.33,200,25.181531
2016-04-20,25.389999,25.389999,25.290001,25.290001,800,25.141766
2016-04-19,25.40,25.40,25.32,25.389999,2300,25.094046
2016-04-18,25.299999,25.32,25.299999,25.299999,600,25.005095
2016-04-15,25.280001,25.280001,25.280001,25.280001,000,24.98533
2016-04-14,25.280001,25.290001,25.280001,25.280001,1500,24.98533
2016-04-13,25.50,25.50,25.309999,25.49,1600,25.192881
2016-04-12,25.27,25.459999,25.26,25.43,5800,25.133581
2016-04-11,25.27,25.49,25.16,25.280001,3600,24.98533
2016-04-08,25.49,25.50,25.49,25.50,700,25.202765
2016-04-07,25.40,25.40,25.40,25.40,000,25.10393
2016-04-06,25.40,25.40,25.40,25.40,000,25.10393
2016-04-05,25.40,25.40,25.40,25.40,000,25.10393
2016-04-04,25.50,25.50,25.40,25.40,1300,25.10393
2016-04-01,25.50,25.50,25.50,25.50,200,25.202765
2016-03-31,25.700001,25.700001,25.42,25.50,700,25.202765
2016-03-30,25.60,25.60,25.60,25.60,1500,25.301599
2016-03-29,25.42,25.57,25.42,25.57,800,25.271949
2016-03-28,25.450001,25.450001,25.450001,25.450001,000,25.153348
2016-03-24,25.50,25.620001,25.450001,25.450001,1300,25.153348
2016-03-23,25.700001,25.700001,25.700001,25.700001,000,25.400434
2016-03-22,25.700001,25.700001,25.700001,25.700001,1200,25.400434
2016-03-21,25.709999,25.709999,25.709999,25.709999,000,25.410316
2016-03-18,25.50,25.709999,25.50,25.709999,1300,25.410316
2016-03-17,25.60,25.60,25.60,25.60,000,25.301599
2016-03-16,25.60,25.60,25.60,25.60,900,25.155324
2016-03-15,25.65,25.709999,25.450001,25.450001,1500,25.00793
2016-03-14,25.51,25.51,25.51,25.51,000,25.066887
2016-03-11,25.469999,25.51,25.469999,25.51,1300,25.066887
2016-03-10,25.549999,25.639999,25.549999,25.60,1300,25.155324
2016-03-09,25.459999,25.459999,25.459999,25.459999,700,25.017755
2016-03-08,25.50,25.50,25.40,25.40,1100,24.958797
2016-03-07,25.559999,25.559999,25.549999,25.549999,300,25.106192
2016-03-04,25.50,25.59,25.50,25.59,600,25.145498
2016-03-03,25.51,25.690001,25.51,25.60,3300,25.155324
2016-03-02,25.50,25.549999,25.50,25.51,1100,25.066887
2016-03-01,25.469999,25.58,25.469999,25.50,1300,25.057061
2016-02-29,25.59,25.66,25.50,25.50,1000,25.057061
2016-02-26,25.58,25.58,25.58,25.58,600,25.135671
2016-02-25,25.389999,25.610001,25.379999,25.389999,7800,24.948971
2016-02-24,25.299999,25.40,25.219999,25.27,3800,24.831056
2016-02-23,25.52,25.52,25.52,25.52,000,25.076714
2016-02-22,25.280001,25.52,25.209999,25.52,800,25.076714
2016-02-19,25.200001,25.200001,25.200001,25.200001,000,24.762273
2016-02-18,25.35,25.35,25.200001,25.200001,6300,24.762273
2016-02-17,25.389999,25.50,25.15,25.50,6800,25.057061
2016-02-16,25.77,25.799999,25.32,25.790001,5400,25.342024
2016-02-12,25.530001,25.629999,25.42,25.629999,2300,25.039373
2016-02-11,25.360001,25.41,25.35,25.360001,1500,24.775596
2016-02-10,25.51,25.51,25.51,25.51,200,24.922139
2016-02-09,25.35,25.530001,25.35,25.530001,3900,24.941678
2016-02-08,25.35,25.49,25.35,25.35,1500,24.765826
2016-02-05,25.440001,25.530001,25.389999,25.41,8000,24.824443
2016-02-04,25.42,25.49,25.42,25.49,1400,24.902599
2016-02-03,25.42,25.42,25.42,25.42,000,24.834213
2016-02-02,25.49,25.49,25.42,25.42,400,24.834213
2016-02-01,25.35,25.35,25.35,25.35,000,24.765826
2016-01-29,25.35,25.35,25.35,25.35,000,24.765826
2016-01-28,25.40,25.40,25.35,25.35,500,24.765826
2016-01-27,25.35,25.35,25.35,25.35,000,24.765826
2016-01-26,25.290001,25.469999,25.290001,25.35,1400,24.765826
2016-01-25,25.25,25.40,25.25,25.40,900,24.814673
2016-01-22,25.40,25.49,25.26,25.26,1700,24.6779
2016-01-21,25.299999,25.299999,25.299999,25.299999,400,24.716977
2016-01-20,25.23,25.299999,25.23,25.299999,2100,24.716977
2016-01-19,25.49,25.49,25.299999,25.299999,1200,24.426822
2016-01-15,25.389999,25.40,25.25,25.40,4800,24.523371
2016-01-14,25.49,25.49,25.389999,25.389999,3200,24.513716
2016-01-13,25.49,25.49,25.469999,25.49,1700,24.610265
2016-01-12,25.49,25.49,25.41,25.440001,4700,24.561991
2016-01-11,25.450001,25.49,25.440001,25.440001,3300,24.561991
2016-01-08,25.440001,25.440001,25.35,25.43,14200,24.552336
2016-01-07,25.25,25.440001,25.25,25.389999,5700,24.513716
2016-01-06,25.440001,25.440001,25.299999,25.299999,16500,24.426822
2016-01-05,25.299999,25.450001,25.280001,25.299999,14000,24.426822
2016-01-04,25.18,25.299999,25.18,25.299999,7500,24.426822
2015-12-31,25.16,25.17,25.16,25.16,800,24.291654
2015-12-30,25.16,25.16,25.16,25.16,200,24.291654
2015-12-29,25.219999,25.219999,25.219999,25.219999,200,24.349583
2015-12-28,25.120001,25.18,25.120001,25.18,1100,24.310965
2015-12-24,25.18,25.18,25.18,25.18,400,24.310965
2015-12-23,25.129999,25.15,25.02,25.110001,3000,24.243381
2015-12-22,25.299999,25.299999,25.299999,25.299999,1100,24.426822
2015-12-21,25.299999,25.299999,25.09,25.110001,2800,24.243381
2015-12-18,25.24,25.24,25.24,25.24,000,24.368893
2015-12-17,25.24,25.24,25.24,25.24,000,24.368893
2015-12-16,25.23,25.25,25.23,25.24,3800,24.368893
2015-12-15,25.209999,25.209999,25.209999,25.209999,000,24.197037
2015-12-14,25.219999,25.280001,25.15,25.209999,6100,24.197037
2015-12-11,25.200001,25.200001,25.200001,25.200001,300,24.18744
2015-12-10,25.209999,25.209999,25.209999,25.209999,1000,24.197037
2015-12-09,25.209999,25.280001,25.209999,25.219999,500,24.206635
2015-12-08,25.200001,25.290001,25.200001,25.290001,1400,24.273824
2015-12-07,25.299999,25.33,25.290001,25.299999,2500,24.28342
2015-12-04,25.370001,25.370001,25.370001,25.370001,1100,24.350609
2015-12-03,25.299999,25.299999,25.299999,25.299999,000,24.28342
2015-12-02,25.299999,25.299999,25.299999,25.299999,000,24.28342
2015-12-01,25.379999,25.50,25.299999,25.299999,500,24.28342
2015-11-30,25.459999,25.459999,25.299999,25.299999,700,24.28342
2015-11-27,25.25,25.26,25.25,25.26,2100,24.245029
2015-11-25,25.280001,25.280001,25.27,25.27,700,24.254627
2015-11-24,25.25,25.25,25.25,25.25,400,24.23543
2015-11-23,25.299999,25.299999,25.299999,25.299999,800,24.28342
2015-11-20,25.299999,25.299999,25.280001,25.299999,4000,24.28342
2015-11-19,25.290001,25.299999,25.290001,25.299999,1300,24.28342
2015-11-18,25.27,25.299999,25.27,25.290001,1500,24.273824
2015-11-17,25.299999,25.299999,25.25,25.299999,1400,24.28342
2015-11-16,25.25,25.25,25.25,25.25,200,24.23543
2015-11-13,25.26,25.299999,25.25,25.299999,2000,24.28342
2015-11-12,25.57,25.57,25.57,25.57,000,24.400518
2015-11-11,25.57,25.57,25.57,25.57,000,24.400518
2015-11-10,25.57,25.57,25.57,25.57,000,24.400518
2015-11-09,25.57,25.57,25.57,25.57,000,24.400518
2015-11-06,25.40,25.57,25.40,25.57,700,24.400518
2015-11-05,25.50,25.50,25.50,25.50,100,24.333719
2015-11-04,25.59,25.59,25.35,25.35,800,24.19058
2015-11-03,25.469999,25.469999,25.450001,25.459999,900,24.295548
2015-11-02,25.57,25.59,25.57,25.59,1100,24.419603
2015-10-30,25.41,25.58,25.370001,25.58,10100,24.41006
2015-10-29,25.309999,25.35,25.309999,25.35,1600,24.19058
2015-10-28,25.450001,25.450001,25.299999,25.299999,2800,24.142866
2015-10-27,25.299999,25.40,25.299999,25.40,300,24.238293
2015-10-26,25.43,25.43,25.43,25.43,700,24.266921
2015-10-23,25.469999,25.469999,25.280001,25.299999,4400,24.142866
2015-10-22,25.290001,25.290001,25.290001,25.290001,800,24.133325
2015-10-21,25.50,25.50,25.49,25.50,1000,24.192489
2015-10-20,25.68,25.68,25.68,25.68,000,24.363259
2015-10-19,25.360001,25.68,25.360001,25.68,500,24.363259
2015-10-16,25.360001,25.68,25.309999,25.67,6600,24.353772
2015-10-15,25.50,25.68,25.50,25.67,1500,24.353772
2015-10-14,25.360001,25.360001,25.360001,25.360001,100,24.059668
2015-10-13,25.34,25.34,25.34,25.34,100,24.040693
2015-10-12,25.34,25.34,25.34,25.34,400,24.040693
2015-10-09,25.559999,25.68,25.559999,25.67,2100,24.353772
2015-10-08,25.40,25.40,25.40,25.40,000,24.097616
2015-10-07,25.40,25.68,25.40,25.40,2200,24.097616
2015-10-06,25.42,25.42,25.42,25.42,100,24.116591
2015-10-05,25.41,25.68,25.40,25.42,1200,24.116591
2015-10-02,25.66,25.66,25.66,25.66,000,24.344285
2015-10-01,25.66,25.66,25.66,25.66,200,24.344285
2015-09-30,25.68,25.68,25.68,25.68,100,24.363259
2015-09-29,25.40,25.40,25.40,25.40,1000,24.097616
2015-09-28,25.50,25.57,25.49,25.49,600,24.183001
2015-09-25,25.33,25.50,25.33,25.50,300,24.192489
2015-09-24,25.49,25.50,25.40,25.40,1300,24.097616
2015-09-23,25.360001,25.360001,25.360001,25.360001,400,24.059668
2015-09-22,25.379999,25.379999,25.379999,25.379999,100,24.078641
2015-09-21,25.50,25.50,25.40,25.40,1200,24.097616
2015-09-18,25.68,25.68,25.40,25.40,500,24.097616
2015-09-17,25.59,25.59,25.59,25.59,000,24.277874
2015-09-16,25.59,25.59,25.59,25.59,000,24.137463
2015-09-15,25.59,25.59,25.59,25.59,000,24.137463
2015-09-14,25.639999,25.639999,25.49,25.59,700,24.137463
2015-09-11,25.43,25.450001,25.43,25.43,4000,23.986545
2015-09-10,25.700001,25.700001,25.700001,25.700001,300,24.241219
2015-09-09,25.610001,25.610001,25.610001,25.610001,1400,24.156328
2015-09-08,25.549999,25.549999,25.549999,25.549999,300,24.099732
2015-09-04,25.610001,25.610001,25.610001,25.610001,200,24.156328
2015-09-03,25.60,25.60,25.389999,25.389999,800,23.948814
2015-09-02,25.610001,25.610001,25.610001,25.610001,100,24.156328
2015-09-01,25.610001,25.610001,25.610001,25.610001,400,24.156328
2015-08-31,25.57,25.610001,25.540001,25.59,3400,24.137463
2015-08-28,25.35,25.450001,25.35,25.450001,2100,24.00541
2015-08-27,25.34,25.34,25.32,25.33,1100,23.89222
2015-08-26,25.27,25.27,25.27,25.27,300,23.835627
2015-08-25,25.299999,25.299999,25.299999,25.299999,600,23.863923
2015-08-24,25.370001,25.629999,25.34,25.34,1900,23.901653
2015-08-21,25.639999,25.639999,25.639999,25.639999,100,24.184624
2015-08-20,25.65,25.65,25.65,25.65,300,24.194056
2015-08-19,25.65,25.65,25.629999,25.629999,1100,24.175191
2015-08-18,25.65,25.65,25.65,25.65,000,24.194056
2015-08-17,25.60,25.65,25.60,25.65,800,24.054458
2015-08-14,25.51,25.51,25.51,25.51,000,23.923167
2015-08-13,25.51,25.700001,25.51,25.51,1500,23.923167
2015-08-12,25.51,25.530001,25.51,25.51,800,23.923167
2015-08-11,25.66,25.780001,25.51,25.60,2100,24.007569
2015-08-10,25.51,25.51,25.48,25.48,1000,23.895032
2015-08-07,25.559999,25.59,25.559999,25.57,2000,23.979434
2015-08-06,25.799999,25.799999,25.440001,25.57,1500,23.979434
2015-08-05,25.51,25.51,25.51,25.51,300,23.923167
2015-08-04,25.50,25.50,25.41,25.469999,2900,23.885654
2015-08-03,25.379999,25.469999,25.379999,25.469999,1000,23.885654
2015-07-31,25.450001,25.469999,25.450001,25.450001,600,23.8669
2015-07-30,25.459999,25.50,25.389999,25.389999,700,23.810631
2015-07-29,25.469999,25.469999,25.469999,25.469999,300,23.885654
2015-07-28,25.49,25.49,25.49,25.49,500,23.904411
2015-07-27,25.51,25.51,25.379999,25.389999,1400,23.810631
2015-07-24,25.440001,25.48,25.440001,25.440001,3000,23.857522
2015-07-23,25.290001,25.379999,25.290001,25.379999,3400,23.801253
2015-07-22,25.48,25.48,25.24,25.24,2200,23.669962
2015-07-21,25.389999,25.48,25.379999,25.450001,1500,23.728106
2015-07-20,25.40,25.40,25.360001,25.360001,1300,23.644195
2015-07-17,25.48,25.49,25.40,25.40,1400,23.681488
2015-07-16,25.35,25.49,25.35,25.440001,4300,23.718782
2015-07-15,25.440001,25.440001,25.440001,25.440001,400,23.718782
2015-07-14,25.280001,25.280001,25.280001,25.280001,000,23.569608
2015-07-13,25.469999,25.469999,25.200001,25.280001,12000,23.569608
2015-07-10,25.469999,25.469999,25.469999,25.469999,300,23.746751
2015-07-09,25.450001,25.59,25.450001,25.59,600,23.858633
2015-07-08,25.620001,25.620001,25.48,25.59,1200,23.858633
2015-07-07,25.60,25.60,25.459999,25.559999,4000,23.830662
2015-07-06,25.629999,25.629999,25.629999,25.629999,200,23.895926
2015-07-02,25.60,25.60,25.60,25.60,400,23.867957
2015-07-01,25.549999,25.60,25.540001,25.60,2300,23.867957
2015-06-30,25.51,25.60,25.51,25.52,600,23.79337
2015-06-29,25.629999,25.639999,25.49,25.51,2700,23.784046
2015-06-26,25.459999,25.60,25.459999,25.469999,1300,23.746751
2015-06-25,25.559999,25.559999,25.559999,25.559999,100,23.830662
2015-06-24,25.41,25.629999,25.41,25.57,2600,23.839986
2015-06-23,25.40,25.540001,25.40,25.530001,3200,23.802693
2015-06-22,25.52,25.59,25.309999,25.379999,3500,23.662841
2015-06-19,25.57,25.57,25.559999,25.559999,700,23.830662
2015-06-18,25.639999,25.639999,25.549999,25.549999,700,23.821339
2015-06-17,25.540001,25.620001,25.50,25.620001,600,23.886604
2015-06-16,25.65,25.65,25.60,25.65,1500,23.776586
2015-06-15,25.74,25.74,25.610001,25.610001,1100,23.739509
2015-06-12,25.639999,25.639999,25.639999,25.639999,000,23.767316
2015-06-11,25.73,25.77,25.610001,25.639999,1900,23.767316
2015-06-10,25.73,25.73,25.73,25.73,500,23.850743
2015-06-09,25.799999,26.959999,25.709999,25.83,8200,23.94344
2015-06-08,25.709999,25.709999,25.690001,25.700001,3300,23.822935
2015-06-05,25.790001,25.799999,25.790001,25.799999,200,23.91563
2015-06-04,25.719999,25.84,25.67,25.84,900,23.952709
2015-06-03,25.799999,25.799999,25.799999,25.799999,000,23.91563
2015-06-02,25.77,25.809999,25.67,25.799999,700,23.91563
2015-06-01,25.620001,25.65,25.620001,25.65,1700,23.776586
2015-05-29,25.85,25.85,25.610001,25.75,3600,23.869283
2015-05-28,25.68,25.85,25.559999,25.85,4200,23.961979
2015-05-27,25.530001,25.690001,25.530001,25.639999,4400,23.767316
2015-05-26,25.629999,25.629999,25.629999,25.629999,000,23.758046
2015-05-22,25.629999,25.629999,25.629999,25.629999,1000,23.758046
2015-05-21,25.549999,25.629999,25.549999,25.629999,1300,23.758046
2015-05-20,25.530001,25.639999,25.51,25.540001,1800,23.674621
2015-05-19,25.68,25.68,25.52,25.52,4000,23.656082
2015-05-18,25.690001,25.690001,25.65,25.65,900,23.776586
2015-05-15,25.690001,25.690001,25.690001,25.690001,500,23.813665
2015-05-14,25.73,25.73,25.73,25.73,400,23.713552
2015-05-13,25.66,25.66,25.559999,25.610001,4000,23.602958
2015-05-12,25.66,25.66,25.629999,25.65,1900,23.639822
2015-05-11,25.65,25.860001,25.65,25.65,3400,23.639822
2015-05-08,25.68,25.68,25.620001,25.620001,1900,23.612174
2015-05-07,25.68,25.68,25.68,25.68,000,23.667472
2015-05-06,25.75,25.76,25.68,25.68,3100,23.667472
2015-05-05,25.950001,25.950001,25.77,25.77,1400,23.750418
2015-05-04,25.879999,25.879999,25.879999,25.879999,000,23.851797
2015-05-01,25.84,25.879999,25.84,25.879999,2000,23.851797
2015-04-30,25.85,25.85,25.75,25.84,1400,23.814932
2015-04-29,25.83,25.83,25.83,25.83,700,23.805716
2015-04-28,25.67,25.75,25.67,25.75,4600,23.731985
2015-04-27,25.549999,25.68,25.549999,25.68,1500,23.667472
2015-04-24,25.75,25.75,25.620001,25.620001,600,23.612174
2015-04-23,25.799999,25.799999,25.799999,25.799999,000,23.778066
2015-04-22,25.74,25.799999,25.68,25.799999,4000,23.778066
2015-04-21,25.75,25.75,25.75,25.75,700,23.595584
2015-04-20,25.75,25.75,25.639999,25.639999,2300,23.494787
2015-04-17,25.68,25.75,25.65,25.65,5600,23.503951
2015-04-16,25.690001,25.690001,25.60,25.620001,1800,23.476462
2015-04-15,25.60,25.610001,25.59,25.610001,3000,23.467298
2015-04-14,25.60,25.65,25.60,25.65,1600,23.503951
2015-04-13,25.60,25.60,25.60,25.60,300,23.458135
2015-04-10,25.65,25.65,25.59,25.60,2600,23.458135
2015-04-09,25.66,25.66,25.65,25.65,900,23.503951
2015-04-08,25.75,25.75,25.620001,25.65,2600,23.503951
2015-04-07,25.77,25.879999,25.75,25.75,3700,23.595584
2015-04-06,25.65,25.700001,25.65,25.65,1200,23.503951
2015-04-02,25.77,25.77,25.77,25.77,200,23.613912
2015-04-01,25.709999,25.76,25.709999,25.76,1200,23.604748
2015-03-31,25.690001,25.99,25.690001,25.92,3500,23.751361
2015-03-30,25.66,25.75,25.58,25.58,3100,23.439808
2015-03-27,25.860001,25.860001,25.860001,25.860001,400,23.696382
2015-03-26,25.65,25.90,25.65,25.85,2000,23.687218
2015-03-25,25.65,25.65,25.65,25.65,200,23.503951
2015-03-24,25.549999,25.549999,25.549999,25.549999,000,23.412317
2015-03-23,25.700001,25.700001,25.549999,25.549999,1600,23.412317
2015-03-20,25.76,25.76,25.76,25.76,000,23.604748
2015-03-19,25.76,25.76,25.76,25.76,1100,23.604748
2015-03-18,25.65,25.66,25.65,25.66,600,23.513114
2015-03-17,25.709999,25.709999,25.709999,25.709999,000,23.423313
2015-03-16,25.59,25.709999,25.59,25.709999,1500,23.423313
2015-03-13,25.59,25.610001,25.59,25.60,1400,23.323098
2015-03-12,25.59,25.60,25.59,25.60,1000,23.323098
2015-03-11,25.59,25.59,25.59,25.59,200,23.313987
2015-03-10,25.65,25.77,25.549999,25.77,4000,23.477978
2015-03-09,25.700001,25.700001,25.700001,25.700001,100,23.414204
2015-03-06,25.60,25.700001,25.60,25.67,900,23.386871
2015-03-05,25.639999,25.74,25.620001,25.74,2100,23.450645
2015-03-04,25.610001,25.77,25.610001,25.77,7200,23.477978
2015-03-03,25.59,25.59,25.58,25.58,600,23.304876
2015-03-02,25.700001,25.700001,25.700001,25.700001,000,23.414204
2015-02-27,25.700001,25.76,25.700001,25.700001,1100,23.414204
2015-02-26,25.58,25.700001,25.58,25.700001,2500,23.414204
2015-02-25,25.66,25.700001,25.66,25.700001,200,23.414204
2015-02-24,25.700001,25.700001,25.700001,25.700001,1300,23.414204
2015-02-23,25.68,25.700001,25.68,25.700001,1000,23.414204
2015-02-20,25.610001,25.610001,25.610001,25.610001,1700,23.332208
2015-02-19,25.65,25.65,25.65,25.65,000,23.36865
2015-02-18,25.690001,25.690001,25.65,25.65,500,23.36865
2015-02-17,25.639999,25.700001,25.639999,25.700001,900,23.414204
2015-02-13,25.700001,25.700001,25.639999,25.639999,2400,23.359539
2015-02-12,25.780001,25.790001,25.700001,25.700001,3200,23.279367
2015-02-11,25.67,25.67,25.67,25.67,000,23.252192
2015-02-10,25.700001,25.700001,25.610001,25.67,3600,23.252192
2015-02-09,25.700001,25.76,25.700001,25.700001,3200,23.279367
2015-02-06,25.66,25.66,25.66,25.66,800,23.243133
2015-02-05,25.709999,25.709999,25.709999,25.709999,100,23.288423
2015-02-04,25.809999,25.82,25.809999,25.82,1900,23.388063
2015-02-03,25.82,25.82,25.82,25.82,400,23.388063
2015-02-02,25.799999,25.799999,25.799999,25.799999,000,23.369946
2015-01-30,25.65,25.85,25.65,25.799999,3600,23.369946
2015-01-29,25.690001,25.719999,25.690001,25.719999,1100,23.297482
2015-01-28,25.700001,25.700001,25.65,25.65,900,23.234075
2015-01-27,25.700001,25.700001,25.700001,25.700001,000,23.279367
2015-01-26,25.690001,25.700001,25.58,25.700001,1800,23.279367
2015-01-23,25.60,25.68,25.559999,25.68,500,23.26125
2015-01-22,25.700001,25.700001,25.60,25.60,2800,23.188785
2015-01-21,25.68,25.700001,25.68,25.690001,1300,23.270308
2015-01-20,25.690001,25.690001,25.690001,25.690001,000,23.13625
2015-01-16,25.690001,25.690001,25.690001,25.690001,000,23.13625
2015-01-15,25.67,25.690001,25.610001,25.690001,900,23.13625
2015-01-14,25.65,25.700001,25.65,25.700001,1300,23.145256
2015-01-13,25.700001,25.700001,25.700001,25.700001,500,23.145256
2015-01-12,25.700001,25.700001,25.690001,25.690001,2000,23.13625
2015-01-09,25.67,25.790001,25.67,25.790001,900,23.226309
2015-01-08,25.700001,25.790001,25.700001,25.790001,1000,23.226309
2015-01-07,25.700001,25.799999,25.700001,25.700001,2100,23.145256
2015-01-06,25.809999,25.809999,25.68,25.68,600,23.127243
2015-01-05,25.85,25.85,25.85,25.85,3500,23.280344
2015-01-02,25.799999,25.799999,25.799999,25.799999,000,23.235314
2014-12-31,25.75,25.83,25.75,25.799999,600,23.235314
2014-12-30,25.780001,25.780001,25.65,25.73,1500,23.172272
2014-12-29,25.73,25.75,25.700001,25.75,700,23.190285
2014-12-26,25.85,25.85,25.66,25.66,1800,23.109231
2014-12-24,25.65,25.65,25.65,25.65,000,23.100225
2014-12-23,25.65,25.65,25.65,25.65,1400,23.100225
2014-12-22,25.74,25.74,25.74,25.74,000,23.181279
2014-12-19,25.75,25.75,25.65,25.74,300,23.181279
2014-12-18,25.75,25.75,25.74,25.74,600,23.181279
2014-12-17,25.83,25.83,25.65,25.75,2100,23.190285
2014-12-16,25.719999,25.790001,25.67,25.790001,1600,23.093021
2014-12-15,25.950001,25.950001,25.75,25.780001,1900,23.084067
2014-12-12,25.83,25.83,25.83,25.83,000,23.128837
2014-12-11,25.83,25.83,25.83,25.83,200,23.128837
2014-12-10,25.83,25.83,25.83,25.83,000,23.128837
