Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,25.35,25.35,25.35,25.35,000,25.35
2016-06-09,25.34,25.35,25.309999,25.35,2100,25.35
2016-06-08,25.27,25.360001,25.26,25.26,2600,25.26
2016-06-07,25.309999,25.309999,25.309999,25.309999,000,25.309999
2016-06-06,25.309999,25.309999,25.309999,25.309999,000,25.309999
2016-06-03,25.370001,25.370001,25.309999,25.309999,400,25.309999
2016-06-02,25.24,25.26,25.209999,25.26,1600,25.26
2016-06-01,25.290001,25.32,25.27,25.32,5300,25.32
2016-05-31,25.33,25.35,25.139999,25.16,9300,25.16
2016-05-27,25.35,25.35,25.35,25.35,000,25.35
2016-05-26,25.209999,25.35,25.209999,25.35,7500,25.35
2016-05-25,25.18,25.18,25.129999,25.18,7600,25.18
2016-05-24,25.24,25.24,25.10,25.120001,2200,25.120001
2016-05-23,25.15,25.23,25.15,25.200001,16500,25.200001
2016-05-20,25.09,25.09,25.040001,25.059999,5300,25.059999
2016-05-19,25.049999,25.059999,25.049999,25.059999,1300,25.059999
2016-05-18,25.120001,25.129999,25.02,25.040001,23000,25.040001
2016-05-17,25.00,25.34,25.00,25.15,4000,25.15
2016-05-16,25.40,25.42,25.200001,25.200001,7900,25.044001
2016-05-13,25.59,25.610001,25.58,25.58,1000,25.421647
2016-05-12,25.40,25.59,25.40,25.59,500,25.431586
2016-05-11,25.530001,25.629999,25.50,25.620001,3000,25.461401
2016-05-10,25.48,25.48,25.440001,25.440001,400,25.282515
2016-05-09,25.459999,25.459999,25.35,25.389999,1100,25.232823
2016-05-06,25.41,25.41,25.35,25.35,1600,25.193072
2016-05-05,25.41,25.41,25.299999,25.379999,3900,25.222885
2016-05-04,25.370001,25.40,25.34,25.34,1800,25.183133
2016-05-03,25.40,25.440001,25.35,25.43,1500,25.272576
2016-05-02,25.219999,25.41,25.219999,25.33,4600,25.173195
2016-04-29,25.23,25.35,25.23,25.299999,2100,25.14338
2016-04-28,25.299999,25.35,25.299999,25.33,3000,25.173195
2016-04-27,25.32,25.33,25.200001,25.299999,7300,25.14338
2016-04-26,25.33,25.33,25.15,25.32,3100,25.163257
2016-04-25,25.25,25.280001,25.15,25.25,4000,25.09369
2016-04-22,25.290001,25.290001,25.190001,25.25,1800,25.09369
2016-04-21,25.190001,25.190001,25.190001,25.190001,000,25.034062
2016-04-20,25.290001,25.290001,25.16,25.190001,7600,25.034062
2016-04-19,25.33,25.35,25.16,25.32,1500,25.008222
2016-04-18,25.27,25.34,25.24,25.32,10100,25.008222
2016-04-15,25.370001,25.370001,25.309999,25.309999,700,24.998345
2016-04-14,25.280001,25.280001,25.280001,25.280001,300,24.968716
2016-04-13,25.15,25.280001,25.15,25.280001,300,24.968716
2016-04-12,25.129999,25.34,25.10,25.27,24700,24.958839
2016-04-11,25.139999,25.42,25.139999,25.34,1000,25.027976
2016-04-08,25.16,25.469999,25.08,25.34,8000,25.027976
2016-04-07,25.059999,25.190001,25.059999,25.07,2100,24.761301
2016-04-06,25.16,25.200001,25.059999,25.059999,900,24.751424
2016-04-05,25.030001,25.190001,25.030001,25.139999,4200,24.830438
2016-04-04,25.190001,25.190001,25.02,25.040001,34000,24.731671
2016-04-01,25.200001,25.370001,25.15,25.299999,3100,24.988468
2016-03-31,25.33,25.370001,25.25,25.26,600,24.948962
2016-03-30,25.049999,25.18,25.049999,25.18,5600,24.869947
2016-03-29,25.049999,25.10,25.049999,25.10,2200,24.790932
2016-03-28,25.030001,25.030001,25.00,25.00,3200,24.692163
2016-03-24,24.959999,25.049999,24.959999,25.00,1700,24.692163
2016-03-23,25.00,25.049999,24.959999,24.99,25800,24.682286
2016-03-22,25.00,25.18,24.99,25.059999,15800,24.751424
2016-03-21,25.200001,25.27,25.10,25.27,800,24.958839
2016-03-18,25.00,25.15,24.959999,25.10,20400,24.790932
2016-03-17,25.00,25.00,24.85,24.98,22000,24.672409
2016-03-16,25.24,25.24,25.24,25.24,900,24.775129
2016-03-15,25.32,25.32,25.32,25.32,200,24.853656
2016-03-14,25.440001,25.58,25.23,25.58,2700,25.108867
2016-03-11,25.25,25.25,25.25,25.25,600,24.784945
2016-03-10,25.389999,25.389999,25.200001,25.200001,2200,24.735867
2016-03-09,25.08,25.389999,25.08,25.389999,7100,24.922366
2016-03-08,25.15,25.629999,25.00,25.00,35800,24.53955
2016-03-07,26.00,26.00,26.00,26.00,400,25.521132
2016-03-04,25.90,25.90,25.90,25.90,700,25.422973
2016-03-03,25.85,25.90,25.85,25.90,700,25.422973
2016-03-02,25.90,25.90,25.870001,25.870001,900,25.393527
2016-03-01,25.85,26.00,25.85,26.00,1900,25.521132
2016-02-29,25.99,25.99,25.85,25.870001,1700,25.393527
2016-02-26,25.620001,25.65,25.620001,25.65,900,25.177578
2016-02-25,25.65,25.65,25.65,25.65,1100,25.177578
2016-02-24,25.799999,26.049999,25.65,25.709999,2900,25.236472
2016-02-23,25.32,25.34,25.32,25.34,600,24.873288
2016-02-22,25.35,25.50,25.35,25.50,400,25.030341
2016-02-19,25.290001,25.35,25.18,25.34,7900,24.873288
2016-02-18,25.35,25.35,25.25,25.35,3000,24.883104
2016-02-17,25.40,25.40,25.40,25.40,400,24.932182
2016-02-16,25.299999,25.299999,25.299999,25.299999,000,24.834023
2016-02-12,25.40,25.40,25.299999,25.299999,800,24.680897
2016-02-11,25.35,25.809999,25.35,25.809999,1300,25.178417
2016-02-10,25.60,25.60,25.60,25.60,200,24.973557
2016-02-09,25.969999,25.969999,25.969999,25.969999,000,25.334502
2016-02-08,25.32,25.98,25.32,25.969999,1700,25.334502
2016-02-05,25.33,25.34,25.33,25.34,200,24.719919
2016-02-04,25.379999,25.98,25.379999,25.98,1200,25.344257
2016-02-03,25.370001,25.370001,25.370001,25.370001,000,24.749186
2016-02-02,25.370001,25.370001,25.370001,25.370001,700,24.749186
2016-02-01,25.25,25.370001,25.25,25.370001,1800,24.749186
2016-01-29,25.25,25.25,25.25,25.25,200,24.632121
2016-01-28,25.23,25.40,25.209999,25.40,2100,24.77845
2016-01-27,25.51,25.51,25.51,25.51,000,24.885759
2016-01-26,25.51,25.51,25.51,25.51,000,24.885759
2016-01-25,25.00,25.51,25.00,25.51,700,24.885759
2016-01-22,25.98,25.98,25.98,25.98,200,25.344257
2016-01-21,25.200001,25.65,25.200001,25.299999,1100,24.680897
2016-01-20,25.50,25.50,25.200001,25.200001,700,24.583345
2016-01-19,25.299999,25.299999,25.299999,25.299999,900,24.528714
2016-01-15,25.799999,25.799999,25.799999,25.799999,000,25.013472
2016-01-14,25.799999,25.799999,25.799999,25.799999,100,25.013472
2016-01-13,25.610001,25.610001,25.35,25.35,1700,24.577191
2016-01-12,25.60,26.25,25.60,26.25,700,25.449754
2016-01-11,25.950001,25.950001,25.60,25.60,2500,24.81957
2016-01-08,25.969999,25.969999,25.969999,25.969999,500,25.178289
2016-01-07,25.60,26.00,25.60,26.00,5800,25.207375
2016-01-06,25.370001,25.469999,25.33,25.469999,4900,24.693532
2016-01-05,25.200001,25.360001,25.139999,25.299999,3800,24.528714
2016-01-04,25.219999,25.219999,25.219999,25.219999,900,24.451153
2015-12-31,25.059999,25.059999,25.059999,25.059999,000,24.296031
2015-12-30,25.059999,25.059999,25.059999,25.059999,200,24.296031
2015-12-29,25.17,25.17,25.10,25.10,900,24.334813
2015-12-28,25.049999,25.049999,25.049999,25.049999,400,24.286336
2015-12-24,25.01,25.01,25.01,25.01,100,24.247556
2015-12-23,25.00,25.08,25.00,25.030001,700,24.266947
2015-12-22,24.950001,25.15,24.950001,25.15,1000,24.383288
2015-12-21,25.16,25.16,25.16,25.16,000,24.392983
2015-12-18,25.10,25.16,25.10,25.16,500,24.392983
2015-12-17,24.90,25.00,24.90,25.00,6200,24.237861
2015-12-16,25.10,25.10,24.85,24.85,2400,24.092434
2015-12-15,25.10,25.10,25.02,25.02,1400,24.106006
2015-12-14,25.15,25.200001,25.10,25.10,3500,24.183083
2015-12-11,25.379999,25.379999,25.379999,25.379999,500,24.452854
2015-12-10,25.379999,25.379999,25.360001,25.360001,800,24.433586
2015-12-09,25.17,25.17,25.17,25.17,000,24.250526
2015-12-08,25.290001,25.290001,25.110001,25.17,1600,24.250526
2015-12-07,25.32,25.32,25.32,25.32,000,24.395046
2015-12-04,25.32,25.32,25.32,25.32,700,24.395046
2015-12-03,25.389999,25.389999,25.389999,25.389999,000,24.462489
2015-12-02,25.389999,25.389999,25.389999,25.389999,200,24.462489
2015-12-01,25.200001,25.299999,25.200001,25.299999,1300,24.375776
2015-11-30,25.370001,25.389999,25.370001,25.389999,1800,24.462489
2015-11-27,25.33,25.33,25.33,25.33,000,24.404681
2015-11-25,25.34,25.34,25.33,25.33,400,24.404681
2015-11-24,25.120001,25.120001,25.120001,25.120001,000,24.202353
2015-11-23,25.120001,25.120001,25.120001,25.120001,000,24.202353
2015-11-20,25.120001,25.120001,25.120001,25.120001,200,24.202353
2015-11-19,25.110001,25.110001,25.110001,25.110001,000,24.192718
2015-11-18,25.110001,25.110001,25.110001,25.110001,200,24.192718
2015-11-17,25.129999,25.129999,25.129999,25.129999,100,24.211986
2015-11-16,25.200001,25.200001,25.10,25.120001,1000,24.202353
2015-11-13,25.15,25.200001,25.059999,25.200001,3100,24.279431
2015-11-12,25.389999,25.389999,25.389999,25.389999,000,24.312188
2015-11-11,25.379999,25.389999,25.379999,25.389999,200,24.312188
2015-11-10,25.290001,25.290001,25.290001,25.290001,000,24.216434
2015-11-09,25.379999,25.42,25.290001,25.290001,1200,24.216434
2015-11-06,25.299999,25.40,25.10,25.40,3400,24.321763
2015-11-05,25.32,25.360001,25.32,25.32,1300,24.245159
2015-11-04,25.299999,25.379999,25.299999,25.299999,1400,24.226008
2015-11-03,25.25,25.25,25.08,25.120001,1000,24.053651
2015-11-02,25.25,25.25,25.25,25.25,100,24.178131
2015-10-30,25.25,25.25,25.25,25.25,700,24.178131
2015-10-29,25.35,25.35,25.35,25.35,500,24.273887
2015-10-28,25.33,25.33,25.33,25.33,300,24.254735
2015-10-27,25.34,25.34,25.34,25.34,700,24.264311
2015-10-26,25.02,25.02,25.02,25.02,000,23.957895
2015-10-23,25.02,25.02,25.02,25.02,800,23.957895
2015-10-22,24.950001,24.959999,24.91,24.959999,900,23.900441
2015-10-21,25.41,25.41,25.379999,25.40,500,24.172386
2015-10-20,25.309999,25.309999,25.309999,25.309999,500,24.086735
2015-10-19,25.299999,25.299999,25.299999,25.299999,000,24.077218
2015-10-16,25.299999,25.299999,25.299999,25.299999,000,24.077218
2015-10-15,25.33,25.34,25.299999,25.299999,1200,24.077218
2015-10-14,25.370001,25.370001,25.00,25.00,800,23.791718
2015-10-13,24.99,25.33,24.91,25.33,1600,24.105769
2015-10-12,25.02,25.02,25.02,25.02,100,23.810752
2015-10-09,25.25,25.25,25.25,25.25,400,24.029636
2015-10-08,25.01,25.01,24.99,24.99,500,23.782202
2015-10-07,25.25,25.290001,25.139999,25.290001,2300,24.067703
2015-10-06,25.200001,25.200001,25.200001,25.200001,400,23.982053
2015-10-05,25.040001,25.049999,25.02,25.049999,2600,23.839301
2015-10-02,25.09,25.09,25.09,25.09,400,23.877369
2015-10-01,24.889999,24.889999,24.889999,24.889999,300,23.687034
2015-09-30,25.16,25.16,25.16,25.16,800,23.943985
2015-09-29,25.00,25.07,25.00,25.07,400,23.858335
2015-09-28,24.90,24.959999,24.90,24.959999,200,23.753651
2015-09-25,24.90,24.90,24.90,24.90,000,23.696551
2015-09-24,24.91,24.91,24.50,24.90,3800,23.696551
2015-09-23,25.10,25.10,24.91,24.92,3400,23.715585
2015-09-22,25.01,25.01,25.01,25.01,000,23.801235
2015-09-21,25.00,25.01,25.00,25.01,900,23.801235
2015-09-18,25.00,25.00,24.99,25.00,1100,23.791718
2015-09-17,25.059999,25.059999,25.059999,25.059999,100,23.848818
2015-09-16,25.00,25.02,24.91,24.950001,3200,23.595675
2015-09-15,25.16,25.18,25.16,25.18,200,23.81319
2015-09-14,25.030001,25.030001,25.00,25.00,800,23.64296
2015-09-11,25.200001,25.299999,25.030001,25.15,2400,23.784818
2015-09-10,25.16,25.16,25.16,25.16,000,23.794275
2015-09-09,25.200001,25.200001,25.16,25.16,500,23.794275
2015-09-08,25.139999,25.15,25.129999,25.15,500,23.784818
2015-09-04,25.120001,25.120001,25.120001,25.120001,000,23.756447
2015-09-03,25.120001,25.120001,25.120001,25.120001,000,23.756447
2015-09-02,25.459999,25.459999,25.120001,25.120001,400,23.756447
2015-09-01,25.02,25.02,25.02,25.02,000,23.661875
2015-08-31,25.459999,25.459999,24.799999,25.02,2200,23.661875
2015-08-28,25.110001,25.110001,24.99,24.99,1100,23.633503
