Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,25.41,25.43,25.41,25.43,600,25.43
2016-06-09,25.469999,25.469999,25.309999,25.309999,1000,25.309999
2016-06-08,25.299999,25.49,25.27,25.49,2900,25.49
2016-06-07,25.299999,25.35,25.27,25.35,1100,25.35
2016-06-06,25.50,25.50,25.35,25.35,600,25.35
2016-06-03,25.540001,25.540001,25.200001,25.440001,5000,25.440001
2016-06-02,25.629999,25.629999,25.540001,25.540001,700,25.540001
2016-06-01,25.379999,25.49,25.379999,25.49,1300,25.49
2016-05-31,25.389999,25.440001,25.35,25.440001,5600,25.440001
2016-05-27,25.389999,25.389999,25.33,25.360001,1400,25.360001
2016-05-26,25.360001,25.57,25.309999,25.370001,2800,25.370001
2016-05-25,25.290001,25.34,25.290001,25.34,300,25.34
2016-05-24,25.27,25.290001,25.26,25.280001,1000,25.280001
2016-05-23,25.200001,25.370001,25.200001,25.26,18100,25.26
2016-05-20,25.030001,25.120001,25.02,25.120001,2000,25.120001
2016-05-19,25.030001,25.10,25.02,25.10,6500,25.10
2016-05-18,25.209999,25.27,25.01,25.02,5800,25.02
2016-05-17,25.23,25.450001,25.23,25.33,2400,25.33
2016-05-16,26.02,26.02,25.40,25.50,15300,25.339
2016-05-13,25.74,25.90,25.74,25.90,700,25.736474
2016-05-12,25.709999,25.709999,25.709999,25.709999,1100,25.547673
2016-05-11,25.709999,25.709999,25.709999,25.709999,1300,25.547673
2016-05-10,25.620001,25.639999,25.620001,25.639999,900,25.478115
2016-05-09,25.620001,25.620001,25.620001,25.620001,1700,25.458243
2016-05-06,25.559999,25.57,25.559999,25.57,500,25.408557
2016-05-05,25.50,25.57,25.50,25.57,1200,25.408557
2016-05-04,25.610001,25.610001,25.549999,25.549999,2300,25.388683
2016-05-03,25.68,25.68,25.60,25.60,500,25.438369
2016-05-02,25.450001,25.709999,25.450001,25.709999,300,25.547673
2016-04-29,25.379999,25.41,25.379999,25.41,300,25.249568
2016-04-28,25.549999,25.549999,25.379999,25.379999,1400,25.219756
2016-04-27,25.709999,25.709999,25.709999,25.709999,300,25.547673
2016-04-26,25.84,25.84,25.84,25.84,000,25.676853
2016-04-25,25.84,25.84,25.84,25.84,600,25.676853
2016-04-22,25.83,25.83,25.83,25.83,000,25.666916
2016-04-21,25.57,25.84,25.57,25.83,1700,25.666916
2016-04-20,25.799999,25.799999,25.66,25.66,2800,25.497989
2016-04-19,25.799999,25.799999,25.780001,25.780001,2500,25.45725
2016-04-18,25.700001,25.76,25.700001,25.76,600,25.4375
2016-04-15,25.700001,25.700001,25.700001,25.700001,000,25.378252
2016-04-14,25.700001,25.700001,25.700001,25.700001,200,25.378252
