Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.51,15.75,15.24,15.56,21700,15.56
2016-06-09,15.48,15.68,15.14,15.50,39600,15.50
2016-06-08,15.31,15.80,15.12,15.50,45700,15.50
2016-06-07,15.25,15.56,15.07,15.27,49500,15.27
2016-06-06,15.24,15.50,14.945,15.35,89200,15.35
2016-06-03,15.25,15.30,14.90,15.25,16600,15.25
2016-06-02,15.30,15.484,15.052,15.25,50400,15.25
2016-06-01,14.40,15.67,14.40,15.33,175800,15.33
2016-05-31,14.045,14.48,14.045,14.40,75200,14.40
2016-05-27,14.20,14.20,13.95,14.00,47300,14.00
2016-05-26,13.94,14.33,13.81,14.23,31500,14.23
2016-05-25,13.85,14.25,13.85,13.91,51500,13.91
2016-05-24,13.62,13.90,13.61,13.85,33300,13.85
2016-05-23,13.50,13.65,13.42,13.63,33800,13.63
2016-05-20,13.66,13.69,13.50,13.57,73500,13.57
2016-05-19,13.48,13.77,13.40,13.77,42700,13.77
2016-05-18,13.65,13.868,13.45,13.58,81900,13.58
2016-05-17,13.81,13.92,13.70,13.775,31300,13.775
2016-05-16,13.70,13.95,13.70,13.80,19700,13.80
2016-05-13,13.73,13.92,13.65,13.78,14100,13.78
2016-05-12,13.79,14.04,13.70,13.70,76200,13.70
2016-05-11,13.765,13.903,13.57,13.87,35900,13.87
2016-05-10,13.82,13.82,13.71,13.81,26400,13.81
2016-05-09,14.00,14.00,13.75,13.785,26000,13.785
2016-05-06,13.86,14.00,13.83,13.98,10000,13.98
2016-05-05,14.04,14.06,13.83,13.91,18200,13.91
2016-05-04,14.15,14.15,13.87,14.04,68100,14.04
2016-05-03,14.29,14.39,14.06,14.29,43900,13.885
2016-05-02,14.35,14.38,14.217,14.33,37400,13.923867
2016-04-29,14.33,14.43,14.20,14.35,55900,13.9433
2016-04-28,14.08,14.33,13.92,14.33,55400,13.923867
2016-04-27,14.08,14.34,14.00,14.00,51100,13.603219
2016-04-26,14.00,14.18,13.81,14.18,24900,13.778118
2016-04-25,13.87,14.19,13.75,14.025,53200,13.62751
2016-04-22,14.336,14.336,13.60,13.74,56900,13.350588
2016-04-21,13.88,14.04,13.68,13.75,33700,13.360305
2016-04-20,14.017,14.06,13.73,13.93,37400,13.535204
2016-04-19,13.79,14.02,13.72,13.84,28900,13.447754
2016-04-18,14.07,14.20,13.67,13.81,48000,13.418605
2016-04-15,13.82,14.33,13.82,14.15,31700,13.748968
2016-04-14,13.84,14.00,13.67,13.75,66700,13.360305
2016-04-13,13.60,14.00,13.38,13.80,35300,13.408888
2016-04-12,13.57,13.66,13.40,13.57,50200,13.185406
2016-04-11,13.52,13.69,13.52,13.62,17400,13.233989
2016-04-08,13.50,13.68,13.29,13.48,30600,13.097957
2016-04-07,13.05,13.48,13.05,13.36,38800,12.981358
2016-04-06,13.08,13.10,13.01,13.06,30200,12.689861
2016-04-05,13.34,13.374,13.04,13.05,7900,12.680144
2016-04-04,13.41,13.50,13.312,13.33,11600,12.952208
2016-04-01,13.34,13.50,13.31,13.50,19300,13.11739
2016-03-31,13.31,13.45,13.31,13.45,26400,13.068807
