Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,9.80,9.80,9.80,9.80,300,9.80
2016-06-09,9.82,9.82,9.82,9.82,600,9.82
2016-06-08,9.82,9.82,9.82,9.82,000,9.82
2016-06-07,9.81,9.82,9.81,9.82,1600,9.82
2016-06-06,9.82,9.82,9.82,9.82,100,9.82
2016-06-03,9.98,9.98,9.98,9.98,000,9.98
2016-06-02,9.82,9.98,9.81,9.98,500,9.98
2016-06-01,9.98,9.98,9.82,9.82,200,9.82
2016-05-31,9.97,9.98,9.81,9.98,4100,9.98
2016-05-27,9.92,9.92,9.92,9.92,000,9.92
2016-05-26,9.92,9.92,9.92,9.92,000,9.92
2016-05-25,9.92,9.92,9.92,9.92,000,9.92
2016-05-24,9.92,9.92,9.92,9.92,000,9.92
2016-05-23,9.92,9.92,9.92,9.92,000,9.92
2016-05-20,9.91,9.93,9.91,9.92,1700,9.92
2016-05-19,9.77,9.77,9.77,9.77,000,9.77
2016-05-18,9.77,9.77,9.77,9.77,000,9.77
2016-05-17,9.77,9.77,9.77,9.77,000,9.77
2016-05-16,9.77,9.77,9.77,9.77,000,9.77
2016-05-13,9.77,9.77,9.77,9.77,800,9.77
2016-05-12,9.76,9.76,9.76,9.76,000,9.76
2016-05-11,9.76,9.76,9.76,9.76,300,9.76
2016-05-10,9.89,9.89,9.89,9.89,000,9.89
2016-05-09,9.80,9.93,9.77,9.89,24900,9.89
2016-05-06,9.95,9.95,9.95,9.95,000,9.95
2016-05-05,9.95,9.95,9.95,9.95,000,9.95
2016-05-04,9.95,9.95,9.95,9.95,000,9.95
2016-05-03,9.80,9.95,9.78,9.95,3600,9.95
2016-05-02,9.94,9.95,9.94,9.94,500,9.94
2016-04-29,9.81,9.81,9.81,9.81,000,9.81
2016-04-28,9.81,9.81,9.80,9.81,600,9.81
2016-04-27,9.98,10.00,9.84,9.85,2800,9.85
2016-04-26,9.92,9.95,9.92,9.95,4900,9.95
2016-04-25,9.80,9.80,9.78,9.78,5200,9.78
2016-04-22,9.78,9.78,9.78,9.78,000,9.78
2016-04-21,9.78,9.78,9.78,9.78,200,9.78
2016-04-20,9.89,9.89,9.89,9.89,000,9.89
2016-04-19,9.89,9.89,9.89,9.89,000,9.89
2016-04-18,9.78,9.94,9.78,9.89,2000,9.89
2016-04-15,10.48,10.49,9.80,9.80,1700,9.80
2016-04-14,10.14,10.14,9.80,9.80,17800,9.80
2016-04-13,10.00,10.00,10.00,10.00,000,10.00
2016-04-12,9.85,10.03,9.85,10.00,12500,10.00
2016-04-11,9.80,10.10,9.80,10.00,3100,10.00
2016-04-08,9.85,9.95,9.80,9.95,2700,9.95
2016-04-07,9.71,10.10,9.71,9.94,44500,9.94
2016-04-06,10.17,10.17,10.17,10.17,000,10.17
2016-04-05,10.17,10.17,10.17,10.17,000,10.17
2016-04-04,9.68,10.17,9.66,10.17,400,10.17
2016-04-01,9.98,9.98,9.98,9.98,000,9.98
2016-03-31,9.67,10.22,9.65,9.98,1600,9.98
2016-03-30,10.21,10.25,9.82,10.19,6200,10.19
2016-03-29,9.95,9.95,9.95,9.95,900,9.95
2016-03-28,9.70,9.70,9.70,9.70,000,9.70
2016-03-24,9.75,9.75,9.70,9.70,900,9.70
2016-03-23,9.97,9.97,9.97,9.97,000,9.97
2016-03-22,9.97,9.97,9.97,9.97,000,9.97
2016-03-21,10.00,10.00,9.97,9.97,2500,9.97
2016-03-18,9.92,9.92,9.92,9.92,000,9.92
2016-03-17,9.92,9.92,9.92,9.92,000,9.92
2016-03-16,9.92,9.92,9.92,9.92,200,9.92
2016-03-15,9.52,9.52,9.52,9.52,200,9.52
2016-03-14,9.90,9.90,9.90,9.90,000,9.90
2016-03-11,9.90,9.90,9.90,9.90,000,9.90
2016-03-10,9.51,9.91,9.51,9.90,9200,9.90
2016-03-09,9.99,9.99,9.99,9.99,000,9.99
2016-03-08,9.99,9.99,9.99,9.99,000,9.99
2016-03-07,9.51,9.99,9.50,9.99,1500,9.99
2016-03-04,9.85,9.85,9.85,9.85,000,9.85
2016-03-03,9.85,9.85,9.85,9.85,000,9.85
2016-03-02,9.85,9.85,9.85,9.85,000,9.85
2016-03-01,9.85,9.85,9.80,9.85,14500,9.85
2016-02-29,10.00,10.00,10.00,10.00,000,10.00
2016-02-26,10.00,10.00,10.00,10.00,900,10.00
2016-02-25,9.99,9.99,9.99,9.99,000,9.99
2016-02-24,9.99,9.99,9.98,9.99,1100,9.99
2016-02-23,10.00,10.00,10.00,10.00,000,10.00
2016-02-22,10.00,10.00,10.00,10.00,1000,10.00
2016-02-19,10.00,10.01,10.00,10.005,1800,10.005
2016-02-18,10.00,10.00,10.00,10.00,1100,10.00
2016-02-17,10.17,10.17,10.00,10.09,1900,10.09
2016-02-16,10.00,10.00,10.00,10.00,6200,10.00
2016-02-12,10.20,10.25,10.20,10.25,2300,10.25
2016-02-11,10.24,10.24,10.24,10.24,000,10.24
2016-02-10,9.64,10.25,9.60,10.24,2200,10.24
2016-02-09,10.00,10.00,10.00,10.00,1000,10.00
2016-02-08,10.00,10.00,9.978,9.978,1300,9.978
2016-02-05,9.58,10.00,9.58,10.00,3400,10.00
2016-02-04,9.55,9.55,9.55,9.55,200,9.55
2016-02-03,9.97,10.06,9.97,10.05,6400,10.05
2016-02-02,10.04,10.04,10.04,10.04,000,10.04
2016-02-01,10.04,10.04,10.04,10.04,000,10.04
2016-01-29,9.79,10.04,9.79,10.04,1200,10.04
2016-01-28,10.00,10.00,10.00,10.00,000,10.00
2016-01-27,10.00,10.00,10.00,10.00,000,10.00
2016-01-26,10.04,10.04,9.99,10.00,1800,10.00
2016-01-25,10.03,10.03,10.03,10.03,000,10.03
2016-01-22,10.03,10.03,10.03,10.03,000,10.03
2016-01-21,9.51,10.03,9.50,10.03,800,10.03
2016-01-20,8.65,10.05,8.64,10.05,2100,10.05
2016-01-19,9.85,9.85,9.85,9.85,200,9.85
2016-01-15,9.73,10.05,9.65,10.03,3800,10.03
2016-01-14,10.05,10.05,10.05,10.05,000,10.05
