Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,23.540001,23.90,23.280001,23.709999,148800,23.709999
2016-06-09,23.84,23.860001,23.309999,23.82,105400,23.82
2016-06-08,23.85,24.18,23.82,24.01,97200,24.01
2016-06-07,23.860001,24.00,23.74,23.889999,75700,23.889999
2016-06-06,23.690001,24.10,23.530001,23.90,102100,23.90
2016-06-03,23.67,23.67,23.129999,23.629999,89400,23.629999
2016-06-02,23.799999,24.15,23.389999,23.98,204800,23.98
2016-06-01,24.16,24.440001,23.91,24.290001,206400,24.290001
2016-05-31,24.190001,24.379999,24.02,24.34,227400,24.34
2016-05-27,23.799999,24.08,23.799999,24.059999,177200,24.059999
2016-05-26,23.790001,23.799999,23.48,23.76,126300,23.76
2016-05-25,23.66,24.049999,23.59,23.780001,67800,23.780001
2016-05-24,23.26,23.73,22.799999,23.690001,111400,23.690001
2016-05-23,23.040001,23.16,22.92,23.040001,87800,23.040001
2016-05-20,22.959999,23.17,22.84,23.10,128300,23.10
2016-05-19,22.879999,23.15,22.540001,22.809999,75800,22.809999
2016-05-18,22.200001,23.120001,22.200001,23.049999,70500,23.049999
2016-05-17,22.709999,22.950001,22.139999,22.26,172800,22.26
2016-05-16,21.99,23.18,21.969999,22.809999,263600,22.809999
2016-05-13,22.440001,22.799999,21.860001,21.90,116700,21.90
2016-05-12,22.43,22.65,22.10,22.549999,333400,22.549999
2016-05-11,22.48,22.700001,22.35,22.360001,68600,22.360001
2016-05-10,22.40,22.65,22.23,22.549999,112300,22.549999
2016-05-09,22.43,22.690001,21.959999,22.24,152100,22.24
2016-05-06,22.25,22.58,22.15,22.540001,187300,22.540001
2016-05-05,22.77,23.049999,22.459999,22.48,115500,22.48
2016-05-04,22.82,23.18,22.32,22.700001,147100,22.700001
2016-05-03,23.02,23.67,22.74,22.99,130300,22.99
2016-05-02,23.26,23.40,22.98,23.40,142400,23.40
2016-04-29,23.18,23.469999,22.950001,23.120001,91300,23.120001
2016-04-28,23.02,23.639999,23.02,23.190001,172700,23.190001
2016-04-27,23.98,24.17,23.459999,23.620001,226900,23.620001
2016-04-26,23.67,24.02,23.540001,23.940001,109800,23.940001
2016-04-25,23.700001,23.73,23.32,23.639999,102400,23.639999
2016-04-22,23.43,23.99,22.190001,23.940001,305300,23.940001
2016-04-21,24.059999,24.219999,23.73,23.950001,145700,23.950001
2016-04-20,23.50,24.34,23.459999,24.01,382000,24.01
2016-04-19,22.76,23.40,22.49,23.34,206900,23.34
2016-04-18,21.91,22.60,21.82,22.60,262200,22.60
2016-04-15,22.08,22.16,21.84,22.00,223700,22.00
2016-04-14,21.85,22.379999,21.75,22.120001,191300,22.120001
2016-04-13,21.389999,21.98,21.32,21.90,286700,21.90
2016-04-12,20.799999,21.389999,20.76,21.200001,294400,21.200001
2016-04-11,20.90,21.209999,20.700001,20.799999,198500,20.799999
2016-04-08,21.040001,21.26,20.639999,20.82,164400,20.82
2016-04-07,21.299999,21.549999,20.690001,20.809999,104800,20.809999
2016-04-06,21.35,21.68,21.02,21.50,130400,21.50
2016-04-05,21.58,21.870001,21.360001,21.389999,302100,21.389999
2016-04-04,21.950001,22.00,21.74,21.85,110900,21.85
2016-04-01,21.85,22.120001,21.629999,21.99,188700,21.99
2016-03-31,21.969999,22.200001,21.860001,22.02,220800,22.02
2016-03-30,21.93,22.280001,21.860001,22.00,271600,22.00
2016-03-29,21.67,21.889999,21.32,21.879999,301800,21.879999
2016-03-28,22.00,22.110001,21.799999,21.82,78400,21.82
2016-03-24,21.940001,22.059999,21.75,21.99,102400,21.99
2016-03-23,22.40,22.440001,22.09,22.09,128000,22.09
2016-03-22,22.139999,22.540001,22.01,22.50,85100,22.50
2016-03-21,22.459999,22.50,22.00,22.290001,107300,22.290001
2016-03-18,22.040001,22.549999,22.030001,22.43,233100,22.43
2016-03-17,21.389999,22.00,20.93,21.889999,196100,21.889999
2016-03-16,21.68,21.83,21.299999,21.469999,141400,21.469999
2016-03-15,21.90,22.08,21.690001,21.790001,84500,21.790001
2016-03-14,22.139999,22.26,21.959999,22.09,176600,22.09
2016-03-11,22.110001,22.32,21.91,22.18,184900,22.18
2016-03-10,22.030001,22.15,21.690001,22.030001,199600,21.89
2016-03-09,22.290001,22.450001,21.809999,22.030001,136700,21.89
2016-03-08,22.209999,22.40,21.93,22.15,120000,22.009237
2016-03-07,22.10,22.530001,22.01,22.450001,93000,22.307331
2016-03-04,22.280001,22.40,22.08,22.299999,120900,22.158283
2016-03-03,22.040001,22.280001,21.940001,22.18,85700,22.039047
2016-03-02,21.719999,22.08,21.52,22.049999,196200,21.909872
2016-03-01,20.969999,21.879999,20.969999,21.690001,156800,21.552161
2016-02-29,21.26,21.35,20.43,20.83,274700,20.697626
2016-02-26,20.969999,21.42,20.85,21.290001,114500,21.154703
2016-02-25,20.43,20.959999,20.389999,20.84,126800,20.707562
2016-02-24,20.15,20.620001,20.10,20.559999,156800,20.429341
2016-02-23,20.549999,20.68,20.15,20.459999,214300,20.329976
2016-02-22,20.90,21.469999,20.43,20.57,281400,20.439278
2016-02-19,20.35,20.65,20.219999,20.610001,222700,20.479024
2016-02-18,20.27,20.59,20.049999,20.48,287700,20.349849
2016-02-17,20.620001,20.91,20.110001,20.200001,167300,20.07163
2016-02-16,20.25,20.889999,19.92,20.41,160000,20.280295
2016-02-12,19.49,20.33,19.49,19.950001,242400,19.823219
2016-02-11,19.75,19.85,18.92,19.059999,542500,18.938873
2016-02-10,20.43,20.950001,20.200001,20.23,153900,20.101438
2016-02-09,19.92,20.48,19.85,20.309999,225700,20.18093
2016-02-08,20.219999,20.24,19.50,20.120001,200200,19.992138
2016-02-05,21.110001,21.299999,20.51,20.51,194900,20.379659
2016-02-04,21.27,21.790001,20.950001,21.120001,182700,20.985783
2016-02-03,21.059999,21.440001,20.73,21.299999,263000,21.164638
2016-02-02,21.32,21.51,20.799999,20.84,249900,20.707562
2016-02-01,21.48,21.959999,21.190001,21.65,231100,21.512414
2016-01-29,21.40,21.75,21.10,21.700001,478100,21.562098
2016-01-28,21.030001,21.799999,21.030001,21.190001,505300,21.055338
2016-01-27,20.799999,21.030001,19.93,20.200001,408700,20.07163
2016-01-26,21.440001,21.440001,20.360001,20.65,224500,20.518769
2016-01-25,20.459999,21.42,19.950001,20.01,216600,19.882837
2016-01-22,20.48,21.469999,20.299999,20.57,140100,20.439278
2016-01-21,20.450001,20.889999,20.049999,20.08,171500,19.952392
2016-01-20,20.07,20.799999,19.870001,20.50,150900,20.369723
2016-01-19,21.280001,21.280001,20.379999,20.57,220800,20.439278
2016-01-15,20.799999,21.219999,20.43,21.110001,175400,20.975847
2016-01-14,21.530001,21.82,20.209999,21.370001,142700,21.234195
2016-01-13,22.00,22.00,21.26,21.35,181800,21.214321
2016-01-12,22.25,22.25,21.52,21.91,248400,21.770762
2016-01-11,21.459999,22.129999,21.389999,22.01,289600,21.870127
2016-01-08,23.129999,23.129999,21.35,21.379999,350000,21.24413
2016-01-07,22.84,23.15,22.799999,22.91,235000,22.764407
2016-01-06,22.68,23.379999,22.68,23.290001,307600,23.141993
2016-01-05,23.059999,23.23,22.620001,23.09,208300,22.943263
2016-01-04,23.190001,23.309999,22.74,22.969999,194000,22.824025
2015-12-31,23.889999,24.08,23.41,23.719999,250200,23.569259
2015-12-30,24.16,24.16,23.90,23.91,142500,23.758052
2015-12-29,24.309999,24.40,23.99,24.280001,147000,24.125702
2015-12-28,24.40,24.440001,23.92,24.26,153900,23.966718
2015-12-24,24.200001,24.52,24.139999,24.48,191700,24.184058
2015-12-23,24.620001,25.030001,24.24,24.25,231700,23.956839
2015-12-22,24.049999,24.58,23.559999,24.57,209800,24.27297
2015-12-21,23.73,24.129999,23.620001,23.870001,163700,23.581433
2015-12-18,24.10,24.42,23.09,23.629999,2044600,23.344333
2015-12-17,24.02,24.34,23.860001,24.139999,286900,23.848168
2015-12-16,23.530001,24.15,22.889999,23.98,328200,23.690102
2015-12-15,22.92,23.559999,22.809999,23.440001,246700,23.156631
2015-12-14,22.93,23.139999,22.48,22.719999,217600,22.445334
2015-12-11,23.18,23.59,22.65,22.950001,303500,22.672555
2015-12-10,24.01,24.110001,23.52,23.610001,228000,23.324576
2015-12-09,23.84,24.450001,23.84,23.959999,516600,23.670343
2015-12-08,24.41,24.629999,24.01,24.030001,163100,23.739499
2015-12-07,25.41,25.549999,24.18,24.59,239400,24.292728
2015-12-04,25.290001,25.809999,25.139999,25.58,175600,25.27076
2015-12-03,25.389999,25.85,25.09,25.24,190400,24.93487
2015-12-02,26.17,26.32,25.190001,25.200001,309300,24.895355
2015-12-01,26.290001,26.49,26.00,26.23,249300,25.912902
2015-11-30,26.389999,26.40,25.940001,26.10,240400,25.784474
2015-11-27,26.16,26.51,25.98,26.32,150700,26.001814
2015-11-25,26.780001,26.889999,25.889999,26.17,285100,25.853627
2015-11-24,26.90,27.559999,26.629999,26.719999,530100,26.396978
2015-11-23,27.35,27.52,26.92,27.02,317300,26.693352
2015-11-20,26.700001,27.41,26.25,27.25,247400,26.920571
2015-11-19,27.01,27.17,26.82,27.040001,110700,26.713111
2015-11-18,26.85,27.200001,26.48,27.110001,120500,26.782264
2015-11-17,26.690001,27.25,26.17,26.809999,164200,26.48589
2015-11-16,26.40,26.700001,26.17,26.559999,86800,26.238912
2015-11-13,26.58,26.940001,26.459999,26.50,169100,26.179638
2015-11-12,26.93,27.190001,26.59,26.799999,374500,26.47601
2015-11-11,27.360001,27.42,26.77,27.110001,153600,26.782264
2015-11-10,27.18,27.58,26.90,27.24,133300,26.910692
2015-11-09,27.91,27.940001,26.92,27.280001,208000,26.950209
2015-11-06,27.059999,28.09,27.059999,27.799999,362100,27.463921
2015-11-05,26.209999,26.90,26.209999,26.83,276700,26.505648
2015-11-04,26.219999,26.280001,25.950001,26.15,214700,25.833869
2015-11-03,25.549999,26.15,25.389999,26.09,227100,25.774595
2015-11-02,25.74,26.24,25.549999,26.10,218300,25.784474
2015-10-30,26.299999,26.43,25.35,25.50,179900,25.191727
2015-10-29,26.450001,26.780001,25.77,26.370001,303800,26.05121
2015-10-28,26.450001,26.93,25.83,26.549999,406200,26.229033
2015-10-27,27.200001,27.200001,25.719999,26.290001,393800,25.972178
2015-10-26,27.33,27.709999,27.040001,27.34,252000,27.009483
2015-10-23,27.00,27.49,26.780001,27.450001,131600,27.118154
2015-10-22,26.190001,27.00,26.190001,26.90,148600,26.574802
2015-10-21,26.42,26.719999,25.98,26.030001,129900,25.715321
2015-10-20,26.07,26.48,26.040001,26.41,88100,26.090726
2015-10-19,25.610001,26.26,25.530001,26.059999,185900,25.744957
2015-10-16,25.879999,26.25,25.549999,25.74,69800,25.428825
2015-10-15,25.43,26.00,25.030001,25.82,174400,25.507858
2015-10-14,25.950001,25.98,25.200001,25.23,225100,24.924991
2015-10-13,26.00,26.200001,25.83,26.00,233100,25.685683
2015-10-12,25.870001,26.290001,25.74,26.08,119700,25.764715
2015-10-09,26.15,26.32,25.84,25.92,235500,25.60665
2015-10-08,25.200001,26.139999,25.16,26.08,380100,25.764715
2015-10-07,24.84,25.25,24.84,25.24,180400,24.93487
2015-10-06,25.07,25.09,24.549999,24.709999,116200,24.411277
2015-10-05,24.65,25.10,24.65,25.00,119200,24.697772
2015-10-02,24.52,24.57,23.65,24.440001,165200,24.144542
2015-10-01,25.120001,25.50,24.690001,25.02,130800,24.71753
2015-09-30,25.360001,25.48,25.00,25.200001,231000,24.895355
2015-09-29,25.07,25.17,24.860001,25.129999,93800,24.826199
2015-09-28,25.26,25.35,24.870001,25.02,156500,24.71753
2015-09-25,25.440001,25.75,25.32,25.50,284200,25.083057
2015-09-24,24.50,25.190001,24.43,25.120001,297100,24.709272
2015-09-23,24.389999,24.709999,24.16,24.48,130100,24.079735
2015-09-22,24.219999,24.77,24.059999,24.34,92700,23.942024
2015-09-21,24.15,24.709999,24.15,24.549999,101800,24.14859
2015-09-18,24.299999,24.65,23.790001,23.940001,357500,23.548565
2015-09-17,25.450001,25.879999,24.549999,24.74,228700,24.335484
2015-09-16,25.60,25.60,25.190001,25.52,75100,25.102731
2015-09-15,25.15,25.690001,25.15,25.60,160600,25.181423
2015-09-14,25.200001,25.379999,24.99,24.99,326400,24.581396
2015-09-11,25.00,25.190001,24.799999,25.120001,99200,24.709272
2015-09-10,24.73,25.15,24.58,25.00,159100,24.591233
2015-09-09,24.610001,25.110001,24.549999,24.82,169400,24.414176
2015-09-08,24.07,24.67,23.65,24.57,202500,24.168263
2015-09-04,23.75,23.93,23.60,23.809999,117500,23.42069
2015-09-03,23.66,24.15,23.66,23.959999,198700,23.568237
2015-09-02,23.639999,23.870001,23.370001,23.719999,86200,23.332161
2015-09-01,23.870001,24.370001,23.200001,23.33,194200,22.948538
2015-08-31,23.91,24.299999,23.889999,24.24,260200,23.843659
2015-08-28,23.809999,24.41,23.790001,24.129999,153500,23.735457
2015-08-27,24.10,24.379999,23.709999,23.98,225600,23.58791
2015-08-26,23.799999,24.049999,23.389999,23.799999,261900,23.410853
2015-08-25,23.90,24.950001,23.200001,23.209999,253500,22.8305
2015-08-24,23.549999,24.33,23.25,23.290001,392900,22.909193
2015-08-21,24.40,25.02,24.35,24.57,152400,24.168263
2015-08-20,25.09,25.09,24.690001,24.77,114600,24.364994
2015-08-19,25.549999,25.780001,25.059999,25.23,164500,24.817472
2015-08-18,26.00,26.15,25.440001,25.629999,105200,25.210931
2015-08-17,25.790001,26.10,25.33,25.959999,128200,25.535535
2015-08-14,25.280001,25.860001,25.15,25.83,77600,25.407662
2015-08-13,25.26,25.620001,25.129999,25.35,50300,24.93551
2015-08-12,25.58,25.639999,24.90,25.280001,126000,24.866655
2015-08-11,26.00,26.120001,25.549999,25.76,68000,25.338807
2015-08-10,25.799999,26.26,25.799999,26.200001,222900,25.771613
2015-08-07,25.809999,26.00,25.379999,25.690001,93300,25.269951
2015-08-06,25.98,26.23,25.67,25.860001,100600,25.437172
2015-08-05,25.52,26.01,25.51,26.00,175100,25.574882
2015-08-04,25.32,25.66,25.32,25.41,74900,24.994529
2015-08-03,25.360001,25.780001,25.110001,25.370001,119700,24.955184
2015-07-31,25.33,25.42,25.10,25.309999,87400,24.896164
2015-07-30,25.25,25.48,25.08,25.299999,101900,24.886327
2015-07-29,25.299999,25.450001,25.139999,25.280001,81500,24.866655
2015-07-28,25.709999,25.709999,25.139999,25.25,137200,24.837145
2015-07-27,25.719999,25.719999,25.26,25.459999,128500,25.043711
2015-07-24,25.620001,26.15,25.24,25.76,192800,25.338807
2015-07-23,26.16,26.49,25.290001,25.40,247900,24.984692
2015-07-22,25.41,25.889999,25.41,25.780001,115800,25.35848
2015-07-21,25.65,26.030001,25.299999,25.469999,79100,25.053547
2015-07-20,25.290001,25.639999,25.280001,25.60,116000,25.181423
2015-07-17,25.74,25.74,25.059999,25.290001,140400,24.876492
2015-07-16,25.92,25.99,25.59,25.690001,96500,25.269951
2015-07-15,25.17,25.700001,24.469999,25.66,157900,25.240441
2015-07-14,25.15,25.309999,24.91,25.200001,63100,24.787963
2015-07-13,25.00,25.190001,24.85,25.129999,111600,24.719106
2015-07-10,24.790001,24.950001,24.40,24.870001,131900,24.463359
2015-07-09,24.290001,24.51,24.09,24.41,140900,24.01088
2015-07-08,23.91,24.25,23.790001,23.940001,198100,23.548565
2015-07-07,24.700001,24.700001,23.90,24.190001,127200,23.794477
2015-07-06,24.27,24.690001,24.059999,24.639999,150900,24.237118
2015-07-02,25.120001,25.120001,24.459999,24.58,90800,24.1781
2015-07-01,25.190001,25.389999,24.99,25.09,129000,24.679761
2015-06-30,25.040001,25.530001,24.73,24.84,159300,24.433849
2015-06-29,25.129999,25.42,24.639999,24.68,118800,24.276465
2015-06-26,25.52,25.59,25.16,25.41,368400,24.994529
2015-06-25,25.34,25.52,25.09,25.50,137000,24.974856
2015-06-24,25.17,25.41,24.969999,25.15,155900,24.632064
2015-06-23,24.889999,25.290001,24.73,25.190001,177800,24.671241
2015-06-22,24.59,24.969999,24.450001,24.83,137300,24.318654
2015-06-19,24.200001,24.549999,24.030001,24.33,511500,23.828951
2015-06-18,24.129999,24.469999,23.719999,24.200001,137100,23.701629
2015-06-17,24.74,24.940001,23.92,23.950001,163500,23.456777
2015-06-16,24.33,24.50,24.16,24.50,92500,23.99545
2015-06-15,24.35,24.540001,24.049999,24.41,128300,23.907303
2015-06-12,24.549999,24.549999,24.23,24.469999,98400,23.966067
2015-06-11,24.219999,24.43,23.940001,24.42,131700,23.917097
2015-06-10,23.799999,24.25,23.690001,24.040001,176200,23.544924
2015-06-09,23.33,23.85,23.25,23.700001,128700,23.211926
2015-06-08,22.99,23.35,22.99,23.309999,200800,22.829956
2015-06-05,22.82,23.290001,22.82,23.07,195500,22.594899
2015-06-04,22.75,22.83,22.59,22.74,194500,22.271695
2015-06-03,22.50,22.83,22.27,22.82,194900,22.350047
2015-06-02,21.99,22.50,21.91,22.43,158600,21.96808
2015-06-01,22.32,22.450001,21.85,22.040001,103400,21.586112
2015-05-29,22.01,22.190001,21.68,22.129999,108700,21.674257
2015-05-28,22.129999,22.40,21.950001,22.190001,110800,21.733022
2015-05-27,21.870001,22.299999,21.700001,22.24,176600,21.781992
2015-05-26,22.030001,22.030001,21.60,21.860001,108400,21.409818
2015-05-22,22.08,22.219999,21.91,22.110001,98000,21.65467
2015-05-21,22.129999,22.25,21.870001,22.120001,114900,21.664464
2015-05-20,22.17,22.25,21.92,22.18,84000,21.723228
2015-05-19,21.860001,22.299999,21.66,22.17,145500,21.713434
2015-05-18,21.549999,22.00,21.540001,21.950001,80000,21.497965
2015-05-15,21.90,21.99,21.48,21.610001,97000,21.164967
2015-05-14,21.639999,21.959999,21.620001,21.92,158100,21.468582
2015-05-13,21.51,21.610001,21.379999,21.57,132200,21.12579
2015-05-12,21.43,21.639999,21.35,21.49,229100,21.047437
2015-05-11,21.440001,21.639999,21.370001,21.549999,188000,21.106201
2015-05-08,21.59,21.59,21.26,21.389999,66200,20.949496
2015-05-07,21.450001,21.66,21.17,21.370001,79800,20.92991
2015-05-06,21.299999,21.51,21.10,21.49,127800,21.047437
2015-05-05,21.48,21.59,21.09,21.280001,110000,20.841763
2015-05-04,21.18,21.40,21.18,21.299999,81300,20.86135
2015-05-01,21.32,21.440001,21.10,21.23,105300,20.792791
2015-04-30,21.530001,21.67,21.24,21.280001,199700,20.841763
2015-04-29,21.700001,22.00,21.66,21.67,114700,21.223731
2015-04-28,21.41,21.93,21.41,21.82,130800,21.370641
2015-04-27,21.709999,21.83,21.27,21.49,169300,21.047437
2015-04-24,21.84,21.950001,21.68,21.690001,221800,21.243319
2015-04-23,21.26,21.950001,21.01,21.74,300100,21.292289
2015-04-22,20.90,21.15,20.639999,21.07,158600,20.636087
2015-04-21,21.049999,21.049999,20.85,20.93,68300,20.49897
2015-04-20,20.799999,21.200001,20.700001,20.99,89200,20.557734
2015-04-17,20.91,21.309999,20.629999,20.74,116200,20.312883
2015-04-16,21.129999,21.26,20.940001,21.08,91100,20.645881
2015-04-15,21.00,21.33,20.889999,21.15,106900,20.714439
2015-04-14,20.969999,21.049999,20.709999,20.889999,92800,20.459793
2015-04-13,20.99,21.27,20.969999,21.040001,73500,20.606706
2015-04-10,21.10,21.24,20.91,20.950001,66300,20.518559
2015-04-09,21.08,21.219999,20.75,21.00,85900,20.567528
2015-04-08,21.030001,21.200001,20.82,21.040001,176300,20.606706
2015-04-07,20.969999,21.08,20.77,21.030001,157300,20.596911
2015-04-06,21.030001,21.18,20.91,21.02,99900,20.587117
2015-04-02,21.129999,21.35,21.01,21.27,174900,20.831969
2015-04-01,21.030001,21.24,20.84,21.120001,181900,20.685058
2015-03-31,21.07,21.280001,20.82,21.15,377600,20.714439
2015-03-30,20.90,21.370001,20.860001,21.24,159300,20.802586
2015-03-27,20.67,20.809999,20.32,20.809999,199600,20.381441
2015-03-26,20.51,20.76,20.24,20.74,144200,20.205148
2015-03-25,20.950001,21.00,20.50,20.549999,164100,20.020047
2015-03-24,20.92,21.07,20.85,20.90,156800,20.361022
2015-03-23,20.85,20.99,20.75,20.92,239300,20.380506
2015-03-20,20.74,20.879999,20.58,20.790001,434000,20.25386
2015-03-19,20.60,20.77,20.370001,20.75,102200,20.21489
2015-03-18,20.33,20.940001,20.33,20.73,494800,20.195405
2015-03-17,20.35,20.540001,20.18,20.51,179800,19.98108
2015-03-16,20.68,20.73,20.42,20.459999,105800,19.932368
2015-03-13,20.65,20.719999,20.360001,20.60,151400,20.068759
2015-03-12,20.59,20.75,20.299999,20.629999,292200,20.097984
2015-03-11,20.50,20.58,20.17,20.379999,119700,19.854431
2015-03-10,20.530001,20.719999,20.42,20.459999,124900,19.932368
2015-03-09,20.620001,20.940001,20.620001,20.74,96700,20.205148
2015-03-06,19.83,20.68,19.83,20.559999,195300,20.029789
2015-03-05,20.360001,20.50,19.790001,19.969999,475900,19.455004
2015-03-04,20.26,20.440001,20.26,20.309999,257100,19.786237
2015-03-03,20.25,20.42,20.09,20.379999,298700,19.854431
2015-03-02,19.709999,20.34,19.709999,20.33,202200,19.805721
2015-02-27,19.93,20.09,19.73,19.73,92600,19.221194
2015-02-26,19.82,20.00,19.799999,19.91,83400,19.396552
2015-02-25,20.00,20.17,19.76,19.799999,156600,19.289388
2015-02-24,19.99,20.26,19.959999,19.99,127500,19.474489
2015-02-23,19.92,19.99,19.790001,19.99,154800,19.474489
2015-02-20,20.120001,20.290001,19.719999,20.049999,363300,19.532941
2015-02-19,20.18,20.389999,20.00,20.07,294100,19.552426
2015-02-18,20.440001,20.450001,20.09,20.219999,261800,19.698557
2015-02-17,20.52,20.799999,20.42,20.549999,233400,20.020047
2015-02-13,20.469999,20.77,20.33,20.50,281700,19.971337
2015-02-12,19.99,20.49,19.99,20.450001,125800,19.922627
2015-02-11,19.950001,20.24,19.690001,19.85,150000,19.3381
2015-02-10,19.940001,20.059999,19.65,19.99,146300,19.474489
2015-02-09,20.299999,20.309999,19.73,19.77,147200,19.260163
2015-02-06,20.66,20.85,20.25,20.299999,363100,19.776494
2015-02-05,20.200001,20.969999,19.85,20.73,283100,20.195405
2015-02-04,20.68,21.00,20.190001,20.34,275900,19.815464
2015-02-03,20.540001,21.18,20.540001,20.790001,149500,20.25386
2015-02-02,19.90,20.559999,19.74,20.51,158500,19.98108
2015-01-30,20.09,20.25,19.790001,19.860001,170600,19.347842
2015-01-29,20.360001,20.389999,20.00,20.299999,151100,19.776494
2015-01-28,21.09,21.09,20.209999,20.24,105500,19.718042
2015-01-27,20.799999,21.34,20.67,20.99,72600,20.448701
2015-01-26,21.040001,21.549999,20.77,21.299999,104000,20.750706
2015-01-23,21.469999,21.60,20.860001,21.110001,71500,20.565607
2015-01-22,20.82,21.639999,20.610001,21.49,108700,20.935806
2015-01-21,20.73,20.969999,20.41,20.60,111800,20.068759
2015-01-20,21.08,21.08,20.59,20.790001,108300,20.25386
2015-01-16,20.549999,21.110001,20.50,21.07,96600,20.526638
2015-01-15,20.620001,20.68,20.290001,20.620001,145800,20.088243
2015-01-14,20.66,20.77,20.49,20.68,110500,20.146696
2015-01-13,20.99,21.27,20.780001,20.940001,236600,20.399991
2015-01-12,20.77,21.049999,20.709999,20.84,116700,20.302569
2015-01-09,21.27,21.27,20.76,20.879999,138500,20.341537
2015-01-08,20.82,21.40,20.809999,21.32,87800,20.77019
2015-01-07,20.629999,20.860001,20.58,20.73,125100,20.195405
2015-01-06,20.91,21.00,20.280001,20.49,165400,19.961595
2015-01-05,21.26,21.27,20.83,20.93,77900,20.390249
2015-01-02,21.93,22.01,21.08,21.43,73600,20.877354
2014-12-31,22.07,22.23,21.76,21.809999,94500,21.247554
2014-12-30,21.959999,22.23,21.940001,21.99,49200,21.422912
2014-12-29,21.67,22.18,21.639999,21.98,73400,21.41317
2014-12-26,21.799999,21.99,21.65,21.799999,38500,21.169617
2014-12-24,21.76,21.98,21.58,21.700001,24300,21.072511
2014-12-23,21.719999,21.940001,21.50,21.77,90800,21.140486
2014-12-22,21.40,21.85,21.389999,21.67,92500,21.043377
2014-12-19,21.540001,21.540001,21.25,21.459999,413500,20.839449
2014-12-18,21.51,21.700001,21.33,21.59,106700,20.965691
2014-12-17,20.639999,21.35,20.34,21.309999,126600,20.693787
2014-12-16,20.629999,20.91,20.49,20.60,177200,20.004318
2014-12-15,21.15,21.309999,20.629999,20.629999,126000,20.03345
2014-12-12,21.02,21.51,21.01,21.10,94200,20.48986
2014-12-11,21.23,21.65,21.17,21.280001,101400,20.664655
2014-12-10,21.76,21.93,21.110001,21.139999,122500,20.528703
2014-12-09,21.370001,21.99,21.280001,21.860001,214300,21.227884
2014-12-08,21.389999,21.83,21.139999,21.24,145500,20.625811
2014-12-05,20.74,21.610001,20.74,21.48,196400,20.858871
2014-12-04,20.68,21.01,20.51,20.77,135500,20.169403
2014-12-03,20.10,20.809999,19.940001,20.76,138900,20.159692
2014-12-02,19.50,20.290001,19.50,20.15,113200,19.56733
2014-12-01,20.00,20.00,19.40,19.450001,239600,18.887573
2014-11-28,20.75,20.91,20.040001,20.10,84000,19.518777
2014-11-26,20.60,20.719999,20.469999,20.690001,141500,20.091716
2014-11-25,20.68,20.77,20.450001,20.65,67200,20.052872
2014-11-24,20.33,20.700001,20.33,20.68,64700,20.082005
2014-11-21,20.90,20.91,20.23,20.309999,176700,19.722703
2014-11-20,20.469999,20.780001,20.190001,20.66,138200,20.062583
2014-11-19,20.82,20.91,20.16,20.290001,88700,19.703283
2014-11-18,21.00,21.200001,20.65,20.76,182800,20.159692
2014-11-17,21.459999,21.68,20.99,21.00,73100,20.392751
2014-11-14,21.67,21.700001,21.42,21.559999,133800,20.936558
2014-11-13,22.309999,23.58,21.67,21.719999,120700,21.091931
2014-11-12,21.60,22.360001,21.469999,22.33,181100,21.684292
2014-11-11,22.040001,22.049999,21.57,21.629999,138400,21.004533
2014-11-10,21.860001,22.139999,21.60,21.969999,163000,21.334702
2014-11-07,21.790001,22.129999,21.23,22.00,167300,21.363835
2014-11-06,21.459999,21.75,21.370001,21.67,100700,21.043377
2014-11-05,21.440001,21.59,21.26,21.469999,64700,20.84916
2014-11-04,21.16,21.389999,21.01,21.34,127600,20.72292
2014-11-03,21.41,21.690001,21.120001,21.32,100100,20.703498
2014-10-31,21.18,21.59,20.690001,21.450001,182300,20.82974
2014-10-30,20.799999,21.17,20.65,20.879999,94700,20.276221
2014-10-29,20.68,21.07,20.23,20.940001,103100,20.334487
2014-10-28,19.85,20.700001,19.85,20.629999,220000,20.03345
