Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.03,13.10,13.00,13.04,16700,13.04
2016-06-09,13.12,13.21,12.92,13.13,32600,13.13
2016-06-08,13.10,13.23,13.00,13.00,15600,13.00
2016-06-07,13.14,13.18,13.02,13.08,17300,13.08
2016-06-06,13.05,13.20,13.02,13.18,26400,13.18
2016-06-03,12.95,12.99,12.93,12.99,27400,12.99
2016-06-02,13.12,13.12,12.96,12.99,17500,12.99
2016-06-01,13.07,13.15,12.97,13.12,7300,13.12
2016-05-31,13.00,13.14,12.93,13.12,10000,13.12
2016-05-27,13.10,13.10,12.94,13.00,14300,13.00
2016-05-26,12.94,13.22,12.83,12.95,45900,12.95
2016-05-25,13.15,13.24,12.64,12.91,25400,12.91
2016-05-24,13.31,13.40,13.04,13.15,26300,13.15
2016-05-23,13.00,13.50,12.87,13.21,77200,13.21
2016-05-20,12.71,13.15,12.71,12.97,30700,12.97
2016-05-19,13.06,13.19,12.64,12.84,32200,12.84
2016-05-18,13.00,13.21,12.89,13.10,32300,13.10
2016-05-17,13.29,13.30,13.01,13.14,54200,13.027
2016-05-16,12.88,13.25,12.88,13.05,25100,12.937774
2016-05-13,12.48,12.96,12.48,12.91,42800,12.798978
2016-05-12,12.41,12.51,12.14,12.35,11600,12.243794
2016-05-11,12.39,12.54,12.25,12.37,15200,12.263622
2016-05-10,12.72,12.72,12.20,12.42,14900,12.313192
2016-05-09,12.49,12.84,12.03,12.32,31600,12.214051
2016-05-06,12.05,12.74,11.99,12.40,17600,12.293363
2016-05-05,12.65,12.92,11.92,12.22,45900,12.114912
2016-05-04,12.88,12.91,12.53,12.53,21200,12.422246
2016-05-03,12.84,12.99,12.80,12.89,13000,12.77915
2016-05-02,12.84,12.97,12.84,12.87,15500,12.759322
2016-04-29,13.02,13.09,12.81,12.93,19000,12.818806
2016-04-28,12.88,13.10,12.85,13.02,23000,12.908032
2016-04-27,12.93,12.93,12.83,12.83,13000,12.719666
2016-04-26,13.43,13.45,12.76,12.94,45800,12.828719
2016-04-25,13.30,13.50,13.25,13.43,47300,13.314506
2016-04-22,13.01,13.27,12.95,13.27,25100,13.155882
