Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.40,12.47,12.36,12.40,10100,12.40
2016-06-09,12.05,12.52,12.05,12.39,12500,12.39
2016-06-08,11.91,12.05,11.91,12.01,7900,12.01
2016-06-07,11.97,12.00,11.79,11.90,5700,11.90
2016-06-06,12.05,12.05,12.04,12.04,1400,12.04
2016-06-03,12.01,12.05,11.99,12.05,400,12.05
2016-06-02,12.10,12.10,12.04,12.08,1700,12.08
2016-06-01,12.10,12.13,11.99,12.09,10400,12.09
2016-05-31,11.99,12.15,11.97,12.05,7700,12.05
2016-05-27,12.00,12.00,11.92,11.98,2900,11.98
2016-05-26,11.34,11.98,11.34,11.94,11400,11.94
2016-05-25,11.29,11.49,11.29,11.49,8200,11.49
2016-05-24,11.24,11.25,11.13,11.23,7400,11.23
2016-05-23,11.20,11.20,11.12,11.20,900,11.20
2016-05-20,11.11,11.30,11.11,11.21,2600,11.21
2016-05-19,11.21,11.30,11.01,11.10,8700,11.10
2016-05-18,11.20,11.23,11.20,11.20,9500,11.20
2016-05-17,11.12,11.30,11.12,11.15,5800,11.15
2016-05-16,11.09,11.09,11.09,11.09,900,11.09
2016-05-13,11.10,11.10,11.10,11.10,100,11.10
2016-05-12,11.26,11.26,11.04,11.04,6800,11.04
2016-05-11,11.23,11.23,11.17,11.20,1100,11.20
2016-05-10,11.00,11.21,11.00,11.21,1600,11.21
2016-05-09,11.01,11.29,11.01,11.18,2500,11.18
2016-05-06,10.98,11.13,10.86,11.00,11400,11.00
2016-05-05,11.07,11.17,10.95,11.03,4600,11.03
2016-05-04,11.24,11.24,10.82,10.85,17300,10.85
2016-05-03,11.20,11.26,11.17,11.24,5200,11.24
2016-05-02,11.23,11.23,11.20,11.20,6800,11.20
2016-04-29,11.30,11.30,11.20,11.20,1200,11.20
2016-04-28,11.29,11.29,11.29,11.29,100,11.29
2016-04-27,11.36,11.36,11.29,11.29,500,11.29
2016-04-26,11.35,11.36,11.30,11.36,9000,11.36
2016-04-25,11.35,11.36,11.22,11.35,13100,11.35
2016-04-22,11.36,11.36,11.32,11.32,1900,11.32
2016-04-21,11.35,11.35,11.31,11.31,200,11.31
2016-04-20,11.43,11.43,11.35,11.35,600,11.35
2016-04-19,11.31,11.43,11.26,11.43,6800,11.43
2016-04-18,11.42,11.44,11.40,11.40,1600,11.40
2016-04-15,11.41,11.41,11.38,11.38,1900,11.38
2016-04-14,11.42,11.42,11.41,11.41,600,11.41
2016-04-13,11.43,11.43,11.35,11.35,6700,11.35
2016-04-12,11.44,11.44,11.40,11.41,800,11.41
2016-04-11,11.38,11.43,11.35,11.35,900,11.35
2016-04-08,11.31,11.43,11.31,11.39,400,11.39
2016-04-07,11.25,11.35,11.25,11.35,8400,11.35
2016-04-06,11.40,11.40,11.30,11.30,300,11.30
2016-04-05,11.45,11.52,11.25,11.30,3800,11.30
2016-04-04,11.49,11.49,11.45,11.47,1300,11.47
2016-04-01,11.47,11.47,11.46,11.46,600,11.46
2016-03-31,11.54,11.54,11.45,11.45,2300,11.45
2016-03-30,11.46,11.49,11.44,11.46,2200,11.46
2016-03-29,11.55,11.59,11.43,11.44,1600,11.44
2016-03-28,11.55,11.55,11.25,11.48,10700,11.44
2016-03-24,11.74,11.74,11.21,11.55,8500,11.509756
2016-03-23,11.70,11.70,11.69,11.69,1800,11.649268
2016-03-22,11.70,11.74,11.70,11.70,1800,11.659233
2016-03-21,11.72,11.72,11.72,11.72,300,11.679164
2016-03-18,11.72,11.82,11.72,11.75,3400,11.709059
2016-03-17,11.78,11.78,11.74,11.78,600,11.738955
2016-03-16,11.79,11.84,11.67,11.78,3600,11.738955
2016-03-15,11.78,11.78,11.78,11.78,600,11.738955
2016-03-14,11.74,11.75,11.74,11.75,400,11.709059
2016-03-11,11.76,11.79,11.65,11.79,33500,11.74892
2016-03-10,11.79,11.79,11.76,11.79,400,11.74892
2016-03-09,11.76,11.79,11.74,11.79,3900,11.74892
2016-03-08,11.70,11.73,11.69,11.71,4400,11.669199
2016-03-07,11.69,11.72,11.67,11.69,4100,11.649268
2016-03-04,11.68,11.68,11.68,11.68,600,11.639304
2016-03-03,11.92,11.94,11.76,11.76,3700,11.719025
2016-03-02,11.75,11.75,11.57,11.72,3500,11.679164
2016-03-01,11.94,11.94,11.82,11.85,1100,11.808711
2016-02-29,11.93,11.93,11.77,11.77,3000,11.72899
2016-02-26,11.78,11.93,11.60,11.73,4600,11.689129
2016-02-25,11.88,11.88,11.75,11.78,1600,11.738955
2016-02-24,11.85,11.87,11.75,11.75,5500,11.709059
2016-02-23,11.70,11.88,11.70,11.85,3600,11.808711
2016-02-22,11.45,11.70,11.44,11.66,6900,11.619373
2016-02-19,11.46,11.46,11.43,11.44,1400,11.400139
2016-02-18,11.50,11.50,11.46,11.46,1200,11.42007
2016-02-17,11.49,11.49,11.43,11.47,1400,11.430035
2016-02-16,11.70,11.70,11.45,11.48,1200,11.44
2016-02-12,11.45,11.56,11.43,11.56,5500,11.519722
2016-02-11,11.49,11.49,11.22,11.43,4100,11.390175
2016-02-10,11.40,11.50,11.40,11.49,4400,11.449965
2016-02-09,11.69,11.69,11.39,11.39,9600,11.350314
2016-02-08,11.65,11.65,11.64,11.64,400,11.599443
2016-02-05,11.65,11.70,11.55,11.65,9300,11.609407
2016-02-04,11.69,11.69,11.60,11.60,5700,11.559582
2016-02-03,11.79,11.79,11.63,11.63,1100,11.589478
2016-02-02,11.60,11.78,11.58,11.65,9200,11.609407
2016-02-01,11.74,11.74,11.59,11.64,9400,11.599443
2016-01-29,11.55,11.55,11.47,11.47,75000,11.430035
2016-01-28,11.56,11.56,11.46,11.54,1700,11.499791
2016-01-27,11.55,11.56,11.55,11.56,700,11.519722
2016-01-26,11.73,11.73,11.54,11.55,3500,11.509756
2016-01-25,11.73,11.74,11.60,11.62,2000,11.579512
2016-01-22,11.74,11.74,11.62,11.65,4900,11.609407
2016-01-21,11.69,11.74,11.50,11.62,12100,11.579512
2016-01-20,11.50,11.84,11.50,11.75,10600,11.709059
2016-01-19,11.83,11.88,11.48,11.58,14400,11.539652
2016-01-15,11.75,11.89,11.75,11.80,11400,11.758885
2016-01-14,11.89,11.90,11.75,11.85,13700,11.808711
2016-01-13,11.87,11.90,11.87,11.88,3300,11.838607
2016-01-12,11.99,11.99,11.88,11.90,3700,11.858536
2016-01-11,12.00,12.00,11.87,11.89,3500,11.848572
2016-01-08,11.99,11.99,11.85,11.94,3700,11.898397
2016-01-07,11.90,11.98,11.85,11.90,3600,11.858536
2016-01-06,11.90,11.99,11.90,11.98,800,11.938258
2016-01-05,11.92,12.04,11.92,11.96,4600,11.918328
2016-01-04,12.05,12.05,12.00,12.03,5400,11.988084
2015-12-31,11.97,12.03,11.96,12.00,2800,11.958188
2015-12-30,12.05,12.05,11.94,11.98,2500,11.938258
2015-12-29,12.04,12.04,11.95,11.99,1700,11.948223
2015-12-28,12.01,12.05,11.95,11.95,4000,11.868501
2015-12-24,12.02,12.05,11.95,11.98,10600,11.898296
2015-12-23,11.94,12.03,11.94,12.03,200,11.947956
2015-12-22,11.98,11.98,11.75,11.92,2400,11.838706
2015-12-21,11.91,11.97,11.85,11.90,5300,11.818842
2015-12-18,11.85,11.97,11.79,11.90,7900,11.818842
2015-12-17,11.89,11.90,11.85,11.89,16000,11.808911
2015-12-16,11.94,11.95,11.89,11.89,6500,11.808911
2015-12-15,11.95,11.99,11.80,11.89,1900,11.808911
2015-12-14,12.04,12.04,11.90,11.94,7700,11.858569
2015-12-11,11.98,12.08,11.95,11.96,9500,11.878433
2015-12-10,12.00,12.24,11.98,11.98,20800,11.898296
2015-12-09,11.67,12.03,11.64,11.98,4600,11.898296
2015-12-08,11.60,11.65,11.60,11.65,400,11.570547
2015-12-07,11.65,11.69,11.60,11.60,2300,11.520889
2015-12-04,11.65,11.69,11.60,11.65,2400,11.570547
2015-12-03,11.65,11.65,11.65,11.65,2600,11.570547
2015-12-02,11.69,11.69,11.69,11.69,1100,11.610274
2015-12-01,11.70,11.70,11.66,11.66,1100,11.580479
2015-11-30,11.69,11.70,11.60,11.69,5100,11.610274
2015-11-27,11.64,11.69,11.60,11.69,2000,11.610274
2015-11-25,11.65,11.70,11.65,11.70,1200,11.620206
2015-11-24,11.64,11.69,11.62,11.69,3300,11.610274
2015-11-23,11.75,12.00,11.60,11.69,36800,11.610274
2015-11-20,11.72,11.74,11.65,11.69,600,11.610274
2015-11-19,11.73,11.77,11.61,11.69,2200,11.610274
2015-11-18,11.74,11.92,11.60,11.73,34700,11.650001
2015-11-17,11.90,11.90,11.60,11.81,9000,11.729457
2015-11-16,11.92,11.98,11.90,11.92,2000,11.838706
2015-11-13,11.91,12.00,11.91,12.00,2200,11.91816
2015-11-12,11.85,11.89,11.75,11.77,2700,11.689729
2015-11-11,11.95,11.95,11.95,11.95,100,11.868501
2015-11-10,11.88,12.00,11.80,11.88,2700,11.798979
2015-11-09,11.91,11.91,11.80,11.87,1500,11.789047
2015-11-06,11.98,11.98,11.97,11.97,400,11.888365
2015-11-05,11.93,11.93,11.85,11.88,1900,11.798979
2015-11-04,11.94,11.94,11.94,11.94,100,11.858569
2015-11-03,11.91,11.94,11.87,11.87,2800,11.789047
2015-11-02,11.75,11.89,11.75,11.86,800,11.779115
2015-10-30,11.93,12.00,11.72,11.79,4700,11.709593
2015-10-29,11.98,11.98,11.80,11.94,400,11.858569
2015-10-28,11.92,11.92,11.92,11.92,300,11.838706
2015-10-27,11.92,11.96,11.60,11.60,2500,11.520889
2015-10-26,11.85,11.97,11.85,11.92,1500,11.838706
2015-10-23,11.85,11.85,11.85,11.85,100,11.769184
