Date,Open,High,Low,Close,Volume,Adj Close
2016-05-16,19.639999,19.639999,19.639999,19.639999,000,19.639999
2016-05-13,19.77,19.799999,19.51,19.639999,122400,19.639999
2016-05-12,19.950001,20.280001,19.85,19.950001,19500,19.950001
2016-05-11,20.09,20.09,19.65,20.040001,23400,20.040001
2016-05-10,19.92,20.299999,19.92,20.139999,103800,20.139999
2016-05-09,19.68,20.09,19.66,19.889999,28100,19.889999
2016-05-06,19.58,19.790001,19.51,19.790001,24600,19.790001
2016-05-05,19.700001,19.85,19.530001,19.76,36900,19.76
2016-05-04,19.790001,19.90,19.559999,19.709999,35900,19.709999
2016-05-03,19.959999,20.030001,19.75,19.959999,74900,19.846999
2016-05-02,20.08,20.290001,19.98,20.09,184800,19.976264
2016-04-29,19.92,20.17,19.92,20.10,159800,19.986208
2016-04-28,19.43,20.450001,19.43,19.969999,173200,19.856943
2016-04-27,19.42,19.58,19.280001,19.35,27800,19.240454
2016-04-26,19.50,19.540001,19.35,19.51,246500,19.399548
2016-04-25,19.24,19.42,19.24,19.33,40000,19.220567
2016-04-22,19.16,19.42,19.139999,19.41,73600,19.300114
2016-04-21,19.200001,19.389999,19.18,19.24,14600,19.131076
2016-04-20,19.00,19.32,19.00,19.299999,309300,19.190736
2016-04-19,19.10,19.15,18.99,19.08,64100,18.971982
2016-04-18,18.700001,19.15,18.700001,19.00,73000,18.892435
2016-04-15,18.709999,18.85,18.68,18.809999,27300,18.70351
2016-04-14,18.700001,18.99,18.700001,18.85,13500,18.743285
2016-04-13,18.700001,18.99,18.700001,18.879999,71100,18.773114
2016-04-12,18.440001,18.799999,18.07,18.629999,54800,18.524529
2016-04-11,18.049999,18.25,17.969999,18.17,7900,18.067134
2016-04-08,18.07,18.26,17.959999,18.030001,8500,17.927927
2016-04-07,18.200001,18.200001,17.790001,17.940001,5700,17.838437
2016-04-06,18.26,18.360001,18.08,18.200001,9200,18.096965
2016-04-05,18.360001,18.360001,18.10,18.309999,4700,18.206341
2016-04-04,18.450001,18.51,18.16,18.32,5300,18.216285
2016-04-01,17.959999,18.450001,17.870001,18.440001,60700,18.335606
2016-03-31,18.10,18.10,17.93,18.00,39100,17.898096
2016-03-30,18.17,18.26,17.99,18.110001,75500,18.007474
2016-03-29,18.01,18.209999,17.99,18.049999,10000,17.947813
2016-03-28,18.02,18.23,17.870001,18.01,17000,17.90804
2016-03-24,18.15,18.15,17.85,17.99,9600,17.888153
2016-03-23,18.120001,18.26,17.610001,18.01,12600,17.90804
2016-03-22,18.030001,18.15,17.93,18.01,13000,17.90804
2016-03-21,17.940001,18.139999,17.60,18.049999,20900,17.947813
2016-03-18,18.040001,18.389999,17.84,17.84,13000,17.739002
2016-03-17,18.17,18.17,17.83,18.040001,8100,17.937871
2016-03-16,17.77,18.09,17.610001,18.02,13200,17.917984
2016-03-15,18.129999,18.129999,17.780001,18.040001,6300,17.937871
2016-03-14,17.90,18.059999,17.68,18.040001,12000,17.937871
2016-03-11,17.799999,18.17,17.59,17.950001,15200,17.84838
2016-03-10,17.32,17.639999,17.24,17.639999,196400,17.540134
2016-03-09,16.610001,17.540001,16.610001,17.299999,82700,17.202059
2016-03-08,17.299999,17.389999,17.17,17.389999,90800,17.291549
2016-03-07,16.809999,17.32,16.809999,17.299999,34600,17.202059
2016-03-04,17.540001,17.540001,17.120001,17.120001,33900,17.023079
2016-03-03,17.299999,17.48,17.299999,17.459999,15500,17.361153
2016-03-02,17.01,17.290001,17.01,17.209999,13800,17.112568
2016-03-01,17.07,17.15,16.91,17.09,54100,16.993248
2016-02-29,17.09,17.10,16.889999,16.959999,29900,16.863983
2016-02-26,18.040001,18.040001,16.98,16.99,19900,16.893814
2016-02-25,16.559999,16.98,16.549999,16.76,42600,16.665117
2016-02-24,16.559999,16.65,16.48,16.65,27600,16.555739
2016-02-23,16.50,16.639999,16.50,16.620001,27300,16.52591
2016-02-22,16.48,16.700001,16.48,16.639999,34800,16.545795
2016-02-19,16.34,16.700001,16.34,16.50,13000,16.406588
2016-02-18,16.709999,16.709999,16.040001,16.25,13700,16.158004
2016-02-17,16.709999,17.139999,16.440001,16.440001,11700,16.346929
2016-02-16,16.559999,16.790001,16.450001,16.790001,79400,16.694948
2016-02-12,16.209999,16.549999,16.209999,16.450001,23200,16.356872
2016-02-11,16.10,16.52,16.10,16.27,2900,16.177891
2016-02-10,16.23,16.549999,16.23,16.42,48700,16.327041
2016-02-09,15.85,16.530001,15.85,16.33,86300,16.12519
2016-02-08,16.389999,16.559999,15.89,16.040001,21000,15.838828
2016-02-05,17.02,17.23,16.52,16.549999,15900,16.34243
2016-02-04,17.059999,17.299999,17.01,17.129999,29100,16.915156
