Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,22.85,24.959999,22.67,24.17,245900,24.17
2016-06-09,23.00,23.030001,22.469999,23.00,59700,23.00
2016-06-08,22.84,23.26,22.52,23.049999,107500,23.049999
2016-06-07,24.110001,24.110001,20.290001,22.83,314200,22.83
2016-06-06,24.639999,24.92,24.33,24.700001,86800,24.700001
2016-06-03,24.52,24.690001,24.360001,24.530001,73500,24.530001
2016-06-02,24.57,24.629999,24.32,24.57,48800,24.57
2016-06-01,24.07,24.58,24.01,24.559999,76800,24.559999
2016-05-31,24.559999,24.860001,24.16,24.190001,64900,24.190001
2016-05-27,24.530001,25.00,24.530001,24.629999,47700,24.629999
2016-05-26,24.40,24.620001,24.290001,24.559999,52700,24.559999
2016-05-25,24.52,24.68,23.60,24.43,38400,24.43
2016-05-24,23.870001,24.49,23.870001,24.34,174500,24.34
2016-05-23,24.129999,24.25,23.450001,23.879999,123800,23.879999
2016-05-20,23.879999,24.389999,23.709999,24.030001,54800,24.030001
2016-05-19,23.879999,23.879999,23.51,23.73,50700,23.73
2016-05-18,23.889999,24.780001,23.809999,23.959999,89400,23.959999
2016-05-17,24.030001,24.24,23.719999,24.00,109400,24.00
2016-05-16,24.110001,24.35,24.110001,24.15,42500,24.15
2016-05-13,24.389999,24.68,23.889999,24.08,66100,24.08
2016-05-12,24.60,24.67,24.35,24.50,66800,24.50
2016-05-11,24.809999,24.92,24.40,24.540001,39300,24.540001
2016-05-10,24.83,25.030001,24.50,24.90,52500,24.90
2016-05-09,24.860001,25.07,24.559999,24.92,57500,24.92
2016-05-06,24.73,25.040001,24.52,25.00,35500,25.00
2016-05-05,25.00,25.059999,24.76,24.84,56000,24.84
2016-05-04,24.77,24.969999,24.50,24.77,29800,24.77
2016-05-03,24.91,25.030001,24.42,24.860001,51900,24.860001
2016-05-02,24.809999,25.02,24.66,24.940001,55000,24.940001
2016-04-29,24.719999,24.99,24.50,24.799999,68800,24.799999
2016-04-28,25.18,25.360001,24.59,24.629999,35600,24.629999
2016-04-27,24.99,25.450001,24.719999,25.360001,45900,25.360001
2016-04-26,24.700001,25.15,24.370001,25.040001,96900,25.040001
2016-04-25,24.389999,24.59,24.23,24.549999,70800,24.549999
2016-04-22,24.860001,25.27,24.629999,24.75,59600,24.75
2016-04-21,25.00,25.07,24.74,24.91,68600,24.91
2016-04-20,25.290001,25.42,24.889999,24.98,47000,24.98
2016-04-19,25.59,25.65,25.25,25.33,82900,25.33
2016-04-18,25.459999,25.629999,25.24,25.540001,121900,25.540001
2016-04-15,25.370001,25.620001,25.24,25.469999,101800,25.469999
2016-04-14,25.34,25.76,25.24,25.33,105700,25.33
2016-04-13,25.629999,25.77,25.40,25.450001,180900,25.450001
2016-04-12,26.17,26.17,25.07,25.40,261400,25.40
2016-04-11,26.77,26.93,26.309999,26.360001,155800,26.360001
2016-04-08,27.389999,28.190001,26.389999,26.66,288000,26.66
2016-04-07,30.42,31.940001,27.01,27.370001,487700,27.370001
2016-04-06,32.720001,33.939999,32.639999,33.290001,88500,33.290001
2016-04-05,32.759998,33.18,32.50,32.619999,86900,32.619999
2016-04-04,33.50,34.240002,32.75,33.139999,49900,33.139999
2016-04-01,32.560001,33.450001,32.560001,33.369999,62400,33.369999
2016-03-31,33.209999,33.470001,32.709999,32.849998,103600,32.849998
2016-03-30,33.82,33.869999,32.900002,33.119999,71400,33.119999
2016-03-29,32.720001,33.84,32.279999,33.599998,85300,33.599998
2016-03-28,32.00,33.009998,31.879999,32.869999,59200,32.869999
2016-03-24,31.49,32.07,31.10,31.780001,62800,31.780001
2016-03-23,34.25,34.290001,31.00,31.77,232000,31.77
2016-03-22,35.080002,35.650002,35.009998,35.240002,48400,35.240002
2016-03-21,33.709999,35.950001,33.400002,35.419998,207000,35.419998
2016-03-18,33.09,34.389999,32.919998,33.529999,84200,33.529999
2016-03-17,32.790001,33.060001,32.66,32.970001,47000,32.970001
2016-03-16,32.240002,32.830002,32.240002,32.75,33600,32.75
2016-03-15,32.73,33.119999,32.389999,32.439999,28300,32.439999
2016-03-14,32.950001,32.970001,32.470001,32.84,37900,32.84
2016-03-11,32.689999,32.990002,32.419998,32.919998,37000,32.919998
2016-03-10,32.740002,32.889999,32.310001,32.400002,29800,32.300001
2016-03-09,32.189999,32.790001,32.009998,32.639999,42600,32.539258
2016-03-08,32.009998,32.490002,31.889999,32.130001,47200,32.030833
2016-03-07,32.639999,32.639999,31.93,32.099998,33400,32.000924
2016-03-04,32.599998,32.73,31.969999,32.549999,22400,32.449535
2016-03-03,32.110001,32.66,31.780001,32.619999,39400,32.519319
2016-03-02,32.049999,32.290001,31.879999,32.110001,61300,32.010895
2016-03-01,31.959999,32.52,31.809999,32.169998,58400,32.070707
2016-02-29,31.709999,32.540001,31.60,31.92,94500,31.821481
2016-02-26,31.389999,31.73,31.10,31.58,47300,31.48253
2016-02-25,31.299999,31.440001,30.74,31.129999,27500,31.033918
2016-02-24,30.84,31.190001,30.42,31.10,36700,31.004012
2016-02-23,30.870001,31.459999,30.549999,31.190001,77900,31.093734
2016-02-22,29.84,31.68,29.58,30.940001,94100,30.844506
2016-02-19,28.889999,29.719999,28.889999,29.65,64600,29.558486
2016-02-18,28.84,29.18,28.84,28.889999,40900,28.800832
2016-02-17,28.42,29.25,28.299999,28.879999,65700,28.790863
2016-02-16,27.860001,28.129999,27.50,28.120001,31300,28.03321
2016-02-12,27.42,27.639999,26.59,27.459999,32000,27.375245
2016-02-11,27.08,28.00,26.870001,27.219999,45100,27.135986
2016-02-10,27.870001,28.790001,27.41,27.469999,40500,27.385215
2016-02-09,27.73,28.469999,27.309999,27.67,64400,27.584598
2016-02-08,27.92,28.15,27.25,28.139999,63300,28.053147
2016-02-05,28.60,29.120001,27.59,27.74,75600,27.654382
2016-02-04,29.09,29.09,28.219999,28.76,62600,28.671234
2016-02-03,28.879999,29.18,28.08,28.940001,44200,28.850679
2016-02-02,28.76,28.83,28.51,28.780001,27800,28.691173
2016-02-01,28.50,29.16,28.43,28.91,34900,28.820771
2016-01-29,28.10,28.860001,28.09,28.709999,119600,28.621387
2016-01-28,27.809999,28.09,27.58,28.08,52800,27.993332
2016-01-27,27.959999,28.549999,27.530001,27.60,65100,27.514814
2016-01-26,28.00,28.49,27.99,28.17,79600,28.083055
2016-01-25,28.00,28.33,27.60,28.00,54000,27.913579
2016-01-22,28.280001,28.379999,27.610001,28.00,74900,27.913579
2016-01-21,27.940001,28.129999,27.32,28.00,85300,27.913579
2016-01-20,27.52,28.32,26.790001,27.91,131700,27.823857
2016-01-19,28.190001,28.190001,27.26,27.74,103500,27.654382
2016-01-15,27.33,27.950001,26.90,27.889999,67400,27.803918
2016-01-14,27.860001,28.50,27.719999,27.98,100000,27.893641
2016-01-13,29.379999,29.790001,27.469999,27.629999,159700,27.544721
2016-01-12,29.969999,30.51,28.98,29.200001,188300,29.109876
2016-01-11,29.41,29.870001,28.879999,29.870001,88200,29.777809
2016-01-08,29.969999,30.51,29.290001,29.34,115600,29.249444
2016-01-07,28.379999,30.43,28.15,30.290001,207000,30.196512
2016-01-06,25.49,28.33,25.16,28.219999,153800,28.1329
2016-01-05,24.60,24.940001,24.049999,24.82,80100,24.743394
2016-01-04,24.950001,25.01,24.26,24.360001,95700,24.284815
2015-12-31,25.73,25.92,25.059999,25.24,96900,25.162098
2015-12-30,25.82,26.18,25.620001,25.709999,78900,25.630647
2015-12-29,26.030001,26.209999,25.620001,25.77,69700,25.690463
2015-12-28,25.48,25.799999,25.309999,25.780001,56000,25.700432
2015-12-24,25.940001,25.969999,25.43,25.709999,23900,25.630647
2015-12-23,25.99,26.10,25.60,25.860001,58700,25.780185
2015-12-22,25.99,25.99,25.43,25.92,51500,25.839999
2015-12-21,25.99,26.200001,25.32,25.809999,56100,25.730338
2015-12-18,26.42,26.969999,25.74,26.00,99900,25.919752
2015-12-17,26.83,27.469999,26.34,26.58,48000,26.497962
2015-12-16,25.809999,26.719999,25.77,26.68,41600,26.597654
2015-12-15,25.040001,25.60,25.040001,25.52,58500,25.441234
2015-12-14,24.969999,25.32,24.870001,25.10,48600,25.022531
2015-12-11,24.00,25.379999,24.00,24.870001,80600,24.793241
2015-12-10,26.16,26.700001,24.200001,25.10,145400,24.922839
2015-12-09,26.76,27.309999,26.26,26.32,48800,26.134228
2015-12-08,27.48,27.540001,26.34,26.799999,33300,26.610839
2015-12-07,27.969999,27.969999,27.23,27.68,42100,27.484629
2015-12-04,27.40,28.389999,27.040001,27.83,39800,27.63357
2015-12-03,27.68,28.02,27.08,27.52,63800,27.325759
2015-12-02,27.83,28.27,27.469999,27.68,28000,27.484629
2015-12-01,27.709999,28.26,27.459999,27.99,34800,27.792441
2015-11-30,27.92,27.92,27.059999,27.40,56800,27.206605
2015-11-27,27.60,28.200001,27.459999,27.700001,22900,27.504489
