Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.86,13.29,12.61,12.61,34600,12.61
2016-06-09,13.66,13.78,12.81,12.87,38900,12.87
2016-06-08,13.32,13.96,13.32,13.68,65600,13.68
2016-06-07,12.41,13.54,12.41,13.28,65500,13.28
2016-06-06,12.07,12.35,11.88,12.35,22000,12.35
2016-06-03,12.16,12.17,11.77,12.07,27200,12.07
2016-06-02,12.77,12.77,12.20,12.20,37000,12.20
2016-06-01,12.53,12.95,12.05,12.91,38000,12.91
2016-05-31,12.46,12.72,12.36,12.58,50000,12.58
2016-05-27,12.71,12.72,12.12,12.30,34700,12.30
2016-05-26,12.46,12.46,12.20,12.28,26600,12.28
2016-05-25,12.60,12.86,12.45,12.50,48000,12.50
2016-05-24,12.37,12.87,12.37,12.41,67000,12.41
2016-05-23,12.21,12.40,12.13,12.15,41800,12.15
2016-05-20,12.06,12.50,12.05,12.12,58300,12.12
2016-05-19,12.49,12.87,11.55,11.81,84900,11.81
2016-05-18,11.03,11.71,11.03,11.10,28600,11.10
2016-05-17,11.42,11.50,10.88,11.04,33600,11.04
2016-05-16,11.28,11.55,11.20,11.47,15100,11.47
2016-05-13,11.04,11.17,10.90,10.90,18200,10.90
2016-05-12,11.52,11.52,10.90,10.99,28600,10.99
2016-05-11,11.14,11.70,10.93,11.44,22700,11.44
2016-05-10,11.15,11.30,10.81,10.95,34800,10.95
2016-05-09,11.16,11.31,11.06,11.15,19700,11.15
2016-05-06,11.37,11.40,10.93,11.27,16100,11.27
2016-05-05,11.67,12.00,11.11,11.17,39100,11.17
2016-05-04,12.49,12.69,11.42,11.57,139700,11.57
2016-05-03,12.55,12.70,12.08,12.52,37100,12.52
2016-05-02,12.86,12.86,12.52,12.60,33900,12.60
2016-04-29,13.58,13.58,12.56,12.86,44500,12.86
2016-04-28,13.33,13.90,13.33,13.60,27900,13.60
2016-04-27,13.25,13.50,13.23,13.41,13300,13.41
2016-04-26,13.53,13.59,13.23,13.37,28500,13.37
2016-04-25,13.33,13.78,13.30,13.55,40200,13.55
2016-04-22,13.44,13.80,13.40,13.50,18200,13.50
2016-04-21,13.90,13.95,13.44,13.50,26400,13.50
2016-04-20,13.51,14.20,13.51,13.90,48100,13.90
2016-04-19,14.23,14.23,13.63,13.69,54400,13.69
2016-04-18,13.98,14.30,13.90,14.23,21500,14.23
2016-04-15,14.13,14.37,13.66,14.10,24400,14.10
2016-04-14,14.50,14.67,14.08,14.14,85500,14.14
2016-04-13,14.39,15.12,14.31,14.31,67800,14.31
2016-04-12,13.85,14.40,13.84,14.27,39100,14.27
2016-04-11,13.70,14.00,13.63,13.70,25600,13.70
2016-04-08,13.88,14.32,13.49,13.64,54700,13.64
2016-04-07,14.15,14.29,13.61,13.85,52300,13.85
2016-04-06,14.26,14.45,14.03,14.21,29200,14.21
2016-04-05,14.30,14.52,13.75,14.20,42300,14.20
2016-04-04,15.02,15.24,14.26,14.31,54100,14.31
2016-04-01,15.45,15.75,15.00,15.03,35100,15.03
2016-03-31,16.620001,16.77,15.36,15.44,47700,15.44
2016-03-30,15.76,16.879999,15.75,16.52,146900,16.52
2016-03-29,15.00,16.16,15.00,15.56,66200,15.56
2016-03-28,16.40,16.48,14.40,14.82,83000,14.82
2016-03-24,15.83,16.65,15.70,16.559999,50500,16.559999
2016-03-23,16.18,16.76,15.66,15.92,33400,15.92
2016-03-22,14.94,16.35,14.94,16.35,50500,16.35
2016-03-21,15.07,15.30,14.31,15.20,67900,15.20
2016-03-18,16.389999,17.07,14.66,14.66,63100,14.66
2016-03-17,16.76,16.90,16.35,16.57,19400,16.57
2016-03-16,16.26,16.91,16.200001,16.66,17900,16.66
2016-03-15,16.10,16.440001,15.92,16.07,11400,16.07
2016-03-14,16.459999,16.629999,16.190001,16.190001,17600,16.190001
2016-03-11,16.68,16.68,16.16,16.50,21900,16.50
2016-03-10,16.65,16.709999,16.08,16.26,19600,16.26
2016-03-09,16.780001,17.51,16.59,16.74,12700,16.74
2016-03-08,17.10,17.309999,16.530001,16.58,28400,16.58
2016-03-07,17.32,17.67,17.27,17.48,23700,17.48
2016-03-04,17.66,18.049999,17.24,17.42,26900,17.42
2016-03-03,17.35,18.15,16.969999,17.73,39800,17.73
2016-03-02,17.27,17.959999,17.129999,17.57,27600,17.57
2016-03-01,17.34,17.73,17.01,17.370001,32400,17.370001
2016-02-29,16.889999,17.360001,16.889999,17.290001,30300,17.290001
2016-02-26,17.08,17.08,16.49,16.73,8400,16.73
2016-02-25,16.690001,16.92,16.440001,16.549999,18500,16.549999
2016-02-24,15.70,16.98,15.70,16.93,28800,16.93
2016-02-23,16.799999,16.799999,15.53,15.88,38800,15.88
2016-02-22,15.38,17.02,14.95,16.85,69900,16.85
2016-02-19,15.57,15.57,14.82,15.02,61100,15.02
2016-02-18,16.09,16.09,15.55,15.84,19000,15.84
2016-02-17,15.82,16.360001,15.55,15.87,21300,15.87
2016-02-16,14.48,15.55,14.45,15.55,26200,15.55
2016-02-12,14.93,14.97,13.69,14.00,51300,14.00
2016-02-11,14.78,15.20,14.58,14.85,10800,14.85
2016-02-10,15.55,15.55,14.95,15.00,19800,15.00
