Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,11.96,12.00,11.82,11.90,62000,11.90
2016-06-09,11.90,12.00,11.80,11.97,97800,11.97
2016-06-08,12.00,12.10,11.81,11.90,89800,11.90
2016-06-07,12.13,12.13,11.95,12.02,86700,12.02
2016-06-06,12.04,12.17,12.00,12.17,74400,12.17
2016-06-03,12.11,12.19,12.00,12.02,51200,12.02
2016-06-02,12.04,12.20,12.04,12.14,42200,12.14
2016-06-01,12.00,12.16,12.00,12.11,42100,12.11
2016-05-31,12.04,12.07,11.96,12.00,42700,12.00
2016-05-27,12.13,12.20,11.97,12.00,42500,12.00
2016-05-26,12.01,12.08,11.97,12.06,47200,12.06
2016-05-25,12.00,12.04,11.93,12.01,41500,12.01
2016-05-24,12.01,12.05,11.85,11.92,47800,11.92
2016-05-23,11.74,12.02,11.69,11.92,53900,11.92
2016-05-20,11.77,11.86,11.65,11.69,35500,11.69
2016-05-19,11.77,11.77,11.53,11.72,28900,11.72
2016-05-18,11.71,11.86,11.70,11.75,25600,11.75
2016-05-17,11.77,11.88,11.73,11.76,51400,11.76
2016-05-16,11.68,11.93,11.58,11.85,134000,11.735
2016-05-13,11.39,11.64,11.37,11.58,75600,11.46762
2016-05-12,11.55,11.68,11.25,11.30,105100,11.190338
2016-05-11,11.38,11.68,11.38,11.51,82100,11.3983
2016-05-10,11.24,11.42,11.21,11.38,43100,11.269561
2016-05-09,11.31,11.48,11.15,11.23,54900,11.121016
2016-05-06,11.37,11.37,11.15,11.26,45800,11.150726
2016-05-05,11.60,11.63,11.19,11.37,67300,11.259658
2016-05-04,11.63,11.72,11.45,11.68,59800,11.56665
2016-05-03,11.36,11.46,11.10,11.39,53100,11.279464
2016-05-02,11.47,11.48,11.23,11.40,53100,11.289367
2016-04-29,11.52,11.54,11.25,11.44,60400,11.328978
2016-04-28,11.60,11.62,11.49,11.55,43000,11.437911
2016-04-27,11.62,11.70,11.52,11.59,34200,11.477523
2016-04-26,11.70,11.70,11.52,11.61,41400,11.497329
2016-04-25,11.77,11.80,11.60,11.67,35200,11.556747
2016-04-22,11.80,11.87,11.76,11.80,12400,11.685485
2016-04-21,11.77,11.88,11.72,11.72,17600,11.606262
2016-04-20,11.75,11.84,11.59,11.77,52800,11.655777
2016-04-19,11.66,11.75,11.66,11.70,41800,11.586455
2016-04-18,11.66,11.82,11.58,11.65,52800,11.53694
2016-04-15,11.65,11.85,11.64,11.76,77000,11.531989
2016-04-14,11.62,11.65,11.55,11.64,47700,11.414316
2016-04-13,11.48,11.60,11.41,11.55,61200,11.326061
2016-04-12,11.49,11.59,11.38,11.42,73600,11.198581
2016-04-11,11.64,11.70,11.37,11.40,115300,11.178969
2016-04-08,11.69,11.69,11.57,11.64,74800,11.414316
2016-04-07,11.66,11.68,11.62,11.63,19200,11.40451
2016-04-06,11.57,11.85,11.57,11.66,34400,11.433928
2016-04-05,11.57,11.75,11.57,11.58,29500,11.355479
2016-04-04,11.68,11.90,11.60,11.71,40600,11.482959
2016-04-01,11.61,11.79,11.51,11.76,48800,11.531989
2016-03-31,11.43,11.62,11.31,11.61,60300,11.384897
2016-03-30,11.60,11.66,11.22,11.33,33300,11.110326
2016-03-29,11.23,11.57,11.20,11.53,32000,11.306448
2016-03-28,11.14,11.32,11.10,11.26,25500,11.041684
2016-03-24,11.31,11.35,11.09,11.14,46000,10.92401
2016-03-23,11.57,11.67,11.33,11.38,32300,11.159357
2016-03-22,11.46,11.56,11.46,11.53,18300,11.306448
2016-03-21,11.43,11.57,11.40,11.56,46500,11.335867
2016-03-18,11.71,11.71,11.41,11.43,46300,11.208388
2016-03-17,11.47,11.83,11.44,11.68,32100,11.453541
2016-03-16,11.67,11.67,11.39,11.57,61000,11.345673
2016-03-15,11.90,11.90,11.60,11.80,59800,11.458444
2016-03-14,11.69,12.16,11.69,11.90,76600,11.555549
2016-03-11,11.90,12.03,11.34,11.76,93900,11.419602
2016-03-10,11.75,11.96,11.70,11.82,109400,11.477865
2016-03-09,11.33,11.71,11.33,11.58,98500,11.244812
2016-03-08,11.66,11.66,11.25,11.36,41200,11.031179
2016-03-07,11.18,11.74,11.18,11.66,56800,11.322496
2016-03-04,11.01,11.52,11.01,11.20,55400,10.875811
2016-03-03,11.15,11.27,11.05,11.24,59500,10.914653
2016-03-02,10.99,11.15,10.93,11.02,44200,10.701022
2016-03-01,10.89,11.31,10.62,11.16,96300,10.836969
2016-02-29,10.39,10.75,10.34,10.74,51700,10.429126
2016-02-26,10.20,10.54,10.16,10.35,62000,10.050415
2016-02-25,10.12,10.18,9.94,10.14,21900,9.846494
2016-02-24,10.00,10.11,9.91,10.11,29600,9.817361
2016-02-23,10.08,10.17,10.00,10.01,17900,9.720256
2016-02-22,10.04,10.11,10.00,10.10,23200,9.807651
2016-02-19,9.87,10.04,9.87,10.01,28600,9.720256
2016-02-18,10.02,10.03,9.90,10.00,26100,9.710546
2016-02-17,10.23,10.23,9.95,10.14,97000,9.734822
2016-02-16,9.84,10.04,9.79,10.04,34800,9.638817
2016-02-12,9.49,9.87,9.45,9.63,55300,9.245201
2016-02-11,9.70,9.74,9.36,9.42,60600,9.043592
2016-02-10,9.55,9.87,9.55,9.81,42900,9.418008
2016-02-09,9.65,9.81,9.51,9.53,42900,9.149196
2016-02-08,9.67,10.12,9.60,9.73,30500,9.341204
2016-02-05,10.02,10.28,9.73,9.79,64200,9.398807
2016-02-04,10.00,10.22,9.89,10.03,50500,9.629217
2016-02-03,10.00,10.00,9.75,9.87,53900,9.47561
2016-02-02,10.20,10.47,9.96,9.98,67200,9.581215
2016-02-01,10.09,10.26,10.04,10.20,36600,9.792424
2016-01-29,9.99,10.27,9.91,10.12,64600,9.715621
2016-01-28,9.87,9.88,9.65,9.78,24800,9.389206
2016-01-27,10.01,10.11,9.71,9.75,102200,9.360405
2016-01-26,10.04,10.27,9.96,10.23,34800,9.821225
2016-01-25,10.07,10.16,9.77,10.03,56400,9.629217
2016-01-22,9.90,10.16,9.86,10.07,141700,9.667618
2016-01-21,9.51,10.34,9.49,9.69,120000,9.302803
2016-01-20,9.63,9.63,9.01,9.42,116400,9.043592
2016-01-19,10.16,10.27,9.75,9.79,97500,9.398807
2016-01-15,10.07,10.21,9.76,10.15,146300,9.634017
2016-01-14,10.64,10.64,10.03,10.37,139400,9.842833
2016-01-13,11.32,11.42,10.63,10.70,144400,10.156058
2016-01-12,11.63,11.73,11.17,11.20,106300,10.63064
2016-01-11,11.93,11.93,11.36,11.48,80700,10.896405
2016-01-08,11.84,12.11,11.80,11.83,54100,11.228613
2016-01-07,11.93,12.01,11.75,11.78,45200,11.181155
2016-01-06,12.02,12.04,11.91,12.02,30700,11.408955
2016-01-05,11.95,12.05,11.72,11.96,43600,11.352005
2016-01-04,11.53,11.90,11.51,11.85,56600,11.247597
2015-12-31,11.77,11.84,11.73,11.73,73400,11.133696
2015-12-30,11.96,12.07,11.73,11.84,46600,11.238105
2015-12-29,12.28,12.35,11.71,11.89,138200,11.285564
2015-12-28,11.76,12.34,11.44,12.32,151600,11.693704
2015-12-24,11.80,11.80,11.62,11.76,29700,11.162172
2015-12-23,11.50,11.87,11.41,11.72,97400,11.124206
2015-12-22,11.39,11.58,11.26,11.40,73700,10.820472
2015-12-21,11.30,11.34,11.02,11.24,84500,10.668606
2015-12-18,11.51,11.70,11.32,11.32,50800,10.744539
2015-12-17,11.82,11.85,11.53,11.57,78800,10.98183
2015-12-16,11.28,11.90,11.17,11.89,116700,11.285564
2015-12-15,11.21,11.51,10.98,11.25,158900,10.568944
2015-12-14,11.57,11.75,11.19,11.31,149800,10.625312
2015-12-11,11.79,11.85,11.45,11.56,97700,10.860178
