Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.92,11.04,10.81,10.97,39500,10.97
2016-06-09,11.02,11.03,10.72,10.95,45100,10.95
2016-06-08,10.96,11.04,10.90,10.96,42700,10.96
2016-06-07,10.88,11.00,10.84,10.93,22900,10.93
2016-06-06,10.77,10.99,10.76,10.91,38600,10.91
2016-06-03,10.72,10.81,10.68,10.79,20500,10.79
2016-06-02,10.78,10.78,10.62,10.75,92800,10.75
2016-06-01,10.66,10.82,10.65,10.76,27000,10.76
2016-05-31,10.71,10.79,10.61,10.76,30200,10.76
2016-05-27,10.55,10.68,10.52,10.67,17000,10.67
2016-05-26,10.59,10.66,10.53,10.61,15500,10.61
2016-05-25,10.74,10.79,10.60,10.63,38300,10.63
2016-05-24,10.39,10.71,10.39,10.70,65100,10.70
2016-05-23,10.35,10.40,10.24,10.31,21700,10.31
2016-05-20,10.37,10.51,10.26,10.34,62300,10.34
2016-05-19,10.53,10.60,10.20,10.29,26100,10.29
2016-05-18,10.00,10.64,10.00,10.61,26500,10.61
2016-05-17,10.33,10.33,9.87,10.09,67900,10.09
2016-05-16,10.36,10.54,10.17,10.42,31500,10.42
2016-05-13,10.48,10.51,10.22,10.33,12800,10.33
2016-05-12,10.45,10.54,10.42,10.50,41900,10.50
2016-05-11,10.58,10.66,10.38,10.45,27700,10.45
2016-05-10,10.46,10.66,10.44,10.62,32300,10.62
2016-05-09,10.43,10.47,10.43,10.47,44400,10.47
2016-05-06,10.37,10.46,10.29,10.44,44000,10.44
2016-05-05,10.31,10.46,10.20,10.39,48500,10.30
2016-05-04,10.28,10.46,10.18,10.39,35600,10.30
2016-05-03,10.64,10.77,10.34,10.34,37300,10.250433
2016-05-02,10.43,10.86,10.43,10.75,67200,10.656882
2016-04-29,10.37,10.52,10.37,10.44,29000,10.349567
2016-04-28,10.52,10.55,10.39,10.42,28200,10.32974
2016-04-27,10.56,10.64,10.40,10.59,17000,10.498268
2016-04-26,10.48,10.59,10.20,10.56,41000,10.468528
2016-04-25,10.36,10.89,10.00,10.51,65800,10.418961
2016-04-22,10.06,10.60,9.90,10.41,41700,10.319827
