Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,14.93,15.08,14.93,14.99,20800,14.99
2016-06-09,14.93,15.13,14.93,15.01,30500,15.01
2016-06-08,14.98,15.18,14.98,15.14,64500,15.14
2016-06-07,15.01,15.13,14.99,14.99,16100,14.99
2016-06-06,15.00,15.16,15.00,15.10,39400,15.10
2016-06-03,15.05,15.05,14.83,15.02,28900,15.02
2016-06-02,14.98,15.11,14.87,15.11,24400,15.11
2016-06-01,14.83,15.10,14.80,15.05,46600,15.05
2016-05-31,15.08,15.08,14.68,14.84,68800,14.84
2016-05-27,15.00,15.03,14.92,14.99,16500,14.99
2016-05-26,14.94,15.11,14.92,14.93,23900,14.93
2016-05-25,15.05,15.15,14.94,15.08,35600,15.08
2016-05-24,14.91,15.10,14.91,15.03,28000,15.03
2016-05-23,14.77,14.88,14.70,14.76,23100,14.76
2016-05-20,14.79,15.00,14.72,14.80,35100,14.80
2016-05-19,14.82,14.82,14.58,14.73,26200,14.73
2016-05-18,14.57,15.01,14.57,14.91,43000,14.91
2016-05-17,14.69,14.74,14.56,14.60,76700,14.60
2016-05-16,14.79,15.00,14.70,14.72,29600,14.72
2016-05-13,14.67,14.84,14.67,14.71,21700,14.71
2016-05-12,14.73,14.82,14.61,14.70,37600,14.70
2016-05-11,14.74,14.77,14.68,14.71,27300,14.71
2016-05-10,14.76,15.05,14.71,14.76,27800,14.76
2016-05-09,14.70,14.93,14.68,14.71,28300,14.71
2016-05-06,14.74,14.93,14.53,14.64,32800,14.64
2016-05-05,14.81,14.91,14.68,14.70,40100,14.70
2016-05-04,14.74,14.93,14.69,14.77,40600,14.77
2016-05-03,15.11,15.32,14.87,14.90,33200,14.82
2016-05-02,15.23,15.31,15.01,15.21,45800,15.128336
2016-04-29,15.14,15.20,14.97,15.15,74700,15.068657
2016-04-28,15.08,15.25,15.01,15.16,87300,15.078604
2016-04-27,14.99,15.13,14.75,15.10,60500,15.018927
2016-04-26,14.66,15.05,14.52,14.97,78500,14.889624
2016-04-25,14.36,14.74,14.36,14.56,69600,14.481826
2016-04-22,14.86,14.89,14.68,14.86,42900,14.780214
2016-04-21,14.90,14.99,14.77,14.83,33800,14.750376
2016-04-20,14.86,14.99,14.80,14.93,25600,14.849839
2016-04-19,14.86,14.95,14.80,14.88,25900,14.800108
2016-04-18,14.81,14.91,14.68,14.83,36700,14.750376
2016-04-15,14.70,14.89,14.70,14.79,25200,14.710591
2016-04-14,14.62,14.91,14.62,14.73,35000,14.650912
2016-04-13,14.31,14.67,14.31,14.65,56400,14.571342
2016-04-12,14.15,14.30,14.06,14.27,33900,14.193383
2016-04-11,14.27,14.40,14.16,14.19,45600,14.113812
2016-04-08,14.41,14.54,14.15,14.25,38200,14.17349
2016-04-07,14.52,14.53,14.31,14.37,69800,14.292846
2016-04-06,14.58,14.65,14.43,14.60,66300,14.521611
2016-04-05,14.52,14.73,14.36,14.62,57100,14.541503
2016-04-04,14.95,14.95,14.59,14.61,55300,14.531557
2016-04-01,14.44,15.01,14.43,14.99,99400,14.909517
2016-03-31,14.55,14.60,14.39,14.55,213500,14.471879
2016-03-30,14.50,14.67,14.48,14.57,50100,14.491772
2016-03-29,14.28,14.57,14.17,14.47,67900,14.392309
2016-03-28,14.34,14.42,14.20,14.31,48200,14.233168
2016-03-24,14.33,14.34,14.15,14.28,70700,14.203329
2016-03-23,14.44,14.50,14.35,14.38,66100,14.302792
2016-03-22,14.56,14.66,14.40,14.44,60000,14.362469
2016-03-21,14.70,14.70,14.59,14.64,62000,14.561396
2016-03-18,14.71,14.93,14.64,14.69,101400,14.611127
2016-03-17,14.51,14.73,14.50,14.66,98900,14.581288
2016-03-16,14.63,14.71,14.45,14.56,61100,14.481826
2016-03-15,14.60,14.75,14.59,14.61,60100,14.531557
2016-03-14,14.65,14.71,14.63,14.66,56600,14.581288
2016-03-11,14.53,14.70,14.51,14.70,109600,14.621074
2016-03-10,14.67,14.79,14.44,14.50,56800,14.422148
2016-03-09,14.75,14.79,14.60,14.67,42800,14.591235
2016-03-08,14.76,14.89,14.66,14.66,88200,14.581288
2016-03-07,14.72,14.99,14.72,14.80,81700,14.720537
2016-03-04,14.99,15.04,14.62,14.75,98600,14.670805
2016-03-03,14.76,15.00,14.72,14.97,63500,14.889624
2016-03-02,14.75,15.03,14.62,14.75,83500,14.670805
2016-03-01,14.75,15.03,14.72,14.74,98900,14.660859
2016-02-29,14.91,14.96,14.35,14.73,106100,14.650912
2016-02-26,14.93,14.98,14.77,14.86,76300,14.780214
2016-02-25,14.56,14.90,14.56,14.83,167700,14.750376
2016-02-24,14.38,14.59,14.24,14.55,77600,14.471879
2016-02-23,14.56,14.74,14.49,14.50,72600,14.422148
2016-02-22,14.85,14.85,14.54,14.63,122200,14.55145
2016-02-19,14.56,14.85,14.53,14.67,137500,14.591235
2016-02-18,14.44,14.59,14.35,14.57,111200,14.491772
2016-02-17,14.57,14.57,14.32,14.45,113400,14.372416
2016-02-16,14.54,14.61,14.33,14.51,89900,14.432094
2016-02-12,14.17,14.49,14.13,14.40,56100,14.322684
2016-02-11,14.07,14.17,13.89,14.02,48200,13.944725
2016-02-10,14.45,14.65,14.23,14.25,76100,14.17349
2016-02-09,14.38,14.79,14.28,14.41,263300,14.332631
2016-02-08,14.45,15.30,14.34,14.48,75400,14.402255
2016-02-05,14.82,15.01,14.57,14.57,237600,14.491772
2016-02-04,14.90,15.10,14.60,14.88,84300,14.800108
2016-02-03,14.99,15.04,14.71,14.89,101200,14.810054
2016-02-02,15.02,15.11,14.84,14.96,50400,14.800107
2016-02-01,15.10,15.20,14.92,15.14,113200,14.978184
2016-01-29,15.15,15.16,15.01,15.14,274900,14.978184
2016-01-28,15.16,15.39,15.08,15.15,122900,14.988076
2016-01-27,14.58,15.36,14.46,15.08,573400,14.918825
2016-01-26,14.57,14.74,14.26,14.60,103800,14.443955
2016-01-25,15.82,16.15,14.35,14.42,135200,14.265879
2016-01-22,14.11,14.32,13.91,14.29,58500,14.137268
2016-01-21,14.10,14.21,13.89,13.98,85500,13.830581
2016-01-20,14.11,14.35,13.90,14.19,83800,14.038337
2016-01-19,14.31,14.50,14.12,14.27,114700,14.117483
2016-01-15,13.99,14.77,13.99,14.16,128600,14.008658
2016-01-14,14.48,14.82,14.28,14.32,69900,14.166947
2016-01-13,14.43,14.46,14.26,14.34,105000,14.186734
2016-01-12,14.52,14.53,14.24,14.40,75700,14.246092
2016-01-11,14.45,14.62,14.33,14.42,47400,14.265879
2016-01-08,14.66,14.89,14.35,14.39,124000,14.2362
2016-01-07,14.55,14.66,14.51,14.60,123000,14.443955
2016-01-06,14.60,14.82,14.60,14.74,35500,14.582459
2016-01-05,14.69,14.82,14.60,14.75,34700,14.592352
2016-01-04,15.06,15.06,14.55,14.65,113600,14.49342
2015-12-31,15.52,15.73,15.17,15.23,115700,15.067221
2015-12-30,15.32,15.60,15.19,15.52,69200,15.354123
2015-12-29,15.26,15.35,15.00,15.31,58700,15.146367
2015-12-28,15.25,15.38,15.03,15.19,155200,15.027649
2015-12-24,15.29,15.52,15.27,15.32,54600,15.156259
2015-12-23,15.25,15.29,15.03,15.20,48700,15.037542
2015-12-22,15.15,15.23,14.90,15.19,56000,15.027649
2015-12-21,15.08,15.26,14.91,15.05,94100,14.889146
2015-12-18,14.96,15.12,14.55,15.01,365700,14.849573
2015-12-17,15.29,15.41,14.97,15.02,37600,14.859467
2015-12-16,15.24,15.42,14.72,15.21,61700,15.047435
2015-12-15,15.20,15.58,15.04,15.13,127800,14.968291
2015-12-14,14.98,15.14,14.80,15.11,92100,14.948504
2015-12-11,14.72,15.10,13.85,14.95,217900,14.790214
2015-12-10,14.92,15.24,14.74,15.00,107600,14.83968
2015-12-09,14.83,15.05,14.73,14.92,118200,14.760535
2015-12-08,15.01,15.20,14.79,14.82,404300,14.661603
2015-12-07,15.38,15.41,15.05,15.13,56000,14.968291
2015-12-04,15.36,15.54,15.26,15.41,185100,15.245298
2015-12-03,15.63,15.76,15.22,15.29,65800,15.12658
2015-12-02,15.82,15.88,15.52,15.54,39300,15.373908
2015-12-01,15.61,15.86,15.46,15.70,75600,15.532198
2015-11-30,15.71,15.80,15.49,15.51,82700,15.344229
2015-11-27,15.66,15.76,15.16,15.68,30600,15.512412
2015-11-25,15.65,15.68,15.09,15.64,43000,15.47284
2015-11-24,15.63,15.74,15.39,15.65,48500,15.482732
2015-11-23,15.36,15.57,15.36,15.50,64000,15.334336
2015-11-20,15.09,15.48,15.01,15.38,119400,15.215619
2015-11-19,15.17,15.17,14.89,15.03,54200,14.869359
2015-11-18,15.19,15.20,14.93,15.17,174900,15.007863
2015-11-17,15.10,15.49,15.07,15.11,84000,14.948504
2015-11-16,15.10,15.44,14.90,15.18,102300,15.017756
2015-11-13,14.90,15.22,14.90,15.06,109800,14.899039
2015-11-12,15.16,15.42,14.86,15.00,107200,14.83968
2015-11-11,15.24,15.42,15.12,15.25,60700,15.087008
2015-11-10,14.83,15.30,14.59,15.20,142500,15.037542
2015-11-09,15.02,15.02,14.73,14.85,73600,14.691283
2015-11-06,14.64,15.08,14.51,15.02,70800,14.859467
2015-11-05,14.62,14.75,14.50,14.70,53700,14.542886
2015-11-04,14.50,14.69,14.36,14.63,104800,14.39449
2015-11-03,14.65,14.65,14.47,14.49,74700,14.256743
2015-11-02,14.48,14.78,14.40,14.70,87800,14.463362
2015-10-30,14.55,14.59,14.39,14.48,200300,14.246904
2015-10-29,14.89,14.99,13.71,14.52,255100,14.286261
2015-10-28,14.51,14.98,14.50,14.93,315400,14.68966
2015-10-27,14.53,14.62,14.37,14.52,110300,14.286261
2015-10-26,14.55,14.80,14.52,14.60,91000,14.364973
2015-10-23,14.80,14.89,14.59,14.59,206500,14.355133
2015-10-22,14.82,14.94,14.69,14.71,177700,14.473202
2015-10-21,14.76,14.85,14.66,14.73,185300,14.492879
2015-10-20,14.67,14.78,14.61,14.71,75500,14.473202
2015-10-19,14.66,14.80,14.58,14.73,81300,14.492879
2015-10-16,14.80,14.80,14.60,14.73,61900,14.492879
2015-10-15,14.37,14.77,14.35,14.75,74300,14.512558
2015-10-14,14.53,14.56,14.32,14.33,79800,14.099319
2015-10-13,14.65,14.65,14.43,14.52,78500,14.286261
2015-10-12,14.50,14.69,14.38,14.68,123700,14.443685
2015-10-09,14.51,14.55,14.39,14.49,134400,14.256743
2015-10-08,14.50,14.70,14.46,14.52,128800,14.286261
2015-10-07,14.49,14.53,14.38,14.50,119400,14.266582
2015-10-06,14.80,14.86,14.43,14.44,171900,14.207548
2015-10-05,14.60,14.85,14.31,14.84,80500,14.601109
2015-10-02,14.58,14.72,14.35,14.53,137100,14.296099
2015-10-01,14.86,14.91,14.58,14.82,133100,14.581431
2015-09-30,14.90,14.95,14.67,14.76,634400,14.522397
2015-09-29,14.73,14.96,14.65,14.79,141200,14.551914
2015-09-28,14.60,14.81,14.40,14.64,81600,14.404329
2015-09-25,14.76,14.91,14.59,14.61,133900,14.374811
2015-09-24,14.10,15.04,14.10,14.70,305300,14.463362
2015-09-23,14.09,14.15,14.01,14.14,31400,13.912378
2015-09-22,14.06,14.30,13.97,14.10,42400,13.873022
2015-09-21,14.02,14.31,13.99,14.20,58700,13.971411
2015-09-18,13.74,14.01,13.52,13.97,94600,13.745114
2015-09-17,14.01,14.21,13.82,13.89,85900,13.666402
2015-09-16,14.14,14.30,14.09,14.11,59400,13.88286
2015-09-15,14.25,14.33,14.19,14.27,46800,14.040285
2015-09-14,14.20,14.35,14.19,14.19,37500,13.961572
2015-09-11,14.02,14.35,14.02,14.20,62400,13.971411
2015-09-10,14.15,14.36,14.02,14.12,53000,13.892699
2015-09-09,14.30,14.30,14.04,14.22,66300,13.99109
2015-09-08,14.25,14.30,14.05,14.19,65500,13.961572
2015-09-04,13.91,14.10,13.91,14.07,53800,13.843504
2015-09-03,14.21,14.30,14.00,14.08,48500,13.853343
2015-09-02,13.76,14.19,13.76,14.19,91400,13.961572
2015-09-01,13.85,14.10,13.55,13.63,136800,13.410587
2015-08-31,14.01,14.24,13.95,14.07,86700,13.843504
2015-08-28,13.99,14.19,13.93,14.16,110900,13.932055
2015-08-27,14.21,14.34,13.95,14.10,100400,13.873022
2015-08-26,14.23,14.23,13.90,14.15,112400,13.922216
2015-08-25,13.87,14.13,13.52,13.97,142200,13.745114
2015-08-24,13.62,14.09,13.40,13.52,160100,13.302358
2015-08-21,14.12,14.44,13.95,14.21,69500,13.981251
2015-08-20,14.44,14.56,14.19,14.31,66000,14.079641
2015-08-19,14.53,14.82,14.39,14.57,74800,14.335455
2015-08-18,14.73,14.84,14.51,14.61,58200,14.374811
2015-08-17,14.59,14.83,14.40,14.77,59700,14.532236
2015-08-14,14.50,14.72,14.37,14.61,77500,14.374811
2015-08-13,14.39,14.70,14.39,14.54,59500,14.305938
2015-08-12,14.79,14.80,14.40,14.42,135400,14.18787
2015-08-11,15.04,15.26,14.58,14.94,110800,14.699499
2015-08-10,14.98,15.27,14.88,15.19,196400,14.945474
2015-08-07,14.56,15.00,14.48,14.87,77000,14.630626
2015-08-06,14.48,14.80,14.46,14.66,152400,14.424006
2015-08-05,14.47,14.60,14.40,14.44,58400,14.207548
2015-08-04,14.36,14.50,14.36,14.41,71400,14.118997
2015-08-03,14.30,14.47,14.00,14.33,63100,14.040612
2015-07-31,14.26,14.32,14.01,14.26,310200,13.972026
2015-07-30,13.93,14.31,13.84,14.21,253900,13.923036
2015-07-29,13.44,14.09,13.35,13.96,125600,13.678084
2015-07-28,13.40,13.50,13.30,13.47,197600,13.19798
2015-07-27,13.36,13.48,13.25,13.37,132000,13.099999
2015-07-24,13.50,13.50,13.31,13.31,54100,13.041211
2015-07-23,13.69,13.70,13.40,13.45,37900,13.178383
2015-07-22,13.59,13.73,13.59,13.65,27600,13.374344
2015-07-21,13.70,13.86,13.56,13.58,34400,13.305758
2015-07-20,13.85,13.85,13.62,13.71,20800,13.433133
2015-07-17,13.84,13.84,13.67,13.78,56800,13.501719
2015-07-16,13.90,14.00,13.79,13.79,76000,13.511517
