Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,40.040001,40.700001,40.040001,40.59,80000,40.59
2016-06-09,39.759998,41.689999,38.68,40.639999,293100,40.639999
2016-06-08,37.950001,39.009998,37.66,38.98,55600,38.98
2016-06-07,38.099998,38.169998,37.66,37.799999,64300,37.799999
2016-06-06,38.169998,38.650002,38.119999,38.139999,36400,38.139999
2016-06-03,38.02,38.32,37.209999,38.09,48200,38.09
2016-06-02,38.23,38.549999,37.939999,38.43,39700,38.43
2016-06-01,37.68,38.82,37.509998,38.509998,88600,38.509998
2016-05-31,38.259998,38.50,37.50,38.02,41400,38.02
2016-05-27,37.619999,38.41,37.619999,38.209999,20900,38.209999
2016-05-26,38.310001,38.450001,37.720001,37.720001,23700,37.720001
2016-05-25,38.50,38.759998,38.139999,38.290001,48800,38.290001
2016-05-24,37.75,38.880001,37.720001,38.279999,115200,38.279999
2016-05-23,36.529999,37.75,35.419998,37.66,70900,37.66
2016-05-20,35.799999,36.869999,35.689999,36.77,79200,36.77
2016-05-19,36.380001,36.490002,34.529999,35.75,64300,35.75
2016-05-18,35.349998,36.799999,35.349998,36.509998,43500,36.509998
2016-05-17,34.93,35.689999,34.689999,35.509998,98600,35.509998
2016-05-16,33.84,35.240002,33.700001,34.779999,48600,34.779999
2016-05-13,34.540001,34.540001,33.349998,33.68,37800,33.68
2016-05-12,34.990002,35.209999,33.860001,34.16,39000,34.16
2016-05-11,35.25,35.439999,34.82,34.970001,33000,34.970001
2016-05-10,34.790001,35.689999,34.790001,35.279999,25600,35.279999
2016-05-09,34.779999,35.130001,34.349998,34.650002,22000,34.650002
2016-05-06,33.740002,35.119999,33.740002,34.790001,38300,34.790001
2016-05-05,35.150002,35.330002,34.040001,34.169998,44600,34.169998
2016-05-04,35.380001,36.040001,34.459999,35.00,58200,34.92
2016-05-03,36.130001,36.689999,35.080002,35.740002,40900,35.65831
2016-05-02,36.630001,36.93,36.209999,36.73,41600,36.646045
2016-04-29,36.380001,37.110001,34.82,36.599998,56600,36.516341
2016-04-28,36.630001,37.869999,36.27,36.299999,72100,36.217028
2016-04-27,35.349998,37.18,35.349998,36.759998,138900,36.675975
2016-04-26,33.00,36.279999,31.84,35.43,226900,35.349017
2016-04-25,32.779999,32.959999,32.189999,32.310001,116200,32.23615
2016-04-22,32.23,32.779999,32.00,32.52,26700,32.445669
2016-04-21,32.509998,33.040001,32.049999,32.080002,93600,32.006676
2016-04-20,31.42,32.599998,31.23,32.560001,61400,32.485578
2016-04-19,30.059999,31.33,30.059999,31.27,54500,31.198526
2016-04-18,29.00,30.10,27.860001,30.07,52700,30.001268
2016-04-15,30.389999,30.719999,29.08,29.23,61600,29.163188
2016-04-14,29.83,30.870001,29.83,30.51,28200,30.440263
2016-04-13,28.75,30.209999,28.75,30.09,63600,30.021223
2016-04-12,27.48,29.15,27.200001,28.65,85700,28.584514
2016-04-11,26.389999,27.57,26.389999,27.280001,37100,27.217646
2016-04-08,26.129999,26.92,25.50,26.34,56700,26.279794
2016-04-07,26.549999,26.549999,25.60,25.790001,78900,25.731052
2016-04-06,26.190001,26.700001,26.00,26.60,40900,26.5392
2016-04-05,26.540001,26.85,26.139999,26.23,42100,26.170045
