Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,30.299999,30.469999,29.60,29.639999,66700,29.639999
2016-06-09,30.530001,30.82,30.15,30.68,87600,30.68
2016-06-08,30.309999,30.889999,30.309999,30.639999,49900,30.639999
2016-06-07,30.549999,31.709999,29.76,30.309999,103500,30.309999
2016-06-06,29.940001,30.709999,28.84,30.440001,77800,30.440001
2016-06-03,29.790001,30.030001,29.42,29.790001,50700,29.790001
2016-06-02,29.60,29.860001,29.309999,29.700001,70500,29.700001
2016-06-01,29.049999,29.870001,29.049999,29.610001,74400,29.610001
2016-05-31,29.74,29.74,27.360001,29.24,94600,29.24
2016-05-27,29.43,29.93,29.139999,29.43,55500,29.43
2016-05-26,29.629999,29.690001,29.129999,29.50,63300,29.50
2016-05-25,29.700001,29.879999,29.42,29.68,56400,29.68
2016-05-24,29.24,29.98,28.889999,29.719999,90800,29.719999
2016-05-23,28.67,29.190001,28.559999,28.98,58300,28.98
2016-05-20,28.67,29.040001,28.23,28.75,64100,28.75
2016-05-19,28.809999,29.41,28.32,28.469999,97600,28.469999
2016-05-18,28.860001,29.68,28.58,28.92,118100,28.92
2016-05-17,29.18,29.540001,28.50,29.00,136000,29.00
2016-05-16,28.290001,29.459999,28.15,29.42,64600,29.42
2016-05-13,28.82,28.90,28.059999,28.09,125100,28.09
2016-05-12,29.00,29.379999,28.58,29.00,97800,29.00
2016-05-11,29.440001,29.700001,27.709999,29.02,159700,29.02
2016-05-10,30.950001,31.540001,30.459999,30.99,80500,30.99
2016-05-09,31.309999,31.60,30.450001,30.98,96800,30.98
2016-05-06,30.709999,31.450001,30.57,31.440001,72600,31.440001
2016-05-05,30.68,31.129999,30.43,30.690001,88900,30.690001
2016-05-04,30.49,30.98,30.200001,30.469999,64200,30.469999
2016-05-03,30.530001,31.379999,30.530001,30.709999,80500,30.709999
2016-05-02,30.76,31.18,30.76,30.879999,108300,30.879999
2016-04-29,31.459999,32.169998,30.57,30.620001,135400,30.620001
2016-04-28,31.129999,31.629999,31.129999,31.450001,101800,31.450001
2016-04-27,31.799999,32.150002,31.00,31.370001,105500,31.370001
2016-04-26,31.18,32.220001,31.15,31.889999,122000,31.889999
2016-04-25,31.34,31.65,30.790001,31.17,65300,31.17
2016-04-22,30.469999,31.35,30.32,31.299999,84900,31.299999
2016-04-21,31.00,31.129999,30.379999,30.620001,52500,30.620001
2016-04-20,30.860001,31.379999,30.35,31.00,81300,31.00
2016-04-19,30.860001,31.07,29.870001,30.950001,122300,30.950001
2016-04-18,30.90,31.379999,30.65,31.18,97300,31.18
2016-04-15,30.98,31.379999,30.58,31.16,51800,31.16
2016-04-14,30.84,31.25,30.620001,31.16,54400,31.16
2016-04-13,30.870001,31.299999,30.68,30.75,64500,30.75
2016-04-12,30.48,30.99,30.370001,30.73,45200,30.73
2016-04-11,30.26,30.879999,30.15,30.48,89500,30.48
2016-04-08,30.440001,30.469999,29.940001,30.139999,40200,30.139999
2016-04-07,30.139999,30.41,29.879999,30.209999,116900,30.209999
2016-04-06,30.00,30.42,29.82,30.32,45900,30.32
2016-04-05,30.309999,30.780001,29.90,30.139999,69200,30.139999
2016-04-04,30.93,30.950001,30.32,30.35,81400,30.35
2016-04-01,30.559999,31.049999,30.40,30.82,155000,30.82
2016-03-31,30.27,31.57,29.780001,30.90,61700,30.90
2016-03-30,30.77,31.18,30.219999,30.34,296200,30.34
2016-03-29,30.110001,30.870001,29.790001,30.700001,221800,30.700001
2016-03-28,30.200001,30.76,29.799999,30.26,66600,30.110001
2016-03-24,29.67,30.389999,29.15,30.24,92000,30.090099
2016-03-23,29.68,30.040001,29.219999,29.92,137600,29.771686
2016-03-22,29.99,30.969999,29.370001,29.809999,184300,29.662231
2016-03-21,29.90,32.470001,29.52,31.540001,251900,31.383656
2016-03-18,29.690001,30.290001,29.049999,30.049999,159300,29.901041
2016-03-17,28.440001,29.629999,27.280001,29.57,124700,29.423421
2016-03-16,27.65,28.77,27.629999,28.459999,157300,28.318922
2016-03-15,27.48,28.41,27.219999,27.870001,114100,27.731849
2016-03-14,28.280001,30.02,26.799999,27.610001,135400,27.473137
2016-03-11,27.860001,28.370001,27.799999,28.299999,88900,28.159716
2016-03-10,28.07,28.07,27.450001,27.780001,63200,27.642295
2016-03-09,27.690001,28.129999,27.68,28.07,60900,27.930856
2016-03-08,27.530001,27.83,26.92,27.559999,58700,27.423384
2016-03-07,26.93,27.610001,26.93,27.610001,65100,27.473137
2016-03-04,26.98,27.540001,26.809999,27.08,61200,26.945764
2016-03-03,27.10,27.209999,26.66,26.85,103700,26.716904
2016-03-02,26.17,27.059999,25.91,26.950001,92000,26.816409
2016-03-01,25.549999,26.360001,25.379999,26.280001,92800,26.14973
2016-02-29,25.98,26.059999,25.23,25.309999,79500,25.184537
2016-02-26,26.82,26.90,25.860001,26.16,74000,26.030324
2016-02-25,26.309999,26.799999,25.43,26.75,57000,26.6174
2016-02-24,25.09,26.299999,24.959999,26.23,81700,26.099977
2016-02-23,25.48,26.07,25.15,25.290001,90400,25.164638
2016-02-22,26.08,26.41,23.74,25.59,94200,25.46315
2016-02-19,25.24,26.200001,25.059999,25.83,73600,25.70196
2016-02-18,25.530001,26.129999,25.049999,25.360001,102300,25.234291
2016-02-17,25.370001,26.129999,23.459999,25.459999,88100,25.333793
2016-02-16,25.610001,26.26,23.700001,25.219999,91800,25.094983
2016-02-12,24.959999,25.530001,24.52,25.360001,101900,25.234291
2016-02-11,24.219999,24.92,23.959999,24.77,105000,24.647215
2016-02-10,25.959999,26.25,23.60,24.790001,78900,24.667116
2016-02-09,25.690001,26.16,25.18,25.780001,46400,25.652209
2016-02-08,25.549999,26.389999,25.450001,25.99,104600,25.861167
2016-02-05,25.860001,26.24,25.549999,25.790001,110500,25.662159
2016-02-04,26.09,26.33,25.84,26.00,59800,25.871117
2016-02-03,26.41,27.23,25.809999,26.190001,175300,26.060176
2016-02-02,26.25,27.219999,26.00,26.110001,56500,25.980573
2016-02-01,26.450001,27.85,24.950001,26.65,155600,26.517895
2016-01-29,25.68,27.07,25.370001,26.85,138500,26.716904
2016-01-28,25.459999,26.15,25.219999,25.690001,90600,25.562655
2016-01-27,25.41,25.93,24.93,25.23,96000,25.104934
2016-01-26,24.34,25.709999,23.889999,25.41,265600,25.284042
2016-01-25,23.99,24.549999,23.639999,23.969999,158400,23.85118
2016-01-22,23.67,24.51,23.07,24.209999,133900,24.08999
2016-01-21,23.17,23.52,22.790001,23.209999,72300,23.094947
2016-01-20,22.219999,23.629999,22.219999,23.18,105400,23.065097
2016-01-19,23.00,23.129999,22.530001,22.67,63900,22.557624
2016-01-15,22.469999,23.07,20.370001,22.709999,95700,22.597425
2016-01-14,22.860001,23.549999,22.59,23.049999,124700,22.93574
2016-01-13,23.17,23.34,22.35,22.700001,157400,22.587476
2016-01-12,22.440001,23.32,22.440001,23.24,187100,23.124799
2016-01-11,21.33,22.459999,21.18,22.16,104000,22.050152
2016-01-08,21.299999,21.620001,20.99,21.129999,120500,21.025257
2016-01-07,21.26,21.82,20.959999,21.280001,137000,21.174515
2016-01-06,22.50,22.799999,21.43,21.620001,101300,21.51283
2016-01-05,22.83,24.690001,22.27,22.870001,87300,22.756634
2016-01-04,23.799999,24.370001,22.68,22.940001,126100,22.826286
2015-12-31,23.99,24.48,22.73,23.82,115200,23.701923
2015-12-30,23.450001,24.139999,23.25,23.940001,131400,23.821329
2015-12-29,24.18,24.42,22.809999,23.540001,193800,23.423313
2015-12-28,24.629999,26.34,23.950001,24.23,115400,23.980535
2015-12-24,24.60,24.879999,24.48,24.610001,47500,24.356624
2015-12-23,24.940001,25.309999,24.32,24.75,79600,24.495182
2015-12-22,24.85,25.07,24.49,25.030001,56100,24.7723
2015-12-21,24.84,25.26,24.629999,24.879999,92300,24.623842
2015-12-18,24.82,24.85,24.25,24.68,164600,24.425903
2015-12-17,25.33,26.91,24.67,24.959999,75200,24.703019
2015-12-16,25.09,25.40,24.73,25.33,72300,25.06921
2015-12-15,24.50,24.98,24.110001,24.85,58500,24.594153
2015-12-14,24.610001,25.23,23.940001,24.35,74200,24.0993
2015-12-11,24.92,25.139999,24.110001,24.639999,97900,24.386314
2015-12-10,26.42,26.559999,24.889999,25.32,92100,25.059313
2015-12-09,26.26,27.16,26.139999,26.50,78600,26.227164
2015-12-08,26.01,26.57,25.860001,26.450001,91500,26.17768
2015-12-07,26.709999,26.91,25.950001,26.35,59900,26.078709
2015-12-04,26.74,27.379999,26.59,26.83,76800,26.553767
2015-12-03,26.299999,26.870001,25.950001,26.33,46800,26.058914
2015-12-02,26.51,26.969999,26.27,26.379999,74000,26.108399
2015-12-01,26.790001,27.389999,26.200001,26.57,74000,26.296443
2015-11-30,28.17,28.17,26.469999,26.66,135600,26.385517
2015-11-27,27.93,28.48,27.719999,28.23,29100,27.939352
2015-11-25,27.50,28.18,27.309999,27.98,33400,27.691926
2015-11-24,26.290001,27.66,26.190001,27.549999,52700,27.266353
2015-11-23,26.469999,26.809999,26.43,26.549999,58000,26.276649
2015-11-20,26.690001,26.889999,26.40,26.549999,49600,26.276649
2015-11-19,26.93,26.93,26.23,26.48,65400,26.20737
2015-11-18,26.440001,27.07,25.66,26.950001,37100,26.672532
2015-11-17,27.17,28.379999,26.379999,26.59,59700,26.316238
2015-11-16,26.93,27.469999,26.82,27.40,38100,27.117898
2015-11-13,27.18,27.18,26.24,26.860001,62300,26.583458
2015-11-12,27.91,28.450001,27.25,27.379999,79500,27.098103
2015-11-11,28.08,28.700001,27.92,28.17,44500,27.879971
2015-11-10,29.370001,29.370001,26.73,28.00,85900,27.711721
2015-11-09,27.60,28.120001,25.030001,27.190001,66000,26.910061
2015-11-06,27.16,27.719999,26.65,27.67,65800,27.385118
2015-11-05,27.209999,27.48,26.85,27.370001,51600,27.088208
2015-11-04,27.860001,27.860001,26.66,27.23,78000,26.949648
2015-11-03,27.58,28.10,26.43,27.870001,56700,27.58306
2015-11-02,27.700001,28.27,26.860001,27.549999,59700,27.266353
2015-10-30,27.01,28.280001,26.940001,27.620001,101400,27.335634
2015-10-29,26.84,27.27,25.690001,26.92,48300,26.64284
2015-10-28,26.17,27.360001,26.129999,27.02,48100,26.741811
2015-10-27,26.90,26.90,25.85,26.16,53900,25.890665
2015-10-26,26.32,26.940001,25.99,26.84,59900,26.563664
2015-10-23,27.08,27.389999,25.92,26.360001,60800,26.088606
2015-10-22,25.34,26.809999,25.139999,26.530001,148600,26.256856
2015-10-21,25.41,25.610001,24.940001,24.969999,62800,24.712916
2015-10-20,25.959999,26.959999,24.07,25.50,87100,25.23746
2015-10-19,25.68,26.059999,24.639999,25.99,55400,25.722415
2015-10-16,26.00,26.02,25.639999,25.83,60100,25.564062
2015-10-15,26.58,26.700001,25.08,25.99,181400,25.722415
2015-10-14,26.700001,27.030001,26.440001,26.50,63300,26.227164
2015-10-13,26.959999,27.33,26.389999,26.610001,89600,26.336032
2015-10-12,26.889999,27.190001,26.040001,27.01,49900,26.731914
2015-10-09,26.66,27.219999,25.139999,26.959999,48800,26.682427
2015-10-08,26.49,26.85,25.74,26.639999,133000,26.365722
2015-10-07,26.389999,26.700001,26.030001,26.549999,108300,26.276649
2015-10-06,26.790001,26.809999,25.41,26.379999,59200,26.108399
2015-10-05,25.610001,26.99,25.370001,26.879999,135900,26.603251
2015-10-02,24.559999,25.59,24.24,25.549999,137400,25.286944
2015-10-01,24.629999,24.940001,24.58,24.690001,112200,24.4358
2015-09-30,25.049999,25.26,24.629999,24.809999,71700,24.554563
2015-09-29,24.42,24.93,24.34,24.76,83500,24.505079
2015-09-28,24.549999,24.76,23.959999,24.469999,76100,24.218064
2015-09-25,24.52,25.42,24.129999,24.709999,138800,24.326931
2015-09-24,23.889999,24.48,23.40,24.379999,109600,24.002046
2015-09-23,24.17,24.40,23.41,24.01,134900,23.637783
2015-09-22,24.049999,24.16,23.43,24.049999,99300,23.677162
2015-09-21,25.040001,25.51,24.17,24.290001,106200,23.913443
2015-09-18,25.530001,26.059999,24.610001,24.93,166300,24.543521
2015-09-17,25.58,26.23,25.190001,25.98,71400,25.577243
2015-09-16,25.110001,25.77,24.99,25.559999,60700,25.163754
2015-09-15,24.82,25.10,24.58,24.99,49200,24.60259
2015-09-14,24.85,25.33,24.629999,24.719999,45300,24.336776
2015-09-11,24.83,25.01,24.459999,24.76,71300,24.376157
2015-09-10,24.799999,25.299999,24.57,25.02,80900,24.632126
2015-09-09,25.16,25.379999,24.60,24.690001,75500,24.307242
2015-09-08,25.23,25.709999,24.66,25.02,96900,24.632126
2015-09-04,24.76,25.280001,24.379999,24.75,59700,24.366311
2015-09-03,25.040001,25.620001,24.73,25.040001,70700,24.651816
2015-09-02,25.02,25.120001,24.52,25.02,66200,24.632126
2015-09-01,25.120001,25.780001,24.51,24.65,68400,24.267861
2015-08-31,25.42,25.75,25.07,25.700001,138100,25.301585
2015-08-28,25.17,25.860001,25.02,25.629999,116000,25.232668
2015-08-27,26.139999,26.139999,24.92,25.40,132400,25.006234
2015-08-26,24.969999,26.93,24.799999,26.02,91900,25.616624
