Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.32,15.43,15.25,15.43,8700,15.43
2016-06-09,15.374,15.374,15.25,15.25,5200,15.25
2016-06-08,15.49,15.49,15.31,15.31,700,15.31
2016-06-07,15.33,15.43,15.27,15.30,21300,15.30
2016-06-06,15.44,15.63,15.39,15.54,19500,15.54
2016-06-03,15.345,15.44,15.345,15.39,800,15.39
2016-06-02,15.448,15.45,15.35,15.35,3200,15.35
2016-06-01,15.25,15.49,15.25,15.27,36100,15.27
2016-05-31,15.49,15.49,15.43,15.43,2500,15.43
2016-05-27,15.33,15.33,15.33,15.33,000,15.33
2016-05-26,15.50,15.50,15.29,15.33,5600,15.33
2016-05-25,15.20,15.33,15.20,15.33,4200,15.33
2016-05-24,15.46,15.46,15.15,15.20,8600,15.20
2016-05-23,15.39,15.50,15.38,15.38,51900,15.38
2016-05-20,15.21,15.44,15.21,15.30,2100,15.30
2016-05-19,15.46,15.50,15.15,15.40,23000,15.40
2016-05-18,15.71,15.71,15.67,15.67,500,15.67
2016-05-17,15.57,15.95,15.54,15.95,1700,15.95
2016-05-16,15.50,15.67,15.40,15.41,18800,15.41
2016-05-13,15.19,15.45,15.05,15.45,3600,15.45
2016-05-12,15.39,15.40,15.15,15.18,6300,15.18
2016-05-11,15.035,15.35,15.035,15.30,5100,15.30
2016-05-10,15.50,15.51,15.35,15.50,7300,15.50
2016-05-09,15.39,15.96,15.25,15.50,8600,15.50
2016-05-06,15.50,15.50,15.45,15.50,5800,15.50
2016-05-05,15.10,15.236,15.10,15.236,1400,15.236
2016-05-04,15.173,15.26,15.173,15.26,2200,15.26
2016-05-03,15.00,15.00,15.00,15.00,600,15.00
2016-05-02,15.08,15.20,15.02,15.10,4400,15.10
2016-04-29,15.16,15.30,15.101,15.20,9700,15.20
2016-04-28,15.14,15.339,15.14,15.27,5500,15.27
2016-04-27,15.00,15.274,15.00,15.274,3700,15.274
2016-04-26,15.08,15.20,15.00,15.00,5600,15.00
2016-04-25,15.07,15.19,15.07,15.19,400,15.19
2016-04-22,15.05,15.05,15.05,15.05,300,15.05
2016-04-21,15.50,15.50,15.03,15.13,1000,15.13
2016-04-20,15.35,15.45,15.17,15.18,2800,15.18
2016-04-19,15.07,15.209,15.07,15.101,6300,15.101
2016-04-18,15.60,15.75,15.27,15.27,1100,15.27
2016-04-15,15.001,15.74,15.00,15.13,3800,15.13
2016-04-14,14.95,15.196,14.95,15.00,700,15.00
2016-04-13,14.998,15.10,14.811,14.90,3200,14.90
2016-04-12,15.10,15.54,15.10,15.37,2400,15.37
2016-04-11,15.03,15.03,14.81,14.81,400,14.81
2016-04-08,15.24,15.24,15.24,15.24,000,15.24
2016-04-07,15.24,15.24,15.24,15.24,400,15.24
2016-04-06,14.711,14.99,14.711,14.99,400,14.99
2016-04-05,14.94,15.125,14.94,15.10,2300,15.10
2016-04-04,15.21,15.21,14.611,14.92,2100,14.92
2016-04-01,15.351,15.70,15.09,15.09,2000,15.09
2016-03-31,15.33,15.75,14.66,14.67,3700,14.67
2016-03-30,15.10,15.36,15.10,15.36,400,15.351
2016-03-29,15.40,15.99,15.04,15.18,2100,15.171106
2016-03-28,15.54,15.54,15.50,15.50,1000,15.490918
2016-03-24,14.56,15.46,14.56,15.44,1800,15.430953
2016-03-23,15.06,15.30,15.06,15.30,400,15.291036
2016-03-22,15.31,15.59,14.91,15.28,9100,15.271047
2016-03-21,15.43,15.43,15.43,15.43,800,15.42096
2016-03-18,14.937,15.48,14.91,15.43,9100,15.42096
2016-03-17,15.00,15.75,15.00,15.23,15000,15.221076
2016-03-16,14.56,14.99,14.56,14.90,300,14.89127
2016-03-15,14.99,15.21,14.87,15.10,8600,15.091153
2016-03-14,14.40,14.76,14.40,14.67,1200,14.661405
2016-03-11,14.72,14.99,14.60,14.80,10000,14.791329
2016-03-10,14.413,14.60,14.40,14.60,8600,14.591446
2016-03-09,14.61,14.61,14.42,14.42,600,14.411551
2016-03-08,14.50,14.91,14.50,14.53,5200,14.521486
2016-03-07,14.36,14.62,14.30,14.51,11500,14.501499
2016-03-04,14.18,14.64,14.15,14.35,10200,14.341593
2016-03-03,14.99,14.99,14.26,14.31,1500,14.301616
2016-03-02,14.28,14.59,14.25,14.52,1700,14.511493
2016-03-01,14.499,14.499,14.26,14.28,3700,14.271633
2016-02-29,14.24,14.75,14.20,14.37,8400,14.36158
2016-02-26,14.03,14.249,14.01,14.19,4600,14.181685
2016-02-25,14.55,14.75,14.45,14.51,9100,14.501499
2016-02-24,14.724,14.724,14.51,14.51,700,14.501499
2016-02-23,14.75,14.75,14.51,14.52,1500,14.511493
2016-02-22,14.51,14.65,14.51,14.52,16100,14.511493
2016-02-19,14.534,14.75,14.52,14.52,1600,14.511493
2016-02-18,14.74,14.75,14.51,14.63,9300,14.621428
2016-02-17,14.54,14.59,14.54,14.54,34800,14.531481
2016-02-16,14.98,15.00,14.51,14.55,3800,14.541475
2016-02-12,14.75,14.75,13.96,14.05,2700,14.041768
2016-02-11,13.63,14.489,13.63,14.25,6800,14.241651
2016-02-10,14.50,14.50,13.85,13.85,3300,13.841885
2016-02-09,15.02,15.09,14.50,14.50,5100,14.491504
2016-02-08,15.10,15.37,14.20,15.37,6900,15.360994
2016-02-05,15.764,15.764,15.73,15.73,400,15.720783
2016-02-04,15.54,15.74,15.54,15.74,300,15.730777
2016-02-03,15.50,15.85,15.50,15.84,12000,15.830719
2016-02-02,16.00,16.00,15.92,15.92,500,15.910672
2016-02-01,15.99,15.99,15.504,15.83,5500,15.820725
2016-01-29,15.99,16.00,15.525,15.58,6000,15.570871
2016-01-28,15.76,15.79,15.76,15.79,300,15.780748
2016-01-27,15.99,15.99,15.92,15.92,400,15.910672
2016-01-26,15.92,16.09,15.89,16.00,3600,15.990625
2016-01-25,15.512,15.60,15.512,15.60,700,15.59086
2016-01-22,15.571,16.00,15.57,15.96,1900,15.950649
2016-01-21,15.85,15.85,15.50,15.81,5300,15.800737
2016-01-20,16.530001,16.530001,15.25,15.65,17300,15.64083
2016-01-19,16.950001,17.10,16.50,16.91,4300,16.900092
2016-01-15,16.938,17.00,16.59,16.59,1100,16.58028
2016-01-14,17.51,17.57,16.51,17.299999,900,17.289863
2016-01-13,16.35,16.459999,16.290001,16.290001,1400,16.280456
2016-01-12,16.209999,16.969999,16.209999,16.77,1500,16.760175
2016-01-11,17.01,17.23,16.950001,16.98,5900,16.970051
2016-01-08,17.011,17.23,17.011,17.200001,500,17.189923
2016-01-07,17.25,17.25,17.25,17.25,000,17.239893
2016-01-06,17.25,17.25,17.25,17.25,1100,17.239893
2016-01-05,17.440001,17.629,17.440001,17.440001,4000,17.429782
2016-01-04,17.35,17.440001,17.35,17.440001,600,17.429782
2015-12-31,17.42,17.629999,17.40,17.60,1400,17.589688
2015-12-30,17.40,17.40,17.40,17.40,900,17.389805
2015-12-29,17.639999,17.639999,17.41,17.60,600,17.580693
2015-12-28,17.51,17.52,17.41,17.41,2200,17.390901
2015-12-24,17.700001,17.700001,17.700001,17.700001,000,17.680583
2015-12-23,17.655001,17.700001,17.655001,17.700001,300,17.680583
2015-12-22,17.565001,17.565001,17.450001,17.50,700,17.480802
2015-12-21,17.75,17.75,17.551001,17.58,3900,17.560714
2015-12-18,17.26,17.75,17.26,17.75,2600,17.730528
2015-12-17,17.26,17.26,17.26,17.26,200,17.241066
2015-12-16,17.639999,17.639999,17.639999,17.639999,000,17.620648
2015-12-15,17.639999,17.639999,17.639999,17.639999,200,17.620648
2015-12-14,17.129999,17.794001,17.129999,17.794001,2500,17.77448
2015-12-11,17.01,17.094999,17.01,17.01,2800,16.99134
2015-12-10,17.02,17.190001,17.01,17.17,2200,17.151164
2015-12-09,17.02,17.10,17.01,17.10,7600,17.081241
2015-12-08,17.26,17.389999,17.049999,17.049999,4800,17.031295
2015-12-07,17.35,17.40,17.049999,17.049999,3900,17.031295
2015-12-04,17.059999,17.540001,17.059999,17.530001,2000,17.51077
2015-12-03,17.559999,17.66,17.10,17.10,5900,17.081241
2015-12-02,17.440001,17.440001,17.440001,17.440001,000,17.420868
2015-12-01,17.57,17.74,17.00,17.440001,11600,17.420868
2015-11-30,17.50,17.825001,17.00,17.700001,6500,17.680583
2015-11-27,17.10,17.67,17.07,17.50,3000,17.480802
2015-11-25,17.245001,17.700001,17.15,17.700001,3300,17.680583
2015-11-24,17.00,17.00,17.00,17.00,000,16.981351
2015-11-23,17.00,17.50,16.959999,17.00,15000,16.981351
2015-11-20,16.691999,16.691999,16.691999,16.691999,200,16.673688
2015-11-19,17.17,17.17,16.700001,16.700001,800,16.68168
2015-11-18,16.601,17.24,16.601,17.00,63300,16.981351
2015-11-17,17.629999,17.629999,17.055,17.15,2400,17.131186
2015-11-16,16.450001,18.00,16.450001,16.65,4300,16.631734
2015-11-13,16.450001,16.450001,16.43,16.450001,700,16.431955
2015-11-12,16.440001,16.440001,16.02,16.24,1200,16.222184
2015-11-11,16.322001,16.322001,16.322001,16.322001,000,16.304095
2015-11-10,16.322001,16.322001,16.322001,16.322001,000,16.304095
2015-11-09,16.42,16.450001,16.264,16.322001,4700,16.304095
2015-11-06,16.195,16.195,16.195,16.195,200,16.177233
2015-11-05,15.95,16.292,15.95,16.040001,12300,16.022405
2015-11-04,16.02,16.243,15.85,15.985,27000,15.967464
2015-11-03,16.25,16.450001,16.25,16.450001,2200,16.431955
2015-11-02,15.92,16.35,15.85,16.322001,14500,16.304095
2015-10-30,15.91,15.91,15.91,15.91,000,15.892546
2015-10-29,15.77,15.91,15.77,15.91,6200,15.892546
2015-10-28,15.90,15.90,15.90,15.90,300,15.882557
2015-10-27,15.77,15.79,15.77,15.79,12900,15.772678
2015-10-26,15.78,15.92,15.78,15.92,900,15.902535
2015-10-23,15.90,15.90,15.865,15.865,1200,15.847595
2015-10-22,15.77,15.92,15.77,15.91,5100,15.892546
2015-10-21,15.77,15.77,15.77,15.77,100,15.7527
2015-10-20,15.77,15.77,15.77,15.77,000,15.7527
2015-10-19,15.77,15.77,15.77,15.77,000,15.7527
2015-10-16,15.77,15.78,15.77,15.77,1400,15.7527
2015-10-15,15.79,15.92,15.77,15.91,4200,15.892546
2015-10-14,15.86,15.86,15.86,15.86,000,15.842601
2015-10-13,15.90,15.90,15.85,15.86,1500,15.842601
2015-10-12,15.77,15.92,15.77,15.92,900,15.902535
2015-10-09,15.90,15.90,15.772,15.89,900,15.872569
2015-10-08,15.90,15.90,15.79,15.90,900,15.882557
2015-10-07,15.75,15.89,15.75,15.78,1900,15.762689
2015-10-06,15.82,15.83,15.82,15.83,900,15.812634
2015-10-05,15.63,15.73,15.63,15.69,2500,15.672787
2015-10-02,15.70,15.92,15.69,15.69,1500,15.672787
2015-10-01,15.607,15.82,15.39,15.81,4100,15.792656
2015-09-30,15.54,15.76,15.376,15.49,56000,15.473007
2015-09-29,15.37,15.67,15.36,15.67,5900,15.644818
2015-09-28,15.36,15.43,15.36,15.43,1400,15.405204
2015-09-25,15.56,15.56,15.31,15.49,1900,15.465107
2015-09-24,15.26,15.47,15.26,15.28,2500,15.255445
2015-09-23,15.25,15.49,15.25,15.44,17800,15.415187
2015-09-22,15.20,15.30,15.20,15.24,7200,15.215509
2015-09-21,15.20,15.28,15.16,15.21,14100,15.185558
2015-09-18,15.90,15.93,14.95,14.95,64600,14.925975
2015-09-17,15.90,15.92,15.88,15.92,9500,15.894417
2015-09-16,16.00,16.00,15.725,15.92,13900,15.894417
2015-09-15,15.91,15.91,15.50,15.91,8300,15.884432
2015-09-14,15.90,16.00,15.55,16.00,10400,15.974288
2015-09-11,15.92,16.52,15.75,16.00,18100,15.974288
2015-09-10,15.88,15.94,15.70,15.92,12200,15.894417
2015-09-09,15.72,15.93,15.72,15.88,5900,15.854481
2015-09-08,15.70,15.94,15.70,15.93,6300,15.904401
2015-09-04,15.73,15.75,15.73,15.75,900,15.72469
2015-09-03,15.52,15.80,15.52,15.59,1000,15.564947
2015-09-02,15.61,15.80,15.52,15.53,4900,15.505043
2015-09-01,15.60,15.78,15.60,15.77,3300,15.744658
2015-08-31,15.78,15.78,15.61,15.74,1000,15.714706
2015-08-28,15.57,15.80,15.57,15.60,1600,15.574931
2015-08-27,15.61,15.80,15.597,15.74,5700,15.714706
2015-08-26,15.68,15.79,15.52,15.52,8000,15.49506
2015-08-25,15.91,15.91,15.75,15.79,6500,15.764625
2015-08-24,15.75,15.75,15.67,15.68,3300,15.654803
2015-08-21,15.53,15.92,15.51,15.92,3100,15.894417
2015-08-20,15.49,15.60,15.49,15.60,3000,15.574931
2015-08-19,15.49,15.88,15.49,15.75,2200,15.72469
2015-08-18,15.85,15.85,15.80,15.80,2000,15.77461
2015-08-17,15.90,15.90,15.80,15.80,1100,15.77461
2015-08-14,15.90,15.90,15.75,15.75,1900,15.72469
2015-08-13,15.90,15.90,15.77,15.77,400,15.744658
2015-08-12,15.70,15.90,15.70,15.90,4200,15.874448
2015-08-11,15.52,15.90,15.52,15.90,900,15.874448
2015-08-10,15.63,15.98,15.63,15.94,6000,15.914384
2015-08-07,15.67,15.837,15.65,15.75,3000,15.72469
2015-08-06,15.685,15.94,15.65,15.85,4500,15.824529
2015-08-05,15.91,15.91,15.59,15.70,1300,15.67477
2015-08-04,15.42,15.59,15.40,15.59,2800,15.564947
2015-08-03,15.47,15.49,15.42,15.42,8100,15.39522
2015-07-31,15.41,15.50,15.382,15.49,13400,15.465107
2015-07-30,15.38,15.45,15.35,15.41,13800,15.385236
2015-07-29,15.13,15.38,15.13,15.32,17100,15.29538
2015-07-28,15.07,15.30,15.07,15.19,8000,15.165589
2015-07-27,15.22,15.29,15.22,15.29,9900,15.265429
2015-07-24,15.16,15.16,15.16,15.16,100,15.135638
2015-07-23,15.37,15.37,15.35,15.35,400,15.325333
2015-07-22,15.40,15.40,15.40,15.40,100,15.375252
2015-07-21,15.30,15.40,15.30,15.39,3700,15.365269
2015-07-20,15.25,15.40,15.25,15.26,2700,15.235477
2015-07-17,15.348,15.45,15.15,15.29,3900,15.265429
2015-07-16,15.60,15.60,15.18,15.39,2500,15.365269
2015-07-15,15.52,15.52,15.28,15.29,900,15.265429
2015-07-14,15.59,15.59,15.21,15.42,800,15.39522
2015-07-13,15.11,15.26,15.11,15.26,1200,15.235477
2015-07-10,15.19,15.40,15.00,15.20,10200,15.175573
2015-07-09,15.33,15.59,15.11,15.25,8100,15.225493
2015-07-08,15.18,15.86,15.18,15.37,2300,15.3453
2015-07-07,15.90,15.94,15.525,15.525,900,15.500051
2015-07-06,15.94,15.94,15.18,15.53,7700,15.505043
2015-07-02,15.10,15.94,15.10,15.61,5300,15.584914
2015-07-01,15.87,15.87,15.87,15.87,300,15.844497
