Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,21.969999,22.50,21.889999,21.889999,6100,21.889999
2016-06-09,22.030001,22.200001,22.00,22.02,12800,22.02
2016-06-08,22.00,22.24,21.92,22.23,318000,22.23
2016-06-07,22.209999,22.27,22.00,22.030001,58300,22.030001
2016-06-06,22.200001,22.42,22.00,22.27,70300,22.27
2016-06-03,22.110001,22.219999,21.879999,22.219999,23500,22.219999
2016-06-02,21.610001,22.129999,21.50,22.01,27400,22.01
2016-06-01,21.76,22.08,21.280001,21.99,59800,21.99
2016-05-31,21.030001,21.889999,20.780001,21.84,56900,21.84
2016-05-27,20.969999,21.42,20.969999,21.190001,43100,21.190001
2016-05-26,20.48,20.82,20.07,20.780001,38500,20.780001
2016-05-25,20.00,20.40,19.959999,20.379999,24000,20.379999
2016-05-24,20.32,20.32,19.799999,20.07,33300,20.07
2016-05-23,20.639999,21.01,20.01,20.10,26000,20.10
2016-05-20,20.370001,20.389999,20.25,20.290001,9200,20.290001
2016-05-19,20.27,20.370001,20.200001,20.290001,2800,20.290001
2016-05-18,20.549999,20.60,20.23,20.48,30500,20.48
2016-05-17,20.860001,20.860001,20.620001,20.700001,5700,20.700001
2016-05-16,20.879999,20.99,20.83,20.879999,8300,20.879999
2016-05-13,21.00,21.10,20.93,20.93,25800,20.93
2016-05-12,20.99,21.129999,20.84,21.00,22400,21.00
2016-05-11,21.07,21.190001,20.950001,20.959999,6100,20.959999
2016-05-10,20.969999,21.10,20.879999,21.00,17300,21.00
2016-05-09,20.790001,21.17,20.709999,20.969999,30700,20.969999
2016-05-06,21.25,21.25,20.959999,21.110001,10100,21.110001
2016-05-05,20.90,21.219999,20.90,21.00,40300,21.00
2016-05-04,20.799999,21.09,20.799999,21.030001,26000,21.030001
2016-05-03,20.91,21.23,20.82,21.049999,15500,21.049999
2016-05-02,20.860001,21.17,20.860001,20.870001,17000,20.870001
2016-04-29,21.07,21.07,20.59,20.799999,16500,20.799999
2016-04-28,21.120001,21.219999,20.780001,20.780001,9400,20.780001
2016-04-27,21.209999,21.25,21.040001,21.129999,8400,21.129999
2016-04-26,21.110001,21.290001,21.09,21.290001,7500,21.290001
2016-04-25,21.17,21.17,20.889999,21.049999,5600,21.049999
2016-04-22,21.219999,21.25,21.18,21.209999,3900,21.209999
2016-04-21,20.93,21.49,20.93,21.309999,25500,21.309999
2016-04-20,20.620001,20.91,20.610001,20.91,12300,20.91
2016-04-19,20.48,20.629999,20.459999,20.57,5300,20.57
2016-04-18,20.190001,20.49,20.190001,20.49,15800,20.49
2016-04-15,20.27,20.360001,20.23,20.23,7600,20.23
2016-04-14,20.15,20.33,20.110001,20.17,19300,20.17
2016-04-13,19.780001,20.09,19.73,20.059999,31200,20.059999
2016-04-12,19.75,20.00,19.709999,19.860001,22900,19.860001
2016-04-11,19.700001,19.92,19.67,19.809999,37100,19.809999
2016-04-08,19.93,19.93,19.700001,19.719999,6700,19.719999
2016-04-07,19.68,19.84,19.60,19.76,27300,19.76
2016-04-06,19.530001,19.84,19.459999,19.790001,30100,19.790001
2016-04-05,19.58,20.16,19.530001,19.690001,33400,19.690001
2016-04-04,19.77,19.940001,19.639999,19.879999,24800,19.879999
2016-04-01,19.51,20.120001,19.51,20.01,43600,20.01
2016-03-31,19.27,19.74,19.27,19.65,7800,19.65
2016-03-30,18.75,19.129999,18.75,19.059999,41700,19.059999
2016-03-29,18.34,18.74,18.34,18.66,45400,18.66
2016-03-28,18.110001,18.530001,18.110001,18.42,26100,18.42
2016-03-24,17.940001,18.120001,17.93,18.120001,5200,18.120001
2016-03-23,18.23,18.309999,17.99,17.99,8200,17.99
2016-03-22,18.10,18.290001,18.10,18.209999,16400,18.209999
2016-03-21,18.23,18.24,18.059999,18.24,4900,18.24
2016-03-18,18.459999,18.639999,18.25,18.459999,29800,18.149999
2016-03-17,18.389999,18.530001,18.200001,18.280001,10100,17.973023
2016-03-16,18.00,18.389999,17.879999,18.299999,46600,17.992686
2016-03-15,18.120001,18.309999,17.950001,18.040001,22600,17.737054
2016-03-14,18.129999,18.43,17.969999,18.27,297700,17.963191
2016-03-11,17.26,17.35,17.16,17.200001,62500,16.91116
2016-03-10,17.360001,17.450001,17.200001,17.24,46400,16.950487
2016-03-09,17.309999,17.48,17.299999,17.450001,15800,17.156962
2016-03-08,17.459999,17.58,17.299999,17.299999,38500,17.009479
2016-03-07,17.309999,17.540001,17.27,17.49,71700,17.196289
2016-03-04,17.200001,17.50,17.190001,17.27,20200,16.979984
2016-03-03,17.15,17.299999,17.10,17.27,93000,16.979984
2016-03-02,17.200001,17.25,17.02,17.17,40400,16.881663
2016-03-01,17.110001,17.309999,17.10,17.280001,32500,16.989816
2016-02-29,17.09,17.15,16.91,16.92,153800,16.635861
2016-02-26,17.719999,17.799999,17.57,17.59,6800,17.29461
2016-02-25,17.60,18.18,17.60,17.780001,48500,17.48142
2016-02-24,17.10,17.41,16.85,17.379999,195300,17.088136
2016-02-23,18.59,18.74,18.42,18.59,3400,18.277817
2016-02-22,18.299999,18.299999,18.110001,18.129999,4500,17.825541
2016-02-19,18.33,18.360001,18.309999,18.309999,7000,18.002518
2016-02-18,18.15,18.40,18.120001,18.15,6900,17.845205
2016-02-17,18.049999,18.049999,17.969999,17.969999,7100,17.668228
2016-02-16,17.790001,18.10,17.50,17.99,9600,17.687892
2016-02-12,16.530001,16.809999,16.51,16.620001,1400,16.3409
2016-02-11,16.85,16.85,16.32,16.700001,13400,16.419556
2016-02-10,17.08,17.139999,16.959999,17.09,6700,16.803007
2016-02-09,16.870001,17.110001,16.870001,17.09,4800,16.803007
2016-02-08,17.059999,17.23,16.969999,17.200001,8600,16.91116
2016-02-05,17.639999,17.639999,17.440001,17.450001,10500,17.156962
