Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.80,10.95,10.77,10.86,189200,10.86
2016-06-09,11.08,11.08,10.88,10.97,151900,10.97
2016-06-08,11.02,11.23,10.97,11.13,281100,11.13
2016-06-07,11.07,11.12,10.98,11.00,172500,11.00
2016-06-06,10.84,11.16,10.84,11.05,236300,11.05
2016-06-03,10.90,10.99,10.81,10.86,139400,10.86
2016-06-02,10.86,10.98,10.77,10.91,87700,10.91
2016-06-01,10.86,11.04,10.74,10.89,128200,10.89
2016-05-31,11.05,11.17,10.82,10.91,90300,10.91
2016-05-27,11.47,11.47,10.94,10.99,270300,10.99
2016-05-26,10.51,10.72,10.33,10.39,74500,10.39
2016-05-25,10.76,11.00,10.49,10.50,76500,10.50
2016-05-24,10.40,10.82,10.40,10.75,63300,10.75
2016-05-23,10.33,10.56,10.28,10.31,72900,10.31
2016-05-20,10.09,10.46,10.09,10.30,82500,10.30
2016-05-19,10.11,10.29,9.96,10.08,40700,10.08
2016-05-18,10.04,10.42,10.04,10.25,72500,10.25
2016-05-17,10.38,10.40,9.96,10.06,68400,10.06
2016-05-16,10.18,10.48,10.18,10.39,86500,10.39
2016-05-13,10.12,10.40,10.08,10.11,91900,10.11
2016-05-12,10.62,10.75,10.12,10.14,79200,10.14
2016-05-11,10.55,10.78,10.55,10.55,38300,10.55
2016-05-10,10.59,10.85,10.58,10.59,61700,10.59
2016-05-09,10.60,10.79,10.47,10.61,85300,10.61
2016-05-06,10.44,10.68,10.41,10.62,54000,10.62
2016-05-05,10.46,10.64,10.41,10.44,56600,10.44
2016-05-04,10.58,10.77,10.43,10.44,64400,10.44
2016-05-03,10.86,11.12,10.53,10.60,78700,10.60
2016-05-02,10.87,11.15,10.68,10.95,63500,10.95
2016-04-29,11.16,11.16,10.78,10.80,85100,10.80
2016-04-28,11.19,11.40,11.15,11.16,48300,11.16
2016-04-27,11.17,11.45,11.13,11.30,69900,11.30
2016-04-26,11.17,11.44,11.17,11.26,96900,11.26
2016-04-25,11.39,11.46,11.09,11.13,41800,11.13
2016-04-22,11.36,11.59,11.36,11.40,60100,11.40
2016-04-21,11.50,11.53,11.34,11.38,52000,11.38
2016-04-20,11.29,11.65,11.29,11.54,27200,11.54
2016-04-19,11.60,11.75,11.32,11.35,28700,11.35
2016-04-18,11.57,11.93,11.29,11.62,37800,11.62
2016-04-15,11.71,11.90,11.50,11.58,26700,11.58
2016-04-14,11.70,11.90,11.63,11.79,31600,11.79
2016-04-13,11.44,11.85,11.17,11.74,61200,11.74
2016-04-12,11.24,11.45,11.10,11.41,41900,11.41
2016-04-11,11.40,11.54,11.23,11.23,29800,11.23
2016-04-08,11.42,11.62,11.25,11.32,38800,11.32
2016-04-07,11.55,11.61,11.31,11.37,31500,11.37
2016-04-06,11.56,11.69,11.34,11.65,42700,11.65
2016-04-05,11.69,11.73,11.50,11.62,63900,11.62
2016-04-04,11.85,12.02,11.76,11.77,40900,11.77
2016-04-01,11.27,11.92,11.27,11.91,78200,11.91
2016-03-31,11.73,11.81,11.22,11.22,258100,11.22
2016-03-30,12.00,12.00,11.68,11.76,73000,11.76
2016-03-29,11.55,11.95,11.43,11.94,67700,11.94
2016-03-28,11.62,11.72,11.45,11.51,44300,11.51
2016-03-24,11.55,11.68,11.50,11.60,52000,11.60
2016-03-23,11.93,11.93,11.58,11.59,46900,11.59
2016-03-22,12.07,12.17,11.92,11.97,54200,11.97
2016-03-21,12.24,12.37,12.15,12.17,83700,12.17
2016-03-18,12.24,12.34,12.12,12.30,110200,12.30
2016-03-17,11.65,12.27,11.63,12.19,76500,12.19
2016-03-16,11.60,11.78,11.60,11.69,35400,11.69
2016-03-15,11.63,11.77,11.60,11.63,30900,11.63
2016-03-14,11.83,11.83,11.57,11.67,77300,11.67
2016-03-11,11.57,11.86,11.51,11.83,54400,11.83
2016-03-10,11.75,11.88,11.44,11.50,38900,11.50
2016-03-09,11.62,11.77,11.50,11.72,52800,11.72
2016-03-08,11.73,11.73,11.49,11.59,121200,11.59
2016-03-07,11.53,11.87,11.25,11.73,73000,11.73
2016-03-04,11.74,11.88,11.63,11.68,77300,11.64
2016-03-03,11.66,11.84,11.63,11.74,68400,11.699794
2016-03-02,11.58,11.79,11.57,11.70,96500,11.659931
2016-03-01,11.36,11.59,11.27,11.55,80500,11.510446
2016-02-29,11.40,11.54,11.19,11.28,151500,11.24137
2016-02-26,11.35,11.47,11.07,11.34,78500,11.301165
2016-02-25,11.32,11.38,11.19,11.24,76900,11.201507
2016-02-24,11.15,11.37,10.98,11.31,81800,11.271268
2016-02-23,11.22,11.49,10.96,11.22,68300,11.181576
2016-02-22,11.13,11.39,11.00,11.25,74700,11.211473
2016-02-19,10.80,11.13,10.77,10.98,107900,10.942397
2016-02-18,10.96,11.08,10.74,10.83,110800,10.792911
2016-02-17,10.97,11.12,10.30,10.96,125500,10.922466
2016-02-16,10.87,11.13,10.57,10.92,129300,10.882603
2016-02-12,10.80,10.80,10.32,10.74,133200,10.703219
2016-02-11,10.03,10.79,10.03,10.69,137600,10.65339
2016-02-10,10.48,10.73,10.15,10.17,85000,10.135171
2016-02-09,10.27,10.72,10.15,10.43,158100,10.394281
2016-02-08,10.57,10.67,10.34,10.38,314100,10.344452
2016-02-05,10.80,11.13,10.24,10.74,222500,10.703219
2016-02-04,10.61,10.81,10.09,10.78,146400,10.743082
2016-02-03,11.10,11.40,10.59,10.78,369300,10.743082
2016-02-02,11.77,11.78,11.39,11.49,116000,11.450651
2016-02-01,11.88,11.96,11.70,11.88,65600,11.839315
2016-01-29,11.53,11.95,11.53,11.93,143800,11.889144
2016-01-28,11.39,11.59,11.20,11.43,62500,11.390857
2016-01-27,11.52,11.56,11.27,11.31,103900,11.271268
2016-01-26,11.30,11.66,11.09,11.54,140200,11.50048
2016-01-25,11.61,11.73,10.93,11.29,87700,11.251336
2016-01-22,11.42,11.64,11.28,11.61,108800,11.57024
2016-01-21,11.10,11.43,10.92,11.24,190900,11.201507
2016-01-20,10.55,11.10,10.36,10.94,229000,10.902534
2016-01-19,11.10,11.10,10.53,10.66,135600,10.623493
2016-01-15,10.68,11.14,10.52,10.98,155900,10.942397
2016-01-14,10.58,11.17,10.50,11.03,152500,10.992226
2016-01-13,11.24,11.45,10.53,10.58,135400,10.543767
2016-01-12,11.18,11.22,10.82,11.19,120800,11.151678
2016-01-11,10.70,11.17,10.50,11.05,153000,11.012158
2016-01-08,11.20,11.29,10.80,10.81,142500,10.77298
2016-01-07,11.46,11.53,11.20,11.20,78500,11.161644
2016-01-06,11.65,11.84,11.51,11.65,100800,11.610103
2016-01-05,12.03,12.08,11.60,11.86,85900,11.819383
2016-01-04,12.49,12.60,11.71,11.97,141300,11.929007
2015-12-31,12.96,12.96,12.34,12.63,131400,12.586747
2015-12-30,13.00,13.00,12.82,12.96,141600,12.915617
2015-12-29,12.67,12.96,12.36,12.96,148400,12.915617
2015-12-28,12.74,12.75,12.22,12.57,102700,12.526952
2015-12-24,12.62,12.98,12.58,12.83,61000,12.786062
2015-12-23,12.79,12.79,12.45,12.67,122500,12.62661
2015-12-22,12.59,12.70,12.21,12.69,80200,12.646541
2015-12-21,12.16,12.56,11.75,12.54,133600,12.497055
2015-12-18,11.93,12.16,11.60,12.10,171700,12.058562
2015-12-17,11.97,12.19,11.97,12.01,65600,11.96887
2015-12-16,12.05,12.05,11.50,11.90,135300,11.859246
2015-12-15,11.86,12.09,11.45,11.95,58500,11.909075
2015-12-14,11.96,12.01,11.68,11.78,59500,11.739657
2015-12-11,12.02,12.27,11.89,11.97,101700,11.929007
2015-12-10,12.20,12.35,12.19,12.20,97100,12.158219
2015-12-09,12.26,12.34,12.08,12.23,65200,12.188116
2015-12-08,12.21,12.34,12.03,12.28,68800,12.237945
2015-12-07,12.57,12.57,12.17,12.32,79500,12.277808
2015-12-04,12.42,12.61,12.31,12.54,75100,12.497055
2015-12-03,12.81,12.93,12.36,12.44,82800,12.397397
2015-12-02,12.75,12.96,12.66,12.81,91500,12.766131
2015-12-01,12.76,12.83,12.53,12.77,73600,12.726268
2015-11-30,12.65,12.78,12.61,12.73,103900,12.686404
2015-11-27,12.44,12.70,11.92,12.65,48300,12.606678
2015-11-25,12.17,12.52,12.17,12.46,59300,12.377466
2015-11-24,12.25,12.30,12.08,12.22,54500,12.139056
2015-11-23,12.21,12.35,12.05,12.30,111800,12.218526
2015-11-20,12.20,12.33,12.20,12.25,114400,12.168857
2015-11-19,12.03,12.23,11.99,12.11,82600,12.029784
2015-11-18,12.07,12.20,11.79,12.16,95500,12.079453
2015-11-17,12.04,12.22,11.89,12.00,86000,11.920513
2015-11-16,11.87,12.49,11.58,12.03,103800,11.950314
2015-11-13,12.12,12.51,11.72,11.86,116100,11.78144
2015-11-12,12.24,12.62,12.07,12.15,111400,12.069519
2015-11-11,12.27,12.37,12.11,12.32,122600,12.238393
2015-11-10,12.51,12.58,12.19,12.23,145600,12.148989
2015-11-09,13.00,13.00,12.56,12.58,177800,12.496671
2015-11-06,12.74,13.00,12.61,13.00,148100,12.913889
2015-11-05,13.64,13.65,12.72,12.78,165900,12.695346
2015-11-04,13.23,13.69,13.15,13.67,191600,13.579451
2015-11-03,12.68,13.31,12.68,13.19,153900,13.10263
2015-11-02,12.50,12.87,12.44,12.75,214200,12.665545
2015-10-30,12.59,13.67,12.31,12.46,358200,12.377466
2015-10-29,13.02,13.19,12.53,12.60,199400,12.516539
2015-10-28,13.00,13.23,12.70,13.01,409000,12.923823
2015-10-27,13.24,13.36,12.93,13.06,97500,12.973492
2015-10-26,13.86,13.98,13.15,13.30,167200,13.211902
2015-10-23,13.26,14.00,13.10,13.87,182000,13.778126
2015-10-22,13.27,13.53,13.08,13.21,191000,13.122498
2015-10-21,13.10,13.55,13.08,13.14,115400,13.052962
2015-10-20,13.06,13.07,12.84,13.00,69400,12.913889
2015-10-19,12.83,13.20,12.81,13.06,96400,12.973492
2015-10-16,12.84,12.93,12.58,12.90,103100,12.814551
2015-10-15,12.67,12.92,12.44,12.80,100300,12.715214
2015-10-14,12.45,12.87,12.45,12.68,88800,12.596009
2015-10-13,12.09,12.54,12.07,12.48,122300,12.397333
2015-10-12,12.10,12.16,12.01,12.10,63700,12.019851
