Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,26.10,26.25,25.82,26.209999,8300,26.209999
2016-06-09,26.32,26.51,25.41,25.969999,39800,25.969999
2016-06-08,25.75,26.43,25.66,26.41,24900,26.41
2016-06-07,25.75,25.91,25.620001,25.719999,73300,25.719999
2016-06-06,25.75,25.98,25.41,25.68,35100,25.68
2016-06-03,25.23,25.92,25.08,25.709999,38500,25.709999
2016-06-02,25.52,25.530001,25.129999,25.42,27900,25.42
2016-06-01,25.35,25.879999,25.299999,25.51,47000,25.51
2016-05-31,25.610001,26.75,25.610001,26.360001,39900,26.360001
2016-05-27,25.27,25.65,24.889999,25.379999,24100,25.379999
2016-05-26,25.799999,25.85,25.09,25.25,16900,25.25
2016-05-25,25.60,26.059999,25.549999,25.559999,22800,25.559999
2016-05-24,24.709999,25.85,24.709999,25.60,27900,25.60
2016-05-23,24.68,24.83,24.030001,24.700001,25000,24.700001
2016-05-20,24.200001,25.00,24.139999,24.48,18700,24.48
2016-05-19,23.77,24.469999,23.620001,24.17,12800,24.17
2016-05-18,23.799999,24.629999,23.780001,24.049999,24800,24.049999
2016-05-17,24.709999,25.41,23.790001,23.790001,46500,23.790001
2016-05-16,23.860001,25.00,23.76,24.889999,18700,24.889999
2016-05-13,24.25,24.52,24.01,24.49,23100,24.49
2016-05-12,24.93,24.93,24.17,24.360001,15100,24.360001
2016-05-11,24.91,24.91,24.299999,24.559999,9900,24.559999
2016-05-10,25.200001,25.200001,24.76,25.040001,16500,25.040001
2016-05-09,23.299999,25.50,23.299999,25.209999,37700,25.209999
2016-05-06,23.209999,23.799999,22.370001,23.360001,50400,23.360001
2016-05-05,23.08,23.08,21.950001,22.25,20800,22.25
2016-05-04,23.530001,23.59,22.780001,23.08,18900,23.08
2016-05-03,24.030001,24.51,23.41,23.60,16200,23.60
2016-05-02,24.059999,24.389999,24.02,24.290001,17700,24.290001
2016-04-29,23.780001,24.24,23.120001,24.129999,23900,24.129999
2016-04-28,24.049999,24.24,23.700001,23.74,14400,23.74
2016-04-27,22.92,24.32,22.90,24.190001,27300,24.190001
2016-04-26,22.25,23.139999,21.98,23.040001,69600,23.040001
2016-04-25,21.77,22.25,21.77,22.219999,119400,22.219999
2016-04-22,21.870001,21.940001,21.690001,21.75,75800,21.75
2016-04-21,21.459999,21.98,21.110001,21.799999,75500,21.799999
2016-04-20,21.540001,21.98,21.139999,21.50,49900,21.50
2016-04-19,21.73,22.09,21.51,21.629999,86800,21.629999
2016-04-18,21.57,22.00,21.459999,21.879999,56800,21.879999
2016-04-15,20.690001,21.65,20.690001,21.459999,31700,21.459999
2016-04-14,21.110001,21.530001,20.549999,20.790001,90200,20.790001
2016-04-13,21.059999,21.370001,20.76,21.24,69900,21.24
2016-04-12,21.10,21.280001,20.75,20.969999,60700,20.969999
2016-04-11,21.379999,21.75,21.08,21.110001,54500,21.030001
2016-04-08,21.450001,21.50,21.10,21.379999,35300,21.298976
2016-04-07,21.879999,21.879999,21.07,21.190001,23400,21.109698
2016-04-06,22.040001,22.040001,21.450001,21.889999,10600,21.807044
2016-04-05,21.76,22.049999,21.200001,21.49,35700,21.40856
2016-04-04,22.18,22.18,21.620001,21.799999,17900,21.717385
2016-04-01,22.190001,22.360001,22.02,22.07,5900,21.986362
2016-03-31,22.33,22.379999,22.16,22.219999,10200,22.135793
2016-03-30,22.35,22.549999,22.120001,22.299999,35300,22.21549
2016-03-29,21.98,22.40,21.90,22.26,13900,22.175642
2016-03-28,21.93,22.120001,21.809999,21.91,9700,21.826968
2016-03-24,21.93,22.07,21.84,21.969999,9600,21.88674
2016-03-23,21.959999,22.200001,21.549999,21.860001,11300,21.777159
2016-03-22,21.68,22.09,21.68,22.09,3700,22.006286
2016-03-21,22.10,22.10,21.809999,21.90,8900,21.817006
2016-03-18,21.940001,22.24,21.58,22.23,20500,22.145755
2016-03-17,21.299999,21.879999,21.23,21.879999,15600,21.797081
2016-03-16,21.719999,22.18,21.00,21.32,17300,21.239204
2016-03-15,22.41,22.780001,21.059999,21.540001,18600,21.458372
2016-03-14,22.809999,23.18,22.43,22.690001,23800,22.604013
2016-03-11,22.530001,22.92,22.379999,22.860001,12300,22.773369
2016-03-10,22.99,22.99,22.07,22.379999,9700,22.295186
2016-03-09,22.90,23.00,22.52,22.99,11900,22.902875
2016-03-08,22.389999,22.90,22.200001,22.50,7000,22.414733
2016-03-07,22.51,22.950001,22.469999,22.68,17200,22.594051
2016-03-04,22.40,22.60,21.85,22.52,24700,22.434657
2016-03-03,22.719999,22.84,22.049999,22.219999,7300,22.135793
2016-03-02,21.90,22.700001,21.50,21.799999,14400,21.717385
2016-03-01,22.379999,22.73,21.42,22.18,42300,22.095946
2016-02-29,21.959999,22.389999,21.74,21.93,15800,21.846893
2016-02-26,21.85,22.209999,21.549999,21.809999,6000,21.727347
2016-02-25,21.75,22.57,21.43,21.85,9400,21.767196
2016-02-24,22.07,22.360001,21.639999,21.83,23200,21.747272
2016-02-23,22.68,22.68,22.09,22.09,9900,22.006286
2016-02-22,22.959999,23.40,22.33,22.559999,19800,22.474505
2016-02-19,22.59,23.190001,22.40,22.889999,43500,22.803254
2016-02-18,22.41,23.059999,22.25,22.65,19100,22.564164
2016-02-17,22.93,23.34,21.66,22.27,14000,22.185605
2016-02-16,20.959999,22.43,20.84,22.33,11900,22.245377
2016-02-12,20.450001,20.950001,19.879999,20.90,8500,20.820796
2016-02-11,20.870001,21.200001,20.08,20.370001,18000,20.292805
2016-02-10,21.76,21.76,20.959999,21.24,16600,21.159507
2016-02-09,21.07,21.799999,20.82,21.16,23100,21.079811
2016-02-08,21.18,21.440001,19.50,21.43,13100,21.348788
2016-02-05,22.16,23.50,21.43,21.43,27100,21.348788
2016-02-04,21.58,22.43,21.209999,22.129999,11000,22.046134
2016-02-03,21.73,21.73,20.65,21.629999,7000,21.548029
2016-02-02,21.40,21.780001,21.030001,21.459999,12900,21.378673
2016-02-01,21.32,21.59,20.879999,21.40,17100,21.318901
2016-01-29,21.26,21.50,20.309999,21.50,29800,21.418522
2016-01-28,20.43,21.450001,20.200001,20.34,14900,20.262918
2016-01-27,20.65,20.799999,20.110001,20.18,11900,20.103525
2016-01-26,19.879999,20.870001,19.879999,20.719999,16100,20.641477
2016-01-25,20.66,20.91,20.23,20.35,25700,20.272881
2016-01-22,20.700001,20.950001,20.540001,20.74,21800,20.661402
2016-01-21,20.440001,20.57,19.709999,20.370001,31200,20.292805
2016-01-20,19.530001,20.85,18.33,20.24,34200,20.163297
2016-01-19,20.41,20.85,19.50,19.690001,20800,19.615382
2016-01-15,20.67,20.799999,20.110001,20.440001,31600,20.36254
2016-01-14,21.76,21.950001,20.99,21.17,20700,21.089773
2016-01-13,21.950001,22.33,21.299999,21.549999,15200,21.468332
2016-01-12,21.940001,22.610001,21.85,22.059999,31800,21.976399
2016-01-11,22.459999,22.639999,21.860001,22.450001,14400,22.285225
2016-01-08,22.75,23.08,22.200001,22.530001,20400,22.364638
2016-01-07,21.790001,23.049999,21.790001,22.690001,23300,22.523464
2016-01-06,22.00,22.299999,21.93,21.98,20400,21.818674
2016-01-05,22.950001,22.950001,21.860001,22.280001,22100,22.116473
2016-01-04,21.75,23.27,21.75,22.889999,32700,22.721995
2015-12-31,22.389999,22.969999,21.870001,21.889999,15300,21.729334
2015-12-30,22.66,22.92,22.280001,22.280001,17800,22.116473
2015-12-29,23.059999,23.389999,22.129999,22.75,24700,22.583023
2015-12-28,22.889999,23.379999,22.790001,22.950001,17900,22.781556
2015-12-24,23.129999,23.370001,22.870001,23.059999,13000,22.890747
2015-12-23,23.209999,23.389999,22.860001,22.99,15700,22.821261
