Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,3.76,3.78,3.75,3.78,36600,3.78
2016-06-09,3.77,3.81,3.75,3.80,48000,3.80
2016-06-08,3.79,3.82,3.79,3.81,63100,3.81
2016-06-07,3.81,3.85,3.77,3.83,124500,3.83
2016-06-06,3.72,3.79,3.66,3.78,75100,3.78
2016-06-03,3.62,3.75,3.60,3.74,272700,3.74
2016-06-02,3.57,3.66,3.57,3.65,321700,3.65
2016-06-01,3.51,3.61,3.50,3.60,48400,3.60
2016-05-31,3.60,3.63,3.40,3.55,174800,3.55
2016-05-27,3.59,3.64,3.55,3.64,50000,3.64
2016-05-26,3.53,3.59,3.50,3.57,37400,3.57
2016-05-25,3.56,3.60,3.50,3.55,53600,3.55
2016-05-24,3.53,3.59,3.49,3.52,143600,3.52
2016-05-23,3.41,3.56,3.40,3.50,122500,3.50
2016-05-20,3.31,3.46,3.31,3.38,62500,3.38
2016-05-19,3.32,3.40,3.25,3.35,300200,3.35
2016-05-18,3.32,3.44,3.32,3.36,67900,3.36
2016-05-17,3.30,3.42,3.30,3.41,58400,3.41
2016-05-16,3.25,3.32,3.25,3.29,64800,3.29
2016-05-13,3.22,3.27,3.21,3.23,55200,3.23
2016-05-12,3.27,3.30,3.22,3.25,50600,3.25
2016-05-11,3.18,3.28,3.18,3.28,56500,3.28
2016-05-10,3.26,3.31,3.15,3.19,156700,3.19
2016-05-09,3.33,3.38,3.26,3.27,112600,3.27
2016-05-06,3.28,3.34,3.26,3.33,73400,3.33
2016-05-05,3.47,3.51,3.25,3.32,178700,3.32
2016-05-04,3.52,3.55,3.45,3.48,87400,3.48
2016-05-03,3.59,3.59,3.51,3.57,90800,3.57
2016-05-02,3.60,3.62,3.54,3.61,67500,3.61
2016-04-29,3.60,3.62,3.55,3.61,107500,3.61
2016-04-28,3.58,3.64,3.54,3.58,181100,3.58
2016-04-27,3.50,3.59,3.50,3.57,81500,3.57
2016-04-26,3.57,3.58,3.50,3.52,20600,3.52
2016-04-25,3.52,3.60,3.49,3.59,111900,3.59
2016-04-22,3.48,3.51,3.41,3.51,118200,3.51
2016-04-21,3.49,3.54,3.45,3.51,55700,3.51
2016-04-20,3.46,3.51,3.45,3.51,50900,3.51
2016-04-19,3.49,3.50,3.41,3.49,96800,3.49
2016-04-18,3.44,3.50,3.42,3.44,59900,3.44
2016-04-15,3.45,3.50,3.41,3.47,34400,3.47
2016-04-14,3.45,3.51,3.43,3.47,45200,3.47
2016-04-13,3.45,3.48,3.41,3.48,158700,3.48
2016-04-12,3.36,3.45,3.35,3.45,83400,3.45
2016-04-11,3.34,3.39,3.34,3.39,33000,3.39
2016-04-08,3.40,3.47,3.33,3.34,87100,3.34
2016-04-07,3.47,3.48,3.38,3.40,77900,3.40
2016-04-06,3.34,3.47,3.32,3.47,74300,3.47
2016-04-05,3.35,3.43,3.19,3.37,139500,3.37
2016-04-04,3.64,3.68,3.60,3.61,388000,3.46
2016-04-01,3.55,3.64,3.55,3.61,140700,3.46
2016-03-31,3.57,3.60,3.53,3.60,265400,3.450415
2016-03-30,3.49,3.57,3.49,3.52,114700,3.37374
2016-03-29,3.48,3.52,3.45,3.50,114800,3.354571
2016-03-28,3.39,3.51,3.39,3.48,86300,3.335402
2016-03-24,3.32,3.41,3.30,3.39,52500,3.249141
2016-03-23,3.39,3.48,3.33,3.37,73100,3.229972
2016-03-22,3.26,3.44,3.26,3.42,134400,3.277895
2016-03-21,3.22,3.29,3.16,3.26,91100,3.124543
2016-03-18,3.23,3.26,3.13,3.16,426800,3.028698
2016-03-17,3.20,3.27,3.16,3.23,95700,3.09579
2016-03-16,3.16,3.22,3.15,3.22,91500,3.086205
2016-03-15,3.19,3.23,3.18,3.19,32900,3.057452
2016-03-14,3.22,3.25,3.17,3.23,75100,3.09579
2016-03-11,3.24,3.26,3.17,3.25,161200,3.114958
2016-03-10,3.12,3.25,3.12,3.19,79800,3.057452
2016-03-09,3.22,3.25,3.13,3.14,104900,3.009529
2016-03-08,3.26,3.31,3.20,3.20,97200,3.067036
2016-03-07,3.10,3.31,3.10,3.31,115200,3.172465
2016-03-04,3.00,3.18,2.95,3.10,230600,2.971191
2016-03-03,2.95,3.00,2.95,2.99,115800,2.865762
2016-03-02,2.95,2.99,2.93,2.96,135600,2.837008
2016-03-01,2.89,2.98,2.89,2.96,85200,2.837008
2016-02-29,2.71,2.95,2.70,2.92,143200,2.79867
2016-02-26,2.71,2.75,2.68,2.74,199600,2.62615
2016-02-25,2.69,2.76,2.68,2.72,63200,2.606981
