Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,16.16,16.440001,16.15,16.27,31700,16.27
2016-06-09,16.40,16.540001,16.190001,16.389999,52800,16.389999
2016-06-08,16.549999,16.549999,16.33,16.50,122300,16.50
2016-06-07,16.459999,16.52,16.299999,16.41,47800,16.41
2016-06-06,16.290001,16.52,15.94,16.43,34100,16.43
2016-06-03,16.17,16.389999,15.94,16.309999,99400,16.309999
2016-06-02,16.360001,16.379999,16.26,16.35,28000,16.35
2016-06-01,16.23,16.60,15.50,16.51,47000,16.51
2016-05-31,16.34,16.469999,16.290001,16.360001,57100,16.360001
2016-05-27,16.15,16.379999,16.120001,16.32,71500,16.32
2016-05-26,17.00,17.00,16.15,16.200001,28000,16.200001
2016-05-25,16.18,16.65,16.16,16.530001,54700,16.530001
2016-05-24,15.82,16.209999,15.82,16.15,93100,16.15
2016-05-23,15.94,15.95,15.67,15.73,41600,15.73
2016-05-20,15.72,15.99,15.72,15.93,66700,15.93
2016-05-19,15.71,15.73,15.37,15.62,88500,15.62
2016-05-18,15.09,15.84,14.93,15.76,81800,15.76
2016-05-17,15.54,15.63,15.03,15.11,67300,15.11
2016-05-16,15.49,15.77,15.49,15.60,108600,15.60
2016-05-13,15.56,15.81,15.38,15.47,70200,15.47
2016-05-12,15.79,15.83,15.53,15.62,35400,15.62
2016-05-11,15.78,15.94,15.68,15.73,32100,15.73
2016-05-10,15.60,15.94,15.60,15.85,76600,15.85
2016-05-09,15.61,15.63,15.40,15.46,156300,15.46
2016-05-06,15.57,15.73,15.52,15.68,50800,15.68
2016-05-05,16.049999,16.049999,15.56,15.69,68400,15.69
2016-05-04,15.90,16.02,15.58,15.69,60000,15.69
2016-05-03,16.16,16.26,15.78,15.92,45100,15.92
2016-05-02,16.15,16.370001,15.97,16.26,40700,16.26
2016-04-29,16.15,16.280001,15.93,16.16,64900,16.16
2016-04-28,16.370001,16.459999,16.16,16.25,72300,16.25
2016-04-27,16.84,16.879999,16.360001,16.629999,112400,16.509999
2016-04-26,16.83,16.98,16.57,16.91,112500,16.78798
2016-04-25,17.440001,17.440001,16.60,16.799999,186100,16.678773
2016-04-22,17.280001,17.530001,16.90,17.450001,167400,17.324084
2016-04-21,17.379999,17.51,17.200001,17.309999,63100,17.185093
2016-04-20,17.18,17.469999,17.07,17.450001,73700,17.324084
2016-04-19,16.90,17.209999,16.75,17.200001,47100,17.075888
2016-04-18,16.85,17.01,16.73,16.84,82600,16.718485
2016-04-15,16.60,16.940001,16.60,16.860001,58700,16.738341
2016-04-14,16.530001,16.90,16.530001,16.74,49700,16.619206
2016-04-13,16.280001,16.690001,16.24,16.690001,123800,16.569568
2016-04-12,16.059999,16.27,15.93,16.190001,66800,16.073176
2016-04-11,15.72,16.049999,15.61,15.99,47900,15.874618
2016-04-08,15.74,15.86,15.54,15.66,57300,15.547
2016-04-07,15.60,15.66,15.51,15.65,126600,15.537071
2016-04-06,15.65,15.72,15.45,15.69,72500,15.576783
2016-04-05,16.360001,16.360001,15.63,15.64,69600,15.527144
2016-04-04,16.40,16.549999,16.18,16.440001,91100,16.321372
2016-04-01,15.99,16.51,15.90,16.469999,98500,16.351154
2016-03-31,16.030001,16.379999,16.00,16.040001,300600,15.924259
2016-03-30,15.86,16.129999,15.75,16.07,69500,15.954041
2016-03-29,15.77,15.85,15.40,15.82,113100,15.705845
2016-03-28,15.53,15.78,15.45,15.66,50800,15.547
2016-03-24,15.81,15.86,15.57,15.57,73100,15.457649
2016-03-23,15.99,16.10,15.89,15.94,78100,15.824979
2016-03-22,15.99,16.23,15.94,16.040001,78300,15.924259
2016-03-21,15.96,16.25,15.90,16.139999,75300,16.023535
2016-03-18,15.72,16.27,15.72,16.030001,239900,15.91433
2016-03-17,15.54,15.71,15.36,15.61,125500,15.49736
2016-03-16,15.39,15.77,15.31,15.55,215200,15.437794
2016-03-15,15.69,15.69,15.17,15.40,91700,15.288875
2016-03-14,15.73,15.91,15.65,15.76,59700,15.646278
2016-03-11,15.69,15.83,15.46,15.80,67900,15.68599
2016-03-10,15.67,15.71,15.32,15.57,60600,15.457649
2016-03-09,15.75,15.91,15.58,15.64,118400,15.527144
2016-03-08,15.96,16.02,15.68,15.72,98300,15.606567
2016-03-07,15.23,16.16,15.22,16.040001,814300,15.924259
2016-03-04,15.50,15.53,14.88,15.26,256900,15.149886
2016-03-03,15.19,15.55,15.12,15.51,119300,15.398082
2016-03-02,15.46,15.46,15.06,15.17,139400,15.060536
2016-03-01,15.13,15.58,15.00,15.46,165800,15.348443
2016-02-29,15.26,15.38,14.90,14.99,139200,14.881834
2016-02-26,15.23,15.82,15.10,15.29,129200,15.17967
2016-02-25,14.66,15.37,14.66,15.18,127900,15.070464
2016-02-24,14.50,14.72,14.19,14.61,124800,14.504576
2016-02-23,14.89,15.00,14.57,14.64,122400,14.53436
2016-02-22,14.94,15.05,14.84,14.89,143900,14.782556
2016-02-19,14.89,15.10,14.86,14.88,211500,14.772628
2016-02-18,14.85,14.99,14.69,14.93,129400,14.822268
2016-02-17,15.13,15.13,14.72,14.77,205000,14.663422
2016-02-16,14.78,15.05,14.50,15.00,479200,14.891762
2016-02-12,14.45,14.65,14.26,14.62,102900,14.514504
2016-02-11,14.42,14.65,14.01,14.05,106100,13.948617
2016-02-10,14.61,15.03,14.53,14.68,155600,14.574072
2016-02-09,14.48,14.75,14.36,14.50,108700,14.39537
2016-02-08,14.58,14.79,14.29,14.67,154500,14.564143
2016-02-05,14.66,14.92,14.51,14.65,192800,14.544287
