Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.85,16.00,15.659,16.00,19700,16.00
2016-06-09,15.49,16.00,15.39,15.79,40200,15.79
2016-06-08,15.46,15.844,15.26,15.52,109200,15.52
2016-06-07,15.34,15.48,15.13,15.48,137500,15.48
2016-06-06,15.422,15.507,15.15,15.28,11500,15.28
2016-06-03,15.285,15.939,15.06,15.06,35000,15.06
2016-06-02,15.26,15.40,15.25,15.36,48900,15.36
2016-06-01,15.06,15.53,15.06,15.25,28400,15.25
2016-05-31,15.30,15.50,15.20,15.20,41400,15.20
2016-05-27,15.51,15.641,15.21,15.29,31400,15.29
2016-05-26,15.91,15.91,15.30,15.31,30600,15.31
2016-05-25,15.79,15.99,15.34,15.88,22800,15.88
2016-05-24,15.88,15.88,15.28,15.82,7900,15.82
2016-05-23,15.63,15.84,15.32,15.76,29700,15.76
2016-05-20,15.73,15.82,15.33,15.71,14400,15.71
2016-05-19,15.69,15.69,15.29,15.53,12800,15.53
2016-05-18,15.03,15.99,15.03,15.76,45500,15.76
2016-05-17,15.75,15.75,15.25,15.39,14600,15.39
2016-05-16,15.886,15.886,15.41,15.74,29900,15.74
2016-05-13,15.44,15.96,15.28,15.38,36900,15.38
2016-05-12,15.03,15.41,15.03,15.35,11700,15.35
2016-05-11,15.17,15.31,15.155,15.26,9800,15.26
2016-05-10,15.20,15.33,14.992,15.255,11300,15.255
2016-05-09,14.79,15.30,14.79,15.14,10600,15.14
2016-05-06,14.90,15.00,14.63,14.92,11600,14.92
2016-05-05,14.75,15.41,14.75,14.83,19500,14.83
2016-05-04,14.99,15.396,14.90,14.90,11300,14.90
2016-05-03,15.296,15.30,14.90,15.11,15800,15.11
2016-05-02,15.22,15.76,15.005,15.10,19900,15.10
2016-04-29,15.76,15.836,15.17,15.17,22000,15.17
2016-04-28,15.74,15.90,15.50,15.90,30700,15.57
2016-04-27,15.26,15.99,15.26,15.83,21600,15.501453
2016-04-26,15.29,15.75,15.06,15.26,24300,14.943284
2016-04-25,15.20,15.524,15.02,15.33,12400,15.01183
2016-04-22,15.16,15.24,14.95,15.20,15000,14.884528
2016-04-21,14.85,15.20,14.85,14.88,9300,14.57117
2016-04-20,15.18,15.19,14.86,14.88,13500,14.57117
2016-04-19,15.07,15.34,15.00,15.21,23400,14.894321
2016-04-18,15.16,15.325,15.00,15.11,13500,14.796396
