Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.71,15.82,15.55,15.71,144800,15.71
2016-06-09,15.90,16.00,15.62,15.68,61500,15.68
2016-06-08,15.98,16.00,15.61,15.91,61100,15.91
2016-06-07,15.99,16.00,15.59,15.91,46500,15.91
2016-06-06,15.90,16.084999,15.89,15.99,45700,15.99
2016-06-03,16.00,16.219999,15.75,16.00,65500,16.00
2016-06-02,16.120001,16.18,15.89,16.030001,81300,16.020001
2016-06-01,16.25,16.790001,16.00,16.50,66600,16.489707
2016-05-31,16.26,16.309999,15.98,16.139999,135400,16.129931
2016-05-27,15.97,16.27,15.97,16.18,36300,16.169907
2016-05-26,16.33,16.379999,15.64,15.91,50900,15.900075
2016-05-25,15.82,16.50,15.82,16.299999,59500,16.289831
2016-05-24,15.99,16.290001,15.70,15.86,130700,15.850106
2016-05-23,15.88,16.375,15.68,15.96,115100,15.950044
2016-05-20,15.63,16.379999,15.363,15.98,126300,15.970031
2016-05-19,15.09,15.85,14.80,15.63,169300,15.62025
2016-05-18,15.03,15.50,15.03,15.20,99700,15.190518
2016-05-17,15.50,15.65,15.04,15.11,33900,15.100574
2016-05-16,15.60,15.68,15.47,15.59,33000,15.580275
2016-05-13,15.62,15.86,15.05,15.60,95000,15.590269
2016-05-12,16.08,16.25,15.52,15.58,55800,15.570281
2016-05-11,16.24,16.360001,15.95,16.00,23800,15.990019
2016-05-10,16.00,16.545,15.955,16.209999,54100,16.199887
2016-05-09,15.91,15.99,15.834,15.99,24200,15.980025
2016-05-06,15.84,15.97,15.77,15.91,21200,15.900075
2016-05-05,15.92,16.33,15.70,15.88,85800,15.870094
2016-05-04,15.79,15.99,15.635,15.77,41000,15.760163
2016-05-03,16.16,16.17,15.62,15.92,44200,15.910069
2016-05-02,14.658,17.15,14.55,16.25,60600,16.239863
2016-04-29,15.55,15.87,15.087,15.74,30800,15.730181
2016-04-28,15.38,15.70,15.38,15.59,46000,15.580275
2016-04-27,15.20,15.70,14.93,15.68,24400,15.670219
2016-04-26,15.35,15.60,15.34,15.54,34500,15.530306
2016-04-25,15.34,15.34,15.09,15.31,11700,15.30045
2016-04-22,15.00,15.54,14.98,15.34,22700,15.330431
2016-04-21,15.14,15.31,15.02,15.10,19400,15.090581
2016-04-20,15.28,15.28,15.01,15.06,18000,15.050606
2016-04-19,15.29,15.31,15.069,15.17,22100,15.160537
2016-04-18,14.67,15.18,14.56,15.10,21800,15.090581
2016-04-15,14.75,14.75,14.649,14.69,16800,14.680836
2016-04-14,14.77,15.11,14.61,14.76,22400,14.750793
2016-04-13,14.76,15.09,14.67,14.83,24800,14.820749
2016-04-12,14.73,14.85,14.56,14.71,78800,14.700824
2016-04-11,14.62,14.935,14.62,14.78,35600,14.77078
2016-04-08,14.64,14.803,14.50,14.52,15300,14.510943
2016-04-07,14.78,14.90,14.48,14.62,31800,14.61088
2016-04-06,14.97,15.18,14.84,14.90,31800,14.890705
2016-04-05,14.98,15.18,14.82,14.97,40600,14.960662
2016-04-04,15.00,15.34,15.00,15.17,35100,15.160537
2016-04-01,14.82,15.11,14.58,15.00,39300,14.990643
2016-03-31,14.58,15.11,14.58,15.00,19100,14.990643
2016-03-30,14.22,14.91,14.22,14.86,14600,14.85073
2016-03-29,14.20,14.40,14.10,14.32,14800,14.311067
2016-03-28,14.88,14.88,14.19,14.19,12000,14.181148
2016-03-24,15.11,15.11,14.83,14.86,9700,14.85073
2016-03-23,15.11,15.37,15.11,15.21,41900,15.200512
2016-03-22,15.09,15.16,15.07,15.11,26000,15.100574
2016-03-21,14.96,15.38,14.89,15.29,74100,15.280462
2016-03-18,14.46,15.07,14.46,14.89,120400,14.880712
2016-03-17,14.20,14.64,14.15,14.27,40300,14.261099
2016-03-16,13.41,14.45,13.41,14.18,66500,14.171155
2016-03-15,13.55,13.68,13.45,13.49,20500,13.481584
2016-03-14,13.12,13.87,13.12,13.81,44100,13.801385
2016-03-11,13.37,13.56,12.94,13.21,25200,13.201759
2016-03-10,12.99,13.35,12.96,13.22,35800,13.211753
2016-03-09,12.72,13.09,12.72,13.01,26700,13.001884
2016-03-08,12.84,13.047,12.58,12.73,40400,12.722058
2016-03-07,12.80,13.00,12.80,13.00,17400,12.99189
2016-03-04,13.00,13.05,12.78,12.84,23500,12.83199
2016-03-03,12.99,13.17,12.83,12.95,36300,12.941921
2016-03-02,13.10,13.10,12.78,12.95,26500,12.941921
2016-03-01,13.02,13.60,12.87,13.05,28600,13.041859
2016-02-29,13.30,13.80,13.08,13.24,73600,13.23174
2016-02-26,13.11,13.45,12.82,13.08,30300,13.07184
2016-02-25,13.27,13.60,13.06,13.14,27700,13.111816
2016-02-24,12.83,13.36,12.55,13.26,16600,13.231558
2016-02-23,13.65,13.70,12.95,13.00,35600,12.972116
2016-02-22,13.80,13.86,13.40,13.71,25900,13.680593
2016-02-19,13.57,13.91,13.12,13.44,43500,13.411172
2016-02-18,13.58,14.05,13.19,13.68,41200,13.650658
2016-02-17,13.65,13.70,13.12,13.60,18700,13.570829
2016-02-16,13.34,13.78,13.34,13.59,16300,13.560851
2016-02-12,13.87,13.87,12.79,12.97,84900,12.94218
2016-02-11,13.46,13.75,13.46,13.64,39200,13.610743
2016-02-10,13.69,13.95,13.59,13.59,28700,13.560851
2016-02-09,13.47,13.64,13.32,13.55,25500,13.520936
2016-02-08,13.59,13.93,13.29,13.79,25600,13.760421
