Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,17.00,17.35,16.950001,17.309999,15600,17.309999
2016-06-09,17.309999,17.32,17.00,17.299999,16100,17.299999
2016-06-08,17.360001,17.639999,16.99,17.48,37100,17.48
2016-06-07,17.469999,17.690001,17.299999,17.469999,37500,17.469999
2016-06-06,16.549999,17.33,16.540001,17.33,89200,17.33
2016-06-03,16.290001,16.540001,16.200001,16.540001,29600,16.540001
2016-06-02,16.389999,16.440001,16.35,16.43,9300,16.43
2016-06-01,16.40,16.40,16.190001,16.360001,14600,16.360001
2016-05-31,16.129999,16.450001,16.08,16.42,31500,16.42
2016-05-27,16.18,16.25,16.09,16.190001,8500,16.190001
2016-05-26,16.209999,16.379999,16.15,16.25,24700,16.25
2016-05-25,16.10,16.25,15.89,16.24,32100,16.24
2016-05-24,15.59,16.42,15.59,16.18,37500,16.18
2016-05-23,15.35,15.65,15.33,15.58,28000,15.58
2016-05-20,15.48,15.53,15.19,15.33,8400,15.33
2016-05-19,15.21,15.48,15.21,15.48,13600,15.48
2016-05-18,15.00,15.42,14.95,15.36,27300,15.36
2016-05-17,15.16,15.20,15.00,15.04,10000,15.04
2016-05-16,15.10,15.24,15.00,15.00,13100,15.00
2016-05-13,14.96,15.23,14.96,15.08,12100,15.08
2016-05-12,14.85,15.30,14.85,14.94,52600,14.94
2016-05-11,15.13,15.25,14.91,15.04,50000,15.04
2016-05-10,15.46,15.46,15.00,15.23,76900,15.23
2016-05-09,15.64,15.64,15.15,15.32,73600,15.32
2016-05-06,15.50,16.219999,15.12,15.56,158900,15.56
2016-05-05,14.19,14.19,14.09,14.09,800,14.09
2016-05-04,14.00,14.23,14.00,14.19,1900,14.19
2016-05-03,14.05,14.05,13.98,14.00,3700,14.00
2016-05-02,14.14,14.17,13.98,14.01,12900,14.01
2016-04-29,14.16,14.25,14.11,14.12,9500,14.12
2016-04-28,14.05,14.19,14.03,14.03,2300,14.03
2016-04-27,14.06,14.21,13.98,14.10,3400,14.10
2016-04-26,14.13,14.25,14.01,14.01,5400,14.01
2016-04-25,14.11,14.15,13.97,14.15,1600,14.15
2016-04-22,13.92,14.12,13.92,13.96,2800,13.96
2016-04-21,14.22,14.22,14.00,14.12,2800,14.12
2016-04-20,13.90,14.22,13.90,14.22,500,14.22
2016-04-19,14.08,14.17,14.01,14.12,4500,13.98
2016-04-18,14.14,14.23,14.00,14.18,4000,14.039406
2016-04-15,14.17,14.19,13.99,14.05,4000,13.910695
2016-04-14,14.12,14.24,13.91,14.03,4200,13.890892
2016-04-13,14.08,14.15,14.06,14.12,15200,13.98
2016-04-12,14.22,14.22,13.86,14.03,8000,13.890892
2016-04-11,13.90,14.18,13.90,14.06,4200,13.920596
2016-04-08,13.91,14.00,13.91,13.98,2400,13.841388
2016-04-07,14.15,14.15,13.85,13.85,2300,13.712678
2016-04-06,14.00,14.14,13.85,14.05,6800,13.910695
2016-04-05,14.05,14.21,13.85,14.05,4300,13.910695
2016-04-04,13.82,14.34,13.82,14.16,14100,14.019604
2016-04-01,13.98,14.00,13.77,13.86,11800,13.722578
2016-03-31,14.01,14.26,13.96,13.98,6400,13.841388
2016-03-30,14.11,14.32,14.02,14.03,3600,13.890892
2016-03-29,14.42,14.42,14.17,14.18,4000,14.039406
2016-03-28,14.26,14.26,14.15,14.20,800,14.059207
2016-03-24,14.29,14.40,14.25,14.25,2200,14.108711
2016-03-23,14.13,14.17,14.13,14.17,600,14.029505
2016-03-22,14.01,14.23,14.01,14.03,2200,13.890892
2016-03-21,14.22,14.22,14.18,14.18,1400,14.039406
2016-03-18,14.05,14.24,14.05,14.07,5400,13.930496
2016-03-17,14.21,14.36,14.15,14.16,12800,14.019604
2016-03-16,14.45,14.52,14.36,14.43,1100,14.286927
2016-03-15,14.61,14.61,14.50,14.50,400,14.356233
2016-03-14,14.60,14.60,13.67,14.28,4900,14.138414
2016-03-11,14.60,14.60,14.17,14.56,2400,14.415638
2016-03-10,14.56,14.69,14.23,14.52,3400,14.376035
2016-03-09,14.74,14.74,14.68,14.68,1000,14.534448
2016-03-08,14.40,14.75,14.40,14.47,2600,14.32653
2016-03-07,14.50,14.82,14.50,14.73,3200,14.583952
2016-03-04,14.66,14.91,14.64,14.87,6200,14.722564
2016-03-03,14.89,14.90,14.53,14.53,2400,14.385935
2016-03-02,14.74,14.90,14.74,14.90,9100,14.752266
2016-03-01,14.40,14.74,14.40,14.74,27600,14.593853
2016-02-29,14.30,14.71,14.30,14.63,7300,14.484944
2016-02-26,14.62,14.69,14.37,14.69,9300,14.544348
2016-02-25,14.35,14.63,14.28,14.63,5400,14.484944
2016-02-24,14.15,14.34,14.15,14.30,5300,14.158216
2016-02-23,14.20,14.20,14.20,14.20,100,14.059207
2016-02-22,13.99,14.28,13.95,14.28,16900,14.138414
2016-02-19,13.93,14.00,13.92,14.00,9000,13.86119
2016-02-18,13.80,13.92,13.80,13.92,7200,13.781983
2016-02-17,13.89,13.89,13.78,13.86,10500,13.722578
2016-02-16,13.75,13.88,13.70,13.85,18900,13.712678
2016-02-12,13.50,14.34,13.46,13.80,32900,13.663173
2016-02-11,13.25,13.50,13.25,13.50,3200,13.366148
2016-02-10,13.49,13.49,13.33,13.45,900,13.316643
2016-02-09,13.47,13.68,13.30,13.50,2900,13.366148
2016-02-08,13.47,13.83,13.32,13.64,7800,13.50476
2016-02-05,13.75,13.84,13.55,13.63,3000,13.494859
2016-02-04,13.71,13.79,13.71,13.77,1100,13.633471
2016-02-03,13.77,13.78,13.77,13.78,400,13.643371
2016-02-02,13.80,13.82,13.76,13.82,3200,13.682974
2016-02-01,13.72,13.82,13.50,13.80,8400,13.663173
2016-01-29,13.72,13.80,13.55,13.74,9400,13.603768
2016-01-28,13.58,13.74,13.50,13.67,5700,13.534462
2016-01-27,13.58,13.63,13.54,13.57,800,13.435453
2016-01-26,13.53,13.82,13.48,13.56,6300,13.425553
2016-01-25,13.44,13.67,13.36,13.36,6700,13.227535
2016-01-22,13.60,13.74,13.44,13.73,5800,13.593867
2016-01-21,13.43,13.60,13.38,13.54,4900,13.405751
2016-01-20,13.62,13.75,13.59,13.59,7000,13.316644
2016-01-19,13.73,13.81,13.61,13.78,1400,13.502821
2016-01-15,13.55,13.75,13.55,13.57,2600,13.297045
2016-01-14,13.56,13.86,13.56,13.77,1500,13.493023
2016-01-13,13.73,13.73,13.55,13.64,5300,13.365638
2016-01-12,13.66,13.92,13.66,13.77,3100,13.493023
2016-01-11,13.86,13.89,13.75,13.80,2600,13.52242
2016-01-08,13.75,13.86,13.74,13.75,7300,13.473425
2016-01-07,13.75,13.94,13.73,13.90,7500,13.620408
2016-01-06,13.92,13.92,13.92,13.92,300,13.640006
2016-01-05,14.04,14.04,13.80,13.93,1700,13.649805
2016-01-04,13.91,14.06,13.80,13.83,4900,13.551816
2015-12-31,14.03,14.20,14.02,14.03,4500,13.747793
2015-12-30,14.05,14.20,14.05,14.15,16100,13.865379
2015-12-29,14.24,14.24,14.05,14.05,3500,13.767391
2015-12-28,14.21,14.24,13.82,13.82,5000,13.542017
2015-12-24,14.12,14.22,14.12,14.22,300,13.933971
2015-12-23,14.00,14.19,14.00,14.19,29600,13.904574
2015-12-22,14.10,14.10,14.00,14.00,6700,13.718396
2015-12-21,13.89,14.08,13.89,14.08,17100,13.796787
2015-12-18,13.75,13.90,13.75,13.90,49500,13.620408
2015-12-17,13.75,13.75,13.68,13.75,1500,13.473425
2015-12-16,13.70,13.75,13.69,13.70,2200,13.424431
2015-12-15,13.55,13.77,13.50,13.76,5000,13.483224
2015-12-14,13.50,13.63,13.50,13.63,3500,13.355839
2015-12-11,13.50,13.65,13.50,13.51,1100,13.238253
2015-12-10,13.65,13.65,13.65,13.65,1200,13.375436
2015-12-09,13.51,13.65,13.51,13.64,1900,13.365638
2015-12-08,13.57,13.65,13.57,13.63,3500,13.355839
2015-12-07,13.52,13.69,13.52,13.56,6600,13.287247
2015-12-04,13.62,13.84,13.51,13.69,4900,13.414632
2015-12-03,13.70,13.71,13.63,13.66,5900,13.385235
2015-12-02,14.01,14.01,13.75,13.80,12000,13.52242
2015-12-01,13.92,14.05,13.92,14.02,1600,13.737995
2015-11-30,13.97,14.04,13.81,14.00,4700,13.718396
2015-11-27,13.97,13.97,13.97,13.97,000,13.689
2015-11-25,14.05,14.05,13.80,13.97,5000,13.689
2015-11-24,14.23,14.23,14.07,14.08,2300,13.796787
2015-11-23,14.18,14.19,14.18,14.18,3800,13.894776
2015-11-20,14.21,14.26,14.05,14.11,9000,13.826183
2015-11-19,14.23,14.26,14.21,14.26,700,13.973167
2015-11-18,14.26,14.26,14.15,14.15,1500,13.865379
2015-11-17,14.22,14.22,14.22,14.22,100,13.933971
2015-11-16,14.21,14.22,14.17,14.22,1700,13.933971
2015-11-13,14.24,14.27,14.15,14.22,1000,13.933971
2015-11-12,14.22,14.26,14.22,14.26,1100,13.973167
2015-11-11,14.05,14.26,14.01,14.26,1300,13.973167
2015-11-10,14.24,14.24,14.23,14.24,600,13.953569
2015-11-09,14.19,14.22,14.13,14.22,2900,13.933971
2015-11-06,14.18,14.28,13.83,14.14,3200,13.855581
2015-11-05,14.10,14.25,13.80,14.15,17200,13.865379
2015-11-04,14.05,14.21,13.76,14.10,11200,13.816385
2015-11-03,14.23,14.28,14.10,14.26,5900,13.973167
2015-11-02,14.25,14.30,14.16,14.30,9700,14.012362
2015-10-30,14.25,14.25,14.20,14.22,3500,13.933971
2015-10-29,14.25,14.25,14.20,14.25,900,13.963368
2015-10-28,14.21,14.30,14.20,14.20,500,13.914373
2015-10-27,14.25,14.34,14.20,14.20,7400,13.914373
2015-10-26,14.26,14.26,14.25,14.25,4200,13.963368
2015-10-23,14.35,14.35,14.25,14.25,1000,13.963368
2015-10-22,14.30,14.40,14.29,14.35,7500,14.061357
2015-10-21,14.25,14.25,14.25,14.25,300,13.963368
2015-10-20,14.48,14.50,14.38,14.40,15300,13.973166
2015-10-19,14.52,14.53,14.37,14.40,4200,13.973166
2015-10-16,14.42,14.51,14.40,14.41,2500,13.98287
2015-10-15,14.35,14.55,14.34,14.51,9200,14.079906
2015-10-14,14.60,14.60,14.50,14.50,4400,14.070202
2015-10-13,14.55,14.55,14.40,14.52,7200,14.08961
2015-10-12,14.59,14.59,14.35,14.52,2900,14.08961
2015-10-09,14.60,14.60,14.41,14.57,2100,14.138127
2015-10-08,14.77,14.77,14.72,14.73,900,14.293385
2015-10-07,14.75,14.86,14.58,14.58,8400,14.147831
2015-10-06,14.75,14.75,14.60,14.72,700,14.283682
2015-10-05,14.55,14.77,14.43,14.73,3800,14.293385
2015-10-02,14.52,14.52,14.52,14.52,200,14.08961
2015-10-01,14.55,14.55,14.55,14.55,800,14.118721
2015-09-30,14.55,14.55,14.35,14.54,4000,14.109017
2015-09-29,14.59,14.59,14.59,14.59,500,14.157535
2015-09-28,14.56,14.78,14.41,14.59,800,14.157535
2015-09-25,14.75,14.75,14.65,14.65,2000,14.215756
2015-09-24,14.84,14.84,14.42,14.81,2000,14.371014
2015-09-23,14.81,14.81,14.81,14.81,000,14.371014
2015-09-22,14.81,14.81,14.81,14.81,400,14.371014
2015-09-21,14.78,14.84,14.39,14.84,17100,14.400125
2015-09-18,14.47,14.74,14.46,14.74,10200,14.303088
2015-09-17,14.49,14.49,14.38,14.48,6800,14.050795
2015-09-16,14.40,14.45,14.40,14.45,200,14.021684
2015-09-15,14.35,14.47,14.35,14.43,1100,14.002278
2015-09-14,14.35,14.46,14.35,14.46,2300,14.031388
2015-09-11,14.34,14.46,14.32,14.46,1500,14.031388
2015-09-10,14.52,14.52,14.28,14.51,7800,14.079906
2015-09-09,14.54,14.54,14.40,14.50,900,14.070202
2015-09-08,14.50,14.59,14.40,14.54,2800,14.109017
2015-09-04,14.58,14.58,14.58,14.58,200,14.147831
2015-09-03,14.57,14.60,14.52,14.60,700,14.167239
2015-09-02,14.65,14.65,14.52,14.53,2600,14.099313
2015-09-01,14.55,14.65,14.55,14.62,3700,14.186645
2015-08-31,14.59,14.59,14.59,14.59,000,14.157535
2015-08-28,14.73,14.78,14.59,14.59,3000,14.157535
2015-08-27,14.80,14.80,14.55,14.78,400,14.341903
2015-08-26,14.80,14.80,14.52,14.77,4200,14.3322
2015-08-25,14.92,14.92,14.78,14.83,2300,14.390421
2015-08-24,14.55,14.69,14.55,14.67,2500,14.235164
2015-08-21,14.80,14.80,14.55,14.65,2100,14.215756
2015-08-20,14.85,14.85,14.52,14.64,4500,14.206053
2015-08-19,14.82,14.92,14.82,14.92,800,14.477753
2015-08-18,14.86,14.86,14.86,14.86,100,14.419531
2015-08-17,14.89,14.92,14.80,14.80,1200,14.36131
2015-08-14,14.93,14.93,14.89,14.89,500,14.448643
2015-08-13,14.88,14.88,14.88,14.88,200,14.438939
2015-08-12,14.80,14.92,14.75,14.87,1400,14.429235
2015-08-11,14.96,14.97,14.84,14.84,1300,14.400125
2015-08-10,14.87,14.95,14.87,14.95,300,14.506864
2015-08-07,14.91,14.99,14.80,14.82,3500,14.380717
2015-08-06,14.99,14.99,14.92,14.92,400,14.477753
2015-08-05,15.05,15.12,14.94,14.94,4000,14.49716
2015-08-04,14.95,15.26,14.94,14.94,10200,14.49716
2015-08-03,14.90,14.95,14.90,14.95,3000,14.506864
2015-07-31,14.92,14.92,14.80,14.90,2100,14.458346
2015-07-30,14.75,14.91,14.75,14.85,2900,14.409828
2015-07-29,14.80,14.80,14.54,14.70,14700,14.264274
2015-07-28,14.83,14.83,14.52,14.58,7400,14.147831
2015-07-27,14.88,14.88,14.61,14.61,1200,14.176942
2015-07-24,14.90,14.92,14.65,14.76,13900,14.322496
2015-07-23,14.94,14.94,14.89,14.89,900,14.448643
2015-07-22,14.66,14.92,14.45,14.85,2900,14.409828
2015-07-21,14.56,14.98,14.56,14.92,900,14.341903
2015-07-20,14.95,14.98,14.51,14.95,2600,14.37074
2015-07-17,14.92,14.92,14.86,14.92,1100,14.341903
2015-07-16,14.95,14.95,14.80,14.90,17900,14.322677
2015-07-15,14.80,14.93,14.67,14.88,4600,14.303453
2015-07-14,14.95,15.00,14.77,14.89,3800,14.313065
2015-07-13,14.95,14.98,14.85,14.95,1200,14.37074
2015-07-10,14.82,14.86,14.77,14.80,3200,14.226552
2015-07-09,14.60,14.64,14.51,14.51,3500,13.947789
2015-07-08,14.47,14.64,14.46,14.47,11300,13.909339
2015-07-07,14.25,14.49,14.25,14.47,1800,13.909339
2015-07-06,14.49,14.50,14.35,14.48,3400,13.918951
2015-07-02,14.48,14.48,14.30,14.42,1500,13.861276
2015-07-01,14.45,14.50,14.27,14.27,2300,13.717088
2015-06-30,14.72,14.72,14.24,14.43,22600,13.870889
2015-06-29,14.85,14.85,14.71,14.72,8400,14.149652
2015-06-26,14.72,14.86,14.72,14.80,6400,14.226552
2015-06-25,15.04,15.04,14.87,14.97,2100,14.389966
2015-06-24,15.19,15.19,15.00,15.04,4600,14.457253
2015-06-23,15.18,15.20,15.01,15.19,2600,14.601441
2015-06-22,15.23,15.25,15.03,15.14,2700,14.553379
2015-06-19,15.04,15.22,14.92,15.22,2900,14.630279
2015-06-18,15.16,15.16,14.90,15.09,3100,14.505316
2015-06-17,15.16,15.16,15.16,15.16,100,14.572603
2015-06-16,15.00,15.00,14.96,14.96,2300,14.380353
2015-06-15,14.77,15.08,14.71,15.08,2600,14.495703
2015-06-12,15.19,15.25,15.00,15.19,3500,14.601441
2015-06-11,15.05,15.20,15.05,15.15,7100,14.562991
2015-06-10,14.95,15.25,14.95,15.25,15200,14.659116
2015-06-09,14.73,15.12,14.71,14.96,2000,14.380353
2015-06-08,14.76,14.90,14.76,14.84,2200,14.265002
2015-06-05,15.08,15.09,14.78,15.09,19300,14.505316
2015-06-04,15.10,15.10,15.00,15.01,2900,14.428416
2015-06-03,14.65,15.20,14.65,15.10,3400,14.514929
2015-06-02,14.98,15.25,14.95,15.25,13400,14.659116
2015-06-01,14.50,15.00,14.10,14.99,6700,14.40919
2015-05-29,14.80,14.83,14.69,14.79,6800,14.21694
2015-05-28,14.85,15.01,14.84,15.01,3000,14.428416
2015-05-27,15.00,15.06,14.95,14.95,2100,14.37074
2015-05-26,15.00,15.13,15.00,15.00,3900,14.418803
2015-05-22,15.01,15.09,15.01,15.07,1700,14.48609
2015-05-21,15.05,15.05,15.00,15.04,3700,14.457253
2015-05-20,15.01,15.20,15.01,15.20,2600,14.611053
2015-05-19,15.06,15.18,15.01,15.06,4200,14.476478
2015-05-18,15.04,15.18,15.01,15.18,1700,14.591829
2015-05-15,15.21,15.21,15.11,15.11,1000,14.52454
2015-05-14,15.34,15.34,15.18,15.18,1800,14.591829
2015-05-13,15.10,15.15,15.10,15.15,400,14.562991
2015-05-12,15.00,15.35,15.00,15.05,9100,14.466866
2015-05-11,15.23,15.30,14.86,15.30,2500,14.707179
2015-05-08,15.45,15.45,15.23,15.34,2700,14.745629
2015-05-07,15.35,15.35,15.17,15.24,1500,14.649503
2015-05-06,15.40,15.40,15.30,15.32,24000,14.726404
2015-05-05,15.40,15.55,15.21,15.55,6500,14.947492
2015-05-04,15.46,15.47,15.44,15.47,1900,14.870592
2015-05-01,15.49,15.74,15.47,15.54,2800,14.93788
2015-04-30,15.65,15.77,15.32,15.55,8800,14.947492
2015-04-29,15.63,15.64,15.18,15.55,18900,14.947492
2015-04-28,16.15,16.15,15.76,15.76,8000,15.149356
2015-04-27,16.32,16.32,16.01,16.18,7000,15.553082
2015-04-24,16.08,16.32,16.030001,16.23,5400,15.601144
2015-04-23,16.07,16.08,16.07,16.08,1300,15.456957
2015-04-22,16.32,16.32,16.049999,16.049999,3400,15.428118
2015-04-21,16.15,16.35,16.15,16.35,6300,15.716495
2015-04-20,16.17,16.17,16.00,16.09,11700,15.341607
2015-04-17,16.00,16.17,16.00,16.17,5900,15.417885
2015-04-16,15.35,16.10,15.35,16.10,14700,15.351142
2015-04-15,15.68,15.70,15.68,15.70,5200,14.969746
2015-04-14,15.68,15.68,15.63,15.63,1300,14.903003
2015-04-13,15.54,15.67,15.54,15.67,2100,14.941142
2015-04-10,15.36,15.60,15.27,15.59,1000,14.864863
2015-04-09,15.57,15.58,15.42,15.44,7600,14.721839
2015-04-08,15.60,15.60,15.56,15.56,600,14.836259
2015-04-07,15.60,15.60,15.59,15.59,700,14.864863
2015-04-06,15.60,15.64,15.55,15.60,7700,14.874398
2015-04-02,15.57,15.64,15.51,15.64,500,14.912538
2015-04-01,15.50,15.64,15.50,15.64,6400,14.912538
2015-03-31,15.40,15.60,15.40,15.60,4200,14.874398
2015-03-30,15.37,15.45,15.23,15.44,3700,14.721839
2015-03-27,15.21,15.36,15.21,15.23,3600,14.521607
2015-03-26,15.11,15.29,15.11,15.19,2500,14.483468
2015-03-25,15.21,15.22,15.11,15.22,400,14.512073
2015-03-24,15.00,15.28,15.00,15.18,1000,14.473934
2015-03-23,15.15,15.32,14.93,15.19,11200,14.483468
2015-03-20,15.21,15.28,15.15,15.15,1700,14.445328
2015-03-19,15.20,15.30,15.15,15.21,4900,14.502538
2015-03-18,15.05,15.14,15.05,15.14,900,14.435794
2015-03-17,15.30,15.30,15.09,15.12,2000,14.416724
2015-03-16,15.35,15.39,15.29,15.29,3500,14.578817
