Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,31.90,33.75,31.254999,33.529999,261400,33.529999
2016-06-09,34.029999,34.459999,32.48,32.669998,203700,32.669998
2016-06-08,32.82,34.759998,32.599998,34.299999,353300,34.299999
2016-06-07,31.82,33.049999,31.049999,32.790001,289500,32.790001
2016-06-06,30.58,32.599998,29.75,32.099998,345700,32.099998
2016-06-03,31.969999,31.969999,29.50,29.92,258900,29.92
2016-06-02,30.92,33.779999,30.879999,32.099998,635900,32.099998
2016-06-01,29.43,30.959999,29.41,30.90,357200,30.90
2016-05-31,29.66,30.719999,29.360001,30.43,267100,30.43
2016-05-27,29.18,29.65,28.309999,29.459999,182100,29.459999
2016-05-26,28.690001,29.610001,27.879999,29.280001,189200,29.280001
2016-05-25,30.00,30.00,28.129999,28.98,263300,28.98
2016-05-24,29.030001,30.200001,28.52,30.01,294600,30.01
2016-05-23,29.040001,29.84,28.469999,28.77,188500,28.77
2016-05-20,27.690001,28.98,27.690001,28.90,249700,28.90
2016-05-19,27.00,27.889999,26.73,27.530001,197000,27.530001
2016-05-18,25.09,27.41,25.035,27.10,379100,27.10
2016-05-17,24.82,25.83,24.26,25.43,246400,25.43
2016-05-16,23.99,25.00,23.549999,24.950001,223600,24.950001
2016-05-13,23.190001,24.00,23.00,23.870001,146100,23.870001
2016-05-12,25.50,25.611,22.879999,23.370001,314200,23.370001
2016-05-11,26.10,26.200001,25.18,25.33,268000,25.33
2016-05-10,25.780001,26.57,24.450001,26.15,171200,26.15
2016-05-09,24.219999,25.98,24.00,25.790001,200900,25.790001
2016-05-06,25.110001,25.166,23.889999,24.07,219500,24.07
2016-05-05,26.639999,26.639999,25.049999,25.10,213400,25.10
2016-05-04,27.49,27.49,26.129999,26.530001,204900,26.530001
2016-05-03,29.32,29.32,27.190001,27.73,174800,27.73
2016-05-02,30.00,30.00,28.40,29.700001,214600,29.700001
2016-04-29,29.50,29.806,28.305,29.52,191800,29.52
2016-04-28,29.940001,30.790001,29.275,29.50,150700,29.50
2016-04-27,31.00,32.990002,29.65,30.00,102400,30.00
2016-04-26,32.599998,32.669998,30.75,31.18,192000,31.18
2016-04-25,31.790001,32.959,31.48,32.599998,159500,32.599998
2016-04-22,31.25,32.27,31.049999,31.790001,103600,31.790001
2016-04-21,30.620001,31.540001,30.135,31.32,76100,31.32
2016-04-20,29.969999,30.75,29.799999,30.59,105500,30.59
2016-04-19,30.48,30.715,29.26,29.889999,153600,29.889999
2016-04-18,30.02,30.545,29.83,30.139999,258400,30.139999
2016-04-15,29.92,30.212,29.120001,29.959999,173400,29.959999
2016-04-14,29.950001,30.440001,29.52,29.91,81500,29.91
2016-04-13,30.91,31.41,29.99,30.209999,164700,30.209999
2016-04-12,30.23,30.83,29.33,30.49,145300,30.49
2016-04-11,30.84,30.950001,29.75,30.25,166900,30.25
2016-04-08,32.130001,32.509998,30.540001,30.98,226900,30.98
2016-04-07,29.67,32.98,29.00,31.50,877200,31.50
2016-04-06,28.07,29.950001,28.07,29.85,357200,29.85
2016-04-05,28.049999,29.25,27.549999,27.98,304900,27.98
2016-04-04,27.870001,30.00,27.52,28.32,459900,28.32
2016-04-01,27.02,27.82,25.209999,27.549999,556100,27.549999
2016-03-31,25.129999,26.780001,24.969999,26.559999,350000,26.559999
2016-03-30,25.50,25.860001,24.82,25.129999,158800,25.129999
2016-03-29,24.34,25.76,24.00,25.51,174800,25.51
2016-03-28,24.780001,25.105,23.700001,24.450001,158900,24.450001
2016-03-24,24.389999,25.49,24.049999,24.700001,98600,24.700001
2016-03-23,25.00,26.00,24.50,24.639999,190600,24.639999
2016-03-22,24.540001,25.129999,24.459999,25.01,184800,25.01
2016-03-21,24.77,25.219999,24.50,24.84,170300,24.84
2016-03-18,26.200001,26.34,24.209999,24.77,774100,24.77
2016-03-17,24.65,26.15,24.299999,25.940001,293500,25.940001
2016-03-16,24.459999,25.48,24.02,24.690001,150300,24.690001
2016-03-15,25.49,25.90,24.290001,24.59,222700,24.59
2016-03-14,25.09,26.969999,25.049999,25.879999,199100,25.879999
2016-03-11,25.200001,25.34,24.200001,25.299999,127200,25.299999
2016-03-10,25.639999,26.184999,24.799999,24.93,213600,24.93
2016-03-09,25.190001,26.41,24.60,25.17,270700,25.17
2016-03-08,29.27,30.00,25.00,25.120001,396000,25.120001
2016-03-07,27.93,30.540001,27.610001,29.60,293900,29.60
2016-03-04,27.02,27.889999,26.50,27.790001,220500,27.790001
2016-03-03,27.00,27.33,25.92,26.860001,193200,26.860001
2016-03-02,23.51,26.98,23.105,26.73,365300,26.73
2016-03-01,23.25,23.799999,22.950001,23.719999,222600,23.719999
2016-02-29,24.99,24.99,23.01,23.110001,195500,23.110001
2016-02-26,24.51,25.040001,24.341,24.73,145200,24.73
2016-02-25,24.99,25.75,24.110001,24.530001,152000,24.530001
2016-02-24,23.530001,24.575001,23.302999,24.50,178200,24.50
2016-02-23,24.27,24.879999,23.865,24.040001,146500,24.040001
2016-02-22,24.23,24.35,23.26,24.07,114500,24.07
2016-02-19,24.25,24.700001,23.09,23.65,208200,23.65
2016-02-18,26.00,26.08,24.049999,24.370001,192000,24.370001
2016-02-17,25.17,26.709999,24.43,25.43,176100,25.43
2016-02-16,26.219999,28.00,24.51,25.00,151600,25.00
2016-02-12,25.49,26.67,24.10,25.889999,159400,25.889999
2016-02-11,22.51,25.120001,22.51,24.790001,180600,24.790001
2016-02-10,22.860001,24.09,22.309999,23.209999,144700,23.209999
2016-02-09,23.469999,23.58,21.120001,22.309999,162300,22.309999
