Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,1.95,2.02,1.90,1.96,640200,1.96
2016-06-09,2.04,2.07,2.01,2.02,621500,2.02
2016-06-08,2.09,2.14,2.04,2.09,973400,2.09
2016-06-07,2.08,2.14,2.00,2.07,832300,2.07
2016-06-06,2.02,2.17,1.99,2.05,976000,2.05
2016-06-03,2.06,2.13,2.01,2.03,597200,2.03
2016-06-02,2.07,2.10,2.00,2.09,581600,2.09
2016-06-01,2.08,2.09,2.02,2.07,445500,2.07
2016-05-31,2.10,2.19,2.06,2.10,493200,2.10
2016-05-27,2.16,2.17,2.05,2.11,969700,2.11
2016-05-26,2.28,2.34,2.20,2.22,793600,2.22
2016-05-25,2.21,2.39,2.21,2.25,731000,2.25
2016-05-24,2.30,2.33,2.21,2.21,379900,2.21
2016-05-23,2.25,2.39,2.22,2.31,303000,2.31
2016-05-20,2.31,2.39,2.24,2.29,207500,2.29
2016-05-19,2.31,2.38,2.20,2.31,421100,2.31
2016-05-18,2.56,2.59,2.30,2.32,593000,2.32
2016-05-17,2.38,2.65,2.35,2.57,1160100,2.57
2016-05-16,2.18,2.48,2.15,2.41,1545600,2.41
2016-05-13,2.26,2.27,2.10,2.10,740600,2.10
2016-05-12,2.25,2.33,2.11,2.27,676800,2.27
2016-05-11,2.28,2.39,2.14,2.25,479800,2.25
2016-05-10,2.32,2.42,2.25,2.30,389200,2.30
2016-05-09,2.46,2.53,2.25,2.32,588000,2.32
2016-05-06,2.52,2.67,2.42,2.47,516000,2.47
2016-05-05,2.67,2.75,2.47,2.58,425500,2.58
2016-05-04,2.57,2.67,2.44,2.58,722900,2.58
2016-05-03,2.65,2.78,2.54,2.62,968100,2.59
2016-05-02,2.86,2.87,2.62,2.72,1169800,2.688855
2016-04-29,2.81,3.07,2.81,2.90,1503800,2.866794
2016-04-28,2.83,2.93,2.65,2.79,2359900,2.758053
2016-04-27,2.37,2.74,2.37,2.70,2347400,2.669084
2016-04-26,2.32,2.39,2.28,2.34,622400,2.313206
2016-04-25,2.36,2.44,2.25,2.30,817100,2.273664
2016-04-22,2.30,2.49,2.30,2.36,961800,2.332977
2016-04-21,2.29,2.39,2.23,2.32,976600,2.293435
2016-04-20,2.10,2.27,2.08,2.26,1152500,2.234122
2016-04-19,2.05,2.28,2.05,2.12,805600,2.095725
2016-04-18,2.06,2.15,2.03,2.05,565000,2.026527
2016-04-15,2.05,2.22,2.01,2.16,897400,2.135267
2016-04-14,2.27,2.30,2.12,2.16,522200,2.135267
2016-04-13,2.38,2.38,2.22,2.25,485900,2.224237
2016-04-12,2.15,2.47,2.12,2.39,992000,2.362634
2016-04-11,2.18,2.35,2.11,2.14,650600,2.115496
2016-04-08,2.15,2.28,2.10,2.17,791500,2.145153
