Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,33.959999,34.209999,32.880001,33.00,672100,33.00
2016-06-09,34.360001,34.830002,34.139999,34.580002,451200,34.580002
2016-06-08,35.299999,35.549999,34.75,35.029999,778700,35.029999
2016-06-07,34.360001,35.02,34.349998,34.889999,545600,34.889999
2016-06-06,32.77,34.43,32.720001,34.259998,604700,34.259998
2016-06-03,32.459999,32.880001,31.959999,32.450001,304800,32.450001
2016-06-02,31.889999,32.369999,31.49,32.369999,411300,32.369999
2016-06-01,32.060001,32.490002,31.43,32.220001,736200,32.220001
2016-05-31,32.310001,33.560001,32.040001,32.919998,621800,32.919998
2016-05-27,32.09,32.75,31.93,32.299999,431800,32.299999
2016-05-26,33.209999,33.619999,32.130001,32.189999,613200,32.189999
2016-05-25,31.299999,32.880001,31.299999,32.779999,773400,32.779999
2016-05-24,30.58,31.24,30.26,30.99,664600,30.99
2016-05-23,30.219999,30.84,30.040001,30.32,394500,30.32
2016-05-20,30.469999,31.139999,30.26,30.459999,788500,30.459999
2016-05-19,30.07,30.549999,29.57,30.360001,641300,30.360001
2016-05-18,31.27,31.690001,30.299999,30.40,1085800,30.40
2016-05-17,30.360001,32.279999,30.190001,31.629999,1419400,31.629999
2016-05-16,28.93,29.73,28.93,29.549999,657900,29.549999
2016-05-13,29.780001,30.059999,28.559999,28.74,889600,28.74
2016-05-12,31.01,31.309999,29.379999,29.940001,1039000,29.940001
2016-05-11,30.360001,30.76,29.99,30.43,705400,30.43
2016-05-10,29.75,30.809999,29.59,30.51,812500,30.51
2016-05-09,30.85,30.92,29.58,29.66,813300,29.66
2016-05-06,31.049999,31.77,30.91,31.34,629800,31.34
2016-05-05,31.92,32.220001,30.889999,31.26,1045600,31.26
2016-05-04,32.209999,32.349998,30.92,31.200001,1689400,31.200001
2016-05-03,33.419998,33.419998,31.879999,32.330002,1295100,32.330002
2016-05-02,34.950001,34.950001,33.360001,34.16,1230200,34.16
2016-04-29,35.720001,36.220001,34.580002,34.959999,1311000,34.959999
2016-04-28,35.549999,38.560001,34.84,35.349998,1870100,35.349998
2016-04-27,35.549999,36.41,35.439999,36.150002,897500,36.150002
2016-04-26,35.52,35.889999,35.290001,35.380001,849600,35.380001
2016-04-25,35.939999,36.560001,35.07,35.23,1000300,35.23
2016-04-22,35.310001,36.389999,35.310001,36.169998,1011800,36.169998
2016-04-21,34.099998,35.43,33.82,35.23,1299900,35.23
2016-04-20,33.810001,34.09,33.209999,33.98,992600,33.98
2016-04-19,33.110001,33.880001,32.689999,33.740002,1236900,33.740002
2016-04-18,32.060001,33.02,31.549999,32.529999,1024700,32.529999
2016-04-15,33.290001,33.290001,32.52,32.779999,882500,32.779999
2016-04-14,33.830002,33.830002,32.970001,33.529999,759500,33.529999
2016-04-13,33.77,34.41,33.34,33.619999,814700,33.619999
2016-04-12,30.940001,33.849998,30.879999,33.259998,2038400,33.259998
2016-04-11,31.02,31.459999,30.60,30.60,834300,30.60
2016-04-08,30.73,31.690001,30.389999,30.50,745200,30.50
2016-04-07,30.690001,30.690001,29.43,29.950001,1017200,29.950001
2016-04-06,30.74,31.040001,29.74,30.959999,806800,30.959999
2016-04-05,30.52,31.200001,30.08,30.299999,930900,30.299999
2016-04-04,31.98,32.07,30.719999,31.00,775200,31.00
2016-04-01,31.549999,32.16,31.219999,32.099998,883400,32.099998
2016-03-31,32.369999,32.849998,31.91,32.119999,646900,32.119999
2016-03-30,33.23,33.799999,32.130001,32.549999,561600,32.549999
2016-03-29,31.950001,32.889999,31.209999,32.779999,905800,32.779999
2016-03-28,32.220001,32.439999,31.26,32.299999,647800,32.299999
2016-03-24,31.48,32.240002,30.66,32.220001,1290000,32.220001
2016-03-23,34.830002,34.869999,32.580002,32.779999,851500,32.779999
2016-03-22,34.93,35.580002,34.639999,35.060001,718000,35.060001
2016-03-21,35.220001,35.900002,34.52,35.380001,753500,35.380001
2016-03-18,37.009998,37.73,34.91,35.32,1228500,35.32
2016-03-17,35.57,37.419998,35.470001,36.77,952100,36.77
2016-03-16,33.919998,35.369999,33.630001,35.150002,1526800,35.150002
2016-03-15,33.48,34.049999,32.490002,34.00,1371300,34.00
2016-03-14,33.970001,34.619999,33.060001,34.470001,1124700,34.195001
2016-03-11,34.200001,36.029999,34.200001,34.970001,892000,34.691012
2016-03-10,34.279999,34.389999,32.389999,33.540001,1095900,33.27242
2016-03-09,33.900002,34.470001,33.150002,34.259998,1173900,33.986673
2016-03-08,35.860001,36.07,33.470001,33.529999,1002700,33.262498
2016-03-07,34.790001,36.889999,34.790001,36.419998,1104200,36.129441
2016-03-04,35.110001,36.240002,34.080002,34.689999,1015700,34.413243
2016-03-03,33.900002,34.700001,33.799999,34.650002,899800,34.373565
2016-03-02,32.540001,34.099998,32.34,33.830002,1470000,33.560107
2016-03-01,32.080002,32.380001,31.52,31.99,958800,31.734785
2016-02-29,31.59,32.32,31.209999,31.67,1323500,31.417338
2016-02-26,30.75,32.209999,30.620001,31.290001,1722700,31.04037
2016-02-25,30.02,30.02,28.32,29.559999,1236900,29.324171
2016-02-24,28.360001,29.790001,27.58,29.75,928800,29.512656
2016-02-23,30.290001,30.41,29.030001,29.23,1214900,28.996804
2016-02-22,29.690001,31.67,29.690001,30.74,1327100,30.494757
2016-02-19,29.00,29.120001,27.73,29.049999,1327100,28.818239
2016-02-18,29.74,29.969999,29.049999,29.360001,1775100,29.125768
2016-02-17,27.82,29.629999,27.799999,29.360001,2103200,29.125768
2016-02-16,26.76,27.48,26.32,27.42,1774500,27.201244
2016-02-12,25.76,26.469999,24.940001,26.129999,1302100,25.921535
2016-02-11,25.469999,26.27,24.00,25.08,1862000,24.879913
2016-02-10,25.870001,27.139999,25.200001,26.01,1643200,25.802493
2016-02-09,25.52,26.040001,24.76,25.950001,1779600,25.742973
2016-02-08,26.85,26.85,25.540001,25.870001,1484500,25.663611
2016-02-05,26.93,27.59,26.129999,27.23,1530300,27.01276
2016-02-04,25.25,28.07,25.25,27.48,3144700,27.260765
2016-02-03,24.01,24.940001,22.73,24.940001,1792900,24.74103
2016-02-02,24.17,24.35,22.84,23.459999,2018200,23.272836
2016-02-01,25.76,25.879999,24.18,25.01,2419700,24.810471
2016-01-29,25.139999,26.57,23.940001,26.52,3270800,26.308425
2016-01-28,25.030001,27.309999,24.790001,25.139999,2649500,24.939433
2016-01-27,25.99,26.26,24.65,25.110001,2265600,24.909674
2016-01-26,25.719999,27.02,25.49,25.969999,1181900,25.762812
2016-01-25,26.58,27.24,25.10,25.16,1575800,24.959274
2016-01-22,27.00,29.40,26.610001,27.280001,1783200,27.062362
2016-01-21,24.68,26.629999,24.610001,26.27,1554600,26.060419
2016-01-20,24.200001,24.889999,23.08,24.68,1660200,24.483104
2016-01-19,25.360001,26.030001,24.299999,24.73,1960400,24.532705
2016-01-15,25.129999,25.76,24.440001,25.48,899100,25.276721
2016-01-14,25.129999,26.549999,24.59,26.389999,900400,26.179461
2016-01-13,26.129999,26.709999,24.60,24.879999,1995800,24.681507
2016-01-12,27.24,27.360001,25.309999,25.790001,1448400,25.584249
2016-01-11,28.120001,28.16,26.360001,26.530001,1392100,26.318345
2016-01-08,28.129999,28.67,27.629999,27.77,1344200,27.548452
2016-01-07,29.469999,29.469999,27.77,27.799999,1790700,27.578212
2016-01-06,30.90,31.129999,30.030001,30.24,1851200,29.998746
2016-01-05,33.07,33.09,31.35,31.809999,954100,31.55622
2016-01-04,32.439999,32.919998,31.85,32.880001,635000,32.617686
2015-12-31,33.470001,33.560001,32.57,33.009998,727600,32.746646
2015-12-30,34.57,35.060001,33.189999,33.50,1015400,33.232738
2015-12-29,34.82,35.419998,34.049999,34.84,936300,34.562048
2015-12-28,34.759998,35.060001,33.689999,34.369999,827200,34.095796
2015-12-24,35.360001,35.619999,34.630001,35.16,208500,34.879495
2015-12-23,33.259998,35.43,33.130001,35.400002,842200,35.117582
2015-12-22,31.870001,33.00,31.73,32.720001,611200,32.458962
2015-12-21,32.189999,32.279999,31.360001,31.879999,443800,31.625662
2015-12-18,31.85,33.459999,31.85,31.940001,634600,31.685184
2015-12-17,32.880001,33.060001,31.950001,32.02,828900,31.764546
2015-12-16,32.400002,33.209999,32.18,32.950001,1369100,32.687127
2015-12-15,32.50,33.330002,31.84,32.369999,1421000,32.111752
2015-12-14,34.43,34.59,32.02,32.43,2506800,31.89847
2015-12-11,37.080002,37.130001,35.080002,35.529999,1468000,34.947659
2015-12-10,36.759998,37.919998,36.41,37.77,687700,37.150947
2015-12-09,36.119999,37.009998,35.779999,36.799999,827600,36.196844
2015-12-08,38.32,38.32,35.59,35.740002,1786600,35.15422
2015-12-07,39.18,39.310001,38.130001,38.299999,1732400,37.672259
2015-12-04,39.75,40.150002,38.099998,39.990002,1047100,39.334562
2015-12-03,40.040001,40.77,39.48,40.360001,1189500,39.698497
2015-12-02,40.43,41.490002,39.509998,39.869999,1278200,39.216526
2015-12-01,39.470001,41.150002,39.330002,40.98,1056900,40.308334
2015-11-30,38.389999,39.599998,38.380001,39.220001,724300,38.577182
2015-11-27,39.41,39.41,37.639999,37.740002,272900,37.12144
2015-11-25,38.509998,39.529999,38.290001,39.50,586600,38.852592
2015-11-24,37.360001,39.09,37.290001,38.77,831900,38.134557
2015-11-23,36.720001,38.169998,36.639999,37.439999,633800,36.826354
2015-11-20,38.450001,38.619999,36.779999,36.93,799600,36.324714
2015-11-19,39.48,39.720001,38.169998,38.209999,995200,37.583734
2015-11-18,39.560001,40.349998,38.950001,39.66,702900,39.009969
2015-11-17,39.439999,39.830002,38.790001,39.34,547400,38.695214
2015-11-16,38.419998,39.419998,37.630001,39.380001,1082600,38.734559
2015-11-13,39.16,39.279999,38.119999,38.66,881500,38.026359
2015-11-12,39.470001,39.799999,38.75,38.889999,694800,38.252589
2015-11-11,40.810001,41.200001,40.220001,40.279999,744600,39.619806
2015-11-10,40.779999,41.279999,39.970001,40.650002,614600,39.983745
2015-11-09,41.900002,42.25,40.240002,41.009998,642200,40.337841
2015-11-06,41.459999,42.110001,40.43,41.970001,624700,41.282109
2015-11-05,42.16,42.200001,40.759998,41.73,880000,41.046041
2015-11-04,43.75,44.290001,41.470001,42.049999,1134500,41.360796
2015-11-03,41.810001,44.950001,41.75,43.77,1898400,43.052606
2015-11-02,39.639999,41.720001,39.560001,41.619999,1315000,40.937844
2015-10-30,39.00,40.150002,37.419998,39.93,1625900,39.275544
2015-10-29,37.689999,39.23,36.66,38.790001,2331700,38.154229
2015-10-28,38.380001,39.549999,38.130001,38.380001,1186600,37.75095
2015-10-27,38.91,39.220001,37.91,38.16,860400,37.534554
2015-10-26,40.34,40.959999,39.41,39.439999,722400,38.793574
2015-10-23,40.07,41.869999,39.73,40.400002,721900,39.737842
2015-10-22,39.630001,40.52,39.369999,40.060001,813200,39.403415
2015-10-21,40.189999,40.41,38.389999,39.220001,919500,38.577182
2015-10-20,39.990002,41.48,39.900002,40.290001,614500,39.629644
2015-10-19,41.189999,41.25,39.419998,39.919998,762900,39.265706
2015-10-16,42.169998,42.349998,40.919998,41.77,449900,41.085387
2015-10-15,41.57,42.220001,40.509998,42.130001,668800,41.439487
2015-10-14,40.619999,42.060001,40.610001,41.799999,840700,41.114894
2015-10-13,40.00,41.82,39.459999,40.869999,1011000,40.200136
2015-10-12,42.490002,43.709999,40.139999,40.349998,939600,39.688659
2015-10-09,43.970001,44.610001,42.27,42.330002,1890900,41.636209
2015-10-08,41.830002,44.18,41.700001,44.009998,1781400,43.288671
2015-10-07,39.810001,42.740002,39.810001,42.060001,2516600,41.370634
2015-10-06,35.23,39.810001,35.23,39.540001,2088200,38.891937
2015-10-05,34.560001,35.560001,34.560001,35.09,1295400,34.514872
2015-10-02,33.080002,34.50,33.060001,34.00,1107200,33.442737
2015-10-01,33.529999,34.77,33.060001,33.580002,994800,33.029623
2015-09-30,32.490002,33.189999,32.209999,33.16,812900,32.616505
2015-09-29,32.43,32.599998,31.66,32.119999,1269500,31.593549
2015-09-28,34.439999,34.669998,32.169998,32.209999,1613100,31.682074
2015-09-25,35.27,35.50,34.52,34.799999,619500,34.229624
2015-09-24,34.240002,35.73,33.619999,34.91,2196700,34.337822
2015-09-23,36.09,36.43,34.66,34.700001,616400,34.131265
2015-09-22,36.279999,36.380001,35.439999,36.110001,950900,35.518155
2015-09-21,37.080002,37.540001,36.82,37.040001,546300,36.432912
2015-09-18,37.279999,37.950001,36.740002,36.959999,638600,36.354222
2015-09-17,39.009998,39.009998,37.73,37.790001,943600,37.17062
2015-09-16,37.27,39.040001,37.27,38.950001,1044000,38.311607
2015-09-15,36.41,37.119999,35.990002,37.02,493300,36.413239
2015-09-14,36.560001,36.759998,35.68,36.200001,738000,35.60668
2015-09-11,37.52,37.720001,36.73,37.02,1011900,36.142746
2015-09-10,38.220001,38.599998,37.639999,37.889999,935300,36.992128
2015-09-09,39.209999,39.84,38.060001,38.139999,780800,37.236204
2015-09-08,39.509998,39.610001,38.68,39.099998,731100,38.173454
2015-09-04,39.139999,39.349998,38.689999,38.970001,557300,38.046538
2015-09-03,39.040001,40.040001,38.970001,39.700001,474700,38.759239
2015-09-02,39.790001,39.869999,38.400002,39.200001,608400,38.271087
2015-09-01,39.75,40.490002,38.959999,39.34,739000,38.407769
2015-08-31,39.75,41.459999,38.50,40.759998,962100,39.794118
2015-08-28,39.439999,40.869999,38.830002,40.389999,1263300,39.432886
2015-08-27,38.540001,40.439999,38.369999,39.919998,1578600,38.974023
2015-08-26,37.369999,37.740002,36.220001,37.59,1652700,36.699238
2015-08-25,39.299999,39.59,36.400002,36.450001,890500,35.586253
2015-08-24,38.48,40.470001,35.34,38.029999,1311600,37.12881
2015-08-21,40.779999,40.849998,39.400002,39.50,1739400,38.563977
2015-08-20,42.18,42.259998,40.790001,40.849998,915000,39.881985
2015-08-19,42.66,43.029999,40.900002,42.34,1926500,41.336678
2015-08-18,44.549999,44.57,43.66,43.889999,503400,42.849948
2015-08-17,44.400002,44.900002,44.009998,44.549999,640900,43.494308
2015-08-14,44.259998,44.82,43.91,44.580002,616400,43.523599
2015-08-13,44.66,44.66,43.580002,44.200001,864700,43.152603
2015-08-12,45.299999,45.830002,44.560001,44.82,1018100,43.75791
2015-08-11,46.00,46.43,44.330002,45.610001,1034800,44.52919
2015-08-10,45.75,47.150002,44.950001,46.970001,585000,45.856963
2015-08-07,46.279999,47.099998,45.200001,45.34,1263200,44.265588
2015-08-06,45.110001,46.59,44.610001,46.349998,1663800,45.251653
2015-08-05,45.220001,46.259998,44.869999,45.139999,961300,44.070327
2015-08-04,44.00,44.889999,43.439999,44.77,1043600,43.709096
2015-08-03,44.93,45.619999,43.439999,43.889999,884200,42.849948
2015-07-31,46.59,47.110001,44.98,45.09,1220600,44.021512
2015-07-30,46.189999,47.389999,44.84,46.080002,1838800,44.988054
2015-07-29,45.189999,47.220001,44.830002,46.52,1272500,45.417626
2015-07-28,44.939999,45.73,44.009998,45.59,969600,44.509664
2015-07-27,44.66,45.139999,44.259998,44.279999,1118100,43.230705
2015-07-24,47.369999,47.52,44.599998,44.860001,1809100,43.796963
2015-07-23,48.130001,48.220001,47.27,47.369999,785400,46.247482
2015-07-22,47.48,47.889999,46.849998,47.860001,741000,46.725873
2015-07-21,47.610001,48.919998,47.610001,47.82,451000,46.68682
