Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,11.63,11.63,11.17,11.49,5600,11.49
2016-06-09,11.65,11.65,10.85,11.40,17100,11.40
2016-06-08,11.75,11.79,10.56,11.22,13100,11.22
2016-06-07,10.54,11.97,10.48,11.15,13500,11.15
2016-06-06,10.43,10.75,10.43,10.60,10100,10.60
2016-06-03,10.63,10.63,10.50,10.51,6800,10.51
2016-06-02,10.80,10.80,10.54,10.54,24900,10.54
2016-06-01,10.57,10.65,10.51,10.59,6500,10.59
2016-05-31,10.65,10.87,10.59,10.87,8300,10.87
2016-05-27,10.64,10.65,10.64,10.65,700,10.65
2016-05-26,10.60,10.69,10.60,10.69,1800,10.69
2016-05-25,10.75,10.75,10.68,10.68,3200,10.68
2016-05-24,10.54,10.75,10.49,10.75,9900,10.75
2016-05-23,10.38,10.56,10.38,10.56,300,10.56
2016-05-20,10.37,10.37,10.37,10.37,200,10.37
2016-05-19,10.48,10.48,10.48,10.48,200,10.48
2016-05-18,10.38,10.38,10.38,10.38,100,10.38
2016-05-17,10.51,10.60,10.26,10.36,13000,10.36
2016-05-16,10.60,10.60,10.59,10.59,1900,10.59
2016-05-13,10.52,10.61,10.52,10.55,5600,10.55
2016-05-12,10.52,10.54,10.51,10.51,500,10.51
2016-05-11,10.55,10.55,10.50,10.54,3000,10.54
2016-05-10,10.55,10.55,10.50,10.51,2800,10.51
2016-05-09,10.50,10.59,10.50,10.58,2500,10.58
2016-05-06,10.52,10.62,10.50,10.61,2300,10.61
2016-05-05,10.61,10.61,10.61,10.61,000,10.61
2016-05-04,10.65,10.65,10.50,10.61,4500,10.61
2016-05-03,10.60,10.63,10.50,10.50,11400,10.50
2016-05-02,10.59,10.59,10.55,10.55,300,10.55
2016-04-29,10.50,10.67,10.50,10.54,5300,10.54
2016-04-28,10.49,10.50,10.43,10.50,18600,10.50
2016-04-27,10.28,10.50,10.28,10.43,6400,10.43
2016-04-26,10.22,10.45,10.22,10.45,1000,10.45
2016-04-25,10.30,10.32,10.25,10.30,41100,10.30
2016-04-22,10.36,10.37,10.22,10.30,700,10.30
2016-04-21,10.36,10.36,10.36,10.36,500,10.36
2016-04-20,10.37,10.37,10.13,10.32,2800,10.32
2016-04-19,10.34,10.34,10.23,10.26,600,10.26
2016-04-18,10.37,10.37,10.23,10.23,3900,10.23
2016-04-15,10.17,10.47,10.17,10.27,8300,10.27
2016-04-14,10.10,10.15,10.06,10.10,13800,10.10
2016-04-13,10.19,10.19,10.09,10.09,5000,10.09
2016-04-12,10.10,10.10,10.06,10.10,19700,10.10
2016-04-11,10.00,10.14,10.00,10.14,700,10.14
2016-04-08,10.08,10.20,10.00,10.20,14000,10.20
2016-04-07,10.19,10.19,10.12,10.12,2100,10.12
2016-04-06,10.11,10.20,10.11,10.15,2100,10.15
2016-04-05,10.20,10.20,10.02,10.16,2400,10.16
2016-04-04,10.93,10.93,10.22,10.22,3200,10.22
2016-04-01,10.27,10.27,10.16,10.25,1400,10.25
2016-03-31,10.35,10.45,10.25,10.25,3800,10.25
2016-03-30,10.35,10.38,10.34,10.34,3700,10.24
2016-03-29,10.34,10.47,10.29,10.29,16100,10.190484
2016-03-28,10.58,10.58,10.58,10.58,000,10.477679
2016-03-24,10.49,10.58,10.49,10.58,800,10.477679
2016-03-23,10.42,10.42,10.39,10.39,600,10.289517
2016-03-22,10.39,10.50,10.35,10.40,7000,10.29942
2016-03-21,10.43,10.70,10.27,10.28,6900,10.18058
2016-03-18,10.40,10.40,10.33,10.33,200,10.230097
2016-03-17,10.53,10.53,10.21,10.40,1400,10.29942
2016-03-16,10.26,10.42,10.26,10.42,400,10.319227
2016-03-15,10.45,10.46,10.45,10.45,900,10.348936
2016-03-14,10.45,10.45,10.45,10.45,000,10.348936
2016-03-11,10.61,10.61,10.45,10.45,10200,10.348936
2016-03-10,10.59,10.59,10.59,10.59,200,10.487583
2016-03-09,10.65,10.65,10.65,10.65,200,10.547002
2016-03-08,10.71,10.93,10.36,10.77,4300,10.665842
2016-03-07,10.67,10.83,10.25,10.83,4600,10.725261
2016-03-04,11.69,11.69,10.45,10.90,3000,10.794584
2016-03-03,10.75,11.04,10.36,10.65,22000,10.547002
2016-03-02,10.46,10.87,10.24,10.87,9200,10.764874
2016-03-01,10.75,10.75,10.28,10.28,900,10.18058
2016-02-29,10.25,10.99,10.24,10.25,4500,10.150871
2016-02-26,10.02,10.27,10.02,10.24,4100,10.140967
2016-02-25,10.00,10.00,10.00,10.00,246900,9.903288
2016-02-24,10.00,10.00,9.99,10.00,4000,9.903288
2016-02-23,9.98,9.98,9.94,9.94,400,9.843868
2016-02-22,9.90,10.02,9.90,9.91,13000,9.814159
2016-02-19,9.99,10.03,9.91,9.91,19700,9.814159
2016-02-18,10.11,10.11,9.92,9.92,124700,9.824062
2016-02-17,10.00,10.63,10.00,10.11,3000,10.012224
2016-02-16,10.25,10.25,10.03,10.10,1800,10.002322
2016-02-12,10.60,10.60,10.60,10.60,000,10.497486
2016-02-11,10.60,10.60,10.60,10.60,000,10.497486
2016-02-10,10.50,10.60,10.15,10.60,1200,10.497486
2016-02-09,10.39,10.39,10.07,10.07,1000,9.972611
2016-02-08,10.34,10.34,10.34,10.34,200,10.24
2016-02-05,10.24,10.24,10.23,10.24,2400,10.140967
2016-02-04,10.18,10.19,10.18,10.18,1600,10.081548
2016-02-03,10.16,10.16,10.16,10.16,200,10.061741
2016-02-02,10.20,10.20,10.05,10.13,5300,10.032031
2016-02-01,10.53,10.53,10.20,10.20,2400,10.101354
2016-01-29,10.81,10.81,10.50,10.50,13000,10.398453
2016-01-28,10.81,10.81,10.81,10.81,000,10.705455
2016-01-27,10.85,10.87,10.81,10.81,2400,10.705455
2016-01-26,11.19,11.19,11.19,11.19,300,11.081779
2016-01-25,10.82,10.82,10.82,10.82,200,10.715358
2016-01-22,11.61,11.61,10.78,10.78,600,10.675745
2016-01-21,10.75,11.38,10.75,11.35,1200,11.240233
