Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,30.00,30.32,29.799999,30.17,64200,30.17
2016-06-09,30.09,30.48,29.969999,30.25,54600,30.25
2016-06-08,30.24,30.389999,30.10,30.26,116400,30.26
2016-06-07,29.50,30.629999,29.50,30.200001,146600,30.200001
2016-06-06,28.59,29.559999,28.50,29.49,96600,29.49
2016-06-03,28.50,28.82,28.42,28.450001,91600,28.450001
2016-06-02,28.57,28.85,28.42,28.51,53500,28.51
2016-06-01,28.530001,28.74,28.15,28.73,56300,28.73
2016-05-31,28.360001,28.860001,28.129999,28.530001,119000,28.530001
2016-05-27,28.280001,28.65,28.26,28.41,63700,28.41
2016-05-26,28.17,28.60,28.10,28.200001,54800,28.200001
2016-05-25,28.120001,28.200001,27.65,28.049999,33400,28.049999
2016-05-24,27.40,28.02,27.40,27.99,57600,27.99
2016-05-23,27.43,27.67,27.219999,27.33,93200,27.33
2016-05-20,27.25,27.610001,26.879999,27.450001,88600,27.450001
2016-05-19,26.74,27.299999,26.74,27.09,92600,27.09
2016-05-18,26.780001,27.08,26.68,26.91,83200,26.91
2016-05-17,26.77,27.08,26.610001,26.790001,165300,26.790001
2016-05-16,26.790001,27.190001,26.60,26.879999,83100,26.879999
2016-05-13,26.610001,26.92,26.50,26.690001,102300,26.690001
2016-05-12,26.629999,26.85,26.49,26.75,146200,26.75
2016-05-11,26.27,26.549999,26.01,26.34,84300,26.34
2016-05-10,26.040001,26.469999,25.530001,26.23,73000,26.23
2016-05-09,26.110001,26.299999,25.950001,26.01,86300,26.01
2016-05-06,26.040001,26.15,25.48,26.139999,82500,26.139999
2016-05-05,26.17,26.459999,25.879999,26.200001,97000,26.200001
2016-05-04,24.709999,26.040001,24.00,25.99,190800,25.99
2016-05-03,24.219999,24.99,24.00,24.459999,69800,24.459999
2016-05-02,24.379999,24.60,24.16,24.469999,110500,24.469999
2016-04-29,24.459999,24.610001,24.27,24.379999,78200,24.379999
2016-04-28,24.559999,24.969999,24.09,24.620001,133600,24.620001
2016-04-27,24.790001,24.870001,24.26,24.610001,101400,24.610001
2016-04-26,24.459999,24.860001,24.25,24.860001,105300,24.860001
2016-04-25,24.65,25.08,24.33,24.42,51800,24.42
2016-04-22,24.549999,24.85,24.540001,24.780001,50400,24.780001
2016-04-21,24.309999,24.790001,24.110001,24.58,175100,24.58
2016-04-20,24.32,24.469999,23.870001,24.309999,69000,24.309999
2016-04-19,24.26,24.33,24.10,24.25,49700,24.25
2016-04-18,24.27,24.440001,24.040001,24.08,82600,24.08
2016-04-15,24.049999,24.549999,23.799999,24.440001,92400,24.440001
2016-04-14,23.68,24.09,23.51,24.030001,79600,24.030001
2016-04-13,23.27,23.790001,23.16,23.74,59900,23.74
2016-04-12,23.35,23.65,23.209999,23.40,67600,23.144999
2016-04-11,23.68,23.950001,23.34,23.35,78100,23.095545
2016-04-08,23.90,24.200001,23.42,23.559999,74700,23.303255
2016-04-07,23.940001,23.940001,22.40,23.66,198000,23.402166
2016-04-06,24.190001,24.23,23.68,24.040001,107400,23.778026
2016-04-05,24.450001,24.450001,24.049999,24.07,87600,23.807698
2016-04-04,24.84,25.73,24.469999,24.639999,131900,24.371486
2016-04-01,24.809999,25.26,24.67,24.790001,244200,24.519853
2016-03-31,25.290001,25.34,25.049999,25.08,80000,24.806692
2016-03-30,25.290001,25.75,25.290001,25.35,124900,25.07375
2016-03-29,24.469999,25.379999,24.01,25.25,112200,24.974839
2016-03-28,24.24,24.719999,23.959999,24.450001,107200,24.183558
2016-03-24,24.32,24.34,23.84,24.26,108500,23.995628
2016-03-23,25.040001,25.040001,24.42,24.459999,85000,24.193447
2016-03-22,25.129999,25.309999,24.879999,25.129999,75400,24.856146
2016-03-21,25.35,25.57,25.09,25.32,161200,25.044076
2016-03-18,24.809999,25.34,24.68,25.24,643400,24.964948
2016-03-17,24.280001,24.85,23.74,24.65,157400,24.381377
2016-03-16,24.780001,24.879999,24.10,24.219999,130000,23.956063
2016-03-15,26.469999,26.469999,24.74,24.950001,85600,24.678109
2016-03-14,25.450001,25.690001,24.559999,24.860001,147600,24.58909
2016-03-11,25.190001,25.530001,25.08,25.530001,188400,25.251789
2016-03-10,25.129999,25.92,24.85,25.030001,60000,24.757237
2016-03-09,25.34,25.73,25.219999,25.48,71200,25.202332
2016-03-08,24.93,25.549999,24.77,25.24,90700,24.964948
2016-03-07,24.969999,25.290001,24.77,25.030001,189700,24.757237
2016-03-04,25.01,25.379999,24.700001,25.129999,97400,24.856146
2016-03-03,24.940001,25.280001,24.82,24.93,128500,24.658327
2016-03-02,24.85,25.280001,23.92,24.860001,131100,24.58909
2016-03-01,24.82,25.129999,24.65,24.83,252000,24.559416
2016-02-29,24.639999,25.450001,24.049999,24.60,288700,24.331923
2016-02-26,26.459999,26.610001,24.41,24.629999,177500,24.361595
2016-02-25,26.290001,26.50,26.07,26.459999,57000,26.171652
2016-02-24,26.01,26.50,25.84,26.34,67300,26.052961
2016-02-23,26.17,26.73,26.040001,26.27,127000,25.983724
2016-02-22,26.07,26.450001,25.969999,26.059999,98300,25.776012
2016-02-19,25.889999,26.26,25.790001,25.92,105400,25.637538
2016-02-18,26.32,26.57,25.82,26.01,83600,25.726557
2016-02-17,25.58,26.370001,25.309999,26.27,233400,25.983724
2016-02-16,25.59,25.76,25.23,25.309999,267800,25.034185
2016-02-12,25.24,25.620001,25.00,25.41,58700,25.133095
2016-02-11,24.84,25.309999,24.450001,25.02,200100,24.747346
2016-02-10,25.379999,25.66,25.09,25.25,87800,24.974839
2016-02-09,25.07,25.389999,24.90,25.16,179300,24.88582
2016-02-08,24.690001,25.469999,24.440001,25.280001,124900,25.004513
2016-02-05,24.620001,25.299999,24.290001,25.040001,189300,24.767129
2016-02-04,24.40,24.92,24.40,24.76,116800,24.490179
2016-02-03,24.559999,24.98,24.040001,24.360001,128400,24.094539
2016-02-02,24.18,24.809999,24.059999,24.27,270000,24.005519
2016-02-01,24.190001,25.040001,23.799999,24.620001,176800,24.351705
2016-01-29,23.290001,24.450001,23.290001,24.41,187000,24.143993
2016-01-28,22.58,23.35,22.42,23.26,192800,23.006525
2016-01-27,23.040001,23.040001,22.01,22.42,178400,22.175679
2016-01-26,22.620001,25.690001,22.450001,23.15,151200,22.897723
2016-01-25,23.219999,23.40,22.50,22.57,79300,22.324044
2016-01-22,23.27,25.25,21.950001,23.370001,130500,23.115327
2016-01-21,22.73,23.15,21.629999,22.85,142000,22.600993
2016-01-20,22.24,23.00,21.459999,22.719999,157300,22.472409
2016-01-19,23.139999,23.26,22.26,22.559999,89600,22.314153
2016-01-15,22.610001,23.110001,22.18,22.90,102300,22.650448
2016-01-14,22.99,23.60,22.60,23.200001,140200,22.94718
2016-01-13,23.559999,23.780001,22.60,22.82,72500,22.57132
2016-01-12,24.00,24.08,23.42,23.74,128300,23.234019
2016-01-11,23.73,23.91,23.299999,23.690001,150100,23.185085
