Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.52,13.69,13.24,13.55,225200,13.55
2016-06-09,13.54,13.66,13.33,13.57,249000,13.57
2016-06-08,13.44,13.69,13.44,13.58,284500,13.58
2016-06-07,13.40,13.49,13.26,13.40,230700,13.40
2016-06-06,13.32,13.54,13.31,13.43,233900,13.43
2016-06-03,13.34,13.34,13.07,13.32,196400,13.32
2016-06-02,13.29,13.37,13.23,13.37,289900,13.37
2016-06-01,13.05,13.31,12.97,13.28,429000,13.28
2016-05-31,12.90,13.17,12.80,13.12,449900,13.12
2016-05-27,12.80,12.91,12.75,12.86,351300,12.86
2016-05-26,12.74,12.81,12.59,12.74,158200,12.74
2016-05-25,12.84,12.88,12.69,12.74,208900,12.74
2016-05-24,12.61,12.82,12.55,12.80,328300,12.80
2016-05-23,12.61,12.65,12.48,12.52,146400,12.52
2016-05-20,12.47,12.65,12.25,12.59,277800,12.59
2016-05-19,12.50,12.55,12.31,12.39,282500,12.39
2016-05-18,12.24,12.55,12.18,12.51,255300,12.51
2016-05-17,12.46,12.49,12.16,12.25,389300,12.25
2016-05-16,12.49,12.60,12.45,12.53,248100,12.53
2016-05-13,12.42,12.68,12.42,12.46,211700,12.46
2016-05-12,12.51,12.53,12.30,12.46,240100,12.46
2016-05-11,12.59,12.69,12.40,12.41,239400,12.41
2016-05-10,12.63,12.68,12.53,12.61,291400,12.61
2016-05-09,12.49,12.71,12.39,12.59,276400,12.59
2016-05-06,12.64,12.91,12.44,12.47,436400,12.47
2016-05-05,12.30,12.87,12.30,12.68,824200,12.68
2016-05-04,12.25,12.40,12.13,12.23,258400,12.23
2016-05-03,12.31,12.40,12.15,12.30,210500,12.30
2016-05-02,12.27,12.41,12.25,12.38,265000,12.38
2016-04-29,12.28,12.36,12.14,12.23,345300,12.23
2016-04-28,12.39,12.64,12.29,12.32,333900,12.32
2016-04-27,12.61,12.66,12.39,12.44,306200,12.44
2016-04-26,12.40,12.66,12.40,12.60,295500,12.60
