Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,22.120001,22.200001,21.50,21.74,197600,21.74
2016-06-09,22.35,22.959999,22.18,22.360001,132500,22.360001
2016-06-08,22.870001,23.09,22.17,22.610001,171100,22.610001
2016-06-07,23.030001,23.110001,22.629999,22.67,124400,22.67
2016-06-06,22.639999,23.139999,22.41,22.85,228200,22.85
2016-06-03,22.360001,22.67,22.040001,22.40,127500,22.40
2016-06-02,22.059999,22.940001,21.940001,22.379999,186800,22.379999
2016-06-01,22.02,22.41,21.76,22.129999,140600,22.129999
2016-05-31,21.879999,22.469999,21.879999,22.129999,132000,22.129999
2016-05-27,21.799999,22.25,21.51,21.91,131300,21.91
2016-05-26,22.00,22.290001,21.620001,21.809999,131300,21.809999
2016-05-25,21.49,22.00,21.25,21.93,117300,21.93
2016-05-24,21.860001,22.02,21.290001,21.41,71900,21.41
2016-05-23,21.780001,22.27,21.57,21.85,133400,21.85
2016-05-20,21.83,22.33,21.66,21.98,162200,21.98
2016-05-19,21.290001,21.99,20.799999,21.870001,80300,21.870001
2016-05-18,21.93,22.23,21.25,21.530001,128200,21.530001
2016-05-17,22.59,22.59,21.530001,21.73,201100,21.73
2016-05-16,22.360001,22.75,22.02,22.41,184600,22.41
2016-05-13,22.639999,22.82,21.75,22.370001,182000,22.370001
2016-05-12,22.559999,22.969999,21.52,21.76,185700,21.76
2016-05-11,22.209999,23.049999,22.110001,22.51,106800,22.51
2016-05-10,22.42,22.92,22.129999,22.639999,150200,22.639999
2016-05-09,22.77,22.77,21.26,22.16,155000,22.16
2016-05-06,22.549999,22.99,22.219999,22.959999,131400,22.959999
2016-05-05,22.639999,23.059999,22.35,22.58,104100,22.58
2016-05-04,22.780001,23.08,21.690001,22.450001,177600,22.450001
2016-05-03,23.74,23.74,22.68,23.58,204300,22.767
2016-05-02,23.76,23.76,22.85,23.389999,222600,22.58355
2016-04-29,22.90,23.92,22.82,23.60,238100,22.786311
2016-04-28,23.27,24.25,22.57,22.75,183500,21.965617
2016-04-27,23.49,24.139999,23.27,23.77,148200,22.95045
2016-04-26,23.00,23.700001,22.959999,23.27,192200,22.467689
2016-04-25,23.40,23.41,22.530001,22.940001,175000,22.149067
2016-04-22,22.15,23.52,22.15,23.41,271800,22.602861
2016-04-21,21.959999,22.440001,21.620001,22.15,174400,21.386304
2016-04-20,21.139999,21.99,21.030001,21.73,150900,20.980785
2016-04-19,21.110001,21.879999,21.110001,21.15,88800,20.420782
2016-04-18,20.00,21.23,19.98,21.10,124800,20.372507
2016-04-15,20.08,20.51,20.02,20.08,85900,19.387674
2016-04-14,20.40,20.42,20.01,20.309999,77300,19.609744
2016-04-13,20.59,20.690001,20.200001,20.34,93700,19.63871
2016-04-12,20.450001,21.209999,20.40,20.68,144300,19.966988
2016-04-11,20.35,20.799999,19.90,20.440001,78000,19.735263
2016-04-08,19.860001,20.790001,19.82,20.27,81800,19.571124
2016-04-07,19.809999,20.18,19.33,19.60,85700,18.924224
2016-04-06,19.610001,20.42,19.200001,19.91,126200,19.223536
2016-04-05,19.530001,19.799999,19.25,19.40,114400,18.731119
2016-04-04,19.870001,20.49,19.74,19.889999,159100,19.204225
2016-04-01,19.75,20.309999,19.50,20.200001,103700,19.503538
2016-03-31,20.440001,21.110001,19.85,20.08,302000,19.387674
2016-03-30,19.51,20.82,19.51,20.360001,170800,19.658021
2016-03-29,19.75,19.91,19.110001,19.49,173800,18.818016
2016-03-28,20.40,20.48,19.75,19.85,133400,19.165605
2016-03-24,19.35,20.23,19.00,20.139999,117500,19.445605
2016-03-23,20.15,20.50,19.67,19.780001,132200,19.098019
2016-03-22,20.60,21.27,20.219999,20.290001,142000,19.590435
2016-03-21,20.809999,21.190001,20.43,20.639999,172900,19.928366
2016-03-18,20.790001,21.440001,20.35,20.780001,677800,20.06354
2016-03-17,20.049999,20.91,20.049999,20.67,211400,19.957332
2016-03-16,19.23,20.08,19.18,19.93,205100,19.242846
2016-03-15,18.50,19.190001,18.280001,19.08,213300,18.422153
2016-03-14,16.85,19.17,16.799999,18.75,276200,18.103531
2016-03-11,17.290001,17.77,16.700001,16.83,287300,16.249729
2016-03-10,16.90,17.15,16.59,16.959999,113700,16.375246
2016-03-09,16.780001,17.190001,16.299999,17.07,176300,16.481454
2016-03-08,17.120001,17.18,16.129999,16.40,177200,15.834554
