Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,19.719999,19.719999,19.34,19.360001,21200,19.360001
2016-06-09,19.690001,19.93,19.620001,19.85,37100,19.85
2016-06-08,19.780001,19.99,19.700001,19.93,14500,19.93
2016-06-07,19.549999,19.860001,19.360001,19.73,28400,19.73
2016-06-06,19.379999,19.620001,19.33,19.559999,28400,19.559999
2016-06-03,19.309999,19.440001,18.93,19.200001,23500,19.200001
2016-06-02,19.23,19.40,19.23,19.370001,17700,19.370001
2016-06-01,19.15,19.309999,19.00,19.24,20200,19.24
2016-05-31,19.25,19.40,19.08,19.190001,19100,19.190001
2016-05-27,19.33,19.49,19.23,19.34,13000,19.34
2016-05-26,19.129999,19.299999,19.129999,19.219999,12600,19.219999
2016-05-25,19.299999,19.299999,19.049999,19.17,16200,19.17
2016-05-24,18.65,19.200001,18.51,19.17,23200,19.17
2016-05-23,18.77,18.77,18.42,18.48,11500,18.48
2016-05-20,18.48,18.799999,18.469999,18.66,12200,18.66
2016-05-19,18.450001,18.459999,18.15,18.33,15700,18.33
2016-05-18,18.01,18.549999,18.01,18.41,21400,18.41
2016-05-17,18.379999,18.43,17.90,17.969999,13100,17.969999
2016-05-16,17.99,18.49,17.99,18.48,18800,18.48
2016-05-13,18.049999,18.190001,17.860001,18.01,14400,18.01
2016-05-12,18.25,18.26,18.049999,18.049999,16800,18.049999
2016-05-11,18.030001,18.32,18.02,18.16,72500,18.16
2016-05-10,18.040001,18.27,18.00,18.059999,31400,18.059999
2016-05-09,18.00,18.299999,17.99,18.059999,28800,18.059999
2016-05-06,17.950001,18.059999,17.860001,18.049999,29900,18.049999
2016-05-05,18.15,18.299999,18.00,18.049999,15500,17.959999
2016-05-04,18.290001,18.290001,18.07,18.209999,13700,18.119201
2016-05-03,18.51,18.51,18.129999,18.290001,19100,18.198804
2016-05-02,18.40,18.549999,18.32,18.40,20000,18.308254
2016-04-29,18.120001,18.66,17.76,18.389999,49600,18.298304
2016-04-28,17.889999,18.360001,17.799999,18.360001,12000,18.268455
2016-04-27,18.00,18.02,17.870001,17.950001,17900,17.860499
2016-04-26,18.08,18.200001,17.82,17.940001,26100,17.850549
2016-04-25,17.90,18.10,17.879999,18.07,46900,17.9799
2016-04-22,18.00,18.120001,17.940001,18.00,42900,17.910249
2016-04-21,18.059999,18.290001,17.959999,18.00,24500,17.910249
2016-04-20,17.950001,18.190001,17.950001,17.99,32600,17.900299
2016-04-19,17.639999,17.99,17.639999,17.889999,61700,17.800797
2016-04-18,17.77,17.93,17.379999,17.780001,14500,17.691347
2016-04-15,17.65,17.91,17.41,17.77,33000,17.681396
2016-04-14,17.32,17.870001,17.32,17.65,14400,17.561994
2016-04-13,17.389999,17.58,17.35,17.48,30200,17.392841
2016-04-12,16.99,17.35,16.98,17.280001,18900,17.19384
2016-04-11,16.77,17.26,16.77,16.93,24200,16.845584
2016-04-08,16.65,16.950001,16.610001,16.83,15300,16.746083
2016-04-07,16.559999,16.620001,16.48,16.610001,27600,16.52718
2016-04-06,16.58,16.74,16.58,16.629999,28400,16.547079
2016-04-05,16.60,16.700001,16.52,16.610001,15700,16.52718
2016-04-04,16.51,16.84,16.51,16.75,35800,16.666482
2016-04-01,16.75,16.75,16.52,16.52,22400,16.437629
2016-03-31,16.799999,16.83,16.610001,16.610001,56000,16.52718
2016-03-30,16.65,16.799999,16.59,16.75,104300,16.666482
2016-03-29,16.49,16.83,16.309999,16.639999,23400,16.55703
2016-03-28,16.559999,16.67,16.129999,16.52,11500,16.437629
2016-03-24,16.51,16.51,16.40,16.49,7300,16.407778
2016-03-23,16.540001,16.75,16.52,16.629999,23500,16.547079
2016-03-22,16.51,16.74,16.469999,16.74,20700,16.656531
2016-03-21,16.65,16.690001,16.379999,16.549999,35700,16.467478
2016-03-18,16.440001,16.610001,16.129999,16.559999,98500,16.477429
2016-03-17,15.74,16.200001,15.41,16.16,100500,16.079423
2016-03-16,15.67,15.83,15.42,15.74,16500,15.661518
2016-03-15,15.79,15.90,15.55,15.55,7400,15.472465
2016-03-14,15.94,16.00,15.80,15.92,12800,15.84062
2016-03-11,15.29,16.00,15.29,15.99,13500,15.910271
2016-03-10,15.89,15.89,15.39,15.47,11800,15.392864
2016-03-09,15.57,15.82,15.57,15.76,10500,15.681418
2016-03-08,15.82,15.89,15.50,15.50,11200,15.422714
2016-03-07,15.79,15.90,15.62,15.90,18000,15.82072
2016-03-04,15.63,15.88,15.39,15.63,24000,15.552066
2016-03-03,15.45,15.75,15.44,15.61,25300,15.532166
2016-03-02,15.37,15.55,15.29,15.47,16400,15.392864
2016-03-01,15.32,15.64,15.29,15.32,18700,15.243612
2016-02-29,15.24,15.30,15.10,15.20,26300,15.12421
2016-02-26,15.26,15.39,15.15,15.24,29000,15.164011
2016-02-25,15.37,15.37,14.99,15.20,21800,15.12421
2016-02-24,14.78,15.14,14.56,15.14,11700,15.06451
2016-02-23,14.98,15.10,14.80,15.05,19100,14.974958
2016-02-22,15.44,15.44,14.83,14.83,12500,14.756055
2016-02-19,14.85,15.15,14.76,14.94,22800,14.865506
2016-02-18,15.27,15.27,14.85,14.90,7700,14.825706
2016-02-17,14.84,15.11,14.82,14.82,10400,14.746105
2016-02-16,14.61,14.97,14.51,14.81,24600,14.736155
2016-02-12,14.43,14.52,14.40,14.51,25800,14.437651
2016-02-11,14.25,14.40,14.11,14.28,14000,14.208797
2016-02-10,14.36,14.57,14.26,14.33,16700,14.258548
2016-02-09,14.49,14.65,14.25,14.43,32200,14.268499
2016-02-08,14.64,14.65,14.25,14.46,16900,14.298163
2016-02-05,14.64,14.95,14.52,14.64,10500,14.476148
2016-02-04,15.18,15.33,14.61,14.72,44300,14.555253
2016-02-03,16.08,16.08,15.04,15.29,36200,15.118873
2016-02-02,16.00,16.299999,15.91,15.99,18100,15.811038
2016-02-01,16.110001,16.24,16.049999,16.049999,9800,15.870366
2016-01-29,15.88,16.34,15.88,16.190001,43100,16.008801
2016-01-28,16.049999,16.190001,16.00,16.00,18600,15.820927
2016-01-27,16.190001,16.190001,15.75,15.89,26700,15.712158
2016-01-26,15.89,16.360001,15.89,16.18,26400,15.998912
2016-01-25,16.60,16.60,15.89,15.90,15200,15.722045
2016-01-22,16.309999,16.74,16.290001,16.620001,12200,16.433988
2016-01-21,16.40,16.50,16.110001,16.24,22700,16.05824
2016-01-20,16.879999,16.879999,16.280001,16.620001,35000,16.433988
2016-01-19,16.950001,17.040001,16.690001,17.040001,11500,16.849288
2016-01-15,16.83,17.00,16.719999,16.940001,39300,16.750407
2016-01-14,16.90,17.33,16.90,17.18,52900,16.98772
2016-01-13,17.360001,17.360001,16.74,16.91,21100,16.720742
2016-01-12,17.190001,17.370001,17.02,17.23,46200,17.03716
2016-01-11,17.66,17.66,17.139999,17.23,46500,17.03716
2016-01-08,17.299999,17.450001,17.02,17.10,28000,16.908616
2016-01-07,17.51,17.74,17.200001,17.290001,64900,17.09649
2016-01-06,17.57,17.99,17.43,17.540001,46800,17.343692
2016-01-05,17.43,17.790001,17.290001,17.610001,35000,17.412908
2016-01-04,17.790001,18.02,17.25,17.469999,23200,17.274474
2015-12-31,18.209999,18.219999,17.91,17.99,13600,17.788654
2015-12-30,18.129999,18.35,18.040001,18.200001,32500,17.996305
2015-12-29,17.98,18.15,17.950001,18.07,25400,17.867759
2015-12-28,17.959999,18.09,17.82,17.879999,22200,17.679885
2015-12-24,17.950001,18.00,17.790001,17.889999,5000,17.689773
2015-12-23,17.58,17.98,17.549999,17.940001,60900,17.739215
2015-12-22,17.33,17.75,17.33,17.709999,160300,17.511787
2015-12-21,16.93,17.35,16.93,17.35,123800,17.155818
2015-12-18,16.700001,17.219999,16.700001,17.059999,187500,16.869063
2015-12-17,17.26,17.950001,16.51,17.01,222500,16.819623
2015-12-16,13.13,13.13,12.02,12.16,14300,12.023904
2015-12-15,12.13,12.81,12.03,12.41,11000,12.271106
2015-12-14,12.50,12.59,12.09,12.27,18000,12.132674
2015-12-11,12.61,12.90,12.52,12.52,9200,12.379876
2015-12-10,12.88,12.88,12.72,12.75,4400,12.607301
2015-12-09,12.72,12.85,12.58,12.82,11300,12.676517
2015-12-08,12.80,12.89,12.79,12.79,6500,12.646853
2015-12-07,12.86,12.91,12.84,12.91,18100,12.76551
2015-12-04,12.86,13.04,12.85,12.91,6800,12.76551
2015-12-03,12.99,12.99,12.90,12.91,2500,12.76551
2015-12-02,12.90,13.07,12.81,13.05,2300,12.903944
2015-12-01,13.10,13.10,12.90,12.99,6800,12.844615
2015-11-30,13.06,13.08,12.81,13.08,30100,12.933607
2015-11-27,13.04,13.05,12.95,12.99,6500,12.844615
2015-11-25,13.01,13.08,13.00,13.07,5100,12.923719
2015-11-24,13.01,13.08,12.97,12.97,10000,12.824839
2015-11-23,13.01,13.08,13.01,13.01,3600,12.864391
2015-11-20,12.96,13.13,12.95,13.13,2400,12.983048
2015-11-19,12.84,13.07,12.84,12.96,3100,12.814951
2015-11-18,13.12,13.13,12.81,12.81,4400,12.66663
