Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.22,15.30,15.06,15.17,16100,15.17
2016-06-09,14.94,15.20,14.94,15.11,8700,15.11
2016-06-08,15.01,15.38,14.91,15.11,9400,15.11
2016-06-07,15.37,15.49,14.95,15.12,9800,15.12
2016-06-06,14.98,15.57,14.97,15.43,15800,15.43
2016-06-03,14.95,15.25,14.91,15.05,14900,15.05
2016-06-02,15.11,15.14,14.96,15.04,11200,15.04
2016-06-01,15.02,15.30,14.99,15.24,9900,15.24
2016-05-31,15.06,15.25,14.89,15.16,5700,15.16
2016-05-27,15.35,15.35,14.93,15.12,3000,15.12
2016-05-26,15.32,15.32,15.12,15.15,5900,15.15
2016-05-25,15.42,15.49,15.26,15.32,4900,15.32
2016-05-24,15.08,15.40,15.08,15.29,7900,15.29
2016-05-23,14.72,15.52,14.72,14.86,10000,14.86
2016-05-20,14.28,14.87,14.28,14.76,19800,14.76
2016-05-19,14.24,14.69,14.00,14.19,7800,14.19
2016-05-18,14.24,14.42,14.16,14.24,8100,14.24
2016-05-17,15.23,15.31,14.26,14.31,9200,14.31
2016-05-16,14.62,15.52,14.62,15.22,16000,15.22
2016-05-13,14.05,14.56,14.05,14.50,10900,14.50
2016-05-12,14.50,14.50,14.14,14.17,6300,14.17
2016-05-11,14.87,14.87,14.50,14.51,7400,14.51
2016-05-10,14.36,14.77,14.36,14.68,11400,14.68
2016-05-09,14.40,14.51,14.36,14.43,12600,14.43
2016-05-06,14.81,14.94,14.36,14.39,18600,14.39
2016-05-05,15.13,15.13,14.93,14.96,15000,14.96
2016-05-04,15.09,15.31,15.00,15.27,9600,15.13
2016-05-03,15.05,15.14,14.92,15.04,15200,14.902108
2016-05-02,14.97,15.20,14.80,15.14,27800,15.001192
2016-04-29,14.98,15.03,14.79,14.79,7600,14.6544
2016-04-28,15.04,15.21,14.96,14.96,23900,14.822842
2016-04-27,15.15,15.28,14.96,15.07,16200,14.931833
2016-04-26,15.14,15.25,15.02,15.20,9800,15.060641
2016-04-25,15.13,15.19,14.95,15.02,12300,14.882292
