Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,42.799999,43.00,42.360001,42.68,3010100,42.68
2016-06-09,43.919998,43.919998,41.720001,42.860001,963700,42.860001
2016-06-08,48.50,48.50,43.529999,44.009998,1173800,44.009998
2016-06-07,48.139999,49.889999,47.889999,49.560001,99700,49.560001
2016-06-06,47.860001,48.459999,47.57,48.34,164600,48.34
2016-06-03,47.990002,48.209999,47.41,47.900002,82500,47.900002
2016-06-02,47.77,48.32,47.77,48.029999,104400,48.029999
2016-06-01,47.580002,48.32,47.200001,48.029999,98000,48.029999
2016-05-31,48.299999,48.57,47.709999,47.799999,120900,47.799999
2016-05-27,49.419998,49.419998,46.869999,48.299999,57000,48.299999
2016-05-26,48.549999,48.549999,47.939999,47.950001,37900,47.950001
2016-05-25,48.110001,48.610001,47.790001,48.060001,45100,48.060001
2016-05-24,46.939999,48.470001,46.939999,48.099998,96700,48.099998
2016-05-23,46.959999,47.360001,46.459999,46.57,147400,46.57
2016-05-20,46.470001,46.98,44.98,46.970001,79100,46.970001
2016-05-19,46.84,48.139999,45.639999,46.130001,83500,46.130001
2016-05-18,46.450001,47.790001,46.209999,47.130001,74000,47.130001
2016-05-17,48.459999,48.540001,46.150002,46.599998,113700,46.599998
2016-05-16,47.830002,48.919998,47.66,48.540001,127800,48.540001
2016-05-13,47.66,48.130001,47.220001,47.490002,89800,47.490002
2016-05-12,47.439999,49.299999,46.900002,47.880001,150900,47.880001
2016-05-11,51.700001,53.209999,46.59,47.07,563800,47.07
2016-05-10,56.09,56.57,53.889999,56.349998,65600,56.349998
2016-05-09,56.240002,56.57,55.650002,55.970001,64100,55.970001
2016-05-06,55.73,56.50,55.299999,56.419998,77500,56.419998
2016-05-05,56.09,56.439999,55.529999,56.139999,60600,56.139999
2016-05-04,54.810001,56.07,54.810001,55.700001,63700,55.700001
2016-05-03,55.939999,56.93,55.360001,55.990002,58400,55.990002
2016-05-02,56.560001,57.139999,53.900002,56.560001,75800,56.560001
2016-04-29,56.540001,56.610001,55.68,56.220001,47300,56.220001
2016-04-28,57.380001,57.50,56.529999,56.75,68800,56.75
2016-04-27,57.34,57.799999,56.66,57.57,60400,57.57
2016-04-26,56.700001,57.540001,56.419998,57.43,73200,57.43
2016-04-25,57.419998,57.580002,56.080002,56.459999,98600,56.459999
2016-04-22,56.41,57.740002,56.200001,57.740002,123200,57.740002
2016-04-21,56.419998,57.130001,56.119999,56.32,83600,56.32
2016-04-20,56.34,59.57,56.02,56.59,101000,56.59
2016-04-19,56.34,56.990002,56.09,56.639999,171700,56.639999
2016-04-18,54.209999,55.830002,54.209999,55.77,79500,55.77
2016-04-15,54.009998,54.560001,53.529999,54.540001,53200,54.540001
2016-04-14,54.52,54.52,53.720001,54.07,57300,54.07
2016-04-13,53.240002,54.77,53.02,54.650002,76900,54.650002
2016-04-12,53.130001,54.040001,52.439999,52.959999,90700,52.959999
2016-04-11,53.00,54.220001,52.619999,52.959999,89600,52.959999
2016-04-08,52.450001,53.040001,51.580002,52.450001,100200,52.450001
2016-04-07,51.459999,53.099998,51.459999,51.93,153900,51.93
2016-04-06,55.98,57.16,50.09,52.060001,777700,52.060001
2016-04-05,60.23,60.360001,59.150002,59.23,62500,59.23
2016-04-04,61.880001,61.880001,60.23,60.549999,94100,60.549999
2016-04-01,60.419998,61.759998,60.16,61.740002,54700,61.740002
2016-03-31,60.720001,61.240002,60.139999,60.849998,85600,60.849998
2016-03-30,62.259998,62.27,60.459999,60.580002,72000,60.580002
2016-03-29,57.84,62.189999,57.68,61.709999,184100,61.709999
2016-03-28,58.18,62.02,57.68,58.150002,76400,58.150002
2016-03-24,57.630001,58.240002,57.23,58.18,55400,58.18
2016-03-23,59.09,59.169998,57.919998,57.98,113200,57.98
2016-03-22,58.580002,59.200001,58.400002,59.040001,60500,59.040001
