Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,6.55,6.68,6.55,6.68,2500,6.68
2016-06-09,6.56,6.56,6.55,6.55,8300,6.55
2016-06-08,6.65,6.65,6.55,6.55,1100,6.55
2016-06-07,6.56,6.56,6.55,6.55,1000,6.55
2016-06-06,6.65,6.65,6.57,6.63,3000,6.63
2016-06-03,6.65,6.69,6.65,6.65,2400,6.65
2016-06-02,6.57,6.75,6.57,6.69,5300,6.69
2016-06-01,6.65,6.74,6.55,6.55,46800,6.55
2016-05-31,6.61,6.61,6.60,6.60,5100,6.60
2016-05-27,6.74,6.74,6.74,6.74,100,6.74
2016-05-26,6.70,6.70,6.70,6.70,000,6.70
2016-05-25,6.60,6.70,6.58,6.70,3000,6.70
2016-05-24,6.58,6.58,6.58,6.58,000,6.58
2016-05-23,6.58,6.58,6.58,6.58,700,6.58
2016-05-20,6.60,6.60,6.60,6.60,000,6.60
2016-05-19,6.60,6.60,6.60,6.60,000,6.60
2016-05-18,6.60,6.60,6.60,6.60,100,6.60
2016-05-17,6.60,6.60,6.60,6.60,000,6.60
2016-05-16,6.60,6.60,6.60,6.60,000,6.60
2016-05-13,6.60,6.60,6.60,6.60,000,6.60
2016-05-12,6.60,6.60,6.60,6.60,000,6.60
2016-05-11,6.60,6.60,6.60,6.60,000,6.60
2016-05-10,6.60,6.60,6.60,6.60,000,6.60
2016-05-09,6.60,6.60,6.60,6.60,000,6.60
2016-05-06,6.61,6.61,6.60,6.60,600,6.60
2016-05-05,6.75,6.75,6.75,6.75,000,6.75
2016-05-04,6.65,6.75,6.65,6.75,3500,6.75
2016-05-03,6.66,6.75,6.66,6.75,500,6.75
2016-05-02,6.75,6.75,6.75,6.75,000,6.75
2016-04-29,6.65,6.75,6.65,6.75,700,6.75
2016-04-28,6.75,6.75,6.75,6.75,100,6.75
2016-04-27,6.75,6.75,6.71,6.71,400,6.71
2016-04-26,6.67,6.75,6.67,6.75,300,6.75
2016-04-25,6.65,6.65,6.65,6.65,2200,6.65
2016-04-22,6.65,6.65,6.65,6.65,1800,6.65
2016-04-21,6.70,6.70,6.65,6.65,4000,6.65
2016-04-20,6.75,6.75,6.75,6.75,3400,6.75
2016-04-19,6.65,6.65,6.65,6.65,1600,6.65
2016-04-18,6.75,6.79,6.75,6.75,1300,6.75
2016-04-15,6.75,6.75,6.75,6.75,000,6.75
2016-04-14,6.75,6.75,6.75,6.75,000,6.75
2016-04-13,6.75,6.75,6.75,6.75,900,6.75
2016-04-12,6.75,6.75,6.75,6.75,000,6.75
2016-04-11,6.75,6.75,6.75,6.75,000,6.75
2016-04-08,6.75,6.75,6.75,6.75,6700,6.75
2016-04-07,6.69,6.85,6.65,6.85,2500,6.85
2016-04-06,6.75,6.75,6.65,6.65,87300,6.65
2016-04-05,6.66,6.69,6.66,6.69,2300,6.69
2016-04-04,6.78,6.78,6.61,6.63,2200,6.63
2016-04-01,6.76,6.76,6.76,6.76,000,6.73
2016-03-31,6.82,6.82,6.75,6.76,10200,6.73
2016-03-30,6.70,6.81,6.70,6.81,3700,6.779778
2016-03-29,6.70,6.70,6.67,6.67,600,6.6404
