Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,9.49,10.01,9.49,9.83,94900,9.83
2016-06-09,10.24,10.296,9.65,9.69,73600,9.69
2016-06-08,10.78,10.78,10.05,10.25,86700,10.25
2016-06-07,11.01,11.19,10.79,10.80,97900,10.80
2016-06-06,11.35,11.35,10.98,11.10,60100,11.10
2016-06-03,11.30,11.30,10.75,11.20,99600,11.20
2016-06-02,10.87,11.29,10.57,11.23,75800,11.23
2016-06-01,10.18,11.089,10.08,10.96,116000,10.96
2016-05-31,10.83,11.162,10.25,10.48,105000,10.48
2016-05-27,10.88,10.98,10.53,10.84,56100,10.84
2016-05-26,10.55,11.07,10.36,10.81,120300,10.81
2016-05-25,8.77,10.84,8.77,10.63,412800,10.63
2016-05-24,7.67,8.76,7.56,8.64,146100,8.64
2016-05-23,7.97,8.04,7.50,7.55,176400,7.55
2016-05-20,7.79,8.24,7.63,7.82,156200,7.82
2016-05-19,7.49,7.81,7.45,7.61,156400,7.61
2016-05-18,7.51,7.75,7.36,7.48,139500,7.48
2016-05-17,7.70,7.80,7.15,7.49,102700,7.49
2016-05-16,8.32,8.32,7.515,7.70,130400,7.70
2016-05-13,7.60,7.83,7.27,7.77,98900,7.77
2016-05-12,7.93,8.12,7.42,7.63,140400,7.63
2016-05-11,8.29,8.307,7.79,7.84,114700,7.84
2016-05-10,8.32,8.35,8.00,8.28,151300,8.28
2016-05-09,8.25,8.415,8.00,8.20,83000,8.20
2016-05-06,8.38,8.53,8.02,8.17,84300,8.17
2016-05-05,8.559,8.76,8.26,8.48,118300,8.48
2016-05-04,9.18,9.18,8.56,8.82,77200,8.82
2016-05-03,8.93,9.26,8.92,9.01,34800,9.01
2016-05-02,9.18,9.34,8.79,9.29,54400,9.29
2016-04-29,9.35,9.40,8.92,9.07,39500,9.07
2016-04-28,9.29,9.68,8.96,9.33,97600,9.33
2016-04-27,9.45,9.57,9.055,9.29,59800,9.29
2016-04-26,9.79,9.79,9.16,9.51,65100,9.51
2016-04-25,10.11,10.19,9.61,9.75,55600,9.75
2016-04-22,10.08,10.40,9.925,10.11,69500,10.11
2016-04-21,9.79,10.13,9.64,10.11,43800,10.11
2016-04-20,9.95,10.276,9.635,9.84,52200,9.84
2016-04-19,10.28,10.728,9.89,9.94,72700,9.94
2016-04-18,10.13,10.31,9.82,10.20,49600,10.20
2016-04-15,10.32,10.42,9.57,10.04,101800,10.04
2016-04-14,10.36,10.53,10.04,10.30,145300,10.30
2016-04-13,10.45,10.779,9.95,10.29,104400,10.29
2016-04-12,10.45,10.65,10.06,10.40,91100,10.40
2016-04-11,10.56,10.75,10.33,10.47,94500,10.47
2016-04-08,10.54,10.54,10.09,10.43,55300,10.43
2016-04-07,11.265,11.265,10.29,10.34,51300,10.34
