Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,22.01,22.110001,21.43,21.49,195500,21.49
2016-06-09,21.90,22.25,21.299999,22.040001,911400,22.040001
2016-06-08,21.15,22.10,21.110001,22.030001,789100,22.030001
2016-06-07,21.15,21.24,20.99,21.209999,520900,21.209999
2016-06-06,21.32,21.440001,20.700001,21.23,261000,21.23
2016-06-03,21.540001,21.540001,21.129999,21.35,145700,21.35
2016-06-02,21.790001,21.870001,21.43,21.540001,319300,21.540001
2016-06-01,20.690001,21.92,20.610001,21.889999,484400,21.889999
2016-05-31,20.719999,20.75,20.643999,20.73,667400,20.73
2016-05-27,20.73,20.799999,20.565001,20.700001,413300,20.700001
2016-05-26,20.860001,20.90,20.73,20.75,644700,20.75
2016-05-25,20.950001,21.01,20.77,20.83,358700,20.83
2016-05-24,20.77,20.959999,20.73,20.85,608300,20.85
2016-05-23,21.08,21.135,20.68,20.75,397700,20.75
2016-05-20,21.40,21.49,21.01,21.10,398900,21.10
2016-05-19,21.219999,21.49,21.10,21.309999,178300,21.309999
2016-05-18,21.030001,21.469999,20.99,21.360001,221600,21.360001
2016-05-17,21.43,21.540001,21.049999,21.059999,294700,21.059999
2016-05-16,21.35,21.51,21.030001,21.440001,338800,21.440001
2016-05-13,21.48,21.629999,21.25,21.27,171100,21.27
2016-05-12,21.49,21.58,21.290001,21.450001,246600,21.450001
2016-05-11,21.60,21.92,21.33,21.440001,338800,21.440001
2016-05-10,21.49,21.780001,21.49,21.59,366100,21.59
2016-05-09,21.27,21.559999,21.110001,21.51,251600,21.51
2016-05-06,21.43,21.639999,21.25,21.41,238500,21.41
2016-05-05,21.530001,22.120001,21.502001,21.530001,307200,21.530001
2016-05-04,21.809999,21.870001,21.200001,21.379999,259800,21.379999
2016-05-03,21.25,22.00,20.969999,21.85,438600,21.85
2016-05-02,20.34,20.799999,20.209999,20.530001,241600,20.530001
2016-04-29,20.98,21.23,19.98,20.190001,777700,20.190001
2016-04-28,22.040001,22.26,21.02,21.059999,570400,21.059999
2016-04-27,22.25,22.48,22.18,22.32,71900,22.32
2016-04-26,22.09,22.35,22.030001,22.299999,107800,22.299999
2016-04-25,22.17,22.17,21.799999,22.01,110300,22.01
2016-04-22,21.93,22.35,21.93,22.25,182500,22.25
2016-04-21,22.440001,22.65,21.93,21.940001,252200,21.940001
2016-04-20,22.50,22.559999,22.360001,22.379999,128200,22.379999
2016-04-19,22.58,22.773001,22.41,22.52,155700,22.52
2016-04-18,22.50,22.60,22.41,22.549999,134300,22.549999
2016-04-15,22.27,22.610001,22.139999,22.559999,231300,22.559999
2016-04-14,22.26,22.450001,22.15,22.35,150300,22.35
2016-04-13,21.85,22.25,21.790001,22.200001,164400,22.200001
2016-04-12,21.780001,21.90,21.708,21.85,176100,21.85
2016-04-11,21.709999,21.860001,21.575001,21.82,194000,21.82
2016-04-08,21.709999,21.74,21.254999,21.559999,223900,21.559999
2016-04-07,21.540001,21.67,21.235001,21.559999,331800,21.559999
2016-04-06,21.440001,21.719999,21.18,21.67,160000,21.67
2016-04-05,21.33,21.60,21.059999,21.370001,230500,21.370001
2016-04-04,21.719999,21.870001,21.32,21.35,523100,21.35
2016-04-01,21.459999,21.879999,21.40,21.75,288600,21.75
2016-03-31,21.57,21.65,21.280001,21.59,456300,21.59
2016-03-30,21.709999,21.77,21.379999,21.629999,211400,21.629999
2016-03-29,21.209999,21.690001,21.049999,21.68,199600,21.65
2016-03-28,21.360001,21.540001,21.08,21.200001,120100,21.170665
2016-03-24,21.35,21.360001,20.809999,21.26,190500,21.230581
2016-03-23,21.50,21.85,21.35,21.440001,231200,21.410332
2016-03-22,21.209999,21.690001,21.17,21.530001,340700,21.500208
2016-03-21,21.60,21.82,21.209999,21.33,124000,21.300484
2016-03-18,22.049999,22.18,20.809999,21.690001,449300,21.659986
2016-03-17,20.98,21.93,20.75,21.870001,260400,21.839738
2016-03-16,20.950001,21.059999,20.780001,21.030001,140000,21.0009
2016-03-15,20.74,21.309999,20.57,20.950001,598100,20.921011
2016-03-14,20.92,21.02,20.805,20.889999,127200,20.861092
2016-03-11,20.790001,20.93,20.60,20.879999,118500,20.851106
2016-03-10,20.66,20.90,20.51,20.66,145500,20.631411
2016-03-09,20.43,20.790001,20.32,20.66,143000,20.631411
2016-03-08,20.690001,20.690001,19.98,20.389999,259500,20.361784
2016-03-07,20.620001,20.790001,20.52,20.75,112600,20.721287
2016-03-04,20.139999,20.790001,20.061001,20.67,159400,20.641397
2016-03-03,20.10,20.200001,19.959999,20.129999,849400,20.102144
2016-03-02,20.129999,20.18,19.91,20.129999,284300,20.102144
2016-03-01,19.99,20.139999,19.90,20.129999,188300,20.102144
2016-02-29,20.07,20.16,19.799999,19.93,231000,19.902422
2016-02-26,20.08,20.24,20.01,20.08,156300,20.052214
2016-02-25,19.84,20.083,19.719999,19.99,101900,19.962338
2016-02-24,19.540001,20.00,19.42,19.889999,94300,19.862476
2016-02-23,20.08,20.26,19.620001,19.65,240100,19.622808
2016-02-22,19.99,20.219999,19.85,20.049999,176100,20.022254
2016-02-19,19.639999,19.99,19.459999,19.85,168000,19.822532
2016-02-18,19.290001,19.85,19.23,19.690001,149700,19.662754
2016-02-17,19.34,19.530001,19.309999,19.35,156000,19.323224
2016-02-16,19.58,19.83,19.120001,19.34,167200,19.313238
2016-02-12,19.23,19.60,19.129999,19.360001,132300,19.333211
2016-02-11,19.639999,19.780001,19.030001,19.07,317100,19.043611
2016-02-10,21.60,21.60,19.50,19.969999,311000,19.942365
2016-02-09,18.90,19.530001,18.794001,19.299999,201700,19.273292
2016-02-08,19.280001,19.540001,18.790001,19.18,240100,19.153459
2016-02-05,19.73,19.799999,19.24,19.49,159000,19.46303
2016-02-04,20.17,20.40,19.620001,19.75,130500,19.72267
2016-02-03,20.01,20.26,18.754999,20.129999,207500,20.102144
2016-02-02,20.00,20.00,19.629999,19.889999,253800,19.862476
2016-02-01,19.700001,20.32,19.549999,20.129999,188100,20.102144
2016-01-29,19.65,19.870001,19.469999,19.790001,169600,19.762616
2016-01-28,19.549999,20.65,19.219999,19.540001,209300,19.512962
2016-01-27,20.389999,20.49,19.52,19.59,198400,19.562892
2016-01-26,20.65,20.690001,20.049999,20.379999,377600,20.351798
2016-01-25,19.01,19.74,19.01,19.66,295800,19.632795
2016-01-22,18.49,19.10,18.42,19.059999,173200,19.033625
2016-01-21,18.299999,18.879999,18.290001,18.40,225500,18.374538
2016-01-20,18.610001,18.889999,18.040001,18.379999,371300,18.354565
2016-01-19,19.33,19.450001,18.559999,18.91,303100,18.883833
2016-01-15,18.74,19.360001,18.74,19.219999,300500,19.193403
2016-01-14,19.02,19.35,18.709999,19.190001,260300,19.163446
2016-01-13,19.620001,19.950001,18.629999,18.84,277400,18.81393
2016-01-12,19.879999,19.969999,19.32,19.540001,118100,19.512962
2016-01-11,19.790001,20.004999,19.379999,19.709999,241100,19.682725
2016-01-08,20.15,20.615,19.700001,19.75,246900,19.72267
2016-01-07,20.200001,20.43,19.549999,20.10,171600,20.072186
2016-01-06,20.620001,21.120001,20.379999,20.50,178500,20.471632
2016-01-05,20.92,21.209999,20.65,20.809999,258800,20.781203
