Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,25.90,25.959999,25.700001,25.76,30100,25.76
2016-06-09,25.780001,25.93,25.738001,25.90,8500,25.90
2016-06-08,25.847,25.969999,25.76,25.784,11400,25.784
2016-06-07,26.084,26.26,25.76,25.77,23200,25.77
2016-06-06,25.870001,26.25,25.870001,26.190001,11400,26.190001
2016-06-03,25.799999,26.17,25.799999,26.15,11700,26.15
2016-06-02,25.799999,25.92,25.700001,25.860001,6200,25.860001
2016-06-01,25.99,25.99,25.700001,25.780001,42000,25.780001
2016-05-31,26.00,26.00,25.76,25.99,16100,25.99
2016-05-27,25.99,25.99,25.799999,25.924,10900,25.924
2016-05-26,26.00,26.00,25.709999,25.969999,6300,25.969999
2016-05-25,25.99,26.00,25.73,25.959999,17100,25.959999
2016-05-24,25.959999,25.969999,25.795,25.914,4300,25.914
2016-05-23,25.959999,25.959999,25.75,25.76,9400,25.76
2016-05-20,25.75,25.99,25.75,25.950001,15100,25.950001
2016-05-19,25.843,25.888,25.700001,25.864,6700,25.864
2016-05-18,25.91,25.91,25.799999,25.799999,7900,25.799999
2016-05-17,25.66,25.91,25.66,25.784,8000,25.784
2016-05-16,25.860001,26.00,25.663,25.91,19200,25.91
2016-05-13,25.709999,25.959999,25.60,25.959999,9900,25.959999
2016-05-12,25.690001,25.77,25.440001,25.77,5600,25.77
2016-05-11,25.65,25.719999,25.49,25.669001,7500,25.669001
2016-05-10,25.50,25.75,25.409,25.68,23000,25.68
2016-05-09,25.40,25.50,25.40,25.43,11000,25.43
2016-05-06,25.40,25.49,25.40,25.465,15400,25.465
2016-05-05,25.42,25.459999,25.42,25.459999,4400,25.459999
2016-05-04,25.35,25.517,25.35,25.50,7000,25.50
2016-05-03,25.309999,25.52,25.309999,25.41,9800,25.41
2016-05-02,25.27,25.548,25.27,25.459999,11800,25.459999
2016-04-29,25.26,25.450001,25.26,25.42,16300,25.42
2016-04-28,25.200001,25.389999,25.200001,25.35,14100,25.35
2016-04-27,25.33,25.556,25.205999,25.27,27000,25.27
2016-04-26,25.49,25.49,25.309999,25.326,14400,25.326
2016-04-25,25.50,25.620001,25.40,25.43,31000,25.43
2016-04-22,25.540001,25.687,25.499001,25.687,16600,25.687
2016-04-21,25.599001,25.709999,25.32,25.43,9700,25.43
2016-04-20,25.73,25.77,25.540001,25.719999,26400,25.719999
2016-04-19,25.67,25.790001,25.58,25.700001,38600,25.700001
2016-04-18,25.77,25.778,25.410999,25.709999,16900,25.709999
2016-04-15,25.67,25.74,25.441999,25.700001,17400,25.700001
2016-04-14,25.690001,25.690001,25.323999,25.634001,9500,25.634001
2016-04-13,25.66,25.690001,25.50,25.606001,14300,25.606001
2016-04-12,25.200001,25.57,25.18,25.57,23800,25.57
2016-04-11,25.370001,25.370001,25.15,25.290001,10900,25.290001
2016-04-08,25.450001,25.450001,25.17,25.190001,77700,25.190001
2016-04-07,25.280001,25.518999,25.254999,25.26,11600,25.26
2016-04-06,25.493999,25.493999,25.33,25.389999,6900,25.389999
2016-04-05,25.290001,25.58,25.259001,25.51,10700,25.51
2016-04-04,25.450001,25.549999,25.219999,25.50,10500,25.50
2016-04-01,25.549999,25.60,25.309999,25.52,13300,25.52
2016-03-31,25.459999,25.74,25.459999,25.68,25700,25.68
2016-03-30,25.99,25.99,25.459999,25.690001,9000,25.690001
2016-03-29,25.83,26.00,25.799999,25.950001,19300,25.481001
2016-03-28,25.84,25.959999,25.778999,25.85,14600,25.382808
2016-03-24,25.809999,25.84,25.60,25.84,11800,25.372989
2016-03-23,25.75,25.864,25.700001,25.84,13600,25.372989
2016-03-22,25.957001,25.957001,25.629999,25.73,13500,25.264976
2016-03-21,25.870001,25.870001,25.549999,25.610001,14200,25.147146
2016-03-18,25.879999,25.933001,25.66,25.709999,32200,25.245337
2016-03-17,25.601,25.799999,25.559999,25.645,35100,25.181513
2016-03-16,25.60,25.639999,25.530001,25.596001,5700,25.133399
2016-03-15,25.48,25.60,25.474001,25.60,11300,25.137326
2016-03-14,25.440001,25.656,25.379999,25.620001,37700,25.156965
2016-03-11,25.389999,25.48,25.294001,25.450001,32300,24.990038
2016-03-10,25.389999,25.396999,25.299999,25.336,11700,24.878098
2016-03-09,25.200001,25.40,25.200001,25.360001,10900,24.901664
2016-03-08,25.25,25.389999,25.094,25.16,30200,24.705278
2016-03-07,25.469999,25.48,25.280001,25.367001,13200,24.908538
2016-03-04,25.450001,25.48,25.200001,25.34,12700,24.882025
2016-03-03,25.58,25.629999,25.197001,25.48,44500,25.019494
2016-03-02,25.285999,25.579,25.139999,25.579,34800,25.116706
2016-03-01,25.120001,25.469999,25.120001,25.219999,13100,24.764193
2016-02-29,25.190001,25.209999,25.120001,25.129999,15100,24.67582
2016-02-26,25.16,25.42,25.08,25.200001,18700,24.744556
2016-02-25,25.194,25.48,25.129999,25.131001,17100,24.676803
2016-02-24,25.299999,25.431,25.10,25.25,19900,24.793652
2016-02-23,25.25,25.469999,25.25,25.438999,11600,24.979235
2016-02-22,25.440001,25.489,25.200001,25.26,14700,24.803471
2016-02-19,25.280001,25.440001,25.17,25.43,10000,24.970399
2016-02-18,25.275,25.305,25.004,25.188999,17600,24.733753
2016-02-17,25.059999,25.35,25.049999,25.296,23400,24.83882
2016-02-16,24.879999,25.26,24.85,25.004999,28900,24.553079
